EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 17:21:02.954
Technique started on : 02/19/2026 17:21:05.793
Loaded Setting File :  NONE
Saved on :
	File : Co40_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Co40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.839400134835159E+000	-1.6747181E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.839200008529588E+000	-7.2664917E-002	0.000000000000000E+000	0.0000000E+000	-1.9997239E-001	0
1.2843762E+003	8.039200003477163E+000	-2.0165680E-001	1.570075792074199E-001	-3.1661646E-005	-2.0187217E-001	0
4.1902422E+003	8.159200000445708E+000	-2.0287584E-001	-4.841625603391486E-002	9.8224882E-006	-2.0307222E-001	0
2.5591921E+003	8.369199995140661E+000	-2.0501919E-001	-8.011090538629206E-002	1.6424274E-005	-2.0517223E-001	0
2.5095339E+003	8.569199990088237E+000	-2.0700763E-001	-8.248847908215806E-002	1.7075745E-005	-2.0717224E-001	0
2.5520144E+003	8.769199985035812E+000	-2.0904382E-001	-8.191325690474782E-002	1.7123461E-005	-2.0917223E-001	0
2.6134653E+003	8.969199979983387E+000	-2.1096879E-001	-8.072377716575505E-002	1.7030197E-005	-2.1117222E-001	0
2.6810071E+003	9.169199974930962E+000	-2.1300964E-001	-7.945135269945486E-002	1.6923905E-005	-2.1317224E-001	0
2.7483513E+003	9.369199969878537E+000	-2.1500252E-001	-7.822963514559500E-002	1.6819569E-005	-2.1517220E-001	0
2.8168708E+003	9.569199964826112E+000	-2.1701685E-001	-7.704181769227070E-002	1.6719372E-005	-2.1717224E-001	0
2.8827651E+003	9.769199959773687E+000	-2.1900930E-001	-7.597195220976016E-002	1.6638563E-005	-2.1917221E-001	0
2.9476934E+003	9.969199954721262E+000	-2.2096081E-001	-7.496058361133873E-002	1.6563352E-005	-2.2117220E-001	0
3.0105808E+003	1.016919994966884E+001	-2.2300717E-001	-7.407446772804127E-002	1.6519138E-005	-2.2317223E-001	0
3.0758577E+003	1.036919994461641E+001	-2.2501831E-001	-7.315628357863069E-002	1.6461503E-005	-2.2517221E-001	0
3.1346870E+003	1.056919993956399E+001	-2.2703473E-001	-7.242660115466637E-002	1.6443353E-005	-2.2717224E-001	0
3.1979509E+003	1.076919993451156E+001	-2.2900473E-001	-7.160983172978130E-002	1.6398990E-005	-2.2917221E-001	0
3.2564465E+003	1.096919992945914E+001	-2.3099589E-001	-7.093495626557944E-002	1.6385684E-005	-2.3117222E-001	0
3.3133281E+003	1.116919992440671E+001	-2.3297116E-001	-7.031333976416754E-002	1.6380980E-005	-2.3317221E-001	0
3.3746816E+003	1.136919991935429E+001	-2.3503813E-001	-6.964749968008832E-002	1.6369819E-005	-2.3517221E-001	0
3.4306882E+003	1.156919991430186E+001	-2.3700555E-001	-6.908396551493196E-002	1.6373284E-005	-2.3717225E-001	0
3.4909819E+003	1.176919990924944E+001	-2.3903662E-001	-6.847260059480481E-002	1.6367459E-005	-2.3917221E-001	0
3.5470007E+003	1.196919990419701E+001	-2.4097624E-001	-6.793802914836861E-002	1.6371450E-005	-2.4117222E-001	0
3.6042698E+003	1.216919989914459E+001	-2.4301451E-001	-6.742406146370672E-002	1.6385025E-005	-2.4317223E-001	0
3.6604485E+003	1.236919989409216E+001	-2.4501483E-001	-6.693573874609338E-002	1.6400249E-005	-2.4517220E-001	0
3.7153435E+003	1.256919988903974E+001	-2.4699648E-001	-6.648011758496986E-002	1.6420356E-005	-2.4717222E-001	0
3.7711506E+003	1.276919988398731E+001	-2.4901867E-001	-6.603254233286315E-002	1.6443335E-005	-2.4917223E-001	0
3.8292356E+003	1.296919987893489E+001	-2.5102237E-001	-6.555417103084660E-002	1.6455564E-005	-2.5117221E-001	0
3.8850281E+003	1.316919987388246E+001	-2.5302821E-001	-6.512905538869795E-002	1.6479489E-005	-2.5317222E-001	0
3.9397583E+003	1.336919986883004E+001	-2.5505185E-001	-6.473794496616075E-002	1.6511533E-005	-2.5517222E-001	0
3.9906082E+003	1.356919986377761E+001	-2.5701270E-001	-6.440439288686051E-002	1.6552747E-005	-2.5717223E-001	0
4.0458203E+003	1.376919985872519E+001	-2.5900495E-001	-6.401790647245853E-002	1.6580954E-005	-2.5917223E-001	0
4.1027012E+003	1.396919985367276E+001	-2.6098680E-001	-6.361340739512981E-002	1.6602260E-005	-2.6117224E-001	0
4.1588506E+003	1.416919984862034E+001	-2.6300600E-001	-6.324006841927687E-002	1.6632517E-005	-2.6317221E-001	0
4.2140625E+003	1.436919984356791E+001	-2.6501966E-001	-6.288935074502422E-002	1.6666914E-005	-2.6517224E-001	0
4.2675654E+003	1.456919983851549E+001	-2.6702106E-001	-6.256987740203324E-002	1.6707476E-005	-2.6717222E-001	0
4.3225640E+003	1.476919983346306E+001	-2.6903600E-001	-6.223991248110428E-002	1.6744776E-005	-2.6917222E-001	0
4.3789014E+003	1.496919982841064E+001	-2.7100703E-001	-6.188927545125625E-002	1.6772428E-005	-2.7117223E-001	0
4.4277124E+003	1.516919982335821E+001	-2.7297974E-001	-6.165254416309579E-002	1.6829896E-005	-2.7317223E-001	0
4.4820884E+003	1.536919981830579E+001	-2.7500999E-001	-6.135755909190788E-002	1.6873943E-005	-2.7517220E-001	0
4.5347979E+003	1.556919981325336E+001	-2.7699417E-001	-6.108192055034223E-002	1.6919335E-005	-2.7717221E-001	0
4.5904893E+003	1.576919980820094E+001	-2.7897581E-001	-6.077256431283572E-002	1.6954076E-005	-2.7917224E-001	0
4.6385361E+003	1.596919980314851E+001	-2.8099397E-001	-6.057815810152312E-002	1.7022097E-005	-2.8117222E-001	0
4.6968848E+003	1.616919979809609E+001	-2.8298789E-001	-6.025012726409784E-002	1.7050057E-005	-2.8317225E-001	0
4.7467109E+003	1.636919979304366E+001	-2.8501201E-001	-6.004410475606503E-002	1.7113291E-005	-2.8517222E-001	0
4.8021416E+003	1.656919978799124E+001	-2.8702080E-001	-5.976933121676975E-002	1.7155042E-005	-2.8717220E-001	0
4.8548677E+003	1.676919978293881E+001	-2.8899434E-001	-5.952671686632960E-002	1.7202885E-005	-2.8917220E-001	0
4.9077466E+003	1.696919977788639E+001	-2.9099637E-001	-5.929327650099159E-002	1.7254128E-005	-2.9117221E-001	0
4.9609917E+003	1.716919977283396E+001	-2.9300433E-001	-5.906164416591420E-002	1.7305318E-005	-2.9317221E-001	0
5.0146387E+003	1.736919976778154E+001	-2.9498279E-001	-5.882433530781661E-002	1.7352166E-005	-2.9517221E-001	0
5.0630854E+003	1.756919976272911E+001	-2.9701746E-001	-5.866333326037598E-002	1.7424034E-005	-2.9717222E-001	0
5.1174390E+003	1.776919975767669E+001	-2.9901394E-001	-5.843038517029328E-002	1.7471501E-005	-2.9917222E-001	0
5.1699897E+003	1.796919975262426E+001	-3.0095956E-001	-5.821279358581272E-002	1.7519696E-005	-3.0117223E-001	0
5.2206323E+003	1.816919974757184E+001	-3.0303794E-001	-5.804621309776903E-002	1.7590204E-005	-3.0317223E-001	0
5.2719814E+003	1.836919974251941E+001	-3.0498305E-001	-5.784979634369170E-002	1.7643208E-005	-3.0517220E-001	0
5.3214712E+003	1.856919973746699E+001	-3.0701199E-001	-5.769306654321715E-002	1.7712464E-005	-3.0717221E-001	0
5.3750889E+003	1.876919973241456E+001	-3.0903503E-001	-5.749394098041205E-002	1.7767641E-005	-3.0917221E-001	0
5.4250708E+003	1.896919972736214E+001	-3.1102815E-001	-5.733162942743728E-002	1.7831751E-005	-3.1117222E-001	0
5.4733682E+003	1.916919972230971E+001	-3.1302741E-001	-5.719100087807139E-002	1.7902352E-005	-3.1317222E-001	0
5.5246279E+003	1.936919971725729E+001	-3.1499398E-001	-5.701632630301723E-002	1.7959799E-005	-3.1517223E-001	0
5.5746401E+003	1.956919971220486E+001	-3.1697795E-001	-5.686070208591909E-002	1.8023589E-005	-3.1717223E-001	0
5.6300049E+003	1.976919970715244E+001	-3.1901601E-001	-5.666353893540205E-002	1.8076576E-005	-3.1917223E-001	0
5.6782998E+003	1.996919970210001E+001	-3.2100421E-001	-5.653174737755540E-002	1.8146930E-005	-3.2117224E-001	0
5.7244229E+003	2.016919969704759E+001	-3.2303891E-001	-5.643169731514164E-002	1.8229633E-005	-3.2317221E-001	0
5.7749604E+003	2.036919969199516E+001	-3.2503605E-001	-5.628368326108019E-002	1.8294226E-005	-3.2517225E-001	0
5.8253130E+003	2.056919968694274E+001	-3.2702553E-001	-5.613870363072193E-002	1.8358789E-005	-3.2717219E-001	0
