EC-Lab ASCII FILE
Nb header lines : 66                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -10.00 V, max = 10.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/10/2026 15:27:25.746
Technique started on : 02/10/2026 15:27:28.585
Loaded Setting File :  NONE
Saved on :
	File : Co40_polished_2-10_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Cable : standard
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.839400134835159E+000	-1.7113382E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.839200008529588E+000	-5.3860605E-002	0.000000000000000E+000	0.0000000E+000	-1.9997193E-001	0
3.2805952E+003	8.039200003477163E+000	-2.0166157E-001	6.147102958522738E-002	-1.2396345E-005	-2.0187171E-001	0
2.6986753E+003	8.159200000445708E+000	-2.0286919E-001	-7.517362214162782E-002	1.5250412E-005	-2.0307177E-001	0
2.3813835E+003	8.369199995140661E+000	-2.0499799E-001	-8.608356662001637E-002	1.7646958E-005	-2.0517176E-001	0
2.5126794E+003	8.569199990088237E+000	-2.0699725E-001	-8.238107594872612E-002	1.7052656E-005	-2.0717177E-001	0
2.6544504E+003	8.769199985035812E+000	-2.0905568E-001	-7.875666648145252E-002	1.6464528E-005	-2.0917176E-001	0
2.7875635E+003	8.969199979983387E+000	-2.1105111E-001	-7.571167614555951E-002	1.5979032E-005	-2.1117176E-001	0
2.9113538E+003	9.169199974930962E+000	-2.1302854E-001	-7.317164314534841E-002	1.5587648E-005	-2.1317177E-001	0
3.0194114E+003	9.369199969878537E+000	-2.1503732E-001	-7.121829064288387E-002	1.5314590E-005	-2.1517175E-001	0
3.1248691E+003	9.569199964826112E+000	-2.1705207E-001	-6.945957151735777E-002	1.5076344E-005	-2.1717176E-001	0
3.2199138E+003	9.769199959773687E+000	-2.1898594E-001	-6.800987645445150E-002	1.4893207E-005	-2.1917178E-001	0
3.3144558E+003	9.969199954721262E+000	-2.2103441E-001	-6.668799437683864E-002	1.4740342E-005	-2.2117177E-001	0
3.4032542E+003	1.016919994966884E+001	-2.2300737E-001	-6.552768586881341E-002	1.4613157E-005	-2.2317176E-001	0
3.4847666E+003	1.036919994461641E+001	-2.2503527E-001	-6.457685496522902E-002	1.4532070E-005	-2.2517177E-001	0
3.5675520E+003	1.056919993956399E+001	-2.2701626E-001	-6.363362195276479E-002	1.4445866E-005	-2.2717173E-001	0
3.6432773E+003	1.076919993451156E+001	-2.2901382E-001	-6.285928791471207E-002	1.4395645E-005	-2.2917177E-001	0
3.7229683E+003	1.096919992945914E+001	-2.3104215E-001	-6.205858815727505E-002	1.4338149E-005	-2.3117177E-001	0
3.7934768E+003	1.116919992440671E+001	-2.3301485E-001	-6.142514084767781E-002	1.4312970E-005	-2.3317176E-001	0
3.8670681E+003	1.136919991935429E+001	-2.3500666E-001	-6.077127442843033E-002	1.4281654E-005	-2.3517177E-001	0
3.9388442E+003	1.156919991430186E+001	-2.3701060E-001	-6.017262350225105E-002	1.4261549E-005	-2.3717177E-001	0
4.0027617E+003	1.176919990924944E+001	-2.3897567E-001	-5.970269915554904E-002	1.4267493E-005	-2.3917177E-001	0
4.0724587E+003	1.196919990419701E+001	-2.4102247E-001	-5.918352624724565E-002	1.4264559E-005	-2.4117175E-001	0
4.1390313E+003	1.216919989914459E+001	-2.4299772E-001	-5.870883775581448E-002	1.4266114E-005	-2.4317178E-001	0
4.2044600E+003	1.236919989409216E+001	-2.4502921E-001	-5.827840252213456E-002	1.4279911E-005	-2.4517174E-001	0
4.2645415E+003	1.256919988903974E+001	-2.4706094E-001	-5.793376494401814E-002	1.4313170E-005	-2.4717174E-001	0
4.3330269E+003	1.276919988398731E+001	-2.4900779E-001	-5.746740405975737E-002	1.4309831E-005	-2.4917178E-001	0
4.3928232E+003	1.296919987893489E+001	-2.5102675E-001	-5.714474424778959E-002	1.4344860E-005	-2.5117174E-001	0
4.4521074E+003	1.316919987388246E+001	-2.5301433E-001	-5.683023924464159E-002	1.4378865E-005	-2.5317177E-001	0
4.5149482E+003	1.336919986883004E+001	-2.5502995E-001	-5.648568518197949E-002	1.4405541E-005	-2.5517175E-001	0
4.5776060E+003	1.356919986377761E+001	-2.5703746E-001	-5.615106733703801E-002	1.4432928E-005	-2.5717175E-001	0
