EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 17:10:45.691
Technique started on : 02/19/2026 17:10:48.529
Loaded Setting File :  NONE
Saved on :
	File : Ni10Co10_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni10Co10
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.5339820E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.5314232E-002	0.000000000000000E+000	0.0000000E+000	-1.9999252E-001	0
3.6523501E+003	8.038200003429665E+000	-2.0183125E-001	5.526065180660222E-002	-1.1153326E-005	-2.0189230E-001	0
1.9814116E+003	8.158200000398210E+000	-2.0293799E-001	-1.024209141911829E-001	2.0785095E-005	-2.0309237E-001	0
1.8576074E+003	8.368199995093164E+000	-2.0500195E-001	-1.103580577231418E-001	2.2623617E-005	-2.0519234E-001	0
1.9974944E+003	8.568199990040739E+000	-2.0704472E-001	-1.036522189564919E-001	2.1460644E-005	-2.0719236E-001	0
2.1427014E+003	8.768199984988314E+000	-2.0902063E-001	-9.755004882440832E-002	2.0389973E-005	-2.0919237E-001	0
2.2776987E+003	8.968199979935889E+000	-2.1110134E-001	-9.268185766857284E-002	1.9565265E-005	-2.1119234E-001	0
2.4020872E+003	9.168199974883464E+000	-2.1306729E-001	-8.870089699856343E-002	1.8899260E-005	-2.1319236E-001	0
2.5163252E+003	9.368199969831039E+000	-2.1502940E-001	-8.545374056818522E-002	1.8375067E-005	-2.1519236E-001	0
2.6293127E+003	9.568199964778614E+000	-2.1703100E-001	-8.254286056582982E-002	1.7914359E-005	-2.1719235E-001	0
2.7320747E+003	9.768199959726189E+000	-2.1903427E-001	-8.017140668299474E-002	1.7560285E-005	-2.1919236E-001	0
2.8328301E+003	9.968199954673764E+000	-2.2104688E-001	-7.803040743349321E-002	1.7248378E-005	-2.2119237E-001	0
2.9298347E+003	1.016819994962134E+001	-2.2308262E-001	-7.614170956476074E-002	1.6985892E-005	-2.2319235E-001	0
3.0196150E+003	1.036819994456891E+001	-2.2505918E-001	-7.453241133259902E-002	1.6774204E-005	-2.2519235E-001	0
3.1142925E+003	1.056819993951649E+001	-2.2700813E-001	-7.289236131844329E-002	1.6547159E-005	-2.2719237E-001	0
3.1986047E+003	1.076819993446406E+001	-2.2902033E-001	-7.160007307050398E-002	1.6397873E-005	-2.2919233E-001	0
3.2865920E+003	1.096819992941164E+001	-2.3101217E-001	-7.028927543736962E-002	1.6237678E-005	-2.3119237E-001	0
3.3681353E+003	1.116819992435921E+001	-2.3309460E-001	-6.920583367710909E-002	1.6131506E-005	-2.3319237E-001	0
3.4512258E+003	1.136819991930679E+001	-2.3510633E-001	-6.812255747158025E-002	1.6016045E-005	-2.3519236E-001	0
3.5327051E+003	1.156819991425436E+001	-2.3701626E-001	-6.709200212343380E-002	1.5901895E-005	-2.3719236E-001	0
3.6107256E+003	1.176819990920194E+001	-2.3902635E-001	-6.619898075144925E-002	1.5823302E-005	-2.3919237E-001	0
3.6944143E+003	1.196819990414951E+001	-2.4108350E-001	-6.525621646455559E-002	1.5732197E-005	-2.4119237E-001	0
3.7667864E+003	1.216819989909709E+001	-2.4302907E-001	-6.451894371250796E-002	1.5679980E-005	-2.4319234E-001	0
3.8465444E+003	1.236819989404466E+001	-2.4501984E-001	-6.369868835408954E-002	1.5607442E-005	-2.4519235E-001	0
3.9231279E+003	1.256819988899224E+001	-2.4708191E-001	-6.298084461495557E-002	1.5561427E-005	-2.4719234E-001	0
3.9954556E+003	1.276819988393981E+001	-2.4904592E-001	-6.233229797677703E-002	1.5523605E-005	-2.4919234E-001	0
4.0730710E+003	1.296819987888739E+001	-2.5102311E-001	-6.162993745168754E-002	1.5470539E-005	-2.5119236E-001	0
