EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/18/2026 18:52:29.248
Technique started on : 02/18/2026 18:52:32.086
Loaded Setting File :  NONE
Saved on :
	File : Ni_2_18_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-2.1440600E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.5471874E-001	0.000000000000000E+000	0.0000000E+000	-1.9994888E-001	0
4.6942429E+002	7.998200004440150E+000	-2.0119992E-001	4.286099445819853E-001	-8.6236287E-005	-2.0144866E-001	0
1.7880624E+003	8.108200001661316E+000	-2.0237567E-001	1.131815475991416E-001	-2.2905191E-005	-2.0254871E-001	0
4.2821748E+003	8.328199996103649E+000	-2.0453858E-001	4.776511896810365E-002	-9.7698094E-006	-2.0474869E-001	0
6.2160586E+003	8.548199990545982E+000	-2.0675559E-001	3.326152646945816E-002	-6.8770069E-006	-2.0694873E-001	0
7.8498853E+003	8.748199985493557E+000	-2.0878497E-001	2.659719953653472E-002	-5.5530954E-006	-2.0894872E-001	0
9.4608418E+003	8.948199980441132E+000	-2.1078080E-001	2.227928479520983E-002	-4.6960454E-006	-2.1094871E-001	0
1.1054692E+004	9.148199975388707E+000	-2.1277300E-001	1.924730215235898E-002	-4.0953059E-006	-2.1294872E-001	0
1.2669567E+004	9.348199970336282E+000	-2.1476588E-001	1.695131909132822E-002	-3.6405650E-006	-2.1494868E-001	0
1.4307200E+004	9.548199965283857E+000	-2.1677911E-001	1.515174981129042E-002	-3.2845828E-006	-2.1694872E-001	0
1.5999361E+004	9.748199960231432E+000	-2.1880889E-001	1.367610169927291E-002	-2.9924527E-006	-2.1894872E-001	0
1.7777619E+004	9.948199955179007E+000	-2.2079580E-001	1.241987495272119E-002	-2.7422561E-006	-2.2094868E-001	0
1.9630826E+004	1.014819995012658E+001	-2.2278507E-001	1.134873667589072E-002	-2.5283291E-006	-2.2294872E-001	0
2.1529152E+004	1.034819994507416E+001	-2.2479957E-001	1.044163591444366E-002	-2.3472753E-006	-2.2494872E-001	0
2.3455334E+004	1.054819994002173E+001	-2.2677992E-001	9.668586677261864E-003	-2.1926414E-006	-2.2694872E-001	0
2.5532189E+004	1.074819993496931E+001	-2.2879973E-001	8.961226483078372E-003	-2.0503262E-006	-2.2894870E-001	0
2.7685094E+004	1.094819992991688E+001	-2.3074314E-001	8.334562199849167E-003	-1.9231431E-006	-2.3094873E-001	0
3.0093244E+004	1.114819992486446E+001	-2.3283955E-001	7.737269976095543E-003	-1.8015425E-006	-2.3294869E-001	0
3.2388189E+004	1.134819991981203E+001	-2.3476195E-001	7.248381429268438E-003	-1.7016442E-006	-2.3494869E-001	0
3.4883465E+004	1.154819991475961E+001	-2.3681213E-001	6.788664067741118E-003	-1.6076380E-006	-2.3694873E-001	0
3.7596340E+004	1.174819990970718E+001	-2.3881070E-001	6.351966999155481E-003	-1.5169177E-006	-2.3894869E-001	0
4.0326930E+004	1.194819990465476E+001	-2.4082479E-001	5.971810506883002E-003	-1.4381600E-006	-2.4094871E-001	0
4.3376676E+004	1.214819989960233E+001	-2.4285308E-001	5.598701615354557E-003	-1.3596620E-006	-2.4294871E-001	0
4.6581270E+004	1.234819989454991E+001	-2.4480100E-001	5.255352627479906E-003	-1.2865156E-006	-2.4494870E-001	0
4.9922000E+004	1.254819988949748E+001	-2.4682122E-001	4.944137370792259E-003	-1.2203180E-006	-2.4694870E-001	0
5.3507184E+004	1.274819988444506E+001	-2.4884821E-001	4.650744166043677E-003	-1.1573294E-006	-2.4894871E-001	0
5.7304754E+004	1.294819987939263E+001	-2.5084499E-001	4.377385127787635E-003	-1.0980451E-006	-2.5094867E-001	0
6.1549129E+004	1.314819987434021E+001	-2.5284719E-001	4.108054715653800E-003	-1.0387101E-006	-2.5294870E-001	0
6.5828984E+004	1.334819986928778E+001	-2.5486043E-001	3.871553664530208E-003	-9.8670580E-007	-2.5494871E-001	0
7.0740547E+004	1.354819986423536E+001	-2.5681341E-001	3.630356668191594E-003	-9.3232427E-007	-2.5694871E-001	0
7.4499148E+004	1.374819985918293E+001	-2.5881773E-001	3.474103262642182E-003	-8.9915955E-007	-2.5894871E-001	0
7.9677945E+004	1.394819985413051E+001	-2.6079002E-001	3.273051550369069E-003	-8.5357919E-007	-2.6094872E-001	0
8.5458289E+004	1.414819984907808E+001	-2.6279709E-001	3.075150448645869E-003	-8.0814056E-007	-2.6294869E-001	0
9.2054961E+004	1.434819984402566E+001	-2.6483580E-001	2.876931318098601E-003	-7.6191441E-007	-2.6494873E-001	0
9.8760359E+004	1.454819983897323E+001	-2.6682782E-001	2.701770469678372E-003	-7.2090751E-007	-2.6694870E-001	0
1.0540481E+005	1.474819983392081E+001	-2.6881072E-001	2.550269868210872E-003	-6.8553987E-007	-2.6894873E-001	0
1.1327635E+005	1.494819982886838E+001	-2.7082521E-001	2.390836200157911E-003	-6.4749872E-007	-2.7094871E-001	0
1.2075108E+005	1.514819982381596E+001	-2.7282846E-001	2.259428795253930E-003	-6.1643647E-007	-2.7294871E-001	0
1.2989459E+005	1.534819981876353E+001	-2.7476153E-001	2.115265399221827E-003	-5.8119355E-007	-2.7494869E-001	0
