EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/23/2026 18:16:25.905
Technique started on : 02/23/2026 18:16:28.587
Loaded Setting File :  NONE
Saved on :
	File : Ni_magnet_2_23_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni_mag
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.9413918E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-3.4424403E-001	0.000000000000000E+000	0.0000000E+000	-1.9985040E-001	0
6.9323322E+002	7.822199997535790E+000	-2.0099483E-001	2.899382668169768E-001	-5.8276095E-005	-2.0115018E-001	0
2.0769758E+003	7.942199994504335E+000	-2.0213585E-001	9.732219205969606E-002	-1.9672303E-005	-2.0235023E-001	0
4.7803779E+003	8.172199988694047E+000	-2.0444648E-001	4.276785073855571E-002	-8.7437365E-006	-2.0465022E-001	0
7.1066885E+003	8.392199983136379E+000	-2.0664905E-001	2.907810670739708E-002	-6.0089633E-006	-2.0685023E-001	0
9.1521895E+003	8.592199978083954E+000	-2.0867549E-001	2.280060854521870E-002	-4.7579283E-006	-2.0885022E-001	0
1.1197033E+004	8.792199973031529E+000	-2.1066752E-001	1.881458463971958E-002	-3.9636220E-006	-2.1085022E-001	0
1.3269188E+004	8.992199967979104E+000	-2.1265236E-001	1.602602559455950E-002	-3.4079721E-006	-2.1285023E-001	0
1.5391097E+004	9.192199962926679E+000	-2.1466774E-001	1.394752742323491E-002	-2.9940841E-006	-2.1485022E-001	0
1.7534480E+004	9.392199957874254E+000	-2.1666256E-001	1.235637206671586E-002	-2.6771631E-006	-2.1685022E-001	0
1.9811979E+004	9.592199952821829E+000	-2.1866094E-001	1.103680419357858E-002	-2.4133180E-006	-2.1885023E-001	0
2.2136629E+004	9.792199947769404E+000	-2.2065721E-001	9.967968008882777E-003	-2.1995040E-006	-2.2085023E-001	0
2.4571682E+004	9.992199942716979E+000	-2.2266859E-001	9.062000714129492E-003	-2.0178229E-006	-2.2285022E-001	0
