EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/17/2026 15:43:54.172
Technique started on : 02/17/2026 15:43:56.855
Loaded Setting File :  NONE
Saved on :
	File : Pd40_2-17_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.6545036E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-1.8772895E-002	0.000000000000000E+000	0.0000000E+000	-1.9982107E-001	0
1.6897994E+004	7.883199996067560E+000	-2.0147517E-001	-1.192302325056518E-002	2.4021931E-006	-2.0172085E-001	0
1.9806569E+003	8.003199993036105E+000	-2.0268884E-001	-1.023341553133668E-001	2.0741991E-005	-2.0292091E-001	0
2.0636514E+003	8.213199987731059E+000	-2.0477399E-001	-9.922897104435741E-002	2.0319512E-005	-2.0502083E-001	0
2.2603201E+003	8.413199982678634E+000	-2.0682514E-001	-9.150258621122787E-002	1.8925035E-005	-2.0702073E-001	0
2.4285923E+003	8.613199977626209E+000	-2.0883189E-001	-8.598886223197355E-002	1.7957216E-005	-2.0902063E-001	0
2.5777700E+003	8.813199972573784E+000	-2.1080855E-001	-8.177942127705273E-002	1.7239801E-005	-2.1102050E-001	0
2.7104333E+003	9.013199967521359E+000	-2.1284078E-001	-7.852647648416777E-002	1.6713637E-005	-2.1302037E-001	0
2.8311040E+003	9.213199962468934E+000	-2.1481191E-001	-7.587566722370243E-002	1.6298996E-005	-2.1502025E-001	0
2.9417778E+003	9.413199957416509E+000	-2.1682721E-001	-7.370618473877810E-002	1.5981506E-005	-2.1702015E-001	0
3.0425437E+003	9.613199952364084E+000	-2.1879748E-001	-7.191268164852471E-002	1.5734313E-005	-2.1902005E-001	0
3.1375781E+003	9.813199947311659E+000	-2.2081527E-001	-7.037761735639037E-002	1.5540452E-005	-2.2101992E-001	0
3.2352996E+003	1.001319994225923E+001	-2.2280850E-001	-6.886796680777488E-002	1.5344369E-005	-2.2301979E-001	0
3.3206743E+003	1.021319993720681E+001	-2.2475287E-001	-6.768290057848048E-002	1.5211926E-005	-2.2501969E-001	0
3.4079919E+003	1.041319993215438E+001	-2.2682224E-001	-6.655597833118299E-002	1.5096376E-005	-2.2701958E-001	0
3.4914839E+003	1.061319992710196E+001	-2.2882390E-001	-6.553772030938876E-002	1.4996597E-005	-2.2901948E-001	0
3.5710737E+003	1.081319992204953E+001	-2.3080163E-001	-6.463087504769760E-002	1.4916911E-005	-2.3101938E-001	0
3.6472620E+003	1.101319991699711E+001	-2.3283364E-001	-6.383792402290339E-002	1.4863616E-005	-2.3301925E-001	0
3.7271506E+003	1.121309991194721E+001	-2.3484573E-001	-6.300945598278071E-002	1.4797502E-005	-2.3501870E-001	0
3.8028928E+003	1.141299990689731E+001	-2.3682833E-001	-6.227583580707385E-002	1.4748682E-005	-2.3701900E-001	0
