EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/06/2026 12:38:34.377
Technique started on : 02/06/2026 12:38:37.059
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Pt_Pd_Ni_40_Co_01_02_LSV_C01.mpr
Saved on :
	File : Pt20Pd20Ni40Co20_polished_2-6_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt20Pd20Ni40Co20
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.7000721E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-5.4401051E-002	0.000000000000000E+000	0.0000000E+000	-1.9994926E-001	0
1.2639169E+003	7.872199996272684E+000	-2.0163235E-001	1.595297613739967E-001	-3.2166361E-005	-2.0179914E-001	0
2.2799170E+004	7.927199994883267E+000	-2.0215593E-001	-8.866811463054541E-003	1.7924785E-006	-2.0234922E-001	0
2.6927729E+003	8.042199991978123E+000	-2.0333022E-001	-7.550960684605890E-002	1.5353386E-005	-2.0349918E-001	0
2.5350925E+003	8.157199989072979E+000	-2.0447806E-001	-8.065901080111892E-002	1.6492997E-005	-2.0464921E-001	0
2.5360659E+003	8.257199986546766E+000	-2.0550406E-001	-8.103261794894934E-002	1.6652531E-005	-2.0564918E-001	0
2.5823687E+003	8.357199984020554E+000	-2.0649315E-001	-7.996269107658271E-002	1.6511749E-005	-2.0664917E-001	0
2.6355149E+003	8.457199981494341E+000	-2.0749708E-001	-7.873113530136117E-002	1.6336480E-005	-2.0764913E-001	0
2.7012905E+003	8.557199978968129E+000	-2.0849611E-001	-7.718388974252721E-002	1.6092541E-005	-2.0864911E-001	0
2.7678079E+003	8.657199976441916E+000	-2.0951511E-001	-7.569713148943809E-002	1.5859692E-005	-2.0964907E-001	0
2.8334082E+003	8.757199973915704E+000	-2.1047848E-001	-7.428455849488524E-002	1.5635302E-005	-2.1064904E-001	0
2.8993567E+003	8.857199971389491E+000	-2.1155795E-001	-7.296720215257407E-002	1.5436792E-005	-2.1164903E-001	0
2.9594370E+003	8.957199968863279E+000	-2.1252835E-001	-7.181377656309401E-002	1.5262463E-005	-2.1264899E-001	0
3.0219622E+003	9.057199966337066E+000	-2.1350805E-001	-7.065212504110407E-002	1.5084798E-005	-2.1364896E-001	0
3.0843542E+003	9.157199963810854E+000	-2.1453936E-001	-6.955730258832066E-002	1.4922780E-005	-2.1464890E-001	0
3.1435066E+003	9.257199961284641E+000	-2.1551678E-001	-6.855935091152765E-002	1.4775690E-005	-2.1564887E-001	0
3.1963503E+003	9.357199958758429E+000	-2.1645807E-001	-6.772038439737160E-002	1.4658624E-005	-2.1664885E-001	0
3.2552712E+003	9.457199956232216E+000	-2.1746393E-001	-6.680362908756021E-002	1.4527380E-005	-2.1764882E-001	0
3.3067148E+003	9.557199953706004E+000	-2.1849096E-001	-6.607493259771569E-002	1.4436775E-005	-2.1864878E-001	0
3.3650012E+003	9.657199951179791E+000	-2.1950291E-001	-6.523115334480478E-002	1.4318428E-005	-2.1964876E-001	0
3.4185293E+003	9.757199948653579E+000	-2.2049367E-001	-6.449957024650965E-002	1.4221747E-005	-2.2064874E-001	0
3.4665588E+003	9.857199946127366E+000	-2.2147597E-001	-6.388928938691563E-002	1.4149942E-005	-2.2164868E-001	0
3.5186392E+003	9.957199943601154E+000	-2.2248052E-001	-6.322913607409991E-002	1.4067251E-005	-2.2264865E-001	0
3.5673035E+003	1.005719994107494E+001	-2.2346728E-001	-6.264319150984543E-002	1.3998703E-005	-2.2364862E-001	0
3.6217017E+003	1.015719993854873E+001	-2.2450469E-001	-6.198873390719573E-002	1.3916761E-005	-2.2464862E-001	0
3.6651062E+003	1.025719993602252E+001	-2.2548720E-001	-6.152269413211842E-002	1.3872580E-005	-2.2564857E-001	0
3.7137793E+003	1.035719993349630E+001	-2.2647308E-001	-6.098183497993492E-002	1.3810743E-005	-2.2664857E-001	0
3.7627305E+003	1.045719993097009E+001	-2.2749272E-001	-6.045947815464059E-002	1.3754091E-005	-2.2764850E-001	0
3.8123948E+003	1.055719992844388E+001	-2.2851487E-001	-5.993997781640925E-002	1.3697176E-005	-2.2864848E-001	0
3.8571389E+003	1.065719992591767E+001	-2.2953597E-001	-5.950938687763285E-002	1.3659544E-005	-2.2964844E-001	0
3.9041665E+003	1.075719992339145E+001	-2.3055306E-001	-5.905307949244720E-002	1.3614868E-005	-2.3064843E-001	0
3.9535154E+003	1.085719992086524E+001	-2.3152091E-001	-5.856077053101250E-002	1.3558043E-005	-2.3164836E-001	0
3.9926565E+003	1.095719991833903E+001	-2.3252714E-001	-5.823870443014623E-002	1.3542080E-005	-2.3264836E-001	0
4.0376521E+003	1.105719991581282E+001	-2.3351093E-001	-5.783334546894947E-002	1.3504718E-005	-2.3364832E-001	0
4.0811509E+003	1.115719991328660E+001	-2.3445882E-001	-5.744919141202612E-002	1.3469469E-005	-2.3464829E-001	0
4.1226328E+003	1.125719991076039E+001	-2.3550031E-001	-5.712376162409782E-002	1.3452664E-005	-2.3564826E-001	0
4.1673970E+003	1.135719990823418E+001	-2.3647067E-001	-5.674301446587933E-002	1.3418058E-005	-2.3664822E-001	0
4.2112808E+003	1.145719990570797E+001	-2.3746549E-001	-5.638795131300078E-002	1.3390192E-005	-2.3764820E-001	0
4.2532251E+003	1.155719990318175E+001	-2.3850463E-001	-5.607618297519235E-002	1.3374430E-005	-2.3864816E-001	0
4.2941470E+003	1.165719990065554E+001	-2.3946695E-001	-5.576589581108204E-002	1.3354089E-005	-2.3964815E-001	0
4.3413408E+003	1.175719989812933E+001	-2.4051820E-001	-5.540182476828742E-002	1.3325147E-005	-2.4064808E-001	0
4.3835610E+003	1.185719989560312E+001	-2.4146421E-001	-5.508403357601299E-002	1.3300823E-005	-2.4164808E-001	0
4.4262412E+003	1.195719989307690E+001	-2.4246004E-001	-5.477786286630537E-002	1.3281443E-005	-2.4264802E-001	0
4.4704917E+003	1.205719989055069E+001	-2.4342681E-001	-5.445191053742604E-002	1.3255055E-005	-2.4364802E-001	0
4.5048203E+003	1.215719988802448E+001	-2.4446680E-001	-5.426782172138744E-002	1.3266681E-005	-2.4464795E-001	0
4.5463247E+003	1.225719988549827E+001	-2.4545650E-001	-5.399009342201888E-002	1.3252219E-005	-2.4564794E-001	0
4.5873081E+003	1.235719988297205E+001	-2.4648100E-001	-5.373107854932235E-002	1.3243690E-005	-2.4664791E-001	0
4.6393984E+003	1.245719988044584E+001	-2.4747558E-001	-5.334216765886915E-002	1.3200884E-005	-2.4764787E-001	0
4.6756743E+003	1.255719987791963E+001	-2.4848568E-001	-5.314435395067221E-002	1.3205611E-005	-2.4864784E-001	0
4.7164146E+003	1.265719987539342E+001	-2.4951145E-001	-5.290278052497221E-002	1.3199849E-005	-2.4964780E-001	0
4.7547822E+003	1.275719987286720E+001	-2.5049710E-001	-5.268319127046417E-002	1.3196986E-005	-2.5064781E-001	0
4.7933066E+003	1.285719987034099E+001	-2.5152501E-001	-5.247421673050634E-002	1.3198578E-005	-2.5164774E-001	0
4.8344985E+003	1.295719986781478E+001	-2.5253105E-001	-5.223521172000037E-002	1.3191013E-005	-2.5264773E-001	0
4.8731543E+003	1.305719986528857E+001	-2.5348806E-001	-5.201724755439807E-002	1.3185751E-005	-2.5364769E-001	0
4.9156294E+003	1.315719986276235E+001	-2.5448966E-001	-5.177153308910368E-002	1.3175320E-005	-2.5464767E-001	0
4.9535903E+003	1.325719986023614E+001	-2.5548217E-001	-5.157514919388895E-002	1.3176531E-005	-2.5564763E-001	0
4.9895200E+003	1.335719985770993E+001	-2.5648054E-001	-5.140384872168036E-002	1.3184087E-005	-2.5664759E-001	0
5.0306387E+003	1.345719985518372E+001	-2.5748804E-001	-5.118396686803961E-002	1.3179259E-005	-2.5764754E-001	0
5.0734663E+003	1.355719985265750E+001	-2.5850579E-001	-5.095249768001602E-002	1.3171516E-005	-2.5864753E-001	0
