EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/17/2026 14:51:42.772
Technique started on : 02/17/2026 14:51:45.453
Loaded Setting File :  NONE
Saved on :
	File : Pt40_2-17_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt40Pd20Ni20Co20
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.5507504E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-2.3040188E-002	0.000000000000000E+000	0.0000000E+000	-1.9996549E-001	0
9.9032041E+003	7.881199995972565E+000	-2.0164044E-001	-2.036113208931062E-002	4.1056278E-006	-2.0186527E-001	0
1.6515789E+003	8.001199992941110E+000	-2.0283593E-001	-1.228133485291387E-001	2.4910960E-005	-2.0306532E-001	0
1.7467380E+003	8.211199987636064E+000	-2.0494324E-001	-1.173291179803440E-001	2.4045810E-005	-2.0516528E-001	0
1.9341569E+003	8.411199982583639E+000	-2.0694089E-001	-1.069928160034412E-001	2.2141188E-005	-2.0716521E-001	0
2.1003577E+003	8.611199977531214E+000	-2.0895490E-001	-9.948538931280926E-002	2.0787960E-005	-2.0916514E-001	0
2.2483564E+003	8.811199972478789E+000	-2.1096231E-001	-9.382956459075033E-002	1.9794501E-005	-2.1116504E-001	0
2.3802891E+003	9.011199967426364E+000	-2.1297523E-001	-8.947452540084844E-002	1.9055859E-005	-2.1316494E-001	0
2.5040789E+003	9.211199962373939E+000	-2.1499199E-001	-8.585671527530891E-002	1.8458506E-005	-2.1516484E-001	0
2.6160930E+003	9.411199957321514E+000	-2.1697544E-001	-8.293872987566403E-002	1.7995668E-005	-2.1716475E-001	0
2.7222188E+003	9.611199952269089E+000	-2.1897498E-001	-8.043988727829327E-002	1.7614322E-005	-2.1916465E-001	0
2.8221758E+003	9.811199947216664E+000	-2.2097050E-001	-7.829792187770912E-002	1.7301531E-005	-2.2116457E-001	0
