EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/10/2026 15:42:01.080
Technique started on : 02/10/2026 15:42:03.920
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCrFe_2-10_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75o18.75Cr25
Initial state : 
Electrolyte : KOH (1 M)
Comments : After polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.840400134882657E+000	-1.6005909E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.840200008577085E+000	-5.8885586E-002	0.000000000000000E+000	0.0000000E+000	-1.9998248E-001	0
1.9125754E+003	8.040200003524660E+000	-2.0179011E-001	1.055070054158569E-001	-2.1290271E-005	-2.0188226E-001	0
2.8973098E+003	8.160200000493205E+000	-2.0292524E-001	-7.003918847289503E-002	1.4212719E-005	-2.0308231E-001	0
2.1712937E+003	8.370199995188159E+000	-2.0501652E-001	-9.442137319926192E-002	1.9357942E-005	-2.0518230E-001	0
2.1870769E+003	8.570199990135734E+000	-2.0706479E-001	-9.467649942975642E-002	1.9604169E-005	-2.0718230E-001	0
2.2534065E+003	8.770199985083309E+000	-2.0906720E-001	-9.277828421302203E-002	1.9396895E-005	-2.0918231E-001	0
2.3283748E+003	8.970199980030884E+000	-2.1104926E-001	-9.064230622297131E-002	1.9129991E-005	-2.1118231E-001	0
2.4029509E+003	9.170199974978459E+000	-2.1303745E-001	-8.865659516948843E-002	1.8887175E-005	-2.1318230E-001	0
2.4787053E+003	9.370199969926034E+000	-2.1509060E-001	-8.677538560097309E-002	1.8664570E-005	-2.1518230E-001	0
2.5509612E+003	9.570199964873609E+000	-2.1706416E-001	-8.509112304539057E-002	1.8470233E-005	-2.1718234E-001	0
2.6197393E+003	9.770199959821184E+000	-2.1903583E-001	-8.360978742467973E-002	1.8313540E-005	-2.1918230E-001	0
2.6869309E+003	9.970199954768759E+000	-2.2111419E-001	-8.229247250651217E-002	1.8196033E-005	-2.2118232E-001	0
2.7539216E+003	1.017019994971633E+001	-2.2306953E-001	-8.100068504983349E-002	1.8068786E-005	-2.2318232E-001	0
2.8164526E+003	1.037019994466391E+001	-2.2500531E-001	-7.988961121698818E-002	1.7975586E-005	-2.2518231E-001	0
2.8787900E+003	1.057019993961148E+001	-2.2709157E-001	-7.888437820600587E-002	1.7913977E-005	-2.2718231E-001	0
2.9419373E+003	1.077019993455906E+001	-2.2905070E-001	-7.785709965931849E-002	1.7833223E-005	-2.2918232E-001	0
3.0025310E+003	1.097019992950663E+001	-2.3101512E-001	-7.694012563001940E-002	1.7774331E-005	-2.3118231E-001	0
3.0593142E+003	1.117019992445421E+001	-2.3302031E-001	-7.616749591333460E-002	1.7748573E-005	-2.3318231E-001	0
3.1203872E+003	1.137019991940178E+001	-2.3504607E-001	-7.532593445132285E-002	1.7705066E-005	-2.3518233E-001	0
3.1807488E+003	1.157019991434936E+001	-2.3704490E-001	-7.452487083080173E-002	1.7665741E-005	-2.3718230E-001	0
3.2383188E+003	1.177019990929693E+001	-2.3909293E-001	-7.383242214854605E-002	1.7652810E-005	-2.3918231E-001	0
3.2939087E+003	1.197019990424451E+001	-2.4106523E-001	-7.318515906082923E-002	1.7642398E-005	-2.4118233E-001	0
3.3505906E+003	1.217019989919208E+001	-2.4309653E-001	-7.255333615942108E-002	1.7637465E-005	-2.4318229E-001	0
3.4095332E+003	1.237019989413966E+001	-2.4510975E-001	-7.188953393267761E-002	1.7620825E-005	-2.4518232E-001	0
3.4660095E+003	1.257019988908723E+001	-2.4706678E-001	-7.128277389636717E-002	1.7611606E-005	-2.4718232E-001	0
3.5190278E+003	1.277019988403481E+001	-2.4905115E-001	-7.077271679876707E-002	1.7626027E-005	-2.4918231E-001	0
3.5777715E+003	1.297019987898238E+001	-2.5107118E-001	-7.017529751871031E-002	1.7618995E-005	-2.5118232E-001	0
3.6319048E+003	1.317019987392996E+001	-2.5307083E-001	-6.967991702110765E-002	1.7633954E-005	-2.5318229E-001	0
3.6855369E+003	1.337019986887753E+001	-2.5507390E-001	-6.920942841752387E-002	1.7653520E-005	-2.5518230E-001	0
