EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 16:41:32.005
Technique started on : 02/19/2026 16:41:34.843
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCoNi_yellowtest_2-19_01_ZIR_C01.mpr
Saved on :
	File : PtPdCoNiCrFe_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNiCrFe
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6021371E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-8.4784359E-002	0.000000000000000E+000	0.0000000E+000	-1.9994101E-001	0
7.4744080E+002	8.038200003429665E+000	-2.0163125E-001	2.697621570527553E-001	-5.4392480E-005	-2.0184079E-001	0
1.0717745E+004	8.158200000398210E+000	-2.0284949E-001	1.892650894929372E-002	-3.8392327E-006	-2.0304085E-001	0
6.9925615E+003	8.388199994587922E+000	-2.0516315E-001	-2.934019943279181E-002	6.0195280E-006	-2.0534083E-001	0
5.4946533E+003	8.608199989030254E+000	-2.0739624E-001	-3.774509874363646E-002	7.8281919E-006	-2.0754084E-001	0
5.1258037E+003	8.808199983977829E+000	-2.0942518E-001	-4.085704206268326E-002	8.5564934E-006	-2.0954083E-001	0
4.9711616E+003	9.008199978925404E+000	-2.1141359E-001	-4.252800671489329E-002	8.9909990E-006	-2.1154083E-001	0
4.8940303E+003	9.208199973872979E+000	-2.1329422E-001	-4.358253027011516E-002	9.2959017E-006	-2.1354087E-001	0
4.8664575E+003	9.408199968820554E+000	-2.1526693E-001	-4.423483217883728E-002	9.5222968E-006	-2.1554083E-001	0
4.8643599E+003	9.608199963768129E+000	-2.1737421E-001	-4.468711660573010E-002	9.7138263E-006	-2.1754085E-001	0
4.8727988E+003	9.808199958715704E+000	-2.1940252E-001	-4.502597678101083E-002	9.8788132E-006	-2.1954085E-001	0
4.8905977E+003	1.000819995366328E+001	-2.2134978E-001	-4.526027036691405E-002	1.0018351E-005	-2.2154082E-001	0
4.9107861E+003	1.020819994861085E+001	-2.2330339E-001	-4.547202386951410E-002	1.0154057E-005	-2.2354084E-001	0
4.9383701E+003	1.040819994355843E+001	-2.2537182E-001	-4.563688446267122E-002	1.0285268E-005	-2.2554085E-001	0
4.9728335E+003	1.060819993850600E+001	-2.2739805E-001	-4.572806539079452E-002	1.0398473E-005	-2.2754084E-001	0
5.0046040E+003	1.080819993345358E+001	-2.2928120E-001	-4.581405462717236E-002	1.0504302E-005	-2.2954084E-001	0
5.0361987E+003	1.100819992840115E+001	-2.3132776E-001	-4.593300895291313E-002	1.0625580E-005	-2.3154086E-001	0
5.0707290E+003	1.120819992334873E+001	-2.3334123E-001	-4.601729377025049E-002	1.0737732E-005	-2.3354083E-001	0
5.1100601E+003	1.140819991829630E+001	-2.3541729E-001	-4.606937966784642E-002	1.0845529E-005	-2.3554084E-001	0
5.1443882E+003	1.160819991324388E+001	-2.3737496E-001	-4.614250588097768E-002	1.0953076E-005	-2.3754086E-001	0
5.1856836E+003	1.180819990819145E+001	-2.3939306E-001	-4.616422185229761E-002	1.1051394E-005	-2.3954082E-001	0
5.2177524E+003	1.200819990313903E+001	-2.4132867E-001	-4.625146033067068E-002	1.1161804E-005	-2.4154085E-001	0
5.2592026E+003	1.220819989808660E+001	-2.4331304E-001	-4.626424552697478E-002	1.1256694E-005	-2.4354085E-001	0
5.2984097E+003	1.240819989303418E+001	-2.4543326E-001	-4.632206003117201E-002	1.1368974E-005	-2.4554084E-001	0
5.3378643E+003	1.260819988798175E+001	-2.4744353E-001	-4.635627819024568E-002	1.1470561E-005	-2.4754085E-001	0
5.3750078E+003	1.280819988292933E+001	-2.4939314E-001	-4.639865635987195E-002	1.1571507E-005	-2.4954082E-001	0
5.4132476E+003	1.300819987787690E+001	-2.5140932E-001	-4.644334550588991E-002	1.1676290E-005	-2.5154087E-001	0
5.4524707E+003	1.320819987282448E+001	-2.5343490E-001	-4.648074508980410E-002	1.1779843E-005	-2.5354084E-001	0
5.4941621E+003	1.340819986777205E+001	-2.5536835E-001	-4.647994529621702E-002	1.1869507E-005	-2.5554082E-001	0
5.5289839E+003	1.360819986271963E+001	-2.5736764E-001	-4.654881205935613E-002	1.1980158E-005	-2.5754082E-001	0
5.5721250E+003	1.380819985766720E+001	-2.5937533E-001	-4.654872710098540E-002	1.2073591E-005	-2.5954083E-001	0
5.6096074E+003	1.400819985261478E+001	-2.6134616E-001	-4.658903025857319E-002	1.2175864E-005	-2.6154083E-001	0
5.6501006E+003	1.420819984756236E+001	-2.6337066E-001	-4.661344832612968E-002	1.2276615E-005	-2.6354083E-001	0
5.6884487E+003	1.440819984250993E+001	-2.6535633E-001	-4.664827570321284E-002	1.2378416E-005	-2.6554084E-001	0
5.7274360E+003	1.460819983745751E+001	-2.6731294E-001	-4.667235602009118E-002	1.2476125E-005	-2.6754081E-001	0
5.7674370E+003	1.480819983240508E+001	-2.6927885E-001	-4.668951801514319E-002	1.2572500E-005	-2.6954085E-001	0
5.8020459E+003	1.500819982735266E+001	-2.7128273E-001	-4.675639060942582E-002	1.2684201E-005	-2.7154085E-001	0
5.8450991E+003	1.520819982230023E+001	-2.7334440E-001	-4.676471702182189E-002	1.2782873E-005	-2.7354085E-001	0
5.8859834E+003	1.540819981724781E+001	-2.7537400E-001	-4.678470497742904E-002	1.2883291E-005	-2.7554083E-001	0
5.9263477E+003	1.560819981219538E+001	-2.7732104E-001	-4.679459662207283E-002	1.2977126E-005	-2.7754083E-001	0
5.9651523E+003	1.580819980714296E+001	-2.7928105E-001	-4.681876080734715E-002	1.3075593E-005	-2.7954084E-001	0
6.0125767E+003	1.600819980209053E+001	-2.8142816E-001	-4.680658203033339E-002	1.3172690E-005	-2.8154084E-001	0
6.0467026E+003	1.620819979703811E+001	-2.8333893E-001	-4.685841851272200E-002	1.3276815E-005	-2.8354084E-001	0
6.0860107E+003	1.640819979198568E+001	-2.8530189E-001	-4.687830799627737E-002	1.3374470E-005	-2.8554085E-001	0
6.1271709E+003	1.660819978693326E+001	-2.8727379E-001	-4.688522670562684E-002	1.3468897E-005	-2.8754082E-001	0
6.1693115E+003	1.680819978188083E+001	-2.8928787E-001	-4.689143467963808E-002	1.3565123E-005	-2.8954086E-001	0
6.2140913E+003	1.700819977682841E+001	-2.9134035E-001	-4.688382033224903E-002	1.3659149E-005	-2.9154083E-001	0
6.2523896E+003	1.720819977177598E+001	-2.9344043E-001	-4.693252508514795E-002	1.3771901E-005	-2.9354084E-001	0
6.2923467E+003	1.740819976672356E+001	-2.9529941E-001	-4.692993498995457E-002	1.3858382E-005	-2.9554084E-001	0
6.3352275E+003	1.760819976167113E+001	-2.9736507E-001	-4.693834078941661E-002	1.3957823E-005	-2.9754084E-001	0
6.3770127E+003	1.780819975661871E+001	-2.9941377E-001	-4.695204166139011E-002	1.4058088E-005	-2.9954085E-001	0
6.4179063E+003	1.800819975156628E+001	-3.0136633E-001	-4.695711098268185E-002	1.4151292E-005	-3.0154085E-001	0
6.4581831E+003	1.820819974651386E+001	-3.0334413E-001	-4.697050764056476E-002	1.4248228E-005	-3.0354086E-001	0
6.5019272E+003	1.840819974146143E+001	-3.0527100E-001	-4.695084869999921E-002	1.4332732E-005	-3.0554083E-001	0
6.5454971E+003	1.860819973640901E+001	-3.0736849E-001	-4.695876843777513E-002	1.4433645E-005	-3.0754086E-001	0
6.5876523E+003	1.880819973135658E+001	-3.0940551E-001	-4.696749296945324E-002	1.4532001E-005	-3.0954084E-001	0
6.6247725E+003	1.900819972630416E+001	-3.1137231E-001	-4.700120907438428E-002	1.4634875E-005	-3.1154081E-001	0
6.6690513E+003	1.920819972125173E+001	-3.1335628E-001	-4.698663440721995E-002	1.4723557E-005	-3.1354085E-001	0
6.7148608E+003	1.940819971619931E+001	-3.1539947E-001	-4.697036515058683E-002	1.4814428E-005	-3.1554085E-001	0
6.7543979E+003	1.960819971114688E+001	-3.1740677E-001	-4.699260903688152E-002	1.4915772E-005	-3.1754082E-001	0
6.8033774E+003	1.980819970609446E+001	-3.1935978E-001	-4.694135731472593E-002	1.4991181E-005	-3.1954083E-001	0
6.8419102E+003	2.000819970104203E+001	-3.2132354E-001	-4.696401027786234E-002	1.5090643E-005	-3.2154083E-001	0
6.8862192E+003	2.020819969598961E+001	-3.2339263E-001	-4.696229142569808E-002	1.5187259E-005	-3.2354084E-001	0
6.9307910E+003	2.040819969093718E+001	-3.2536408E-001	-4.694472610408772E-002	1.5274129E-005	-3.2554087E-001	0
6.9713745E+003	2.060819968588476E+001	-3.2736224E-001	-4.695806187834134E-002	1.5372296E-005	-3.2754084E-001	0
7.0123574E+003	2.080819968083233E+001	-3.2933727E-001	-4.696527003947359E-002	1.5467414E-005	-3.2954085E-001	0
7.0594087E+003	2.100819967577991E+001	-3.3133927E-001	-4.693583958854086E-002	1.5551686E-005	-3.3154082E-001	0
7.1028140E+003	2.120819967072748E+001	-3.3338374E-001	-4.693685442630560E-002	1.5647984E-005	-3.3354083E-001	0
7.1463428E+003	2.140819966567506E+001	-3.3538234E-001	-4.693062616382304E-002	1.5739703E-005	-3.3554083E-001	0
7.1901567E+003	2.160819966062263E+001	-3.3733469E-001	-4.691618014509263E-002	1.5826456E-005	-3.3754084E-001	0
7.2338662E+003	2.180819965557021E+001	-3.3941182E-001	-4.691983764049285E-002	1.5925149E-005	-3.3954084E-001	0
7.2779331E+003	2.200819965051778E+001	-3.4132451E-001	-4.689854957625861E-002	1.6007625E-005	-3.4154084E-001	0
7.3228350E+003	2.220819964546536E+001	-3.4336999E-001	-4.689030946694861E-002	1.6100725E-005	-3.4354085E-001	0
7.3675225E+003	2.240819964041293E+001	-3.4542507E-001	-4.688483535110421E-002	1.6195198E-005	-3.4554085E-001	0
7.4095303E+003	2.260819963536051E+001	-3.4741455E-001	-4.688752855674744E-002	1.6289410E-005	-3.4754086E-001	0
7.4551538E+003	2.280819963030808E+001	-3.4941044E-001	-4.686830799959107E-002	1.6376276E-005	-3.4954089E-001	0
7.4972100E+003	2.300819962525566E+001	-3.5136825E-001	-4.686653553407905E-002	1.6467413E-005	-3.5154086E-001	0
7.5450430E+003	2.320819962020323E+001	-3.5339490E-001	-4.683802386771152E-002	1.6552318E-005	-3.5354084E-001	0
7.5919990E+003	2.340819961515081E+001	-3.5542127E-001	-4.681524096290168E-002	1.6639133E-005	-3.5554087E-001	0
7.6318359E+003	2.360819961009838E+001	-3.5736009E-001	-4.682491849442683E-002	1.6733356E-005	-3.5754085E-001	0
7.6741934E+003	2.380819960504596E+001	-3.5931963E-001	-4.682181114615974E-002	1.6823995E-005	-3.5954085E-001	0
7.7235596E+003	2.400819959999353E+001	-3.6136684E-001	-4.678760323084274E-002	1.6907488E-005	-3.6154085E-001	0
7.7659575E+003	2.420819959494111E+001	-3.6341637E-001	-4.679607935519051E-002	1.7006461E-005	-3.6354086E-001	0
7.8146079E+003	2.440819958988868E+001	-3.6539587E-001	-4.675805710399694E-002	1.7085202E-005	-3.6554083E-001	0
7.8577563E+003	2.460819958483626E+001	-3.6736286E-001	-4.675162155624624E-002	1.7174809E-005	-3.6754087E-001	0
7.9040547E+003	2.480819957978383E+001	-3.6934873E-001	-4.672901935599816E-002	1.7259305E-005	-3.6954084E-001	0
7.9514561E+003	2.500819957473141E+001	-3.7143883E-001	-4.671330997628509E-002	1.7351138E-005	-3.7154081E-001	0
7.9952285E+003	2.520819956967898E+001	-3.7336108E-001	-4.669798801303571E-002	1.7435212E-005	-3.7354085E-001	0
8.0397031E+003	2.540819956462656E+001	-3.7538600E-001	-4.669152640805180E-002	1.7527345E-005	-3.7554082E-001	0
8.0848872E+003	2.560819955957413E+001	-3.7737906E-001	-4.667709561438638E-002	1.7614959E-005	-3.7754086E-001	0
8.1318545E+003	2.580819955452171E+001	-3.7940443E-001	-4.665656947972185E-002	1.7701708E-005	-3.7954083E-001	0
8.1777871E+003	2.600819954946928E+001	-3.8137883E-001	-4.663594370964441E-002	1.7785962E-005	-3.8154083E-001	0
8.2169980E+003	2.620819954441686E+001	-3.8333902E-001	-4.665195352509799E-002	1.7883514E-005	-3.8354087E-001	0
8.2605068E+003	2.640819953936443E+001	-3.8538963E-001	-4.665447785065012E-002	1.7980152E-005	-3.8554084E-001	0
8.3064160E+003	2.660819953431201E+001	-3.8741902E-001	-4.664093419558901E-002	1.8069584E-005	-3.8754088E-001	0
8.3508789E+003	2.680819952925958E+001	-3.8939407E-001	-4.662911223919202E-002	1.8157099E-005	-3.8954085E-001	0
8.3967568E+003	2.700819952420716E+001	-3.9134622E-001	-4.660682737153644E-002	1.8239405E-005	-3.9154088E-001	0
8.4431064E+003	2.720819951915473E+001	-3.9339173E-001	-4.659324390322694E-002	1.8329396E-005	-3.9354086E-001	0
8.4818867E+003	2.740819951410231E+001	-3.9540496E-001	-4.661757335866135E-002	1.8432820E-005	-3.9554089E-001	0
8.5254551E+003	2.760819950904988E+001	-3.9738911E-001	-4.661207308289494E-002	1.8523131E-005	-3.9754087E-001	0
8.5718652E+003	2.780819950399746E+001	-3.9942449E-001	-4.659715036876388E-002	1.8612043E-005	-3.9954084E-001	0
8.6140752E+003	2.800819949894503E+001	-4.0137044E-001	-4.659472385161625E-002	1.8701745E-005	-4.0154088E-001	0
8.6639941E+003	2.820819949389261E+001	-4.0345183E-001	-4.656649518957623E-002	1.8787337E-005	-4.0354082E-001	0
8.7091846E+003	2.840819948884018E+001	-4.0536535E-001	-4.654458046008036E-002	1.8867560E-005	-4.0554088E-001	0
8.7475537E+003	2.860819948378776E+001	-4.0737137E-001	-4.656974832229577E-002	1.8971183E-005	-4.0754089E-001	0
8.7964102E+003	2.880819947873533E+001	-4.0940818E-001	-4.654264259241869E-002	1.9054938E-005	-4.0954089E-001	0
8.8392256E+003	2.900819947368291E+001	-4.1137794E-001	-4.654004181499771E-002	1.9145546E-005	-4.1154084E-001	0
8.8765967E+003	2.920819946863048E+001	-4.1338015E-001	-4.656966567454446E-002	1.9250976E-005	-4.1354087E-001	0
8.9260205E+003	2.940819946357806E+001	-4.1543075E-001	-4.654154119524229E-002	1.9334788E-005	-4.1554090E-001	0
8.9719570E+003	2.960819945852563E+001	-4.1741323E-001	-4.652421348205571E-002	1.9419822E-005	-4.1754088E-001	0
9.0121279E+003	2.980819945347321E+001	-4.1945469E-001	-4.654335785369979E-002	1.9522829E-005	-4.1954085E-001	0
9.0508262E+003	3.000819944842078E+001	-4.2135549E-001	-4.655436653714584E-002	1.9615938E-005	-4.2154089E-001	0
9.0998369E+003	3.020819944336836E+001	-4.2346188E-001	-4.653510907949993E-002	1.9705845E-005	-4.2354083E-001	0
9.1400137E+003	3.040819943831593E+001	-4.2543846E-001	-4.654680995868271E-002	1.9802803E-005	-4.2554086E-001	0
9.1864863E+003	3.060819943326351E+001	-4.2740226E-001	-4.652510926971118E-002	1.9884938E-005	-4.2754087E-001	0
9.2235234E+003	3.080819942821108E+001	-4.2938665E-001	-4.655342688915964E-002	1.9989420E-005	-4.2954087E-001	0
9.2670996E+003	3.100819942315866E+001	-4.3143442E-001	-4.655549812839155E-002	2.0085645E-005	-4.3154085E-001	0
9.3092461E+003	3.120819941810623E+001	-4.3346766E-001	-4.656313208608642E-002	2.0183612E-005	-4.3354088E-001	0
9.3501553E+003	3.140819941305381E+001	-4.3544483E-001	-4.657086773744898E-002	2.0279043E-005	-4.3554085E-001	0
9.3867197E+003	3.160819940800138E+001	-4.3739998E-001	-4.659774724542998E-002	2.0381854E-005	-4.3754086E-001	0
9.4365273E+003	3.180819940294896E+001	-4.3945080E-001	-4.656912218156317E-002	2.0464839E-005	-4.3954086E-001	0
9.4783662E+003	3.200819939789653E+001	-4.4147190E-001	-4.657679145824156E-002	2.0562346E-005	-4.4154090E-001	0
9.5174922E+003	3.220819939284411E+001	-4.4346496E-001	-4.659472992369196E-002	2.0663130E-005	-4.4354087E-001	0
9.5554092E+003	3.240819938779168E+001	-4.4537494E-001	-4.660971847081928E-002	2.0758800E-005	-4.4554088E-001	0
9.6047607E+003	3.260819938273926E+001	-4.4741422E-001	-4.658254787939364E-002	2.0841695E-005	-4.4754088E-001	0
9.6413955E+003	3.280819937768683E+001	-4.4940180E-001	-4.661169509052820E-002	2.0947380E-005	-4.4954088E-001	0
9.6825225E+003	3.300819937263441E+001	-4.5139641E-001	-4.661971374806598E-002	2.1043972E-005	-4.5154086E-001	0
9.7233760E+003	3.320819936758198E+001	-4.5344299E-001	-4.663431510205696E-002	2.1146003E-005	-4.5354083E-001	0
9.7674873E+003	3.340819936252956E+001	-4.5548254E-001	-4.663251787545519E-002	2.1240297E-005	-4.5554093E-001	0
9.8048359E+003	3.360819935747713E+001	-4.5740065E-001	-4.665051534895459E-002	2.1337975E-005	-4.5754090E-001	0
9.8462803E+003	3.380819935242471E+001	-4.5937344E-001	-4.665451738935877E-002	2.1431846E-005	-4.5954084E-001	0
9.8885088E+003	3.400819934737228E+001	-4.6141577E-001	-4.666181501764544E-002	2.1530497E-005	-4.6154088E-001	0
9.9266309E+003	3.420819934231986E+001	-4.6342900E-001	-4.668542952725530E-002	2.1635382E-005	-4.6354088E-001	0
9.9663506E+003	3.440819933726743E+001	-4.6540895E-001	-4.669802954136409E-002	2.1733680E-005	-4.6554083E-001	0
1.0007740E+004	3.460819933221501E+001	-4.6737441E-001	-4.670129173309601E-002	2.1826989E-005	-4.6754086E-001	0
