EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 12:47:43.408
Technique started on : 02/19/2026 12:47:46.246
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_yellowtest_2-19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6255170E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.9645080E-002	0.000000000000000E+000	0.0000000E+000	-1.9990289E-001	0
4.6141089E+003	8.038200003429665E+000	-2.0167789E-001	-4.370895912870765E-002	8.8151310E-006	-2.0180267E-001	0
1.4184030E+003	8.158200000398210E+000	-2.0292209E-001	-1.430637868425373E-001	2.9030803E-005	-2.0300274E-001	0
1.4875035E+003	8.368199995093164E+000	-2.0501854E-001	-1.378272619803773E-001	2.8257144E-005	-2.0510273E-001	0
1.6120513E+003	8.568199990040739E+000	-2.0701587E-001	-1.284176756283624E-001	2.6584497E-005	-2.0710272E-001	0
1.7207740E+003	8.768199984988314E+000	-2.0898585E-001	-1.214487463945433E-001	2.5381070E-005	-2.0910273E-001	0
1.8150555E+003	8.968199979935889E+000	-2.1096598E-001	-1.162311368687353E-001	2.4520816E-005	-2.1110272E-001	0
1.8996660E+003	9.168199974883464E+000	-2.1298604E-001	-1.121176256209001E-001	2.3879489E-005	-2.1310273E-001	0
1.9778673E+003	9.368199969831039E+000	-2.1501330E-001	-1.087096660522546E-001	2.3374023E-005	-2.1510273E-001	0
2.0493049E+003	9.568199964778614E+000	-2.1701486E-001	-1.058968127580555E-001	2.2981183E-005	-2.1710271E-001	0
2.1148838E+003	9.768199959726189E+000	-2.1900648E-001	-1.035548482204274E-001	2.2679184E-005	-2.1910273E-001	0
2.1785679E+003	9.968199954673764E+000	-2.2103035E-001	-1.014567264661934E-001	2.2425016E-005	-2.2110273E-001	0
2.2405691E+003	1.016819994962134E+001	-2.2300646E-001	-9.953117231963027E-002	2.2196095E-005	-2.2310273E-001	0
2.2994187E+003	1.036819994456891E+001	-2.2503965E-001	-9.786805920535269E-002	2.2024193E-005	-2.2510271E-001	0
2.3552322E+003	1.056819993951649E+001	-2.2701174E-001	-9.638613945954466E-002	2.1880785E-005	-2.2710274E-001	0
2.4102637E+003	1.076819993446406E+001	-2.2901288E-001	-9.501569298604973E-002	2.1759817E-005	-2.2910272E-001	0
2.4633857E+003	1.096819992941164E+001	-2.3097885E-001	-9.376479350632350E-002	2.1657685E-005	-2.3110271E-001	0
2.5187566E+003	1.116819992435921E+001	-2.3306064E-001	-9.253003661702430E-002	2.1565111E-005	-2.3310274E-001	0
2.5694868E+003	1.136819991930679E+001	-2.3501933E-001	-9.146547007803196E-002	2.1496153E-005	-2.3510271E-001	0
2.6216399E+003	1.156819991425436E+001	-2.3703960E-001	-9.041653461796573E-002	2.1432299E-005	-2.3710272E-001	0
2.6715703E+003	1.176819990920194E+001	-2.3900086E-001	-8.946081280841356E-002	2.1381211E-005	-2.3910272E-001	0
2.7221804E+003	1.196819990414951E+001	-2.4100329E-001	-8.853318099652663E-002	2.1336788E-005	-2.4110273E-001	0
2.7693511E+003	1.216819989909709E+001	-2.4299808E-001	-8.774549337769177E-002	2.1321986E-005	-2.4310271E-001	0
2.8210825E+003	1.236819989404466E+001	-2.4505334E-001	-8.686500230789318E-002	2.1286558E-005	-2.4510272E-001	0
2.8696521E+003	1.256819988899224E+001	-2.4703054E-001	-8.608379239024258E-002	2.1265327E-005	-2.4710272E-001	0
2.9198457E+003	1.276819988393981E+001	-2.4903359E-001	-8.528997769469480E-002	2.1240068E-005	-2.4910271E-001	0
2.9693093E+003	1.296819987888739E+001	-2.5103325E-001	-8.454264170234715E-002	2.1223013E-005	-2.5110272E-001	0
3.0161357E+003	1.316819987383496E+001	-2.5298965E-001	-8.387873263379164E-002	2.1220450E-005	-2.5310272E-001	0
3.0674958E+003	1.336819986878254E+001	-2.5504956E-001	-8.314585097529059E-002	2.1206313E-005	-2.5510272E-001	0
3.1164570E+003	1.356819986373011E+001	-2.5702718E-001	-8.247415894693177E-002	2.1198101E-005	-2.5710273E-001	0
3.1651548E+003	1.376819985867769E+001	-2.5898570E-001	-8.182402020647633E-002	2.1191250E-005	-2.5910270E-001	0
3.2116550E+003	1.396819985362527E+001	-2.6099107E-001	-8.126372835058251E-002	2.1209107E-005	-2.6110274E-001	0
3.2615376E+003	1.416819984857284E+001	-2.6297906E-001	-8.063039369194824E-002	2.1204105E-005	-2.6310271E-001	0
3.3130105E+003	1.436819984352042E+001	-2.6496476E-001	-7.997703544168289E-002	2.1191096E-005	-2.6510274E-001	0
3.3611074E+003	1.456819983846799E+001	-2.6703489E-001	-7.944848295037210E-002	2.1215517E-005	-2.6710272E-001	0
3.4107434E+003	1.476819983341557E+001	-2.6901776E-001	-7.887364152709112E-002	2.1218410E-005	-2.6910272E-001	0
3.4595923E+003	1.496819982836314E+001	-2.7097034E-001	-7.832435706721164E-002	2.1223577E-005	-2.7110273E-001	0
3.5115710E+003	1.516819982331072E+001	-2.7299523E-001	-7.774162103048177E-002	2.1223092E-005	-2.7310270E-001	0
3.5615825E+003	1.536819981825829E+001	-2.7502358E-001	-7.721948637648181E-002	2.1237180E-005	-2.7510273E-001	0
