EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/12/2026 17:12:12.517
Technique started on : 02/12/2026 17:12:15.356
Loaded Setting File :  NONE
Saved on :
	File : PtPdCo_2_12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCo
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.839400134835159E+000	-1.4737052E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.839200008529588E+000	1.0547187E-002	0.000000000000000E+000	0.0000000E+000	-1.9983271E-001	0
6.2669824E+002	8.039200003477163E+000	-2.0147662E-001	-3.214890378713607E-001	6.4772525E-005	-2.0173249E-001	0
6.5644525E+002	8.159200000445708E+000	-2.0272021E-001	-3.088151154222376E-001	6.2603067E-005	-2.0293255E-001	0
7.8795343E+002	8.369199995140661E+000	-2.0483628E-001	-2.599598850945100E-001	5.3249216E-005	-2.0503253E-001	0
8.7460535E+002	8.569199990088237E+000	-2.0681451E-001	-2.364660999072457E-001	4.8904622E-005	-2.0703255E-001	0
9.4211707E+002	8.769199985035812E+000	-2.0886597E-001	-2.216985317542641E-001	4.6305278E-005	-2.0903255E-001	0
9.9802893E+002	8.969199979983387E+000	-2.1086416E-001	-2.112805999967515E-001	4.4551507E-005	-2.1103252E-001	0
1.0462766E+003	9.169199974930962E+000	-2.1285369E-001	-2.034392105225393E-001	4.3302785E-005	-2.1303254E-001	0
1.0887679E+003	9.369199969878537E+000	-2.1483591E-001	-1.973202027583216E-001	4.2391464E-005	-2.1503255E-001	0
1.1283290E+003	9.569199964826112E+000	-2.1683839E-001	-1.921765573086240E-001	4.1671254E-005	-2.1703254E-001	0
1.1642351E+003	9.769199959773687E+000	-2.1880792E-001	-1.879413462964115E-001	4.1123054E-005	-2.1903254E-001	0
1.1974706E+003	9.969199954721262E+000	-2.2085321E-001	-1.844330957083371E-001	4.0732641E-005	-2.2103256E-001	0
1.2293079E+003	1.016919994966884E+001	-2.2289024E-001	-1.813136048429139E-001	4.0413033E-005	-2.2303253E-001	0
1.2595780E+003	1.036919994461641E+001	-2.2482626E-001	-1.784933143667038E-001	4.0129984E-005	-2.2503254E-001	0
1.2877471E+003	1.056919993956399E+001	-2.2685285E-001	-1.761625867744572E-001	3.9962986E-005	-2.2703251E-001	0
1.3152178E+003	1.076919993451156E+001	-2.2886261E-001	-1.740111972832552E-001	3.9824656E-005	-2.2903241E-001	0
1.3419558E+003	1.096919992945914E+001	-2.3083124E-001	-1.720110582263796E-001	3.9705526E-005	-2.3103228E-001	0
