EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/09/2026 17:42:12.011
Technique started on : 02/09/2026 17:42:14.848
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Pt_40_PdNiCo_01.mps
Saved on :
	File : PtPdNiCoCr25_X_18_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75Co18.75Cr25
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.4355059E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-3.2210361E-002	0.000000000000000E+000	0.0000000E+000	-1.9997539E-001	0
3.1145527E+003	8.037200003382168E+000	-2.0170416E-001	-6.476183937862517E-002	1.3062732E-005	-2.0187517E-001	0
1.6464003E+003	8.157200000350713E+000	-2.0292009E-001	-1.232507704129946E-001	2.5010058E-005	-2.0307523E-001	0
1.8742726E+003	8.367199995045667E+000	-2.0501417E-001	-1.093833270269422E-001	2.2425133E-005	-2.0517521E-001	0
2.1108831E+003	8.567199989993242E+000	-2.0698135E-001	-9.805438804119126E-002	2.0295429E-005	-2.0717523E-001	0
2.3153464E+003	8.767199984940817E+000	-2.0899965E-001	-9.026711683534527E-002	1.8865796E-005	-2.0917523E-001	0
2.4965439E+003	8.967199979888392E+000	-2.1106699E-001	-8.454366966917304E-002	1.7844379E-005	-2.1117520E-001	0
2.6595913E+003	9.167199974835967E+000	-2.1308891E-001	-8.012092294004647E-002	1.7072880E-005	-2.1317522E-001	0
2.8071016E+003	9.367199969783542E+000	-2.1502255E-001	-7.659948784213888E-002	1.6470618E-005	-2.1517523E-001	0
2.9443765E+003	9.567199964731117E+000	-2.1699528E-001	-7.369821016146672E-002	1.5992164E-005	-2.1717522E-001	0
3.0729448E+003	9.767199959678692E+000	-2.1893190E-001	-7.124498322164707E-002	1.5597800E-005	-2.1917522E-001	0
3.1943108E+003	9.967199954626267E+000	-2.2094193E-001	-6.916732589984553E-002	1.5281963E-005	-2.2117524E-001	0
3.3105742E+003	1.016719994957384E+001	-2.2288619E-001	-6.732553883472603E-002	1.5005933E-005	-2.2317521E-001	0
3.4253760E+003	1.036719994452142E+001	-2.2492404E-001	-6.566404484005439E-002	1.4769423E-005	-2.2517522E-001	0
3.5355518E+003	1.056719993946899E+001	-2.2698544E-001	-6.420085348807647E-002	1.4572659E-005	-2.2717524E-001	0
3.6425173E+003	1.076719993441657E+001	-2.2904366E-001	-6.288059784760462E-002	1.4402402E-005	-2.2917520E-001	0
3.7423730E+003	1.096719992936414E+001	-2.3101613E-001	-6.172985049828372E-002	1.4260591E-005	-2.3117523E-001	0
3.8426853E+003	1.116719992431172E+001	-2.3304594E-001	-6.064663745004650E-002	1.4133452E-005	-2.3317523E-001	0
3.9421372E+003	1.136719991925929E+001	-2.3500693E-001	-5.961409322347266E-002	1.4009725E-005	-2.3517522E-001	0
4.0393687E+003	1.156719991420687E+001	-2.3700361E-001	-5.867342863500125E-002	1.3905815E-005	-2.3717523E-001	0
4.1357822E+003	1.176719990915444E+001	-2.3904507E-001	-5.779923984512714E-002	1.3816623E-005	-2.3917523E-001	0
4.2304224E+003	1.196719990410202E+001	-2.4099675E-001	-5.696753984900060E-002	1.3728992E-005	-2.4117523E-001	0
4.3180078E+003	1.216719989904959E+001	-2.4295779E-001	-5.626617470923012E-002	1.3670306E-005	-2.4317521E-001	0
4.4133936E+003	1.236719989399717E+001	-2.4496590E-001	-5.550511073122577E-002	1.3596859E-005	-2.4517524E-001	0
4.5035928E+003	1.256719988894474E+001	-2.4698889E-001	-5.484263688091451E-002	1.3545522E-005	-2.4717520E-001	0
4.5921465E+003	1.276719988389232E+001	-2.4896519E-001	-5.421542827475007E-002	1.3497754E-005	-2.4917521E-001	0
4.6782769E+003	1.296719987883989E+001	-2.5101086E-001	-5.365455479206965E-002	1.3467876E-005	-2.5117522E-001	0
4.7718169E+003	1.316719987378747E+001	-2.5301668E-001	-5.302313287676941E-002	1.3415737E-005	-2.5317520E-001	0
4.8629946E+003	1.336719986873504E+001	-2.5498384E-001	-5.243350023270721E-002	1.3369696E-005	-2.5517523E-001	0
4.9466621E+003	1.356719986368262E+001	-2.5700197E-001	-5.195462568863685E-002	1.3352441E-005	-2.5717521E-001	0
