EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 01/29/2026 17:45:27.294
Technique started on : 01/29/2026 17:45:30.132
Loaded Setting File :  NONE
Saved on :
	File : PtPdNiCoCr_oxidized_IR_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6891105E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	5.9888982E-003	0.000000000000000E+000	0.0000000E+000	-1.9986415E-001	0
9.7658374E+002	8.038200003429665E+000	-2.0170318E-001	-2.065395565330982E-001	4.1659685E-005	-2.0176393E-001	0
9.4330963E+002	8.158200000398210E+000	-2.0294251E-001	-2.151388037227551E-001	4.3660806E-005	-2.0296399E-001	0
1.1980165E+003	8.368199995093164E+000	-2.0503344E-001	-1.711440877492652E-001	3.5090259E-005	-2.0506398E-001	0
1.3848978E+003	8.568199990040739E+000	-2.0707510E-001	-1.495237378699203E-001	3.0962645E-005	-2.0706394E-001	0
1.5361517E+003	8.768199984988314E+000	-2.0909166E-001	-1.361139433589381E-001	2.8460290E-005	-2.0906387E-001	0
1.6655223E+003	8.968199979935889E+000	-2.1108061E-001	-1.267353854038644E-001	2.6751382E-005	-2.1106377E-001	0
1.7787015E+003	9.168199974883464E+000	-2.1307592E-001	-1.197929559602846E-001	2.5524994E-005	-2.1306366E-001	0
1.8821461E+003	9.368199969831039E+000	-2.1511242E-001	-1.142910314996279E-001	2.4585421E-005	-2.1506356E-001	0
1.9751841E+003	9.568199964778614E+000	-2.1708822E-001	-1.099078408695857E-001	2.3859699E-005	-2.1706343E-001	0
2.0594136E+003	9.768199959726189E+000	-2.1899845E-001	-1.063402014934457E-001	2.3288339E-005	-2.1906331E-001	0
2.1424907E+003	9.968199954673764E+000	-2.2109517E-001	-1.031953888130108E-001	2.2816002E-005	-2.2106321E-001	0
2.2176680E+003	1.016819994962134E+001	-2.2307628E-001	-1.005904845515362E-001	2.2439352E-005	-2.2306311E-001	0
2.2935608E+003	1.036819994456891E+001	-2.2506459E-001	-9.812889430331928E-002	2.2085340E-005	-2.2506301E-001	0
2.3617915E+003	1.056819993951649E+001	-2.2707285E-001	-9.614432964509834E-002	2.1831767E-005	-2.2706288E-001	0
2.4281785E+003	1.076819993446406E+001	-2.2905460E-001	-9.433186270587979E-002	2.1607148E-005	-2.2906278E-001	0
2.4923899E+003	1.096819992941164E+001	-2.3104441E-001	-9.269994896543032E-002	2.1417805E-005	-2.3106267E-001	0
2.5589453E+003	1.116819992435921E+001	-2.3305820E-001	-9.107587900743441E-002	2.1225980E-005	-2.3306257E-001	0
2.6215249E+003	1.136819991930679E+001	-2.3510359E-001	-8.968199902454843E-002	2.1084561E-005	-2.3506247E-001	0
2.6796494E+003	1.156819991425436E+001	-2.3705690E-001	-8.846564229436282E-002	2.0971391E-005	-2.3706235E-001	0
2.7404805E+003	1.176809990920447E+001	-2.3908128E-001	-8.724064107431784E-002	2.0857604E-005	-2.3906136E-001	0
2.7964937E+003	1.196799990415457E+001	-2.4105731E-001	-8.619984095153777E-002	2.0779102E-005	-2.4106212E-001	0
2.8541987E+003	1.216799989910214E+001	-2.4305071E-001	-8.515549521225912E-002	2.0697104E-005	-2.4306199E-001	0
2.9125293E+003	1.236799989404972E+001	-2.4506448E-001	-8.414146176839243E-002	2.0620084E-005	-2.4506190E-001	0
2.9668315E+003	1.256799988899729E+001	-2.4708822E-001	-8.328353516839870E-002	2.0578380E-005	-2.4706179E-001	0
3.0217031E+003	1.276799988394487E+001	-2.4906534E-001	-8.242548135839911E-002	2.0529331E-005	-2.4906169E-001	0
3.0732695E+003	1.296799987889244E+001	-2.5102943E-001	-8.168155143022648E-002	2.0504473E-005	-2.5106159E-001	0
3.1262185E+003	1.316799987384002E+001	-2.5308481E-001	-8.095557212590915E-002	2.0488626E-005	-2.5306144E-001	0
3.1826077E+003	1.336799986878759E+001	-2.5512129E-001	-8.016108678413070E-002	2.0450800E-005	-2.5506136E-001	0
3.2333289E+003	1.356799986373517E+001	-2.5705871E-001	-7.950280672636167E-002	2.0436890E-005	-2.5706124E-001	0
3.2862554E+003	1.376799985868274E+001	-2.5907502E-001	-7.883593386731791E-002	2.0424421E-005	-2.5906116E-001	0
3.3376936E+003	1.396799985363032E+001	-2.6104677E-001	-7.821172319432868E-002	2.0416917E-005	-2.6106104E-001	0
3.3870007E+003	1.416799984857789E+001	-2.6301748E-001	-7.765497770128760E-002	2.0424617E-005	-2.6306093E-001	0
3.4377600E+003	1.436799984352547E+001	-2.6505607E-001	-7.710138919273346E-002	2.0436191E-005	-2.6506081E-001	0
3.4872690E+003	1.456799983847304E+001	-2.6700833E-001	-7.656659856607612E-002	2.0443920E-005	-2.6706070E-001	0
3.5397827E+003	1.476799983342062E+001	-2.6909024E-001	-7.601885642231276E-002	2.0455933E-005	-2.6906058E-001	0
3.5879568E+003	1.496799982836819E+001	-2.7103612E-001	-7.554051812100426E-002	2.0474208E-005	-2.7106047E-001	0
3.6376841E+003	1.516799982331577E+001	-2.7304947E-001	-7.506134958891297E-002	2.0495461E-005	-2.7306038E-001	0
3.6853894E+003	1.536799981826334E+001	-2.7500194E-001	-7.461950698468267E-002	2.0520509E-005	-2.7506027E-001	0
3.7344380E+003	1.556789981321344E+001	-2.7704391E-001	-7.418623728876916E-002	2.0552845E-005	-2.7706105E-001	0
3.7818987E+003	1.576779980816355E+001	-2.7905005E-001	-7.378570100423532E-002	2.0589903E-005	-2.7906007E-001	0
3.8267200E+003	1.596779980311112E+001	-2.8105193E-001	-7.344460599082225E-002	2.0641748E-005	-2.8105992E-001	0
3.8778274E+003	1.616779979805870E+001	-2.8304091E-001	-7.298956005443336E-002	2.0659032E-005	-2.8305981E-001	0
3.9226453E+003	1.636779979300627E+001	-2.8507105E-001	-7.267316552554848E-002	2.0717016E-005	-2.8505969E-001	0
3.9733342E+003	1.656779978795385E+001	-2.8704914E-001	-7.224389784356933E-002	2.0737549E-005	-2.8705961E-001	0
4.0158491E+003	1.676779978290142E+001	-2.8905717E-001	-7.197908920556917E-002	2.0806072E-005	-2.8905949E-001	0
4.0657332E+003	1.696779977784900E+001	-2.9110685E-001	-7.160008558000353E-002	2.0843276E-005	-2.9105937E-001	0
4.1095869E+003	1.716779977279657E+001	-2.9304826E-001	-7.130844976495337E-002	2.0896818E-005	-2.9305926E-001	0
4.1554116E+003	1.736779976774415E+001	-2.9505801E-001	-7.100572483614093E-002	2.0950809E-005	-2.9505917E-001	0
4.2032290E+003	1.756779976269172E+001	-2.9712951E-001	-7.069077226174947E-002	2.1004314E-005	-2.9705906E-001	0
4.2446523E+003	1.776779975763930E+001	-2.9906243E-001	-7.045628237347967E-002	2.1070828E-005	-2.9905891E-001	0
4.2917397E+003	1.796779975258687E+001	-3.0103865E-001	-7.014373787879380E-002	2.1115977E-005	-3.0105883E-001	0
4.3366357E+003	1.816779974753445E+001	-3.0306178E-001	-6.988407678579031E-002	2.1179192E-005	-3.0305871E-001	0
4.3780317E+003	1.836779974248202E+001	-3.0504674E-001	-6.967668167247837E-002	2.1254644E-005	-3.0505860E-001	0
4.4255532E+003	1.856779973742960E+001	-3.0706730E-001	-6.938506667914042E-002	2.1305885E-005	-3.0705851E-001	0
4.4670151E+003	1.876779973237717E+001	-3.0903646E-001	-6.918187294041289E-002	2.1379721E-005	-3.0905840E-001	0
4.5092109E+003	1.896779972732475E+001	-3.1109780E-001	-6.899163106196629E-002	2.1463145E-005	-3.1105828E-001	0
4.5513945E+003	1.916769972227485E+001	-3.1305343E-001	-6.878186953377274E-002	2.1532400E-005	-3.1305838E-001	0
4.5977578E+003	1.936759971722495E+001	-3.1507084E-001	-6.852706405439757E-002	2.1590880E-005	-3.1505805E-001	0
4.6356519E+003	1.956759971217252E+001	-3.1706870E-001	-6.839786669769476E-002	2.1686823E-005	-3.1705797E-001	0
4.6829824E+003	1.976759970712010E+001	-3.1903896E-001	-6.812730356744678E-002	2.1735264E-005	-3.1905785E-001	0
4.7264028E+003	1.996759970206767E+001	-3.2110175E-001	-6.793787144335650E-002	2.1814969E-005	-3.2105774E-001	0
4.7620830E+003	2.016759969701525E+001	-3.2303450E-001	-6.783470612065734E-002	2.1912951E-005	-3.2305762E-001	0
4.8020996E+003	2.036759969196282E+001	-3.2506782E-001	-6.769285283828591E-002	2.2004768E-005	-3.2505751E-001	0
4.8453848E+003	2.056759968691040E+001	-3.2706183E-001	-6.749965865355090E-002	2.2076561E-005	-3.2705739E-001	0
4.8876084E+003	2.076759968185797E+001	-3.2905123E-001	-6.732356626500274E-002	2.2152903E-005	-3.2905731E-001	0
