EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/09/2026 17:53:06.863
Technique started on : 02/09/2026 17:53:09.547
Loaded Setting File :  NONE
Saved on :
	File : PtPdNi_10Co_10Cr_01_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt30Pd30Ni10Co10Cr20
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.684400127473054E+000	-1.6604611E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.684200001167483E+000	-1.9544443E-002	0.000000000000000E+000	0.0000000E+000	-1.9983476E-001	0
1.6736870E+003	7.884199996115058E+000	-2.0173137E-001	-1.205311163514855E-001	2.4314908E-005	-2.0173454E-001	0
1.4390760E+003	8.004199993083603E+000	-2.0276207E-001	-1.408973961650417E-001	2.8568647E-005	-2.0293461E-001	0
1.7693914E+003	8.214199987778557E+000	-2.0495863E-001	-1.158356691167912E-001	2.3741521E-005	-2.0503457E-001	0
2.0237931E+003	8.414199982726132E+000	-2.0687902E-001	-1.022234060695970E-001	2.1147878E-005	-2.0703447E-001	0
2.2337710E+003	8.614199977673707E+000	-2.0892553E-001	-9.353041176709542E-002	1.9540890E-005	-2.0903434E-001	0
2.4135835E+003	8.814199972621282E+000	-2.1086015E-001	-8.736393307261703E-002	1.8421571E-005	-2.1103424E-001	0
2.5700811E+003	9.014199967568857E+000	-2.1287434E-001	-8.282786656367502E-002	1.7631928E-005	-2.1303412E-001	0
2.7126919E+003	9.214199962516432E+000	-2.1484803E-001	-7.920104286700980E-002	1.7016187E-005	-2.1503402E-001	0
2.8442495E+003	9.414199957464007E+000	-2.1687581E-001	-7.625062723037956E-002	1.6536917E-005	-2.1703392E-001	0
2.9672034E+003	9.614199952411582E+000	-2.1887262E-001	-7.376394202708880E-002	1.6144908E-005	-2.1903381E-001	0
3.0815020E+003	9.814199947359157E+000	-2.2088109E-001	-7.167968241067085E-002	1.5832686E-005	-2.2103368E-001	0
