EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/11/2026 18:34:08.497
Technique started on : 02/11/2026 18:34:11.179
Loaded Setting File :  NONE
Saved on :
	File : PtPdNi_2_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNi
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.5185222E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-2.5477547E-002	0.000000000000000E+000	0.0000000E+000	-1.9995624E-001	0
3.8416763E+003	7.882199996020063E+000	-2.0173042E-001	-5.251103821210568E-002	1.0593074E-005	-2.0185602E-001	0
1.2846218E+003	8.002199992988608E+000	-2.0287326E-001	-1.579245062991601E-001	3.2038661E-005	-2.0305608E-001	0
1.3699283E+003	8.212199987683562E+000	-2.0502055E-001	-1.496578567448039E-001	3.0682935E-005	-2.0515604E-001	0
1.5000100E+003	8.412199982631137E+000	-2.0700502E-001	-1.380024277488965E-001	2.8567196E-005	-2.0715596E-001	0
1.6154034E+003	8.612199977578712E+000	-2.0903684E-001	-1.294022470516252E-001	2.7049837E-005	-2.0915586E-001	0
1.7186119E+003	8.812199972526287E+000	-2.1103577E-001	-1.227943126657083E-001	2.5913992E-005	-2.1115576E-001	0
1.8112170E+003	9.012199967473862E+000	-2.1306673E-001	-1.176373256927943E-001	2.5064601E-005	-2.1315569E-001	0
1.8972848E+003	9.212199962421437E+000	-2.1506268E-001	-1.133528685518237E-001	2.4377972E-005	-2.1515559E-001	0
1.9778220E+003	9.412199957369012E+000	-2.1699180E-001	-1.097124959775110E-001	2.3806711E-005	-2.1715549E-001	0
2.0540483E+003	9.612199952316587E+000	-2.1902107E-001	-1.066289717213265E-001	2.3353990E-005	-2.1915539E-001	0
2.1272256E+003	9.812199947264162E+000	-2.2102658E-001	-1.039036920520133E-001	2.2965478E-005	-2.2115529E-001	0
2.1974785E+003	1.001219994221174E+001	-2.2303568E-001	-1.014961785860700E-001	2.2637269E-005	-2.2315522E-001	0
2.2664883E+003	1.021219993715931E+001	-2.2500701E-001	-9.927561735341517E-002	2.2337710E-005	-2.2515512E-001	0
