EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/09/2026 18:03:24.326
Technique started on : 02/09/2026 18:03:27.008
Loaded Setting File :  NONE
Saved on :
	File : PtPd_40NiCo_01_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt20Pd40Ni20Co20
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.7309162E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-1.6178876E-002	0.000000000000000E+000	0.0000000E+000	-1.9998829E-001	0
1.1079747E+003	7.882199996020063E+000	-2.0175269E-001	-1.820914246141916E-001	3.6737434E-005	-2.0188807E-001	0
1.2339974E+003	8.002199992988608E+000	-2.0287023E-001	-1.644008574636686E-001	3.3352040E-005	-2.0308813E-001	0
1.6028481E+003	8.212199987683562E+000	-2.0503111E-001	-1.279167420591931E-001	2.6226911E-005	-2.0518810E-001	0
1.8563510E+003	8.412199982631137E+000	-2.0707990E-001	-1.115521273571500E-001	2.3100203E-005	-2.0718798E-001	0
2.0567271E+003	8.612199977578712E+000	-2.0904213E-001	-1.016382422897957E-001	2.1246675E-005	-2.0918790E-001	0
2.2231938E+003	8.812199972526287E+000	-2.1105421E-001	-9.493288090621554E-002	2.0035985E-005	-2.1118777E-001	0
2.3662437E+003	9.012199967473862E+000	-2.1310219E-001	-9.005927675627490E-002	1.9191830E-005	-2.1318766E-001	0
2.4928418E+003	9.212199962421437E+000	-2.1509238E-001	-8.628400584340701E-002	1.8559032E-005	-2.1518753E-001	0
2.6093918E+003	9.412199957369012E+000	-2.1708833E-001	-8.319498715624440E-002	1.8060660E-005	-2.1718745E-001	0
2.7164448E+003	9.612199952316587E+000	-2.1909086E-001	-8.065352640051371E-002	1.7670451E-005	-2.1918735E-001	0
2.8157886E+003	9.812199947264162E+000	-2.2102317E-001	-7.849423805106004E-002	1.7349046E-005	-2.2118722E-001	0
2.9130808E+003	1.001219994221174E+001	-2.2307386E-001	-7.657661263159396E-002	1.7082240E-005	-2.2318713E-001	0
3.0019409E+003	1.021219993715931E+001	-2.2510487E-001	-7.498644359088807E-002	1.6879814E-005	-2.2518700E-001	0
3.0882561E+003	1.041219993210689E+001	-2.2707959E-001	-7.353003813289605E-002	1.6697171E-005	-2.2718690E-001	0
3.1675278E+003	1.061219992705446E+001	-2.2906534E-001	-7.231675655488112E-002	1.6565262E-005	-2.2918677E-001	0
3.2470063E+003	1.081219992200204E+001	-2.3104474E-001	-7.115623404751231E-002	1.6440274E-005	-2.3118667E-001	0
3.3270110E+003	1.101219991694961E+001	-2.3312113E-001	-7.006924017966043E-002	1.6334619E-005	-2.3318657E-001	0
3.4028293E+003	1.121219991189719E+001	-2.3504111E-001	-6.907225896334013E-002	1.6234821E-005	-2.3518647E-001	0
3.4753208E+003	1.141209990684729E+001	-2.3708647E-001	-6.822002531836036E-002	1.6174045E-005	-2.3718569E-001	0
3.5476968E+003	1.161199990179739E+001	-2.3911962E-001	-6.740137076801511E-002	1.6116990E-005	-2.3918626E-001	0
3.6177700E+003	1.181199989674496E+001	-2.4104193E-001	-6.662720999503047E-002	1.6059952E-005	-2.4118611E-001	0
3.6924856E+003	1.201199989169254E+001	-2.4305891E-001	-6.582528203482962E-002	1.5999422E-005	-2.4318604E-001	0
3.7622942E+003	1.221199988664011E+001	-2.4512380E-001	-6.515274870013005E-002	1.5970489E-005	-2.4518593E-001	0
3.8275066E+003	1.241199988158769E+001	-2.4706990E-001	-6.455113702873924E-002	1.5948643E-005	-2.4718583E-001	0
3.8908579E+003	1.261199987653526E+001	-2.4906734E-001	-6.401347455224388E-002	1.5943666E-005	-2.4918570E-001	0
3.9650676E+003	1.281199987148284E+001	-2.5104228E-001	-6.331349048360146E-002	1.5894362E-005	-2.5118560E-001	0
4.0304707E+003	1.301199986643041E+001	-2.5308090E-001	-6.279189824739112E-002	1.5891430E-005	-2.5318548E-001	0
4.0930732E+003	1.321199986137799E+001	-2.5510275E-001	-6.232548133858704E-002	1.5899403E-005	-2.5518537E-001	0
4.1369771E+003	1.341199985632556E+001	-2.5706074E-001	-6.213733645645986E-002	1.5973070E-005	-2.5718528E-001	0
4.2057646E+003	1.361199985127314E+001	-2.5903037E-001	-6.158936397561104E-002	1.5953516E-005	-2.5918517E-001	0
4.2856831E+003	1.381199984622072E+001	-2.6110482E-001	-6.092489919680133E-002	1.5907784E-005	-2.6118505E-001	0
4.3487231E+003	1.401199984116829E+001	-2.6295137E-001	-6.046634191507788E-002	1.5899708E-005	-2.6318493E-001	0
4.4161245E+003	1.421199983611587E+001	-2.6500061E-001	-6.000750587594256E-002	1.5902026E-005	-2.6518485E-001	0
4.4770415E+003	1.441199983106344E+001	-2.6704052E-001	-5.964665000628933E-002	1.5928072E-005	-2.6718470E-001	0
4.5479746E+003	1.461199982601102E+001	-2.6909521E-001	-5.916813996519132E-002	1.5921863E-005	-2.6918462E-001	0
4.6072764E+003	1.481199982095859E+001	-2.7103537E-001	-5.882767834457781E-002	1.5944383E-005	-2.7118450E-001	0
4.6743535E+003	1.501199981590617E+001	-2.7303177E-001	-5.841059444943131E-002	1.5947948E-005	-2.7318439E-001	0
4.7342178E+003	1.521179981085879E+001	-2.7505437E-001	-5.809922011811741E-002	1.5980444E-005	-2.7518407E-001	0
4.7981953E+003	1.541179980580637E+001	-2.7705637E-001	-5.774178719961089E-002	1.5997730E-005	-2.7718419E-001	0
4.8600410E+003	1.561179980075394E+001	-2.7905953E-001	-5.741917092486126E-002	1.6023367E-005	-2.7918407E-001	0
4.9271270E+003	1.581179979570152E+001	-2.8110766E-001	-5.705305690087314E-002	1.6038051E-005	-2.8118396E-001	0
4.9927988E+003	1.601179979064909E+001	-2.8307965E-001	-5.669758972910377E-002	1.6049935E-005	-2.8318384E-001	0
5.0500352E+003	1.621179978559667E+001	-2.8503278E-001	-5.644174404241720E-002	1.6087748E-005	-2.8518373E-001	0
5.1152881E+003	1.641179978054424E+001	-2.8708473E-001	-5.612288367281970E-002	1.6112022E-005	-2.8718364E-001	0
5.1763428E+003	1.661179977549182E+001	-2.8908935E-001	-5.584818313833817E-002	1.6145115E-005	-2.8918350E-001	0
5.2405210E+003	1.681179977043939E+001	-2.9111695E-001	-5.555114674470607E-002	1.6171880E-005	-2.9118341E-001	0
5.2992534E+003	1.701179976538697E+001	-2.9298961E-001	-5.528884825440306E-002	1.6199057E-005	-2.9318333E-001	0
5.3640874E+003	1.721179976033454E+001	-2.9502502E-001	-5.500003906513828E-002	1.6226388E-005	-2.9518321E-001	0
5.4213418E+003	1.741179975528212E+001	-2.9707998E-001	-5.479824032566949E-002	1.6279460E-005	-2.9718310E-001	0
5.4895835E+003	1.761179975022969E+001	-2.9913858E-001	-5.449203341774844E-002	1.6300670E-005	-2.9918295E-001	0
5.5462686E+003	1.781179974517727E+001	-3.0109632E-001	-5.428809002348034E-002	1.6345944E-005	-3.0118287E-001	0
5.5783486E+003	1.801179974012484E+001	-3.0305257E-001	-5.432657293591003E-002	1.6463808E-005	-3.0318275E-001	0
5.6180576E+003	1.821179973507242E+001	-3.0505192E-001	-5.429846916955960E-002	1.6563852E-005	-3.0518264E-001	0
5.6776372E+003	1.841179973001999E+001	-3.0712852E-001	-5.409442421467026E-002	1.6613940E-005	-3.0718252E-001	0
5.7659434E+003	1.861179972496757E+001	-3.0904344E-001	-5.359807007158346E-002	1.6564132E-005	-3.0918244E-001	0
5.8375215E+003	1.881169971991767E+001	-3.1111249E-001	-5.329530594479537E-002	1.6580836E-005	-3.1118232E-001	0
5.8670107E+003	1.901159971486777E+001	-3.1305701E-001	-5.335885819624231E-002	1.6704364E-005	-3.1318223E-001	0
5.9432915E+003	1.921159970981535E+001	-3.1502938E-001	-5.300587570493231E-002	1.6698408E-005	-3.1518212E-001	0
6.0218521E+003	1.941159970476292E+001	-3.1701598E-001	-5.264426298891411E-002	1.6689073E-005	-3.1718200E-001	0
6.0855791E+003	1.961159969971050E+001	-3.1899497E-001	-5.241817826998596E-002	1.6721135E-005	-3.1918186E-001	0
6.1532246E+003	1.981159969465807E+001	-3.2113838E-001	-5.219025901030943E-002	1.6760296E-005	-3.2118180E-001	0
6.2194819E+003	2.001159968960565E+001	-3.2304883E-001	-5.194143543353530E-002	1.6779621E-005	-3.2318166E-001	0
6.2810815E+003	2.021159968455322E+001	-3.2507005E-001	-5.175383466764732E-002	1.6823622E-005	-3.2518157E-001	0
6.3431138E+003	2.041159967950080E+001	-3.2702971E-001	-5.155665236799778E-002	1.6860557E-005	-3.2718146E-001	0
6.4071396E+003	2.061159967444837E+001	-3.2910460E-001	-5.136529263214529E-002	1.6904554E-005	-3.2918134E-001	0
6.4613086E+003	2.081159966939595E+001	-3.3105388E-001	-5.123635276976768E-002	1.6961994E-005	-3.3118123E-001	0
6.5249399E+003	2.101159966434352E+001	-3.3307105E-001	-5.104584372475651E-002	1.7001892E-005	-3.3318111E-001	0
6.5941621E+003	2.121159965929110E+001	-3.3500165E-001	-5.080276153413610E-002	1.7019009E-005	-3.3518103E-001	0
6.6592637E+003	2.141159965423867E+001	-3.3706892E-001	-5.061654505940782E-002	1.7061264E-005	-3.3718091E-001	0
6.7160737E+003	2.161159964918625E+001	-3.3904979E-001	-5.048333252136050E-002	1.7116363E-005	-3.3918080E-001	0
6.7838857E+003	2.181159964413382E+001	-3.4103894E-001	-5.027191603161363E-002	1.7144681E-005	-3.4118071E-001	0
6.8476460E+003	2.201159963908140E+001	-3.4308141E-001	-5.010209469411875E-002	1.7189097E-005	-3.4318057E-001	0
6.9152168E+003	2.221159963402897E+001	-3.4510726E-001	-4.990548767041747E-002	1.7222746E-005	-3.4518048E-001	0
6.9753403E+003	2.241149962897907E+001	-3.4706002E-001	-4.975528058071044E-002	1.7268068E-005	-3.4717971E-001	0
7.0337759E+003	2.261139962392917E+001	-3.4908900E-001	-4.963038230416239E-002	1.7325421E-005	-3.4918028E-001	0
7.0988130E+003	2.281139961887675E+001	-3.5107562E-001	-4.945553694492677E-002	1.7362634E-005	-3.5118017E-001	0
7.1599897E+003	2.301139961382432E+001	-3.5311165E-001	-4.931734158982706E-002	1.7414528E-005	-3.5318008E-001	0
7.2141621E+003	2.321139960877190E+001	-3.5503778E-001	-4.921400121649699E-002	1.7472830E-005	-3.5517994E-001	0
7.2783740E+003	2.341139960371947E+001	-3.5710186E-001	-4.906341148056759E-002	1.7520635E-005	-3.5717982E-001	0
7.3455347E+003	2.361139959866705E+001	-3.5900638E-001	-4.887409706477541E-002	1.7546112E-005	-3.5917971E-001	0
7.3991836E+003	2.381139959361462E+001	-3.6107090E-001	-4.879874900398362E-002	1.7619808E-005	-3.6117959E-001	0
7.4635620E+003	2.401139958856220E+001	-3.6313558E-001	-4.865446062510403E-002	1.7668166E-005	-3.6317950E-001	0
7.5246470E+003	2.421139958350977E+001	-3.6505219E-001	-4.851419622603337E-002	1.7710214E-005	-3.6517939E-001	0
7.5861274E+003	2.441139957845735E+001	-3.6709270E-001	-4.838999976401936E-002	1.7763616E-005	-3.6717924E-001	0
7.6379224E+003	2.461139957340492E+001	-3.6909479E-001	-4.832397775181786E-002	1.7836128E-005	-3.6917916E-001	0
7.6920107E+003	2.481139956835250E+001	-3.7107128E-001	-4.824112924296287E-002	1.7900897E-005	-3.7117904E-001	0
7.7530864E+003	2.501139956330007E+001	-3.7313148E-001	-4.812683276684293E-002	1.7957636E-005	-3.7317896E-001	0
7.8136011E+003	2.521139955824765E+001	-3.7508884E-001	-4.800460671783191E-002	1.8005992E-005	-3.7517887E-001	0
7.8631055E+003	2.541139955319522E+001	-3.7702918E-001	-4.794914424107888E-002	1.8078226E-005	-3.7717873E-001	0
7.9232422E+003	2.561139954814280E+001	-3.7903363E-001	-4.783819721301041E-002	1.8132285E-005	-3.7917861E-001	0
7.9877588E+003	2.581139954309037E+001	-3.8104996E-001	-4.770423968078663E-002	1.8177700E-005	-3.8117853E-001	0
8.0426846E+003	2.601139953803795E+001	-3.8308111E-001	-4.763100138794651E-002	1.8246537E-005	-3.8317838E-001	0
8.1011987E+003	2.621129953298805E+001	-3.8505259E-001	-4.753032198229445E-002	1.8301673E-005	-3.8517898E-001	0
8.1510762E+003	2.641119952793815E+001	-3.8710806E-001	-4.749164974096254E-002	1.8384400E-005	-3.8717818E-001	0
8.2118545E+003	2.661119952288573E+001	-3.8903421E-001	-4.737470880263772E-002	1.8430383E-005	-3.8917810E-001	0
8.2603623E+003	2.681119951783330E+001	-3.9111143E-001	-4.734797356940601E-002	1.8518334E-005	-3.9117798E-001	0
8.3227754E+003	2.701119951278088E+001	-3.9306432E-001	-4.722755298846304E-002	1.8563465E-005	-3.9317784E-001	0
8.3749844E+003	2.721119950772845E+001	-3.9505032E-001	-4.717027541707197E-002	1.8634631E-005	-3.9517775E-001	0
8.4305352E+003	2.741119950267603E+001	-3.9699364E-001	-4.708996915908914E-002	1.8694418E-005	-3.9717767E-001	0
8.4819990E+003	2.761119949762360E+001	-3.9906111E-001	-4.704800442646784E-002	1.8775028E-005	-3.9917755E-001	0
8.5404648E+003	2.781119949257118E+001	-4.0107679E-001	-4.696194181860758E-002	1.8835344E-005	-4.0117747E-001	0
8.5943281E+003	2.801119948751875E+001	-4.0310350E-001	-4.690343349334736E-002	1.8906938E-005	-4.0317732E-001	0
8.6463750E+003	2.821119948246633E+001	-4.0508124E-001	-4.684983763675865E-002	1.8977991E-005	-4.0517721E-001	0
8.7014316E+003	2.841119947741390E+001	-4.0707931E-001	-4.678302598444531E-002	1.9044403E-005	-4.0717709E-001	0
8.7553701E+003	2.861119947236148E+001	-4.0904346E-001	-4.671915152713091E-002	1.9110163E-005	-4.0917704E-001	0
8.8136113E+003	2.881119946730905E+001	-4.1106504E-001	-4.663979939962237E-002	1.9171992E-005	-4.1117689E-001	0
8.8499424E+003	2.901119946225663E+001	-4.1310984E-001	-4.667937948211165E-002	1.9283711E-005	-4.1317677E-001	0
8.9013105E+003	2.921119945720420E+001	-4.1508728E-001	-4.663215184139705E-002	1.9356414E-005	-4.1517669E-001	0
8.9600068E+003	2.941119945215178E+001	-4.1710064E-001	-4.655137425077371E-002	1.9416608E-005	-4.1717654E-001	0
9.0231885E+003	2.961119944709935E+001	-4.1911510E-001	-4.644866684312302E-002	1.9467338E-005	-4.1917649E-001	0
9.0612207E+003	2.981109944204945E+001	-4.2110571E-001	-4.647339744865286E-002	1.9570212E-005	-4.2117569E-001	0
9.1263486E+003	3.001099943699955E+001	-4.2312863E-001	-4.636340703611430E-002	1.9617684E-005	-4.2317626E-001	0
9.1836436E+003	3.021099943194713E+001	-4.2508575E-001	-4.628726382963683E-002	1.9676056E-005	-4.2517611E-001	0
9.2141533E+003	3.041099942689470E+001	-4.2711484E-001	-4.635421621777930E-002	1.9798574E-005	-4.2717600E-001	0
9.2782070E+003	3.061099942184228E+001	-4.2915359E-001	-4.625393475179915E-002	1.9850042E-005	-4.2917591E-001	0
9.3203594E+003	3.081099941678985E+001	-4.3108338E-001	-4.625179735461116E-002	1.9938381E-005	-4.3117577E-001	0
9.3744951E+003	3.101099941173743E+001	-4.3302032E-001	-4.619132395640493E-002	2.0001782E-005	-4.3317571E-001	0
9.4432021E+003	3.121099940668500E+001	-4.3508783E-001	-4.607418418599019E-002	2.0046316E-005	-4.3517557E-001	0
