EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 01/29/2026 17:59:32.515
Technique started on : 01/29/2026 17:59:35.353
Loaded Setting File :  NONE
Saved on :
	File : PtPdCo_oxidized_IR_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.3544025E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	3.9824262E-002	0.000000000000000E+000	0.0000000E+000	-1.9984457E-001	0
4.3318124E+002	8.038200003429665E+000	-2.0169774E-001	-4.656197395920756E-001	9.3914445E-005	-2.0174435E-001	0
4.9398917E+002	8.158200000398210E+000	-2.0297202E-001	-4.108835447028428E-001	8.3397863E-005	-2.0294440E-001	0
6.0274316E+002	8.368199995093164E+000	-2.0506088E-001	-3.402127124086167E-001	6.9764319E-005	-2.0504431E-001	0
6.7220544E+002	8.568199990040739E+000	-2.0711286E-001	-3.081094595052440E-001	6.3813430E-005	-2.0704423E-001	0
7.2592975E+002	8.768199984988314E+000	-2.0908210E-001	-2.880197423372994E-001	6.0219772E-005	-2.0904413E-001	0
7.7031750E+002	8.968199979935889E+000	-2.1111242E-001	-2.740589682004351E-001	5.7857254E-005	-2.1104403E-001	0
8.0871014E+002	9.168199974883464E+000	-2.1306379E-001	-2.634612661627993E-001	5.6134057E-005	-2.1304397E-001	0
8.4422333E+002	9.368199969831039E+000	-2.1509999E-001	-2.547903899694726E-001	5.4805412E-005	-2.1504439E-001	0
8.7447961E+002	9.568199964778614E+000	-2.1706064E-001	-2.482169214509380E-001	5.3878124E-005	-2.1704440E-001	0
9.0251996E+002	9.768199959726189E+000	-2.1908130E-001	-2.427439913892799E-001	5.3180669E-005	-2.1904442E-001	0
9.2867883E+002	9.968199954673764E+000	-2.2111599E-001	-2.380973713455593E-001	5.2647138E-005	-2.2104438E-001	0
9.5257794E+002	1.016819994962134E+001	-2.2305155E-001	-2.341556961113871E-001	5.2228792E-005	-2.2304441E-001	0
9.7577441E+002	1.036819994456891E+001	-2.2505718E-001	-2.306446832775766E-001	5.1908242E-005	-2.2504441E-001	0
9.9773175E+002	1.056819993951649E+001	-2.2706571E-001	-2.275819183747508E-001	5.1676052E-005	-2.2704440E-001	0
1.0187844E+003	1.076819993446406E+001	-2.2908768E-001	-2.248637548514778E-001	5.1513514E-005	-2.2904441E-001	0
1.0388660E+003	1.096819992941164E+001	-2.3108944E-001	-2.224439402172118E-001	5.1404448E-005	-2.3104441E-001	0
1.0588721E+003	1.116819992435921E+001	-2.3314513E-001	-2.201825373060576E-001	5.1334486E-005	-2.3304442E-001	0
1.0773634E+003	1.136819991930679E+001	-2.3507498E-001	-2.181946966045298E-001	5.1292114E-005	-2.3504439E-001	0
1.0955863E+003	1.156819991425436E+001	-2.3709567E-001	-2.164098395250083E-001	5.1309835E-005	-2.3704442E-001	0
1.1132594E+003	1.176819990920194E+001	-2.3907898E-001	-2.147558731979400E-001	5.1343617E-005	-2.3904438E-001	0
1.1309155E+003	1.196819990414951E+001	-2.4111345E-001	-2.132019948746482E-001	5.1405870E-005	-2.4104439E-001	0
1.1476948E+003	1.216819989909709E+001	-2.4303842E-001	-2.117622253715217E-001	5.1466355E-005	-2.4304442E-001	0
1.1647417E+003	1.236819989404466E+001	-2.4507585E-001	-2.104121872335836E-001	5.1566945E-005	-2.4504438E-001	0
1.1813479E+003	1.256819988899224E+001	-2.4708253E-001	-2.091530706763026E-001	5.1678071E-005	-2.4704440E-001	0
1.1969142E+003	1.276819988393981E+001	-2.4907559E-001	-2.080981171037366E-001	5.1832161E-005	-2.4904440E-001	0
1.2132712E+003	1.296819987888739E+001	-2.5106487E-001	-2.069321858977515E-001	5.1953401E-005	-2.5104439E-001	0
1.2295906E+003	1.316819987383496E+001	-2.5312373E-001	-2.058601777413500E-001	5.2108095E-005	-2.5304440E-001	0
1.2451382E+003	1.336819986878254E+001	-2.5506377E-001	-2.048477682363141E-001	5.2249245E-005	-2.5504440E-001	0
1.2606202E+003	1.356819986373011E+001	-2.5709507E-001	-2.039433156357666E-001	5.2432821E-005	-2.5704440E-001	0
1.2759341E+003	1.376819985867769E+001	-2.5906479E-001	-2.030393273385904E-001	5.2600342E-005	-2.5904441E-001	0
1.2905677E+003	1.396819985362527E+001	-2.6103941E-001	-2.022671010134030E-001	5.2799685E-005	-2.6104441E-001	0
1.3066460E+003	1.416819984857284E+001	-2.6308811E-001	-2.013461228160196E-001	5.2971769E-005	-2.6304439E-001	0
1.3223774E+003	1.436819984352042E+001	-2.6508245E-001	-2.004590006228404E-001	5.3138163E-005	-2.6504442E-001	0
