EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/10/2026 15:52:08.751
Technique started on : 02/10/2026 15:52:11.433
Loaded Setting File :  NONE
Saved on :
	File : Pt_2-10_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75o18.75Cr25
Initial state : 
Electrolyte : KOH (1 M)
Comments : After polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6856240E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-1.6723257E-002	0.000000000000000E+000	0.0000000E+000	-1.9990322E-001	0
6.5630029E+003	7.882199996020063E+000	-2.0170259E-001	-3.073327734018683E-002	6.1989817E-006	-2.0180300E-001	0
1.4370569E+003	8.002199992988608E+000	-2.0288131E-001	-1.411783377487894E-001	2.8642446E-005	-2.0300305E-001	0
1.5070415E+003	8.212199987683562E+000	-2.0495947E-001	-1.360012106924768E-001	2.7874736E-005	-2.0510301E-001	0
1.6468104E+003	8.412199982631137E+000	-2.0699789E-001	-1.256962414343090E-001	2.6018857E-005	-2.0710289E-001	0
1.7739692E+003	8.612199977578712E+000	-2.0899934E-001	-1.178145228511320E-001	2.4623158E-005	-2.0910279E-001	0
1.8856627E+003	8.812199972526287E+000	-2.1099317E-001	-1.118933796352557E-001	2.3608738E-005	-2.1110269E-001	0
1.9868716E+003	9.012199967473862E+000	-2.1301949E-001	-1.072135146341946E-001	2.2838569E-005	-2.1310259E-001	0
2.0813203E+003	9.212199962421437E+000	-2.1499486E-001	-1.032973396562274E-001	2.2208398E-005	-2.1510246E-001	0
2.1687815E+003	9.412199957369012E+000	-2.1701053E-001	-1.000610329242435E-001	2.1714297E-005	-2.1710236E-001	0
2.2513638E+003	9.612199952316587E+000	-2.1899907E-001	-9.727396389845389E-002	2.1302907E-005	-2.1910225E-001	0
2.3300916E+003	9.812199947264162E+000	-2.2103788E-001	-9.486231583069227E-002	2.0968166E-005	-2.2110216E-001	0
