EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/11/2026 18:53:22.342
Technique started on : 02/11/2026 18:53:25.024
Loaded Setting File :  NONE
Saved on :
	File : Ni_2_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-2.1830687E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-3.4924507E-001	0.000000000000000E+000	0.0000000E+000	-1.9993804E-001	0
6.7965393E+002	7.882199996020063E+000	-2.0165929E-001	2.967087930440903E-001	-5.9834085E-005	-2.0183782E-001	0
1.9020592E+003	8.002199992988608E+000	-2.0286350E-001	1.066546706715794E-001	-2.1636341E-005	-2.0303787E-001	0
4.1435527E+003	8.232199987178319E+000	-2.0521292E-001	4.952583518976433E-002	-1.0163341E-005	-2.0533784E-001	0
6.0075166E+003	8.452199981620652E+000	-2.0738778E-001	3.452138131924709E-002	-7.1593126E-006	-2.0753789E-001	0
7.6430972E+003	8.652199976568227E+000	-2.0944157E-001	2.740270943014483E-002	-5.7392667E-006	-2.0953786E-001	0
9.2756543E+003	8.852199971515802E+000	-2.1146010E-001	2.279732476425178E-002	-4.8207244E-006	-2.1153785E-001	0
1.0936712E+004	9.052199966463377E+000	-2.1338420E-001	1.951081836184318E-002	-4.1633002E-006	-2.1353789E-001	0
1.2625229E+004	9.252199961410952E+000	-2.1539533E-001	1.706070794611469E-002	-3.6747967E-006	-2.1553786E-001	0
1.4365604E+004	9.452199956358527E+000	-2.1743213E-001	1.513560550525478E-002	-3.2909668E-006	-2.1753787E-001	0
1.6152667E+004	9.652199951306102E+000	-2.1940523E-001	1.358322036091472E-002	-2.9802297E-006	-2.1953787E-001	0
1.8026043E+004	9.852199946253677E+000	-2.2135249E-001	1.227959381954166E-002	-2.7181186E-006	-2.2153787E-001	0
1.9973430E+004	1.005219994120125E+001	-2.2348820E-001	1.118927483523191E-002	-2.5006709E-006	-2.2353786E-001	0
2.2045490E+004	1.025219993614883E+001	-2.2540084E-001	1.022435101464525E-002	-2.3045773E-006	-2.2553787E-001	0
2.4226600E+004	1.045219993109640E+001	-2.2747730E-001	9.389567865038223E-003	-2.1359135E-006	-2.2753790E-001	0
2.6434602E+004	1.065219992604398E+001	-2.2939759E-001	8.677928952543545E-003	-1.9906961E-006	-2.2953786E-001	0
2.8803176E+004	1.085219992099155E+001	-2.3142739E-001	8.034787042519954E-003	-1.8594698E-006	-2.3153788E-001	0
3.1341129E+004	1.105219991593913E+001	-2.3338631E-001	7.446646545575433E-003	-1.7379454E-006	-2.3353788E-001	0
3.3843934E+004	1.125219991088670E+001	-2.3539484E-001	6.955303404455937E-003	-1.6372425E-006	-2.3553787E-001	0
3.6731270E+004	1.145219990583428E+001	-2.3743059E-001	6.463990796884325E-003	-1.5347491E-006	-2.3753788E-001	0
3.9760973E+004	1.165219990078185E+001	-2.3941116E-001	6.021260441615647E-003	-1.4415569E-006	-2.3953788E-001	0
4.2770586E+004	1.185219989572943E+001	-2.4142925E-001	5.644749496136102E-003	-1.3628077E-006	-2.4153787E-001	0
4.6101750E+004	1.205219989067700E+001	-2.4349067E-001	5.281592582053088E-003	-1.2860185E-006	-2.4353787E-001	0
4.9631813E+004	1.225219988562458E+001	-2.4540375E-001	4.944485149753116E-003	-1.2133952E-006	-2.4553789E-001	0
5.3377094E+004	1.245219988057215E+001	-2.4742186E-001	4.635356710567723E-003	-1.1468886E-006	-2.4753787E-001	0
5.7435984E+004	1.265219987551973E+001	-2.4937142E-001	4.341728152550683E-003	-1.0827030E-006	-2.4953787E-001	0
6.1514145E+004	1.285219987046730E+001	-2.5139380E-001	4.086764116284211E-003	-1.0273872E-006	-2.5153789E-001	0
6.6198836E+004	1.305219986541488E+001	-2.5339133E-001	3.827730631380546E-003	-9.6991369E-007	-2.5353786E-001	0
7.1352789E+004	1.325219986036245E+001	-2.5544849E-001	3.580077128672782E-003	-9.1452529E-007	-2.5553790E-001	0
7.6412203E+004	1.345219985531003E+001	-2.5741971E-001	3.368829608011339E-003	-8.6720314E-007	-2.5753784E-001	0
8.2035164E+004	1.365219985025760E+001	-2.5949085E-001	3.163165974362364E-003	-8.2081260E-007	-2.5953785E-001	0
8.8290641E+004	1.385219984520518E+001	-2.6146510E-001	2.961413613612296E-003	-7.7430633E-007	-2.6153788E-001	0
9.5933133E+004	1.405219984015275E+001	-2.6347142E-001	2.746407066643725E-003	-7.2359978E-007	-2.6353785E-001	0
1.0194906E+005	1.425219983510033E+001	-2.6543453E-001	2.603599504632216E-003	-6.9108523E-007	-2.6553786E-001	0
1.1045387E+005	1.445219983004790E+001	-2.6739538E-001	2.420878308076677E-003	-6.4733166E-007	-2.6753786E-001	0
1.1925308E+005	1.465219982499548E+001	-2.6942050E-001	2.259233089477647E-003	-6.0868371E-007	-2.6953790E-001	0
1.2854326E+005	1.485219981994305E+001	-2.7139872E-001	2.111341504110034E-003	-5.7301537E-007	-2.7153787E-001	0
1.4041308E+005	1.505219981489063E+001	-2.7342004E-001	1.947254788182813E-003	-5.3241848E-007	-2.7353790E-001	0
1.5267834E+005	1.525219980983820E+001	-2.7540717E-001	1.803839016354605E-003	-4.9679016E-007	-2.7553788E-001	0
1.6321922E+005	1.545219980478578E+001	-2.7739707E-001	1.699536826789782E-003	-4.7144653E-007	-2.7753785E-001	0
1.8128114E+005	1.565219979973335E+001	-2.7940223E-001	1.541264773771658E-003	-4.3063281E-007	-2.7953786E-001	0
1.9529164E+005	1.585219979468093E+001	-2.8139341E-001	1.440888159204056E-003	-4.0545643E-007	-2.8153786E-001	0
2.1729359E+005	1.605219978962850E+001	-2.8345206E-001	1.304465833091706E-003	-3.6975354E-007	-2.8353786E-001	0
2.3749225E+005	1.625219978457608E+001	-2.8542539E-001	1.201830353223153E-003	-3.4303289E-007	-2.8553787E-001	0
2.6512544E+005	1.645219977952365E+001	-2.8743991E-001	1.084165775401682E-003	-3.1163250E-007	-2.8753787E-001	0
2.9415803E+005	1.665219977447123E+001	-2.8938439E-001	9.837718751095088E-004	-2.8468824E-007	-2.8953788E-001	0
3.3161291E+005	1.685219976941880E+001	-2.9147527E-001	8.789624073420460E-004	-2.5619579E-007	-2.9153788E-001	0
3.7966006E+005	1.705219976436638E+001	-2.9339686E-001	7.727883474108067E-004	-2.2673368E-007	-2.9353788E-001	0
4.2746472E+005	1.725219975931395E+001	-2.9542980E-001	6.911209098795336E-004	-2.0417771E-007	-2.9553786E-001	0
4.8670025E+005	1.745219975426153E+001	-2.9744264E-001	6.111413350252688E-004	-1.8177950E-007	-2.9753786E-001	0
5.9635650E+005	1.765219974920910E+001	-2.9937416E-001	5.020053890287357E-004	-1.5028745E-007	-2.9953787E-001	0
7.4169713E+005	1.785219974415668E+001	-3.0138126E-001	4.063400597807132E-004	-1.2246328E-007	-3.0153787E-001	0
8.9523200E+005	1.805219973910425E+001	-3.0342314E-001	3.389324127655791E-004	-1.0283993E-007	-3.0353788E-001	0
1.2595075E+006	1.825219973405183E+001	-3.0549812E-001	2.425536452089769E-004	-7.4099681E-008	-3.0553788E-001	0
1.7632756E+006	1.845219972899940E+001	-3.0744219E-001	1.743585541621670E-004	-5.3605177E-008	-3.0753788E-001	0
4.1329633E+006	1.865219972394698E+001	-3.0945393E-001	7.487458937095878E-005	-2.3170236E-008	-3.0953789E-001	0
4.0255604E+007	1.885219971889455E+001	-3.1144083E-001	-7.736582752441377E-006	2.4094877E-009	-3.1153786E-001	0
3.6963123E+006	1.905219971384213E+001	-3.1340933E-001	-8.478973552144718E-005	2.6573893E-008	-3.1353787E-001	0
2.0290546E+006	1.925219970878970E+001	-3.1546885E-001	-1.554757760354146E-004	4.9047763E-008	-3.1553790E-001	0
1.4489155E+006	1.945219970373728E+001	-3.1748477E-001	-2.191189034817975E-004	6.9566916E-008	-3.1753787E-001	0
1.1056059E+006	1.965219969868485E+001	-3.1946856E-001	-2.889533970678272E-004	9.2311524E-008	-3.1953788E-001	0
8.5500700E+005	1.985219969363243E+001	-3.2138205E-001	-3.758823626167380E-004	1.2080184E-007	-3.2153788E-001	0
6.8975775E+005	2.005219968858000E+001	-3.2346001E-001	-4.689472583248408E-004	1.5168568E-007	-3.2353789E-001	0
6.1202750E+005	2.025219968352758E+001	-3.2539538E-001	-5.316679134980597E-004	1.7300228E-007	-3.2553789E-001	0
5.5677413E+005	2.045219967847515E+001	-3.2742113E-001	-5.880681639409925E-004	1.9254594E-007	-3.2753789E-001	0
4.9128300E+005	2.065219967342273E+001	-3.2938427E-001	-6.704572776075838E-004	2.2083807E-007	-3.2953787E-001	0
4.3999063E+005	2.085219966837030E+001	-3.3141679E-001	-7.532360015753599E-004	2.4963506E-007	-3.3153787E-001	0
4.1149556E+005	2.105219966331788E+001	-3.3347186E-001	-8.103899179025559E-004	2.7024223E-007	-3.3353791E-001	0
3.7736878E+005	2.125219965826545E+001	-3.3541867E-001	-8.888352635640188E-004	2.9813194E-007	-3.3553788E-001	0
3.6026797E+005	2.145219965321303E+001	-3.3742806E-001	-9.366030264269867E-004	3.1603614E-007	-3.3753785E-001	0
3.3445419E+005	2.165219964816060E+001	-3.3947951E-001	-1.015025421139945E-003	3.4458031E-007	-3.3953786E-001	0
3.1537847E+005	2.185219964310818E+001	-3.4136137E-001	-1.082386376365402E-003	3.6948489E-007	-3.4153786E-001	0
2.9826103E+005	2.205219963805575E+001	-3.4344953E-001	-1.151506548861593E-003	3.9548439E-007	-3.4353787E-001	0
2.8336091E+005	2.225219963300333E+001	-3.4538895E-001	-1.218901216906671E-003	4.2099501E-007	-3.4553787E-001	0
