EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Grounded
Acquisition started on : 02/11/2026 19:17:09.827
Technique started on : 02/11/2026 19:17:12.665
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCr_2_11_polished_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNiCr
Initial state : 
Electrolyte : KOH (1M)
Comments : polished
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6549048E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-6.9101937E-002	0.000000000000000E+000	0.0000000E+000	-1.9996583E-001	0
1.2080232E+003	8.038200003429665E+000	-2.0168830E-001	1.669573080539699E-001	-3.3673336E-005	-2.0186561E-001	0
3.1502532E+003	8.158200000398210E+000	-2.0292619E-001	-6.441583508620863E-002	1.3071660E-005	-2.0306568E-001	0
2.2125625E+003	8.368199995093164E+000	-2.0499906E-001	-9.265232081113225E-002	1.8993638E-005	-2.0516565E-001	0
2.2339597E+003	8.568199990040739E+000	-2.0701784E-001	-9.266856377902105E-002	1.9184046E-005	-2.0716567E-001	0
2.2999446E+003	8.768199984988314E+000	-2.0901875E-001	-9.087990560777937E-002	1.8995604E-005	-2.0916568E-001	0
2.3724553E+003	8.968199979935889E+000	-2.1103817E-001	-8.895348249924062E-002	1.8772580E-005	-2.1116565E-001	0
2.4421680E+003	9.168199974883464E+000	-2.1300747E-001	-8.722064731211782E-002	1.8578648E-005	-2.1316569E-001	0
2.5127864E+003	9.368199969831039E+000	-2.1505190E-001	-8.558303894540567E-002	1.8404795E-005	-2.1516566E-001	0
2.5785217E+003	9.568199964778614E+000	-2.1701568E-001	-8.416282610868508E-002	1.8264653E-005	-2.1716565E-001	0
2.6438423E+003	9.768199959726189E+000	-2.1902595E-001	-8.284380343635006E-002	1.8144943E-005	-2.1916568E-001	0
2.7073596E+003	9.968199954673764E+000	-2.2104345E-001	-8.164540105267049E-002	1.8047182E-005	-2.2116566E-001	0
2.7695645E+003	1.016819994962134E+001	-2.2303653E-001	-8.053126379788411E-002	1.7961413E-005	-2.2316566E-001	0
2.8284333E+003	1.036819994456891E+001	-2.2501877E-001	-7.955597158016658E-002	1.7901586E-005	-2.2516567E-001	0
2.8890078E+003	1.056819993951649E+001	-2.2702415E-001	-7.858204784277251E-002	1.7840022E-005	-2.2716565E-001	0
2.9499790E+003	1.076819993446406E+001	-2.2900516E-001	-7.762941641969562E-002	1.7777536E-005	-2.2916566E-001	0
3.0102822E+003	1.096819992941164E+001	-2.3102793E-001	-7.674627193321593E-002	1.7730532E-005	-2.3116566E-001	0
3.0685435E+003	1.116819992435921E+001	-2.3301254E-001	-7.593587861246448E-002	1.7694012E-005	-2.3316567E-001	0
3.1286333E+003	1.136819991930679E+001	-2.3501664E-001	-7.511798802514047E-002	1.7653978E-005	-2.3516566E-001	0
3.1864670E+003	1.156819991425436E+001	-2.3703372E-001	-7.438762599650905E-002	1.7632376E-005	-2.3716567E-001	0
3.2480076E+003	1.176819990920194E+001	-2.3902574E-001	-7.359149522631725E-002	1.7590262E-005	-2.3916566E-001	0
3.3112070E+003	1.196819990414951E+001	-2.4105020E-001	-7.279828818707101E-002	1.7548042E-005	-2.4116565E-001	0
3.3691812E+003	1.216819989909709E+001	-2.4302523E-001	-7.213183618763086E-002	1.7529856E-005	-2.4316567E-001	0
3.4311443E+003	1.236819989404466E+001	-2.4499519E-001	-7.140334676518238E-002	1.7493476E-005	-2.4516568E-001	0
3.4908547E+003	1.256819988899224E+001	-2.4701586E-001	-7.076085325807754E-002	1.7479053E-005	-2.4716568E-001	0
3.5531289E+003	1.276819988393981E+001	-2.4900004E-001	-7.007909068085971E-002	1.7449696E-005	-2.4916567E-001	0
3.6167444E+003	1.296819987888739E+001	-2.5104615E-001	-6.941218857596421E-002	1.7425662E-005	-2.5116566E-001	0
3.6816921E+003	1.316819987383496E+001	-2.5304243E-001	-6.872992474446371E-002	1.7391587E-005	-2.5316566E-001	0
3.7423071E+003	1.336819986878254E+001	-2.5501215E-001	-6.814303158364293E-002	1.7377301E-005	-2.5516567E-001	0
3.8069243E+003	1.356819986373011E+001	-2.5700438E-001	-6.750971762159319E-002	1.7350294E-005	-2.5716564E-001	0
3.8704114E+003	1.376819985867769E+001	-2.5902739E-001	-6.692502675514650E-002	1.7335415E-005	-2.5916564E-001	0
3.9350525E+003	1.396819985362527E+001	-2.6102152E-001	-6.633241263338596E-002	1.7314187E-005	-2.6116568E-001	0
4.0017881E+003	1.416819984857284E+001	-2.6300168E-001	-6.572104090151021E-002	1.7284745E-005	-2.6316568E-001	0
4.0653499E+003	1.436819984352042E+001	-2.6502934E-001	-6.519225988190731E-002	1.7277862E-005	-2.6516569E-001	0
4.1352573E+003	1.456819983846799E+001	-2.6706359E-001	-6.458209303699747E-002	1.7247525E-005	-2.6716566E-001	0
4.1979756E+003	1.476819983341557E+001	-2.6905879E-001	-6.409250732190275E-002	1.7244653E-005	-2.6916566E-001	0
4.2657422E+003	1.496819982836314E+001	-2.7103573E-001	-6.353776755768081E-002	1.7221006E-005	-2.7116567E-001	0
4.3316475E+003	1.516819982331072E+001	-2.7298000E-001	-6.301990328430529E-002	1.7203174E-005	-2.7316567E-001	0
4.4037695E+003	1.536819981825829E+001	-2.7501488E-001	-6.244987892958409E-002	1.7174645E-005	-2.7516565E-001	0
4.4725234E+003	1.556819981320587E+001	-2.7700481E-001	-6.193478994468515E-002	1.7156235E-005	-2.7716565E-001	0
4.5428145E+003	1.576819980815344E+001	-2.7901420E-001	-6.141879632351022E-002	1.7136716E-005	-2.7916566E-001	0
4.6096382E+003	1.596819980310102E+001	-2.8100514E-001	-6.096034399825045E-002	1.7130171E-005	-2.8116566E-001	0
4.6822871E+003	1.616819979804859E+001	-2.8300884E-001	-6.044243767967394E-002	1.7105744E-005	-2.8316566E-001	0
4.7471128E+003	1.636819979299617E+001	-2.8500679E-001	-6.003792316688739E-002	1.7111215E-005	-2.8516567E-001	0
4.8218574E+003	1.656819978794374E+001	-2.8698951E-001	-5.951845917381871E-002	1.7081173E-005	-2.8716564E-001	0
4.8932993E+003	1.676819978289132E+001	-2.8899214E-001	-5.905874992737681E-002	1.7067514E-005	-2.8916568E-001	0
4.9638687E+003	1.696819977783889E+001	-2.9098797E-001	-5.862120667033222E-002	1.7058066E-005	-2.9116568E-001	0
5.0348599E+003	1.716819977278647E+001	-2.9300627E-001	-5.819551455957261E-002	1.7051651E-005	-2.9316565E-001	0
5.1063965E+003	1.736819976773404E+001	-2.9500425E-001	-5.777151116471961E-002	1.7042841E-005	-2.9516566E-001	0
5.1779121E+003	1.756819976268162E+001	-2.9703489E-001	-5.736576497677282E-002	1.7039634E-005	-2.9716566E-001	0
5.2482412E+003	1.776819975762919E+001	-2.9898679E-001	-5.696894973094101E-002	1.7032964E-005	-2.9916567E-001	0
5.3245347E+003	1.796819975257677E+001	-3.0098477E-001	-5.652790176185873E-002	1.7014037E-005	-3.0116567E-001	0
5.3945908E+003	1.816819974752434E+001	-3.0300605E-001	-5.616849363631582E-002	1.7019394E-005	-3.0316567E-001	0
5.4690898E+003	1.836819974247192E+001	-3.0500168E-001	-5.576826718238809E-002	1.7009415E-005	-3.0516568E-001	0
5.5441968E+003	1.856819973741949E+001	-3.0703551E-001	-5.537961918940948E-002	1.7003509E-005	-3.0716565E-001	0
