EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/12/2026 17:25:40.985
Technique started on : 02/12/2026 17:25:43.824
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_2_12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.839400134835159E+000	-1.5092191E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.839200008529588E+000	-2.1596432E-002	0.000000000000000E+000	0.0000000E+000	-1.9982000E-001	0
1.1550259E+003	8.039200003477163E+000	-2.0155954E-001	-1.745065210759642E-001	3.5173456E-005	-2.0171978E-001	0
9.0471521E+002	8.159200000445708E+000	-2.0267564E-001	-2.240214745419058E-001	4.5403696E-005	-2.0291986E-001	0
1.0345446E+003	8.369199995140661E+000	-2.0477192E-001	-1.979343647975682E-001	4.0531399E-005	-2.0501982E-001	0
1.1411554E+003	8.569199990088237E+000	-2.0680851E-001	-1.812273004639247E-001	3.7479349E-005	-2.0701982E-001	0
1.2278217E+003	8.769199985035812E+000	-2.0882346E-001	-1.700763719889191E-001	3.5515935E-005	-2.0901985E-001	0
1.3012000E+003	8.969199979983387E+000	-2.1082313E-001	-1.620220941303470E-001	3.4158005E-005	-2.1101981E-001	0
1.3651593E+003	9.169199974930962E+000	-2.1284243E-001	-1.559103250549998E-001	3.3184333E-005	-2.1301973E-001	0
1.4221609E+003	9.369199969878537E+000	-2.1479423E-001	-1.510337037984661E-001	3.2441170E-005	-2.1501960E-001	0
1.4747906E+003	9.569199964826112E+000	-2.1680462E-001	-1.470070506156735E-001	3.1871808E-005	-2.1701950E-001	0
1.5236874E+003	9.769199959773687E+000	-2.1880206E-001	-1.436003600247207E-001	3.1420055E-005	-2.1901937E-001	0
1.5695679E+003	9.969199954721262E+000	-2.2082306E-001	-1.406903582764475E-001	3.1067677E-005	-2.2101928E-001	0
1.6117400E+003	1.016919994966884E+001	-2.2281730E-001	-1.382464319129651E-001	3.0803698E-005	-2.2301918E-001	0
1.6533427E+003	1.036919994461641E+001	-2.2480458E-001	-1.359697419668540E-001	3.0566622E-005	-2.2501905E-001	0
1.6932981E+003	1.056919993956399E+001	-2.2681963E-001	-1.339513925210378E-001	3.0382806E-005	-2.2701897E-001	0
1.7314922E+003	1.076919993451156E+001	-2.2879925E-001	-1.321399329956667E-001	3.0233517E-005	-2.2901884E-001	0
1.7682808E+003	1.096919992945914E+001	-2.3082447E-001	-1.305360987628319E-001	3.0130926E-005	-2.3101872E-001	0
1.8048754E+003	1.116919992440671E+001	-2.3279925E-001	-1.289835577575136E-001	3.0027275E-005	-2.3301861E-001	0
1.8399124E+003	1.136919991935429E+001	-2.3482129E-001	-1.276263424888033E-001	2.9969382E-005	-2.3501851E-001	0
1.8753549E+003	1.156919991430186E+001	-2.3683633E-001	-1.262888042900348E-001	2.9909777E-005	-2.3701841E-001	0
1.9107135E+003	1.176919990924944E+001	-2.3879640E-001	-1.249776086442664E-001	2.9844203E-005	-2.3901831E-001	0
1.9434688E+003	1.196919990419701E+001	-2.4080870E-001	-1.239066450643329E-001	2.9837798E-005	-2.4101816E-001	0
1.9789036E+003	1.216919989914459E+001	-2.4280444E-001	-1.226964468282135E-001	2.9791241E-005	-2.4301808E-001	0
2.0117109E+003	1.236899989409721E+001	-2.4481337E-001	-1.216941088640767E-001	2.9792345E-005	-2.4501795E-001	0
2.0447073E+003	1.256899988904479E+001	-2.4681993E-001	-1.207116182202943E-001	2.9794033E-005	-2.4701785E-001	0
2.0776023E+003	1.276899988399236E+001	-2.4878408E-001	-1.197457618160329E-001	2.9790839E-005	-2.4901776E-001	0
2.1102168E+003	1.296899987893994E+001	-2.5080252E-001	-1.188515363147062E-001	2.9808265E-005	-2.5101766E-001	0
2.1422598E+003	1.316899987388751E+001	-2.5278342E-001	-1.179984966440805E-001	2.9828063E-005	-2.5301754E-001	0
2.1749119E+003	1.336899986883509E+001	-2.5479379E-001	-1.171513139840444E-001	2.9849427E-005	-2.5501743E-001	0
2.2083533E+003	1.356899986378266E+001	-2.5681689E-001	-1.162933880872932E-001	2.9866107E-005	-2.5701731E-001	0
2.2398528E+003	1.376899985873024E+001	-2.5881243E-001	-1.155488512451313E-001	2.9905479E-005	-2.5901723E-001	0
2.2744265E+003	1.396899985367781E+001	-2.6083875E-001	-1.146833036409562E-001	2.9913850E-005	-2.6101711E-001	0
2.3062104E+003	1.416899984862539E+001	-2.6276171E-001	-1.139365762943094E-001	2.9938170E-005	-2.6301700E-001	0
2.3401296E+003	1.436899984357296E+001	-2.6479504E-001	-1.131540054239992E-001	2.9962619E-005	-2.6501688E-001	0
2.3752766E+003	1.456899983852054E+001	-2.6683068E-001	-1.123366767736975E-001	2.9974872E-005	-2.6701677E-001	0
2.4093411E+003	1.476899983346812E+001	-2.6879966E-001	-1.115656325629493E-001	2.9988805E-005	-2.6901668E-001	0
2.4433096E+003	1.496899982841569E+001	-2.7079332E-001	-1.108305425237437E-001	3.0012170E-005	-2.7101654E-001	0
2.4804656E+003	1.516899982336327E+001	-2.7280605E-001	-1.099817958341534E-001	3.0003699E-005	-2.7301645E-001	0
2.5152771E+003	1.536899981831084E+001	-2.7477607E-001	-1.092428595119082E-001	3.0017323E-005	-2.7501634E-001	0
2.5484592E+003	1.556899981325842E+001	-2.7678645E-001	-1.086093257360852E-001	3.0061590E-005	-2.7701622E-001	0
2.5851665E+003	1.576899980820599E+001	-2.7878919E-001	-1.078418666568668E-001	3.0065146E-005	-2.7901611E-001	0
2.6206494E+003	1.596889980315609E+001	-2.8078583E-001	-1.071436085284863E-001	3.0084408E-005	-2.8101692E-001	0
2.6566187E+003	1.616879979810619E+001	-2.8279787E-001	-1.064503091068567E-001	3.0103922E-005	-2.8301591E-001	0
2.6928970E+003	1.636879979305377E+001	-2.8481314E-001	-1.057645885206235E-001	3.0123145E-005	-2.8501579E-001	0
2.7296755E+003	1.656879978800134E+001	-2.8682753E-001	-1.050775160700459E-001	3.0139125E-005	-2.8701571E-001	0
2.7656396E+003	1.676879978294892E+001	-2.8882480E-001	-1.044332754646181E-001	3.0162919E-005	-2.8901559E-001	0
2.8020842E+003	1.696879977789649E+001	-2.9084831E-001	-1.037971312085131E-001	3.0189221E-005	-2.9101548E-001	0
2.8390300E+003	1.716879977284407E+001	-2.9281986E-001	-1.031408063600643E-001	3.0201676E-005	-2.9301536E-001	0
2.8751609E+003	1.736879976779164E+001	-2.9479909E-001	-1.025330799625435E-001	3.0226658E-005	-2.9501525E-001	0
2.9131116E+003	1.756879976273922E+001	-2.9681391E-001	-1.018889589676562E-001	3.0242059E-005	-2.9701516E-001	0
2.9520417E+003	1.776879975768679E+001	-2.9880071E-001	-1.012183191611639E-001	3.0244106E-005	-2.9901505E-001	0
2.9904519E+003	1.796879975263437E+001	-3.0081645E-001	-1.005923029789257E-001	3.0259818E-005	-3.0101493E-001	0
3.0289480E+003	1.816879974758194E+001	-3.0282533E-001	-9.997706429699194E-002	3.0275587E-005	-3.0301484E-001	0
3.0726243E+003	1.836879974252952E+001	-3.0480304E-001	-9.919958268218343E-002	3.0236335E-005	-3.0501470E-001	0
3.1134954E+003	1.856879973747709E+001	-3.0680004E-001	-9.853878070002686E-002	3.0231702E-005	-3.0701458E-001	0
3.1532761E+003	1.876879973242467E+001	-3.0880278E-001	-9.793077983582987E-002	3.0241297E-005	-3.0901450E-001	0
3.1923149E+003	1.896879972737224E+001	-3.1081638E-001	-9.736394803536025E-002	3.0262310E-005	-3.1101435E-001	0
3.2325723E+003	1.916879972231982E+001	-3.1282949E-001	-9.677417165612456E-002	3.0273815E-005	-3.1301427E-001	0
3.2743711E+003	1.936879971726739E+001	-3.1479895E-001	-9.614028200209401E-002	3.0264860E-005	-3.1501415E-001	0
