EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/12/2026 16:51:47.084
Technique started on : 02/12/2026 16:51:49.765
Loaded Setting File :  NONE
Saved on :
	File : Pt_2_12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.4342731E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-8.0445707E-003	0.000000000000000E+000	0.0000000E+000	-1.9998936E-001	0
3.5853562E+003	7.881199995972565E+000	-2.0167772E-001	-5.625040127866668E-002	1.1344453E-005	-2.0188914E-001	0
1.3261638E+003	8.001199992941110E+000	-2.0291312E-001	-1.530075830084331E-001	3.1047246E-005	-2.0308921E-001	0
1.4286700E+003	8.211199987636064E+000	-2.0502919E-001	-1.435105309192339E-001	2.9423847E-005	-2.0518920E-001	0
1.5763640E+003	8.411199982583639E+000	-2.0705980E-001	-1.313527837636426E-001	2.7197881E-005	-2.0718917E-001	0
1.7062357E+003	8.611199977531214E+000	-2.0905916E-001	-1.225265445591051E-001	2.5615296E-005	-2.0918907E-001	0
1.8227203E+003	8.811199972478789E+000	-2.1109736E-001	-1.158144500501481E-001	2.4448125E-005	-2.1118899E-001	0
1.9270214E+003	9.011199967426364E+000	-2.1305490E-001	-1.105617732992247E-001	2.3555727E-005	-2.1318890E-001	0
2.0246013E+003	9.211199962373939E+000	-2.1502413E-001	-1.062056621390899E-001	2.2836781E-005	-2.1518880E-001	0
2.1145156E+003	9.411199957321514E+000	-2.1707569E-001	-1.026597735852151E-001	2.2284941E-005	-2.1718870E-001	0
2.2007986E+003	9.611199952269089E+000	-2.1909688E-001	-9.955335414362304E-002	2.1811829E-005	-2.1918860E-001	0
2.2824714E+003	9.811199947216664E+000	-2.2105251E-001	-9.684787984660836E-002	2.1408467E-005	-2.2118849E-001	0
2.3620208E+003	1.001119994216424E+001	-2.2302429E-001	-9.442097425847296E-002	2.1058171E-005	-2.2318839E-001	0
2.4400056E+003	1.021119993711181E+001	-2.2506587E-001	-9.223989626158335E-002	2.0760053E-005	-2.2518829E-001	0
2.5131907E+003	1.041119993205939E+001	-2.2702110E-001	-9.033182780617399E-002	2.0507230E-005	-2.2718817E-001	0
2.5857817E+003	1.061119992700696E+001	-2.2904907E-001	-8.858020638766156E-002	2.0289213E-005	-2.2918807E-001	0
2.6587222E+003	1.081119992195454E+001	-2.3111272E-001	-8.692624073743760E-002	2.0089759E-005	-2.3118800E-001	0
2.7283540E+003	1.101119991690211E+001	-2.3307323E-001	-8.542631599469253E-002	1.9910587E-005	-2.3318790E-001	0
2.7958098E+003	1.121119991184969E+001	-2.3507515E-001	-8.408123299652695E-002	1.9765408E-005	-2.3518780E-001	0
2.8666648E+003	1.141119990679726E+001	-2.3705518E-001	-8.269371944764781E-002	1.9602974E-005	-2.3718770E-001	0
2.9343765E+003	1.161119990174484E+001	-2.3903437E-001	-8.146002060837215E-002	1.9471745E-005	-2.3918758E-001	0
2.9992488E+003	1.181119989669241E+001	-2.4104837E-001	-8.036958193723232E-002	1.9372956E-005	-2.4118748E-001	0
3.0686333E+003	1.201109989164252E+001	-2.4304405E-001	-7.920270495778386E-002	1.9249746E-005	-2.4318737E-001	0
3.1332314E+003	1.221099988659262E+001	-2.4507211E-001	-7.821704550432973E-002	1.9168816E-005	-2.4518727E-001	0
3.1975991E+003	1.241099988154019E+001	-2.4704726E-001	-7.726023368148827E-002	1.9086929E-005	-2.4718718E-001	0
3.2623367E+003	1.261099987648777E+001	-2.4908461E-001	-7.635159672991865E-002	1.9018007E-005	-2.4918708E-001	0
3.3266931E+003	1.281099987143534E+001	-2.5110731E-001	-7.548255696861039E-002	1.8954221E-005	-2.5118700E-001	0
3.3905120E+003	1.301099986638292E+001	-2.5308058E-001	-7.464376284187568E-002	1.8890887E-005	-2.5318691E-001	0
3.4560083E+003	1.321099986133049E+001	-2.5509709E-001	-7.381264059888837E-002	1.8829391E-005	-2.5518677E-001	0
3.5180208E+003	1.341099985627807E+001	-2.5707352E-001	-7.307334040933622E-002	1.8785220E-005	-2.5718671E-001	0
3.5797227E+003	1.361099985122564E+001	-2.5904256E-001	-7.236386168708026E-002	1.8745321E-005	-2.5918660E-001	0
3.6414783E+003	1.381099984617322E+001	-2.6103362E-001	-7.168342238619418E-002	1.8711784E-005	-2.6118651E-001	0
3.7035161E+003	1.401099984112079E+001	-2.6306671E-001	-7.103160918740936E-002	1.8686052E-005	-2.6318640E-001	0
3.7656812E+003	1.421099983606837E+001	-2.6503569E-001	-7.038187310511435E-002	1.8653709E-005	-2.6518631E-001	0
3.8287422E+003	1.441099983101594E+001	-2.6703867E-001	-6.974579445023060E-002	1.8624825E-005	-2.6718619E-001	0
3.8891750E+003	1.461099982596352E+001	-2.6907578E-001	-6.918582277976459E-002	1.8616229E-005	-2.6918608E-001	0
