EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/17/2026 15:52:09.506
Technique started on : 02/17/2026 15:52:12.188
Loaded Setting File :  NONE
Saved on :
	File : Ni10Co10_2-17_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.4937896E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-2.2419456E-002	0.000000000000000E+000	0.0000000E+000	-1.9981687E-001	0
4.0121711E+003	7.882199996020063E+000	-2.0152152E-001	-5.022754794103101E-002	1.0121931E-005	-2.0171665E-001	0
1.3470948E+003	8.002199992988608E+000	-2.0277238E-001	-1.505256890195746E-001	3.0522453E-005	-2.0291670E-001	0
1.4791642E+003	8.212199987683562E+000	-2.0486055E-001	-1.384975121255172E-001	2.8372677E-005	-2.0501669E-001	0
1.6475121E+003	8.412199982631137E+000	-2.0687631E-001	-1.255689158459155E-001	2.5977233E-005	-2.0701668E-001	0
1.7938052E+003	8.612199977578712E+000	-2.0886187E-001	-1.164350926827498E-001	2.4318852E-005	-2.0901658E-001	0
1.9231989E+003	8.812199972526287E+000	-2.1086486E-001	-1.096427762361403E-001	2.3119808E-005	-2.1101646E-001	0
2.0377340E+003	9.012199967473862E+000	-2.1287356E-001	-1.044658229901736E-001	2.2238011E-005	-2.1301636E-001	0
2.1395862E+003	9.212199962421437E+000	-2.1489771E-001	-1.004389146344984E-001	2.1584092E-005	-2.1501625E-001	0
2.2410486E+003	9.412199957369012E+000	-2.1690577E-001	-9.678762234417948E-002	2.0993793E-005	-2.1701612E-001	0
2.3294634E+003	9.612199952316587E+000	-2.1886714E-001	-9.395603472187419E-002	2.0563888E-005	-2.1901600E-001	0
2.4167166E+003	9.812199947264162E+000	-2.2089152E-001	-9.140150257821293E-002	2.0189816E-005	-2.2101590E-001	0
2.4999856E+003	1.001219994221174E+001	-2.2286412E-001	-8.914616347666460E-002	1.9867481E-005	-2.2301580E-001	0
2.5781885E+003	1.021219993715931E+001	-2.2488196E-001	-8.722479633834893E-002	1.9615283E-005	-2.2501568E-001	0
2.6541980E+003	1.041219993210689E+001	-2.2686347E-001	-8.547345687880203E-002	1.9390805E-005	-2.2701554E-001	0
2.7269031E+003	1.061219992705446E+001	-2.2884944E-001	-8.392283374120568E-002	1.9205694E-005	-2.2901545E-001	0
2.7983838E+003	1.081219992200204E+001	-2.3087619E-001	-8.250340277988011E-002	1.9048071E-005	-2.3101532E-001	0
2.8673596E+003	1.101219991694961E+001	-2.3285961E-001	-8.121046655211650E-002	1.8910638E-005	-2.3301522E-001	0
2.9347729E+003	1.121219991189719E+001	-2.3487467E-001	-8.003163221503373E-002	1.8797404E-005	-2.3501512E-001	0
2.9992400E+003	1.141219990684476E+001	-2.3686637E-001	-7.897546263612276E-002	1.8706631E-005	-2.3701499E-001	0
3.0643735E+003	1.161209990179486E+001	-2.3882210E-001	-7.793504929455508E-002	1.8612613E-005	-2.3901510E-001	0
3.1287402E+003	1.181199989674496E+001	-2.4084853E-001	-7.697939381210328E-002	1.8540373E-005	-2.4101475E-001	0
3.1902864E+003	1.201199989169254E+001	-2.4281901E-001	-7.611198086595650E-002	1.8481436E-005	-2.4301465E-001	0
3.2539885E+003	1.221199988664011E+001	-2.4487163E-001	-7.525276363502059E-002	1.8427267E-005	-2.4501456E-001	0
3.3120947E+003	1.241199988158769E+001	-2.4685125E-001	-7.453024878679781E-002	1.8397885E-005	-2.4701443E-001	0
3.3725310E+003	1.261199987653526E+001	-2.4882683E-001	-7.378044551187712E-002	1.8358554E-005	-2.4901432E-001	0
3.4301865E+003	1.281199987148284E+001	-2.5090259E-001	-7.314546491217949E-002	1.8352386E-005	-2.5101420E-001	0
3.4873213E+003	1.301199986643041E+001	-2.5283572E-001	-7.250141432295498E-002	1.8330948E-005	-2.5301409E-001	0
3.5498994E+003	1.321199986137799E+001	-2.5484949E-001	-7.179062618544552E-002	1.8295805E-005	-2.5501400E-001	0
3.6039512E+003	1.341199985632556E+001	-2.5688961E-001	-7.127999015312980E-002	1.8311090E-005	-2.5701386E-001	0
3.6605850E+003	1.361199985127314E+001	-2.5881743E-001	-7.070384394058604E-002	1.8299388E-005	-2.5901374E-001	0
3.7178706E+003	1.381199984622072E+001	-2.6084372E-001	-7.015944101537286E-002	1.8300650E-005	-2.6101366E-001	0
3.7720122E+003	1.401199984116829E+001	-2.6282930E-001	-6.967880611219240E-002	1.8313633E-005	-2.6301354E-001	0
3.8280447E+003	1.421199983611587E+001	-2.6480448E-001	-6.917486564718756E-002	1.8317814E-005	-2.6501343E-001	0
3.8825642E+003	1.441199983106344E+001	-2.6681846E-001	-6.872222783115789E-002	1.8336359E-005	-2.6701331E-001	0
3.9352349E+003	1.461199982601102E+001	-2.6883033E-001	-6.831366698523711E-002	1.8364786E-005	-2.6901320E-001	0
