EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/05/2026 17:13:41.507
Technique started on : 02/05/2026 17:13:44.188
Loaded Setting File :  NONE
Saved on :
	File : Pt_40_PdNiCo_01_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.5578175E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-2.9336993E-002	0.000000000000000E+000	0.0000000E+000	-1.9997612E-001	0
1.7788270E+003	7.881199995972565E+000	-2.0175216E-001	-1.134186454862356E-001	2.2882456E-005	-2.0187590E-001	0
1.2461978E+003	8.001199992941110E+000	-2.0288484E-001	-1.628030794207005E-001	3.3030276E-005	-2.0307595E-001	0
1.4805471E+003	8.211199987636064E+000	-2.0504208E-001	-1.384907537171622E-001	2.8396433E-005	-2.0517595E-001	0
1.6884565E+003	8.411199982583639E+000	-2.0706712E-001	-1.226369211367857E-001	2.5394074E-005	-2.0717590E-001	0
1.8625128E+003	8.611199977531214E+000	-2.0906286E-001	-1.122477415298658E-001	2.3466833E-005	-2.0917581E-001	0
2.0128845E+003	8.811199972478789E+000	-2.1108747E-001	-1.048681449721613E-001	2.2136352E-005	-2.1117575E-001	0
2.1455522E+003	9.011199967426364E+000	-2.1310315E-001	-9.932321742759909E-002	2.1166090E-005	-2.1317568E-001	0
2.2664868E+003	9.211199962373939E+000	-2.1506283E-001	-9.488818711493491E-002	2.0406922E-005	-2.1517560E-001	0
2.3770012E+003	9.411199957321514E+000	-2.1698621E-001	-9.128569555680066E-002	1.9807738E-005	-2.1717554E-001	0
2.4821836E+003	9.611199952269089E+000	-2.1900508E-001	-8.823081244589970E-002	1.9322995E-005	-2.1917549E-001	0
2.5800190E+003	9.811199947216664E+000	-2.2106682E-001	-8.568417813360685E-002	1.8941928E-005	-2.2117540E-001	0
2.6749397E+003	1.001119994216424E+001	-2.2310287E-001	-8.340482421001826E-002	1.8607856E-005	-2.2317535E-001	0
2.7610930E+003	1.021119993711181E+001	-2.2502881E-001	-8.149990231504067E-002	1.8339826E-005	-2.2517529E-001	0
2.8466016E+003	1.041119993205939E+001	-2.2708757E-001	-7.977497574182663E-002	1.8115905E-005	-2.2717522E-001	0
2.9300095E+003	1.061119992700696E+001	-2.2908375E-001	-7.818532744876594E-002	1.7910988E-005	-2.2917517E-001	0
3.0120334E+003	1.081119992195454E+001	-2.3109923E-001	-7.672531986049469E-002	1.7731163E-005	-2.3117508E-001	0
3.0885388E+003	1.101119991690211E+001	-2.3309410E-001	-7.547066934552471E-002	1.7591767E-005	-2.3317501E-001	0
3.1661221E+003	1.121119991184969E+001	-2.3511043E-001	-7.425817106311897E-002	1.7458871E-005	-2.3517494E-001	0
3.2420693E+003	1.141119990679726E+001	-2.3707668E-001	-7.312511011288680E-002	1.7336259E-005	-2.3717487E-001	0
3.3135725E+003	1.161119990174484E+001	-2.3908961E-001	-7.215463386134764E-002	1.7251423E-005	-2.3917481E-001	0
3.3866611E+003	1.181119989669241E+001	-2.4106012E-001	-7.117928518932681E-002	1.7158487E-005	-2.4117473E-001	0
3.4592036E+003	1.201119989163999E+001	-2.4305882E-001	-7.026438668788426E-002	1.7078379E-005	-2.4317467E-001	0
3.5312822E+003	1.221119988658756E+001	-2.4504906E-001	-6.939379109308334E-002	1.7004882E-005	-2.4517460E-001	0
3.5995513E+003	1.241119988153514E+001	-2.4704224E-001	-6.863139771387528E-002	1.6954855E-005	-2.4717452E-001	0
3.6712458E+003	1.261119987648271E+001	-2.4904478E-001	-6.783658246268989E-002	1.6894346E-005	-2.4917449E-001	0
3.7388108E+003	1.281119987143029E+001	-2.5104204E-001	-6.714488824252940E-002	1.6856189E-005	-2.5117442E-001	0
3.8070813E+003	1.301119986637787E+001	-2.5306219E-001	-6.647144132050908E-002	1.6821408E-005	-2.5317436E-001	0
3.8740774E+003	1.321119986132544E+001	-2.5509295E-001	-6.584611576094868E-002	1.6796879E-005	-2.5517431E-001	0
3.9423923E+003	1.341119985627302E+001	-2.5709292E-001	-6.521241527046540E-002	1.6765651E-005	-2.5717425E-001	0
4.0069390E+003	1.361109985122312E+001	-2.5905904E-001	-6.465260638239606E-002	1.6748842E-005	-2.5917503E-001	0
4.0737925E+003	1.381099984617322E+001	-2.6105154E-001	-6.408071641275936E-002	1.6728369E-005	-2.6117411E-001	0
4.1401606E+003	1.401099984112079E+001	-2.6310858E-001	-6.355032828887741E-002	1.6720636E-005	-2.6317403E-001	0
4.2081685E+003	1.421099983606837E+001	-2.6506931E-001	-6.298923648021670E-002	1.6696513E-005	-2.6517394E-001	0
4.2737710E+003	1.441099983101594E+001	-2.6706612E-001	-6.248957296736254E-002	1.6688848E-005	-2.6717389E-001	0
4.3382290E+003	1.461099982596352E+001	-2.6906356E-001	-6.202152245751957E-002	1.6687733E-005	-2.6917383E-001	0
4.4045986E+003	1.481099982091109E+001	-2.7107838E-001	-6.154440151466267E-002	1.6683356E-005	-2.7117375E-001	0
4.4703384E+003	1.501099981585867E+001	-2.7303132E-001	-6.107621118289064E-002	1.6675718E-005	-2.7317366E-001	0
4.5351948E+003	1.521099981080624E+001	-2.7506986E-001	-6.065226847711358E-002	1.6683611E-005	-2.7517363E-001	0
4.6009561E+003	1.541099980575382E+001	-2.7705801E-001	-6.021748407946614E-002	1.6683736E-005	-2.7717358E-001	0
4.6644189E+003	1.561099980070139E+001	-2.7903229E-001	-5.982144500863845E-002	1.6692115E-005	-2.7917349E-001	0
4.7320962E+003	1.581099979564897E+001	-2.8107938E-001	-5.939849358275839E-002	1.6695692E-005	-2.8117341E-001	0
4.7927466E+003	1.601099979059654E+001	-2.8308892E-001	-5.906611567684128E-002	1.6720964E-005	-2.8317332E-001	0
4.8601724E+003	1.621099978554412E+001	-2.8504968E-001	-5.865011808606047E-002	1.6718197E-005	-2.8517327E-001	0
4.9234814E+003	1.641099978049169E+001	-2.8704247E-001	-5.830071352806598E-002	1.6734781E-005	-2.8717321E-001	0
4.9865171E+003	1.661099977543927E+001	-2.8905770E-001	-5.796785732148346E-002	1.6756056E-005	-2.8917316E-001	0
5.0511719E+003	1.681099977038684E+001	-2.9109272E-001	-5.762875243829235E-002	1.6775310E-005	-2.9117307E-001	0
5.1141924E+003	1.701099976533442E+001	-2.9304877E-001	-5.730108438110382E-002	1.6792012E-005	-2.9317302E-001	0
5.1783594E+003	1.721099976028199E+001	-2.9504111E-001	-5.697578739252385E-002	1.6810200E-005	-2.9517293E-001	0
5.2438208E+003	1.741099975522957E+001	-2.9706553E-001	-5.665058647694224E-002	1.6828937E-005	-2.9717290E-001	0
5.3096611E+003	1.761099975017714E+001	-2.9907525E-001	-5.632661506660352E-002	1.6845896E-005	-2.9917282E-001	0
5.3738076E+003	1.781099974512472E+001	-3.0108860E-001	-5.602891386281730E-002	1.6869668E-005	-3.0117273E-001	0
5.4373291E+003	1.801099974007229E+001	-3.0307990E-001	-5.574058565045015E-002	1.6893851E-005	-3.0317268E-001	0
