EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/05/2026 17:50:51.179
Technique started on : 02/05/2026 17:50:53.861
Loaded Setting File :  NONE
Saved on :
	File : Pt_Pd_Ni_40_Co_01_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6808093E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-3.8893864E-002	0.000000000000000E+000	0.0000000E+000	-1.9981110E-001	0
3.3240603E+003	7.882199996020063E+000	-2.0157160E-001	-6.064017502591014E-002	1.2223337E-005	-2.0171088E-001	0
1.4297023E+003	8.002199992988608E+000	-2.0272183E-001	-1.417930467453390E-001	2.8744547E-005	-2.0291094E-001	0
1.5783905E+003	8.212199987683562E+000	-2.0482598E-001	-1.297688934595116E-001	2.6580041E-005	-2.0501092E-001	0
1.7598007E+003	8.412199982631137E+000	-2.0694394E-001	-1.175951029811797E-001	2.4335595E-005	-2.0701084E-001	0
1.9129014E+003	8.612199977578712E+000	-2.0879582E-001	-1.091513749266937E-001	2.2790351E-005	-2.0901074E-001	0
2.0497866E+003	8.812199972526287E+000	-2.1086223E-001	-1.028703331077248E-001	2.1691469E-005	-2.1101061E-001	0
2.1705107E+003	9.012199967473862E+000	-2.1287665E-001	-9.807675568304575E-002	2.0878251E-005	-2.1301052E-001	0
2.2793433E+003	9.212199962421437E+000	-2.1487811E-001	-9.427193853668370E-002	2.0256975E-005	-2.1501039E-001	0
2.3807871E+003	9.412199957369012E+000	-2.1686558E-001	-9.108987165025750E-002	1.9754258E-005	-2.1701030E-001	0
2.4748450E+003	9.612199952316587E+000	-2.1883820E-001	-8.842501242153067E-002	1.9350771E-005	-2.1901019E-001	0
2.5608091E+003	9.812199947264162E+000	-2.2084819E-001	-8.624156708660169E-002	1.9046294E-005	-2.2101009E-001	0
2.6459958E+003	1.001219994221174E+001	-2.2282840E-001	-8.421343423810512E-002	1.8765146E-005	-2.2300997E-001	0
2.7241438E+003	1.021219993715931E+001	-2.2486551E-001	-8.254539029083530E-002	1.8561612E-005	-2.2500987E-001	0
2.8002463E+003	1.041219993210689E+001	-2.2686487E-001	-8.101604344289481E-002	1.8379695E-005	-2.2700977E-001	0
