EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -2.50 V, max = 2.50 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/06/2026 13:23:25.056
Technique started on : 02/06/2026 13:23:27.739
Loaded Setting File :  NONE
Saved on :
	File : Pt22.5Pd22.5Ni22.5Co22_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt20Pd20Ni40Co20
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -2.500              
E range max (V)     2.500               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.6806260E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-3.8690280E-002	0.000000000000000E+000	0.0000000E+000	-1.9992033E-001	0
6.1274526E+003	7.873199996320182E+000	-2.0164987E-001	3.290925061563021E-002	-6.6361463E-006	-2.0177020E-001	0
2.1657002E+003	7.928199994930765E+000	-2.0212395E-001	-9.332961243117777E-002	1.8864150E-005	-2.0232026E-001	0
1.5978838E+003	8.043199992025620E+000	-2.0331590E-001	-1.272407310928775E-001	2.5870064E-005	-2.0347025E-001	0
1.6938467E+003	8.158199989120476E+000	-2.0449004E-001	-1.207252324524299E-001	2.4687108E-005	-2.0462024E-001	0
1.7789344E+003	8.258199986594263E+000	-2.0551623E-001	-1.155277131366783E-001	2.3742821E-005	-2.0562021E-001	0
1.8619552E+003	8.358199984068051E+000	-2.0647007E-001	-1.108888541175811E-001	2.2895230E-005	-2.0662016E-001	0
1.9445818E+003	8.458199981541839E+000	-2.0752279E-001	-1.067184717221944E-001	2.2146516E-005	-2.0762013E-001	0
2.0204653E+003	8.558199979015626E+000	-2.0849001E-001	-1.031891080481862E-001	2.1513899E-005	-2.0862009E-001	0
2.0951133E+003	8.658199976489414E+000	-2.0945720E-001	-9.997416477374488E-002	2.0940310E-005	-2.0962007E-001	0
2.1660203E+003	8.758199973963201E+000	-2.1055260E-001	-9.720712393108344E-002	2.0467212E-005	-2.1062003E-001	0
2.2311345E+003	8.858199971436989E+000	-2.1153168E-001	-9.480902035203265E-002	2.0055111E-005	-2.1162000E-001	0
2.2971382E+003	8.958199968910776E+000	-2.1253113E-001	-9.251995678749680E-002	1.9663372E-005	-2.1261995E-001	0
2.3567717E+003	9.058199966384564E+000	-2.1348731E-001	-9.058463453591126E-002	1.9338670E-005	-2.1361992E-001	0
2.4161099E+003	9.158199963858351E+000	-2.1447998E-001	-8.877079064647342E-002	1.9039559E-005	-2.1461989E-001	0
2.4726021E+003	9.258199961332139E+000	-2.1551087E-001	-8.715955117993329E-002	1.8783830E-005	-2.1561986E-001	0
2.5260212E+003	9.358199958805926E+000	-2.1647680E-001	-8.569872342222540E-002	1.8551786E-005	-2.1661983E-001	0
2.5783611E+003	9.458199956279714E+000	-2.1741770E-001	-8.432399572080190E-002	1.8333529E-005	-2.1761978E-001	0
2.6311921E+003	9.558199953753501E+000	-2.1850330E-001	-8.304345687954784E-002	1.8145269E-005	-2.1861975E-001	0
2.6787053E+003	9.658199951227289E+000	-2.1947454E-001	-8.193306697325548E-002	1.7982222E-005	-2.1961972E-001	0
2.7303184E+003	9.758199948701076E+000	-2.2051176E-001	-8.076412389399845E-002	1.7809440E-005	-2.2061969E-001	0
2.7791223E+003	9.858199946174864E+000	-2.2150509E-001	-7.970325476317497E-002	1.7654676E-005	-2.2161965E-001	0
2.8229653E+003	9.958199943648651E+000	-2.2250879E-001	-7.882094373754031E-002	1.7538352E-005	-2.2261964E-001	0
