EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 03/09/2026 18:15:32.315
Technique started on : 03/09/2026 18:15:34.158
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi40_N52magA_flat_3-9_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo (Co40)
Initial state : 
Electrolyte : KOH (1M)
Comments : Magnet side A, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Eoc                 
EL (V)              -2.500              
vs.                 Eoc                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	1.843400087527698E+000	-2.6692957E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	6.843199961222126E+000	-5.4082841E-002	0.000000000000000E+000	0.0000000E+000	-2.5413546E-001	0
4.0966962E+002	7.043199956169701E+000	-2.5587508E-001	-6.245888845265117E-001	1.5981673E-004	-2.5603521E-001	0
4.3433820E+002	7.153199953390867E+000	-2.5611895E-001	-5.896763158022367E-001	1.5102729E-004	-2.5713530E-001	0
4.8438858E+002	7.353199948338442E+000	-2.6141593E-001	-5.396822767792564E-001	1.4108155E-004	-2.5913528E-001	0
5.1177802E+002	7.553199943286018E+000	-2.6283300E-001	-5.135683531444233E-001	1.3498271E-004	-2.6113531E-001	0
4.2307370E+002	7.753199938233593E+000	-2.6114118E-001	-6.172475086286457E-001	1.6118874E-004	-2.6313528E-001	0
1.4217737E+002	7.953199933181168E+000	-2.5399593E-001	-1.786472273276722E+000	4.5375669E-004	-2.6513529E-001	0
1.3097689E+003	8.153199928128743E+000	-2.7120277E-001	-2.070615462506882E-001	5.6155666E-005	-2.6713529E-001	0
9.0791656E+002	8.353199923076318E+000	-2.6551408E-001	-2.924432539032118E-001	7.7647797E-005	-2.6913527E-001	0
1.5774533E+002	8.553199918023893E+000	-2.7341145E-001	-1.733245909957386E+000	4.7388929E-004	-2.7113530E-001	0
1.1844147E+003	8.753199912971468E+000	-2.7389514E-001	-2.312493626901547E-001	6.3338077E-005	-2.7313530E-001	0
1.2510729E+003	8.953199907919043E+000	-2.7956939E-001	-2.234637122712142E-001	6.2473613E-005	-2.7513531E-001	0
5.1516245E+003	9.153199902866618E+000	-2.7847248E-001	-5.405527565949486E-002	1.5052907E-005	-2.7713528E-001	0
7.9508057E+002	9.353199897814193E+000	-2.7646682E-001	3.477217728174917E-001	-9.6133532E-005	-2.7913529E-001	0
6.8263275E+002	9.553199892761768E+000	-2.8209943E-001	-4.132520991103581E-001	1.1657818E-004	-2.8113529E-001	0
1.3561577E+003	9.753199887709343E+000	-2.8610325E-001	-2.109660632636960E-001	6.0358077E-005	-2.8313529E-001	0
1.3176412E+003	9.953199882656918E+000	-2.8536797E-001	-2.165748545817632E-001	6.1803526E-005	-2.8513527E-001	0
3.2508496E+002	1.015319987760449E+001	-2.9033667E-001	-8.931100860178951E-001	2.5930261E-004	-2.8713527E-001	0
5.0037375E+002	1.035319987255207E+001	-2.8738841E-001	-5.743474881001260E-001	1.6506082E-004	-2.8913528E-001	0
5.5800769E+002	1.055319986749964E+001	-2.9042473E-001	-5.204672387227216E-001	1.5115656E-004	-2.9113528E-001	0
3.0928207E+002	1.075319986244722E+001	-2.9076162E-001	-9.401179228654861E-001	2.7335022E-004	-2.9313529E-001	0
5.5842566E+002	1.095319985739479E+001	-2.9452118E-001	-5.274134118272542E-001	1.5533442E-004	-2.9513529E-001	0
1.0533269E+003	1.115319985234237E+001	-2.9846650E-001	-2.833560021346546E-001	8.4572275E-005	-2.9713526E-001	0
3.1864216E+003	1.135319984728994E+001	-2.9752737E-001	-9.337350970969438E-002	2.7781174E-005	-2.9913530E-001	0
6.6072107E+002	1.155319984223752E+001	-3.0185905E-001	-4.568630599663903E-001	1.3790825E-004	-3.0113530E-001	0
8.3337408E+002	1.175319983718509E+001	-3.0384493E-001	-3.645960736371441E-001	1.1078067E-004	-3.0313531E-001	0
5.1148373E+002	1.201319983061694E+001	-3.0591899E-001	-5.981011193435215E-001	1.8297049E-004	-3.0573526E-001	0
6.2392975E+002	1.233319982253306E+001	-3.0886373E-001	-4.950296505587968E-001	1.5289670E-004	-3.0893528E-001	0
6.2507263E+002	1.265319981444918E+001	-3.1202453E-001	-4.991812288145541E-001	1.5575679E-004	-3.1213528E-001	0
6.3917676E+002	1.297319980636530E+001	-3.1524804E-001	-4.932095109285332E-001	1.5548333E-004	-3.1533530E-001	0
6.4795374E+002	1.329319979828142E+001	-3.1844270E-001	-4.914590066838964E-001	1.5650154E-004	-3.1853527E-001	0
6.6722992E+002	1.361319979019754E+001	-3.2165852E-001	-4.820804822071025E-001	1.5506530E-004	-3.2173526E-001	0
6.5324963E+002	1.393319978211366E+001	-3.2485124E-001	-4.972849986297128E-001	1.6154365E-004	-3.2493529E-001	0
6.6726447E+002	1.426319977377716E+001	-3.2814261E-001	-4.917729353452476E-001	1.6137166E-004	-3.2823524E-001	0
6.7641144E+002	1.459319976544066E+001	-3.3145979E-001	-4.900268991712196E-001	1.6242421E-004	-3.3153531E-001	0
6.8835120E+002	1.491319975735678E+001	-3.3465081E-001	-4.861629140300288E-001	1.6269482E-004	-3.3473527E-001	0
6.9081146E+002	1.523319974927290E+001	-3.3785811E-001	-4.890742512580673E-001	1.6523770E-004	-3.3793527E-001	0
7.0155389E+002	1.555319974118902E+001	-3.4104604E-001	-4.861295054262680E-001	1.6579255E-004	-3.4113529E-001	0
3.7879794E+002	1.583319973411562E+001	-3.5266232E-001	9.310037946256466E-001	-3.2832997E-004	-3.4393528E-001	0
7.2136438E+002	1.614319972628437E+001	-3.4691319E-001	-4.809125432794672E-001	1.6683490E-004	-3.4703532E-001	0
7.3197284E+002	1.646319971820049E+001	-3.5014218E-001	-4.783540765173600E-001	1.6749193E-004	-3.5023531E-001	0
7.3756262E+002	1.678319971011661E+001	-3.5335949E-001	-4.790908166284833E-001	1.6929129E-004	-3.5343534E-001	0
7.4045575E+002	1.710319970203273E+001	-3.5655794E-001	-4.815384788391448E-001	1.7169636E-004	-3.5663533E-001	0
7.5856055E+002	1.744319969344360E+001	-3.5993135E-001	-4.744925772807846E-001	1.7078476E-004	-3.6003533E-001	0
9.0159662E+002	1.773319968611759E+001	-3.6002642E-001	-3.993209598701912E-001	1.4376610E-004	-3.6293530E-001	0
5.3742523E+002	1.803319967853895E+001	-3.6693180E-001	-6.827587861019850E-001	2.5052592E-004	-3.6593533E-001	0
1.3979570E+003	1.832319967121293E+001	-3.7011620E-001	-2.647550687589151E-001	9.7990138E-005	-3.6883533E-001	0
5.0358921E+003	1.858319966464478E+001	-3.6943051E-001	7.335949443733014E-002	-2.7101236E-005	-3.7143531E-001	0
1.3564181E+003	1.884319965807663E+001	-3.7171820E-001	-2.740439806866384E-001	1.0186713E-004	-3.7403530E-001	0
3.4616140E+003	1.910319965150848E+001	-3.7927333E-001	-1.095654613967800E-001	4.1555257E-005	-3.7663531E-001	0
1.6198629E+003	1.936319964494032E+001	-3.7808317E-001	-2.334044149421715E-001	8.8246285E-005	-3.7923533E-001	0
1.0027833E+003	1.962319963837217E+001	-3.9349461E-001	-3.924024260708094E-001	1.5440823E-004	-3.8183531E-001	0
1.3985187E+003	1.988319963180402E+001	-3.8914904E-001	-2.782580327320887E-001	1.0828385E-004	-3.8443533E-001	0
2.0974189E+003	2.014319962523587E+001	-3.8935617E-001	-1.856358652501161E-001	7.2278468E-005	-3.8703531E-001	0
3.0620117E+003	2.040319961866771E+001	-4.0086991E-001	-1.309171725548315E-001	5.2480755E-005	-3.8963529E-001	0
1.7638992E+003	2.066319961209956E+001	-3.9002186E-001	-2.211134730074649E-001	8.6239088E-005	-3.9223534E-001	0
2.0348748E+003	2.092319960553141E+001	-3.9119008E-001	-1.922428287741402E-001	7.5203490E-005	-3.9483532E-001	0
1.2529126E+003	2.118319959896326E+001	-3.9551508E-001	-3.156765241264834E-001	1.2485482E-004	-3.9743531E-001	0
1.5111962E+003	2.144319959239510E+001	-3.9989477E-001	-2.646213600594232E-001	1.0582070E-004	-4.0003535E-001	0
1.5520752E+003	2.170319958582695E+001	-4.0210944E-001	-2.590785879293360E-001	1.0417795E-004	-4.0263534E-001	0
1.0472968E+003	2.196319957925880E+001	-4.0324321E-001	-3.850324511883350E-001	1.5526172E-004	-4.0523532E-001	0
1.9260449E+003	2.221319957294327E+001	-4.0768754E-001	-2.116708365792763E-001	8.6295564E-005	-4.0773535E-001	0
4.1896846E+003	2.243319956738560E+001	-4.0946677E-001	-9.773212598210146E-002	4.0018058E-005	-4.0993533E-001	0
4.3277451E+003	2.263319956233318E+001	-4.1179374E-001	-9.515203307161024E-002	3.9183011E-005	-4.1193530E-001	0
4.1660874E+003	2.286319955652289E+001	-4.1416544E-001	-9.941353151233545E-002	4.1173647E-005	-4.1423529E-001	0
4.2424165E+003	2.315319954919687E+001	-4.1705489E-001	-9.830597225562576E-002	4.0998988E-005	-4.1713530E-001	0
4.2671040E+003	2.347319954111299E+001	-4.2025396E-001	-9.848693250996998E-002	4.1389525E-005	-4.2033532E-001	0
4.2869512E+003	2.379319953302911E+001	-4.2344183E-001	-9.877459033733638E-002	4.1825293E-005	-4.2353535E-001	0
4.3448677E+003	2.411319952494523E+001	-4.2668092E-001	-9.820343763623374E-002	4.1901534E-005	-4.2673531E-001	0
4.3735679E+003	2.443319951686135E+001	-4.2986611E-001	-9.828728739092374E-002	4.2250373E-005	-4.2993534E-001	0
4.3871440E+003	2.475319950877747E+001	-4.3303922E-001	-9.870640307051137E-002	4.2743744E-005	-4.3313533E-001	0
4.3973325E+003	2.507319950069359E+001	-4.3625250E-001	-9.920844162388609E-002	4.3279932E-005	-4.3633536E-001	0
4.3919634E+003	2.539319949260971E+001	-4.3945098E-001	-1.000579828737521E-001	4.3970580E-005	-4.3953532E-001	0
4.4118325E+003	2.571319948452583E+001	-4.4264930E-001	-1.003323021269360E-001	4.4412023E-005	-4.4273528E-001	0
4.4910776E+003	2.603319947644195E+001	-4.4583926E-001	-9.927222700496319E-002	4.4259457E-005	-4.4593531E-001	0
4.4828647E+003	2.635319946835807E+001	-4.4905239E-001	-1.001708508141824E-001	4.4981960E-005	-4.4913533E-001	0
4.5155283E+003	2.667319946027419E+001	-4.5225182E-001	-1.001547936875486E-001	4.5295186E-005	-4.5233536E-001	0
4.5012119E+003	2.699319945219031E+001	-4.5543849E-001	-1.011813042636529E-001	4.6081859E-005	-4.5553535E-001	0
4.4775313E+003	2.731319944410643E+001	-4.5863682E-001	-1.024307370684703E-001	4.6978508E-005	-4.5873532E-001	0
4.5227446E+003	2.763319943602255E+001	-4.6185243E-001	-1.021177312384143E-001	4.7163321E-005	-4.6193528E-001	0
4.5536934E+003	2.795319942793867E+001	-4.6504045E-001	-1.021237949938747E-001	4.7491696E-005	-4.6513528E-001	0
4.5789097E+003	2.827319941985479E+001	-4.6825531E-001	-1.022634954254606E-001	4.7885424E-005	-4.6833530E-001	0
4.5653857E+003	2.859319941177091E+001	-4.7144720E-001	-1.032655763613080E-001	4.8684265E-005	-4.7153533E-001	0
4.6021606E+003	2.891319940368703E+001	-4.7462687E-001	-1.031313090790904E-001	4.8948892E-005	-4.7473529E-001	0
4.6129312E+003	2.923319939560315E+001	-4.7783428E-001	-1.035858220921715E-001	4.9496855E-005	-4.7793531E-001	0
4.6141475E+003	2.955319938751927E+001	-4.8104882E-001	-1.042551938276057E-001	5.0151837E-005	-4.8113534E-001	0
4.6272085E+003	2.987319937943539E+001	-4.8426592E-001	-1.046561655517675E-001	5.0681414E-005	-4.8433530E-001	0
4.6557300E+003	3.019319937135151E+001	-4.8746237E-001	-1.047015952902676E-001	5.1038089E-005	-4.8753533E-001	0
4.7018247E+003	3.051319936326763E+001	-4.9065474E-001	-1.043541055892748E-001	5.1201838E-005	-4.9073532E-001	0
4.7198813E+003	3.083319935518375E+001	-4.9385086E-001	-1.046320535925331E-001	5.1672629E-005	-4.9393535E-001	0
4.7262310E+003	3.115319934709987E+001	-4.9706683E-001	-1.051719242863824E-001	5.2277475E-005	-4.9713531E-001	0
4.8006577E+003	3.147319933901599E+001	-5.0026077E-001	-1.042067120457832E-001	5.2130530E-005	-5.0033528E-001	0
4.8434258E+003	3.179319933093211E+001	-5.0346589E-001	-1.039482981905815E-001	5.2334424E-005	-5.0353533E-001	0
4.8525444E+003	3.211319932284823E+001	-5.0664252E-001	-1.044075988132205E-001	5.2897329E-005	-5.0673532E-001	0
4.8949106E+003	3.243319931476435E+001	-5.0985277E-001	-1.041597648296253E-001	5.3106145E-005	-5.0993532E-001	0
4.9207178E+003	3.275319930668047E+001	-5.1305050E-001	-1.042633456629454E-001	5.3492360E-005	-5.1313531E-001	0
4.9153193E+003	3.307319929859659E+001	-5.1625746E-001	-1.050302980786034E-001	5.4222677E-005	-5.1633531E-001	0
4.9244800E+003	3.339319929051271E+001	-5.1943451E-001	-1.054800765801788E-001	5.4789991E-005	-5.1953530E-001	0
4.9407866E+003	3.371319928242883E+001	-5.2265507E-001	-1.057837739788400E-001	5.5288427E-005	-5.2273536E-001	0
4.9534170E+003	3.403319927434495E+001	-5.2585602E-001	-1.061602564601563E-001	5.5825010E-005	-5.2593535E-001	0
4.9673140E+003	3.435319926626107E+001	-5.2904159E-001	-1.065045641658011E-001	5.6345343E-005	-5.2913535E-001	0
4.9734800E+003	3.467319925817719E+001	-5.3225458E-001	-1.070185422223080E-001	5.6961107E-005	-5.3233534E-001	0
4.9904033E+003	3.499319925009331E+001	-5.3545052E-001	-1.072960405099863E-001	5.7451722E-005	-5.3553540E-001	0
5.0290815E+003	3.531319924200943E+001	-5.3864348E-001	-1.071057329829169E-001	5.7691806E-005	-5.3873533E-001	0
5.0071294E+003	3.563319923392555E+001	-5.4185337E-001	-1.082163738309003E-001	5.8637408E-005	-5.4193538E-001	0
1.2820609E+004	3.594319922609429E+001	-5.4396331E-001	4.242881983819780E-002	-2.3079721E-005	-5.4503530E-001	0
5.0505996E+003	3.625319921826303E+001	-5.4803610E-001	-1.085091177013000E-001	5.9466915E-005	-5.4813528E-001	0
5.4238706E+003	3.656319921043178E+001	-5.5055624E-001	-1.015061570466074E-001	5.5884848E-005	-5.5123526E-001	0
5.0628896E+003	3.686319920285314E+001	-5.5413264E-001	-1.094498766081123E-001	6.0649749E-005	-5.5423528E-001	0
5.1114849E+003	3.719319919451664E+001	-5.5740863E-001	-1.090502345990418E-001	6.0785544E-005	-5.5753535E-001	0
5.1432710E+003	3.752319918618014E+001	-5.6074411E-001	-1.090248060648660E-001	6.1135019E-005	-5.6083536E-001	0
4.7660952E+003	3.781319917885412E+001	-5.6346220E-001	-1.182230228462096E-001	6.6614208E-005	-5.6373531E-001	0
5.2011084E+003	3.812319917102286E+001	-5.6672829E-001	-1.089629798330147E-001	6.1752406E-005	-5.6683534E-001	0
4.9286050E+003	3.844319916293898E+001	-5.6930786E-001	-1.155109526365361E-001	6.5761291E-005	-5.7003534E-001	0
5.2666772E+003	3.876319915485510E+001	-5.7313633E-001	-1.088231309272976E-001	6.2370491E-005	-5.7323533E-001	0
3.3602612E+003	3.908319914677122E+001	-5.7725304E-001	-1.717881451562122E-001	9.9165227E-005	-5.7643533E-001	0
5.2675405E+003	3.940319913868734E+001	-5.7950306E-001	-1.100139675573577E-001	6.3753432E-005	-5.7963526E-001	0
5.3240317E+003	3.973319913035084E+001	-5.8281446E-001	-1.094686300567354E-001	6.3799896E-005	-5.8293533E-001	0
6.7551523E+003	4.005319912226696E+001	-5.8602083E-001	-8.675168011391210E-002	5.0838291E-005	-5.8613533E-001	0
4.4188306E+003	4.033319911519357E+001	-5.8986980E-001	-1.334900284746348E-001	7.8741738E-005	-5.8893532E-001	0
5.4342646E+003	4.066319910685706E+001	-5.9210223E-001	-1.089571953373163E-001	6.4513799E-005	-5.9223539E-001	0
5.7056685E+003	4.096319909927843E+001	-5.9467429E-001	-1.042251746640969E-001	6.1980034E-005	-5.9523529E-001	0
5.1679160E+003	4.126319909169979E+001	-5.9774894E-001	-1.156653710090387E-001	6.9138856E-005	-5.9823537E-001	0
5.6510791E+003	4.157319908386853E+001	-6.0193539E-001	-1.065168885029782E-001	6.4116284E-005	-6.0133535E-001	0
7.8288037E+003	4.189319907578465E+001	-6.0321867E-001	-7.705119432352325E-002	4.6478719E-005	-6.0453534E-001	0
5.5648423E+003	4.222319906744815E+001	-6.0772216E-001	-1.092074397385852E-001	6.6367778E-005	-6.0783523E-001	0
2.4942378E+003	4.251319906012213E+001	-6.1033136E-001	-2.446965455001555E-001	1.4934597E-004	-6.1073536E-001	0
5.3984180E+003	4.282319905229087E+001	-6.1435390E-001	-1.138025836317844E-001	6.9915062E-005	-6.1383533E-001	0
6.6333262E+003	4.313319904445962E+001	-6.1663675E-001	-9.296041696167348E-002	5.7322810E-005	-6.1693537E-001	0
1.7448202E+003	4.344319903662836E+001	-6.1985075E-001	-3.552519392584883E-001	2.2020318E-004	-6.2003529E-001	0
5.8138140E+003	4.372319902955496E+001	-6.2437862E-001	-1.073957021145493E-001	6.7055582E-005	-6.2283540E-001	0
6.1344443E+003	4.406319902096584E+001	-6.2625235E-001	-1.020878723548500E-001	6.3932770E-005	-6.2623543E-001	0
5.2849448E+003	4.435319901363982E+001	-6.2969506E-001	-1.191488406459333E-001	7.5027434E-005	-6.2913531E-001	0
4.5451333E+003	4.467319900555594E+001	-6.3142538E-001	-1.389234007889493E-001	8.7719760E-005	-6.3233536E-001	0
5.0262715E+003	4.496319899822993E+001	-6.3524842E-001	-1.263856113082882E-001	8.0286263E-005	-6.3523543E-001	0
6.1291372E+003	4.526319899065129E+001	-6.3776189E-001	-1.040541090394588E-001	6.6361747E-005	-6.3823533E-001	0
5.8439033E+003	4.557319898282003E+001	-6.4122289E-001	-1.097251066204810E-001	7.0358248E-005	-6.4133543E-001	0
6.1434194E+003	4.585319897574664E+001	-6.4387137E-001	-1.048066770895478E-001	6.7482018E-005	-6.4413530E-001	0
6.7395049E+003	4.613319896867324E+001	-6.4687377E-001	-9.598239037948431E-002	6.2088489E-005	-6.4693540E-001	0
6.1674907E+003	4.643319896109460E+001	-6.4995331E-001	-1.053837548072225E-001	6.8494519E-005	-6.4993531E-001	0
8.0743257E+003	4.671319895402121E+001	-6.5265596E-001	-8.083101498556500E-002	5.2754844E-005	-6.5273535E-001	0
8.1541563E+003	4.693319894846354E+001	-6.5488172E-001	-8.031262987337673E-002	5.2595275E-005	-6.5493530E-001	0
8.1428320E+003	4.713319894341112E+001	-6.5687203E-001	-8.066874223522635E-002	5.2989042E-005	-6.5693533E-001	0
8.1209824E+003	4.733319893835869E+001	-6.5886754E-001	-8.113150489664367E-002	5.3454914E-005	-6.5893537E-001	0
8.0652749E+003	4.753319893330627E+001	-6.6087925E-001	-8.194131615134559E-002	5.4153315E-005	-6.6093534E-001	0
8.0350342E+003	4.773319892825384E+001	-6.6287231E-001	-8.249776028128342E-002	5.4685483E-005	-6.6293532E-001	0
7.9913535E+003	4.793319892320142E+001	-6.6486984E-001	-8.319865128599815E-002	5.5316275E-005	-6.6493535E-001	0
7.9354272E+003	4.813319891814899E+001	-6.6688699E-001	-8.403920551736654E-002	5.6044653E-005	-6.6693538E-001	0
7.9014233E+003	4.833319891309657E+001	-6.6887373E-001	-8.465231007045282E-002	5.6621706E-005	-6.6893530E-001	0
7.8397280E+003	4.853319890804414E+001	-6.7085594E-001	-8.557132805239365E-002	5.7406032E-005	-6.7093533E-001	0
7.7876011E+003	4.873319890299172E+001	-6.7285770E-001	-8.640115156657835E-002	5.8135680E-005	-6.7293537E-001	0
7.7534536E+003	4.893319889793929E+001	-6.7486608E-001	-8.704070400450892E-002	5.8740818E-005	-6.7493528E-001	0
