EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 03/09/2026 18:02:57.673
Technique started on : 03/09/2026 18:03:00.510
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi40_N52magB_flat_3-9_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCo (Co40)
Initial state : 
Electrolyte : KOH (1M)
Comments : Magnet side B, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Eoc                 
EL (V)              -2.500              
vs.                 Eoc                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.7598049E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-4.7442254E-002	0.000000000000000E+000	0.0000000E+000	-2.4754710E-001	0
1.9761239E+003	7.977200004897895E+000	-2.4873655E-001	-1.258709248457406E-001	3.1308700E-005	-2.4884689E-001	0
1.5959998E+003	8.097200001866440E+000	-2.4996378E-001	-1.566189367552192E-001	3.9149061E-005	-2.5004694E-001	0
1.9016064E+003	8.307199996561394E+000	-2.5206256E-001	-1.325524337283521E-001	3.3411507E-005	-2.5214693E-001	0
2.1445967E+003	8.507199991508969E+000	-2.5405839E-001	-1.184644155075478E-001	3.0096879E-005	-2.5414693E-001	0
2.3382693E+003	8.707199986456544E+000	-2.5606507E-001	-1.095105165303119E-001	2.8041819E-005	-2.5614694E-001	0
2.5043489E+003	8.907199981404119E+000	-2.5805688E-001	-1.030435021238112E-001	2.6591084E-005	-2.5814694E-001	0
2.6517224E+003	9.107199976351694E+000	-2.6006693E-001	-9.807472021367525E-002	2.5505991E-005	-2.6014695E-001	0
2.7822244E+003	9.307199971299269E+000	-2.6204053E-001	-9.418382174324802E-002	2.4679977E-005	-2.6214692E-001	0
2.8986646E+003	9.507199966246844E+000	-2.6403743E-001	-9.108934017339632E-002	2.4050994E-005	-2.6414692E-001	0
3.0105178E+003	9.707199961194419E+000	-2.6604301E-001	-8.837118093188356E-002	2.3510534E-005	-2.6614693E-001	0
3.1108623E+003	9.907199956141994E+000	-2.6803631E-001	-8.616142031998525E-002	2.3094390E-005	-2.6814693E-001	0
3.2107390E+003	1.010719995108957E+001	-2.7001750E-001	-8.409824424429657E-002	2.2707998E-005	-2.7014694E-001	0
3.3002891E+003	1.030719994603714E+001	-2.7203119E-001	-8.242647427444633E-002	2.2422571E-005	-2.7214694E-001	0
3.3925288E+003	1.050719994098472E+001	-2.7403533E-001	-8.077612640167209E-002	2.2135513E-005	-2.7414691E-001	0
3.4767837E+003	1.070719993593229E+001	-2.7601948E-001	-7.938931872614155E-002	2.1912998E-005	-2.7614695E-001	0
3.5596072E+003	1.090719993087987E+001	-2.7804101E-001	-7.811002550454460E-002	2.1717789E-005	-2.7814692E-001	0
3.6390178E+003	1.110719992582744E+001	-2.8001267E-001	-7.694732173833807E-002	2.1546224E-005	-2.8014693E-001	0
3.7154075E+003	1.130719992077502E+001	-2.8201997E-001	-7.590553186075709E-002	2.1406877E-005	-2.8214693E-001	0
3.7829536E+003	1.150719991572259E+001	-2.8403577E-001	-7.508307075457432E-002	2.1326277E-005	-2.8414693E-001	0
3.8668013E+003	1.170719991067017E+001	-2.8603247E-001	-7.397133763615560E-002	2.1158205E-005	-2.8614694E-001	0
3.9348108E+003	1.190719990561774E+001	-2.8801918E-001	-7.319772187958273E-002	2.1082347E-005	-2.8814694E-001	0
4.0038303E+003	1.210719990056532E+001	-2.9003328E-001	-7.243895594900723E-002	2.1009708E-005	-2.9014695E-001	0
4.0695305E+003	1.230719989551289E+001	-2.9203334E-001	-7.176094266687372E-002	2.0956588E-005	-2.9214692E-001	0
4.1385220E+003	1.250719989046047E+001	-2.9402664E-001	-7.104629255533489E-002	2.0889504E-005	-2.9414696E-001	0
4.1877534E+003	1.270719988540804E+001	-2.9603863E-001	-7.069151108723373E-002	2.0927419E-005	-2.9614693E-001	0
4.2539800E+003	1.290719988035562E+001	-2.9803473E-001	-7.006020948835701E-002	2.0880376E-005	-2.9814693E-001	0
4.3063701E+003	1.310719987530319E+001	-3.0005702E-001	-6.967748155185927E-002	2.0907219E-005	-3.0014694E-001	0
4.3748042E+003	1.330719987025077E+001	-3.0204019E-001	-6.904084912011327E-002	2.0853111E-005	-3.0214694E-001	0
4.4347007E+003	1.350719986519834E+001	-3.0403838E-001	-6.855893675966462E-002	2.0844547E-005	-3.0414692E-001	0
4.4939761E+003	1.370719986014592E+001	-3.0602995E-001	-6.809781515514673E-002	2.0839971E-005	-3.0614692E-001	0
4.5440933E+003	1.390719985509350E+001	-3.0804300E-001	-6.778976357068900E-002	2.0882162E-005	-3.0814692E-001	0
4.6016187E+003	1.410719985004107E+001	-3.1002823E-001	-6.737372971376365E-002	2.0887757E-005	-3.1014693E-001	0
4.6480117E+003	1.430719984498865E+001	-3.1203723E-001	-6.713348542511149E-002	2.0948146E-005	-3.1214693E-001	0
4.7129023E+003	1.450719983993622E+001	-3.1404540E-001	-6.663524586065406E-002	2.0926493E-005	-3.1414697E-001	0
4.7568545E+003	1.470719983488380E+001	-3.1604359E-001	-6.643961929946363E-002	2.0997815E-005	-3.1614694E-001	0
4.8063662E+003	1.490719982983137E+001	-3.1804195E-001	-6.617097540435446E-002	2.1045145E-005	-3.1814694E-001	0
4.8545918E+003	1.510719982477895E+001	-3.2003716E-001	-6.592462736323390E-002	2.1098331E-005	-3.2014695E-001	0
4.8947832E+003	1.530719981972652E+001	-3.2204023E-001	-6.579254418368674E-002	2.1187847E-005	-3.2214692E-001	0
4.9524292E+003	1.550719981467410E+001	-3.2404476E-001	-6.543147675122851E-002	2.1202728E-005	-3.2414693E-001	0
5.0007939E+003	1.570719980962167E+001	-3.2604933E-001	-6.519951086909492E-002	2.1258256E-005	-3.2614693E-001	0
5.0543491E+003	1.590719980456925E+001	-3.2803005E-001	-6.490055385759491E-002	2.1289332E-005	-3.2814693E-001	0
5.0861519E+003	1.610719979951682E+001	-3.3003885E-001	-6.488969779252396E-002	2.1416121E-005	-3.3014694E-001	0
5.1385679E+003	1.630719979446440E+001	-3.3202368E-001	-6.461404918222075E-002	2.1453394E-005	-3.3214694E-001	0
5.1754390E+003	1.650719978941197E+001	-3.3404222E-001	-6.454374424716147E-002	2.1560336E-005	-3.3414692E-001	0
5.2137549E+003	1.670719978435955E+001	-3.3603913E-001	-6.445242309480348E-002	2.1658536E-005	-3.3614695E-001	0
5.2570610E+003	1.690719977930712E+001	-3.3804473E-001	-6.430298670526602E-002	2.1737285E-005	-3.3814692E-001	0
5.2969546E+003	1.710719977425470E+001	-3.4004569E-001	-6.419645341919922E-002	2.1829728E-005	-3.4014693E-001	0
5.3432920E+003	1.730719976920227E+001	-3.4204322E-001	-6.401357590062484E-002	2.1895410E-005	-3.4214693E-001	0
5.3793252E+003	1.750719976414985E+001	-3.4404013E-001	-6.395600178720362E-002	2.2003431E-005	-3.4414694E-001	0
