EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/18/2026 18:11:14.991
Technique started on : 02/18/2026 18:11:17.828
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Ni10Co10_2-17_01_ZIR_C01.mpr
Saved on :
	File : Co40_2_18_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Co40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              0.200               
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.7050280E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-4.8605856E-002	0.000000000000000E+000	0.0000000E+000	2.0005000E-001	0
3.3349277E+002	8.037200003382168E+000	1.9828828E-001	5.945804256200784E-001	1.1789833E-004	1.9815022E-001	0
6.9965405E+002	8.157200000350713E+000	1.9707204E-001	2.816706906034783E-001	5.5509419E-005	1.9695015E-001	0
1.2506703E+003	8.367199995045667E+000	1.9497795E-001	1.558987655140490E-001	3.0396823E-005	1.9485013E-001	0
1.6998771E+003	8.567199989993242E+000	1.9298914E-001	1.135312303923948E-001	2.1910295E-005	1.9285017E-001	0
2.1181040E+003	8.767199984940817E+000	1.9096339E-001	9.015769783202598E-002	1.7216820E-005	1.9085014E-001	0
2.5204438E+003	8.967199979888392E+000	1.8896012E-001	7.497096896517907E-002	1.4166523E-005	1.8885013E-001	0
2.8971875E+003	9.167199974835967E+000	1.8698697E-001	6.454086061218600E-002	1.2068300E-005	1.8685015E-001	0
3.2937581E+003	9.367199969783542E+000	1.8498605E-001	5.616261039188974E-002	1.0389300E-005	1.8485014E-001	0
3.6768860E+003	9.567199964731117E+000	1.8298960E-001	4.976754807819617E-002	9.1069433E-006	1.8285014E-001	0
4.0351548E+003	9.767199959678692E+000	1.8096256E-001	4.484649743571185E-002	8.1155367E-006	1.8085016E-001	0
4.3785791E+003	9.967199954626267E+000	1.7893404E-001	4.086577912867534E-002	7.3122787E-006	1.7885016E-001	0
4.7414404E+003	1.016719994957384E+001	1.7696428E-001	3.732289338580516E-002	6.6048192E-006	1.7685015E-001	0
5.0837515E+003	1.036719994452142E+001	1.7491627E-001	3.440692707027210E-002	6.0183311E-006	1.7485017E-001	0
5.4531440E+003	1.056719993946899E+001	1.7298196E-001	3.172150932758183E-002	5.4872489E-006	1.7285016E-001	0
5.8150098E+003	1.076719993441657E+001	1.7096747E-001	2.940106474426973E-002	5.0266258E-006	1.7085014E-001	0
6.1552368E+003	1.096719992936414E+001	1.6896844E-001	2.745116846039339E-002	4.6383811E-006	1.6885017E-001	0
6.5289775E+003	1.116719992431172E+001	1.6693357E-001	2.556810214325722E-002	4.2681745E-006	1.6685015E-001	0
6.8848184E+003	1.136719991925929E+001	1.6494006E-001	2.395706839952932E-002	3.9514803E-006	1.6485015E-001	0
7.2435815E+003	1.156719991420687E+001	1.6294380E-001	2.249492077426696E-002	3.6654078E-006	1.6285017E-001	0
7.5639810E+003	1.176719990915444E+001	1.6093628E-001	2.127666400598738E-002	3.4241871E-006	1.6085015E-001	0
7.9574814E+003	1.196719990410202E+001	1.5893835E-001	1.997344903917159E-002	3.1745469E-006	1.5885016E-001	0
8.3003135E+003	1.216719989904959E+001	1.5694992E-001	1.890891576645157E-002	2.9677528E-006	1.5685016E-001	0
8.6178076E+003	1.236719989399717E+001	1.5493393E-001	1.797834645493207E-002	2.7854558E-006	1.5485016E-001	0
8.8822988E+003	1.256719988894474E+001	1.5294848E-001	1.721947070629852E-002	2.6336920E-006	1.5285017E-001	0
9.2025332E+003	1.276719988389232E+001	1.5094776E-001	1.640284956061192E-002	2.4759734E-006	1.5085016E-001	0
9.5469814E+003	1.296719987883989E+001	1.4891522E-001	1.559814605798546E-002	2.3228013E-006	1.4885016E-001	0
9.9480156E+003	1.316719987378747E+001	1.4697647E-001	1.477445053744986E-002	2.1714966E-006	1.4685015E-001	0
1.0339282E+004	1.336719986873504E+001	1.4493884E-001	1.401826969541661E-002	2.0317918E-006	1.4485018E-001	0
1.0605569E+004	1.356719986368262E+001	1.4295572E-001	1.347930597478220E-002	1.9269439E-006	1.4285016E-001	0
1.0946562E+004	1.376719985863019E+001	1.4095670E-001	1.287680127406642E-002	1.8150714E-006	1.4085016E-001	0
1.1343107E+004	1.396719985357777E+001	1.3896511E-001	1.225106246030813E-002	1.7024703E-006	1.3885017E-001	0
1.1810308E+004	1.416719984852534E+001	1.3693914E-001	1.159488306805287E-002	1.5877933E-006	1.3685016E-001	0
1.1993859E+004	1.436719984347292E+001	1.3496771E-001	1.125306758034159E-002	1.5188008E-006	1.3485014E-001	0
1.2302169E+004	1.456719983842049E+001	1.3291776E-001	1.080441671480897E-002	1.4360988E-006	1.3285017E-001	0
1.2657714E+004	1.476719983336807E+001	1.3096033E-001	1.034628588194393E-002	1.3549530E-006	1.3085015E-001	0
1.3073032E+004	1.496719982831564E+001	1.2892461E-001	9.861874617116184E-003	1.2714384E-006	1.2885018E-001	0
1.3403309E+004	1.516719982326322E+001	1.2696272E-001	9.472490921539983E-003	1.2026533E-006	1.2685017E-001	0
1.3794281E+004	1.536719981821079E+001	1.2491979E-001	9.055911341857348E-003	1.1312625E-006	1.2485017E-001	0
1.4117818E+004	1.556719981315837E+001	1.2294178E-001	8.708270005575530E-003	1.0706102E-006	1.2285016E-001	0
