EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/05/2026 17:31:34.514
Technique started on : 02/05/2026 17:31:37.040
Loaded Setting File :  NONE
Saved on :
	File : PtPdNi_25_Co_25_Cr_01_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : 1 M KOH
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.526400119968457E+000	-1.6194347E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.526199993662885E+000	-5.7431929E-002	0.000000000000000E+000	0.0000000E+000	-1.9999628E-001	0
2.4728582E+003	7.726199988610460E+000	-2.0179574E-001	8.160425052046771E-002	-1.6467391E-005	-2.0189606E-001	0
3.6586033E+003	7.846199985579005E+000	-2.0300874E-001	-5.548804384357497E-002	1.1264558E-005	-2.0309611E-001	0
2.7308298E+003	8.056199980273959E+000	-2.0510556E-001	-7.510740838283914E-002	1.5404947E-005	-2.0519611E-001	0
2.7608113E+003	8.256199975221534E+000	-2.0707512E-001	-7.500516714120609E-002	1.5531705E-005	-2.0719612E-001	0
2.8549033E+003	8.456199970169109E+000	-2.0912082E-001	-7.324970652224705E-002	1.5318039E-005	-2.0919609E-001	0
2.9578550E+003	8.656199965116684E+000	-2.1106830E-001	-7.135856789726847E-002	1.5061531E-005	-2.1119612E-001	0
3.0603594E+003	8.856199960064259E+000	-2.1309362E-001	-6.963026299154018E-002	1.4837765E-005	-2.1319610E-001	0
3.1641589E+003	9.056199955011834E+000	-2.1512003E-001	-6.798647993240003E-002	1.4625254E-005	-2.1519609E-001	0
3.2614873E+003	9.256199949959409E+000	-2.1717151E-001	-6.658664568118278E-002	1.4460722E-005	-2.1719612E-001	0
3.3554707E+003	9.456199944906984E+000	-2.1912679E-001	-6.530433857619192E-002	1.4309931E-005	-2.1919610E-001	0
3.4513694E+003	9.656199939854559E+000	-2.2122578E-001	-6.409797145110768E-002	1.4180124E-005	-2.2119610E-001	0
3.5348833E+003	9.856199934802135E+000	-2.2308265E-001	-6.310891297005983E-002	1.4078503E-005	-2.2319610E-001	0
3.6228381E+003	1.005619992974971E+001	-2.2518012E-001	-6.215572317422294E-002	1.3996233E-005	-2.2519611E-001	0
3.7113870E+003	1.025619992469728E+001	-2.2722207E-001	-6.122295444624304E-002	1.3911206E-005	-2.2719610E-001	0
3.7903435E+003	1.045619991964486E+001	-2.2915806E-001	-6.045838735908982E-002	1.3854527E-005	-2.2919610E-001	0
3.8703052E+003	1.065619991459243E+001	-2.3106520E-001	-5.970206155173480E-002	1.3795068E-005	-2.3119614E-001	0
3.9547727E+003	1.085619990954001E+001	-2.3318434E-001	-5.896276761957198E-002	1.3749194E-005	-2.3319609E-001	0
4.0264890E+003	1.105619990448758E+001	-2.3509255E-001	-5.838648915711081E-002	1.3726229E-005	-2.3519611E-001	0
4.1083486E+003	1.125619989943516E+001	-2.3710963E-001	-5.771409962569152E-002	1.3684569E-005	-2.3719610E-001	0
4.1873765E+003	1.145619989438273E+001	-2.3921542E-001	-5.712775327054054E-002	1.3665839E-005	-2.3919609E-001	0
4.2610200E+003	1.165619988933031E+001	-2.4109878E-001	-5.658241075964121E-002	1.3641950E-005	-2.4119611E-001	0
4.3356582E+003	1.185619988427788E+001	-2.4309146E-001	-5.606794848355978E-002	1.3629639E-005	-2.4319611E-001	0
4.4106592E+003	1.205619987922546E+001	-2.4513929E-001	-5.557882936688285E-002	1.3624554E-005	-2.4519610E-001	0
4.4809673E+003	1.225619987417303E+001	-2.4709991E-001	-5.514432265277525E-002	1.3626157E-005	-2.4719611E-001	0
4.5576060E+003	1.245619986912061E+001	-2.4911380E-001	-5.465891372461029E-002	1.3616290E-005	-2.4919613E-001	0
4.6266851E+003	1.265619986406819E+001	-2.5111133E-001	-5.427456677990569E-002	1.3628958E-005	-2.5119612E-001	0
4.6979673E+003	1.285619985901576E+001	-2.5310275E-001	-5.387494734186442E-002	1.3635898E-005	-2.5319609E-001	0
4.7774331E+003	1.305619985396334E+001	-2.5514743E-001	-5.340680396268793E-002	1.3626609E-005	-2.5519612E-001	0
4.8421704E+003	1.325619984891091E+001	-2.5714263E-001	-5.310482760656909E-002	1.3655515E-005	-2.5719610E-001	0
4.9130591E+003	1.345619984385849E+001	-2.5911236E-001	-5.273951353640394E-002	1.3665460E-005	-2.5919613E-001	0
4.9819097E+003	1.365619983880606E+001	-2.6112413E-001	-5.241446632547653E-002	1.3686682E-005	-2.6119608E-001	0
5.0560923E+003	1.385619983375364E+001	-2.6310259E-001	-5.203674854541762E-002	1.3691003E-005	-2.6319611E-001	0
5.1285112E+003	1.405619982870121E+001	-2.6509547E-001	-5.169052930069390E-002	1.3702926E-005	-2.6519611E-001	0
5.1991279E+003	1.425619982364879E+001	-2.6708665E-001	-5.137143167825464E-002	1.3720623E-005	-2.6719609E-001	0
5.2691924E+003	1.445619981859636E+001	-2.6908079E-001	-5.106679950692949E-002	1.3741094E-005	-2.6919609E-001	0
5.3417769E+003	1.465619981354394E+001	-2.7114180E-001	-5.075872964341843E-002	1.3762813E-005	-2.7119610E-001	0
5.4134614E+003	1.485619980849151E+001	-2.7311939E-001	-5.045189655622428E-002	1.3779391E-005	-2.7319613E-001	0
5.4789526E+003	1.505619980343909E+001	-2.7504075E-001	-5.019951052013449E-002	1.3806911E-005	-2.7519611E-001	0
5.5550371E+003	1.525619979838666E+001	-2.7710876E-001	-4.988423051933438E-002	1.3823357E-005	-2.7719614E-001	0
5.6200396E+003	1.545619979333424E+001	-2.7909040E-001	-4.965986609152689E-002	1.3859592E-005	-2.7919608E-001	0
5.6954146E+003	1.565619978828181E+001	-2.8110069E-001	-4.935561436388947E-002	1.3873897E-005	-2.8119609E-001	0
5.7676367E+003	1.585619978322939E+001	-2.8312495E-001	-4.908855476727081E-002	1.3898195E-005	-2.8319609E-001	0
5.8347744E+003	1.605619977817696E+001	-2.8508857E-001	-4.886025381290338E-002	1.3929500E-005	-2.8519610E-001	0
5.9064463E+003	1.625619977312454E+001	-2.8708014E-001	-4.860454475292791E-002	1.3953400E-005	-2.8719610E-001	0
5.9778413E+003	1.645619976807211E+001	-2.8912926E-001	-4.836683388553378E-002	1.3984267E-005	-2.8919610E-001	0
6.0491528E+003	1.665619976301969E+001	-2.9114079E-001	-4.812918337618477E-002	1.4012368E-005	-2.9119611E-001	0
6.1222256E+003	1.685619975796726E+001	-2.9311800E-001	-4.787768809179743E-002	1.4033812E-005	-2.9319611E-001	0
6.1994351E+003	1.705619975291484E+001	-2.9516333E-001	-4.761132657292461E-002	1.4053117E-005	-2.9519612E-001	0
6.2648379E+003	1.725619974786241E+001	-2.9708043E-001	-4.742028780968943E-002	1.4087639E-005	-2.9719612E-001	0
6.3353257E+003	1.745619974280999E+001	-2.9901367E-001	-4.719783675085015E-002	1.4112798E-005	-2.9919609E-001	0
6.4113643E+003	1.765619973775756E+001	-3.0115297E-001	-4.697174684787631E-002	1.4145681E-005	-3.0119610E-001	0
