EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 18:10:16.947
Technique started on : 02/19/2026 18:10:20.287
Loaded Setting File :  NONE
Saved on :
	File : Ni_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	3.340400158631383E+000	-2.0645106E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	8.340200032325811E+000	-3.1183985E-001	0.000000000000000E+000	0.0000000E+000	-1.9983816E-001	0
1.1912521E+003	8.500200028283871E+000	-2.0123048E-001	1.689235141873358E-001	-3.3992561E-005	-2.0133795E-001	0
4.2501074E+003	8.630200024999795E+000	-2.0264420E-001	4.767978385121796E-002	-9.6620315E-006	-2.0263799E-001	0
9.0438320E+003	8.850200019442127E+000	-2.0481263E-001	2.264666481232885E-002	-4.6383229E-006	-2.0483798E-001	0
1.2246580E+004	9.050200014389702E+000	-2.0683122E-001	1.688889643154165E-002	-3.4931511E-006	-2.0683798E-001	0
1.5141025E+004	9.250200009337277E+000	-2.0884086E-001	1.379304586832099E-002	-2.8805516E-006	-2.0883802E-001	0
1.7924727E+004	9.450200004284852E+000	-2.1085095E-001	1.176313349910876E-002	-2.4802680E-006	-2.1083798E-001	0
2.0577814E+004	9.650199999232427E+000	-2.1289496E-001	1.034584929980493E-002	-2.2025793E-006	-2.1283798E-001	0
2.3275699E+004	9.850199994180002E+000	-2.1479912E-001	9.228470948152018E-003	-1.9822673E-006	-2.1483801E-001	0
2.6059594E+004	1.005019998912758E+001	-2.1689050E-001	8.322865707425471E-003	-1.8051505E-006	-2.1683799E-001	0
2.8967625E+004	1.025019998407515E+001	-2.1888380E-001	7.556152739680910E-003	-1.6539194E-006	-2.1883799E-001	0
3.1644107E+004	1.045019997902273E+001	-2.2086841E-001	6.979764192805965E-003	-1.5416094E-006	-2.2083800E-001	0
3.4769613E+004	1.065019997397030E+001	-2.2285046E-001	6.409345268149916E-003	-1.4283255E-006	-2.2283798E-001	0
3.7906848E+004	1.085019996891788E+001	-2.2480430E-001	5.930440519913151E-003	-1.3331885E-006	-2.2483799E-001	0
4.1237996E+004	1.105019996386545E+001	-2.2681692E-001	5.500192832999726E-003	-1.2475368E-006	-2.2683799E-001	0
4.4694871E+004	1.125019995881303E+001	-2.2885352E-001	5.120352973969844E-003	-1.1718108E-006	-2.2883800E-001	0
4.8223945E+004	1.145019995376060E+001	-2.3091730E-001	4.788436438801731E-003	-1.1057328E-006	-2.3083799E-001	0
5.2158023E+004	1.165019994870818E+001	-2.3285459E-001	4.464406033315540E-003	-1.0395574E-006	-2.3283800E-001	0
5.6606410E+004	1.185019994365575E+001	-2.3484577E-001	4.148748635425012E-003	-9.7431609E-007	-2.3483799E-001	0
6.0414969E+004	1.205019993860333E+001	-2.3686603E-001	3.920651437172740E-003	-9.2866912E-007	-2.3683798E-001	0
6.5250285E+004	1.225019993355090E+001	-2.3887695E-001	3.660933397113212E-003	-8.7451264E-007	-2.3883800E-001	0
6.9973883E+004	1.245019992849848E+001	-2.4085668E-001	3.442093978015350E-003	-8.2905132E-007	-2.4083796E-001	0
7.5414063E+004	1.265019992344605E+001	-2.4289560E-001	3.220826277424593E-003	-7.8232455E-007	-2.4283800E-001	0
8.1298047E+004	1.285019991839363E+001	-2.4487978E-001	3.012123827901961E-003	-7.3760822E-007	-2.4483800E-001	0
8.7075586E+004	1.305019991334120E+001	-2.4688922E-001	2.835343648278171E-003	-7.0001579E-007	-2.4683799E-001	0
9.2345898E+004	1.325019990828878E+001	-2.4891028E-001	2.695412337980780E-003	-6.7091582E-007	-2.4883799E-001	0
1.0018344E+005	1.345019990323635E+001	-2.5093135E-001	2.504718924935003E-003	-6.2851251E-007	-2.5083798E-001	0
1.0857725E+005	1.365019989818393E+001	-2.5292379E-001	2.329436297545902E-003	-5.8916987E-007	-2.5283796E-001	0
1.1606585E+005	1.385019989313150E+001	-2.5490758E-001	2.196232389182200E-003	-5.5983628E-007	-2.5483799E-001	0
1.2518794E+005	1.405019988807908E+001	-2.5690874E-001	2.052184501583516E-003	-5.2722413E-007	-2.5683799E-001	0
1.3371370E+005	1.425019988302665E+001	-2.5887722E-001	1.936056057204608E-003	-5.0120082E-007	-2.5883797E-001	0
1.4570678E+005	1.445019987797423E+001	-2.6088497E-001	1.790479244430654E-003	-4.6710912E-007	-2.6083800E-001	0
1.5688464E+005	1.465019987292180E+001	-2.6283431E-001	1.675334941570090E-003	-4.4033550E-007	-2.6283801E-001	0
1.7029591E+005	1.485019986786938E+001	-2.6490426E-001	1.555552676060865E-003	-4.1207252E-007	-2.6483798E-001	0
1.8473011E+005	1.505019986281695E+001	-2.6690716E-001	1.444849203674620E-003	-3.8564059E-007	-2.6683798E-001	0
2.0330113E+005	1.525019985776453E+001	-2.6886225E-001	1.322482844280661E-003	-3.5556570E-007	-2.6883799E-001	0
2.1384813E+005	1.545019985271210E+001	-2.7087465E-001	1.266668334799211E-003	-3.4310835E-007	-2.7083799E-001	0
2.4146608E+005	1.565019984765968E+001	-2.7285734E-001	1.130002793255467E-003	-3.0832956E-007	-2.7283800E-001	0
2.6460125E+005	1.585019984260725E+001	-2.7486384E-001	1.038785100060086E-003	-2.8552446E-007	-2.7483803E-001	0
2.9057294E+005	1.605019983755483E+001	-2.7692631E-001	9.530354362508832E-004	-2.6392058E-007	-2.7683797E-001	0
3.1457669E+005	1.625019983250240E+001	-2.7888504E-001	8.865407316906637E-004	-2.4724295E-007	-2.7883798E-001	0
3.7252003E+005	1.645019982744998E+001	-2.8085607E-001	7.539354710839087E-004	-2.1174735E-007	-2.8083798E-001	0
4.0112944E+005	1.665019982239755E+001	-2.8286040E-001	7.051598904617706E-004	-1.9946181E-007	-2.8283799E-001	0
