EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/16/2026 18:16:54.281
Technique started on : 02/16/2026 18:16:56.963
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPd_40_CoNi_2_12.mps
Saved on :
	File : PtPdNi10Co10Cr10_polished_2_16_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt_40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.4655057E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-2.7012082E-002	0.000000000000000E+000	0.0000000E+000	-1.9985394E-001	0
4.1803859E+004	7.882199996020063E+000	-2.0153080E-001	-4.820865675574167E-003	9.7155294E-007	-2.0175372E-001	0
1.8217828E+003	8.002199992988608E+000	-2.0272321E-001	-1.112773732001874E-001	2.2558506E-005	-2.0295379E-001	0
1.9088737E+003	8.212199987683562E+000	-2.0483655E-001	-1.073075465260328E-001	2.1980508E-005	-2.0505376E-001	0
2.1058557E+003	8.412199982631137E+000	-2.0686863E-001	-9.823494796089971E-002	2.0321730E-005	-2.0705378E-001	0
2.2848423E+003	8.612199977578712E+000	-2.0887294E-001	-9.141678638891415E-002	1.9094494E-005	-2.0905378E-001	0
2.4439358E+003	8.812199972526287E+000	-2.1087299E-001	-8.628418158777773E-002	1.8195004E-005	-2.1105376E-001	0
2.5896023E+003	9.012199967473862E+000	-2.1284866E-001	-8.219357522029225E-002	1.7494793E-005	-2.1305378E-001	0
2.7237471E+003	9.212199962421437E+000	-2.1485595E-001	-7.888249077521614E-002	1.6948372E-005	-2.1505378E-001	0
2.8494673E+003	9.412199957369012E+000	-2.1689630E-001	-7.611819157955524E-002	1.6509754E-005	-2.1705377E-001	0
2.9641411E+003	9.612199952316587E+000	-2.1886241E-001	-7.383670411737886E-002	1.6160080E-005	-2.1905378E-001	0
3.0765403E+003	9.812199947264162E+000	-2.2082175E-001	-7.177599743452090E-002	1.5849702E-005	-2.2105379E-001	0
3.1835408E+003	1.001219994221174E+001	-2.2288737E-001	-7.001241342990311E-002	1.5604883E-005	-2.2305377E-001	0
3.2845327E+003	1.021219993715931E+001	-2.2486727E-001	-6.846248609586203E-002	1.5394973E-005	-2.2505377E-001	0
3.3848091E+003	1.041219993210689E+001	-2.2685376E-001	-6.702113889005712E-002	1.5203997E-005	-2.2705379E-001	0
3.4792485E+003	1.061219992705446E+001	-2.2884236E-001	-6.577350426668027E-002	1.5051764E-005	-2.2905375E-001	0
3.5735459E+003	1.081219992200204E+001	-2.3082905E-001	-6.459383665142637E-002	1.4910133E-005	-2.3105378E-001	0
3.6655063E+003	1.101219991694961E+001	-2.3286030E-001	-6.352745697626644E-002	1.4793022E-005	-2.3305379E-001	0
3.7527825E+003	1.121219991189719E+001	-2.3482619E-001	-6.257388730957900E-002	1.4693987E-005	-2.3505378E-001	0
3.8419832E+003	1.141219990684476E+001	-2.3683517E-001	-6.164398916169145E-002	1.4599465E-005	-2.3705378E-001	0
