EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/16/2026 17:54:13.528
Technique started on : 02/16/2026 17:54:16.209
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPd_40_CoNi_2_12.mps
Saved on :
	File : PtPdNi25Co25Cr_polished_2_16_02_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt_40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.4582734E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-6.8178326E-002	0.000000000000000E+000	0.0000000E+000	-1.9988203E-001	0
1.3187889E+003	7.881199995972565E+000	-2.0141523E-001	1.527274095267057E-001	-3.0761625E-005	-2.0178181E-001	0
6.7804180E+003	8.001199992941110E+000	-2.0278779E-001	-2.990785909838001E-002	6.0649486E-006	-2.0298187E-001	0
3.3306843E+003	8.211199987636064E+000	-2.0483381E-001	-6.149901670843061E-002	1.2597077E-005	-2.0508187E-001	0
3.1980073E+003	8.411199982583639E+000	-2.0689902E-001	-6.469623017222000E-002	1.3385586E-005	-2.0708185E-001	0
3.2232722E+003	8.611199977531214E+000	-2.0885536E-001	-6.479606697549123E-002	1.3533006E-005	-2.0908187E-001	0
3.2918328E+003	8.811199972478789E+000	-2.1086922E-001	-6.405830587463202E-002	1.3507925E-005	-2.1108186E-001	0
3.3677356E+003	9.011199967426364E+000	-2.1280603E-001	-6.318965043857849E-002	1.3447138E-005	-2.1308187E-001	0
3.4514668E+003	9.211199962373939E+000	-2.1488246E-001	-6.225830112803554E-002	1.3378217E-005	-2.1508187E-001	0
3.5326204E+003	9.411199957321514E+000	-2.1685389E-001	-6.138612841712110E-002	1.3311820E-005	-2.1708184E-001	0
3.6154309E+003	9.611199952269089E+000	-2.1889046E-001	-6.054339254255969E-002	1.3252371E-005	-2.1908186E-001	0
3.6923911E+003	9.811199947216664E+000	-2.2086525E-001	-5.981632131743198E-002	1.3211346E-005	-2.2108187E-001	0
3.7749509E+003	1.001119994216424E+001	-2.2288398E-001	-5.904288403056301E-002	1.3159713E-005	-2.2308187E-001	0
3.8532429E+003	1.021119993711181E+001	-2.2488786E-001	-5.836327246742934E-002	1.3125192E-005	-2.2508185E-001	0
3.9292925E+003	1.041119993205939E+001	-2.2687605E-001	-5.773967077856340E-002	1.3099749E-005	-2.2708188E-001	0
4.0041326E+003	1.061119992700696E+001	-2.2885618E-001	-5.715499577786165E-002	1.3080274E-005	-2.2908185E-001	0
4.0770332E+003	1.081119992195454E+001	-2.3084794E-001	-5.662154968745592E-002	1.3070968E-005	-2.3108184E-001	0
4.1522925E+003	1.101119991690211E+001	-2.3288664E-001	-5.608628310111115E-002	1.3061746E-005	-2.3308188E-001	0
4.2188330E+003	1.121119991184969E+001	-2.3479882E-001	-5.565492006213024E-002	1.3067710E-005	-2.3508185E-001	0
4.2953872E+003	1.141119990679726E+001	-2.3689356E-001	-5.515068852344801E-002	1.3064843E-005	-2.3708186E-001	0
4.3638267E+003	1.161119990174484E+001	-2.3884204E-001	-5.473224767124779E-002	1.3072362E-005	-2.3908186E-001	0
4.4339297E+003	1.181119989669241E+001	-2.4089409E-001	-5.432970688969774E-002	1.3087705E-005	-2.4108185E-001	0
4.5018066E+003	1.201119989163999E+001	-2.4285105E-001	-5.394524125680067E-002	1.3100658E-005	-2.4308185E-001	0
4.5685781E+003	1.221119988658756E+001	-2.4484096E-001	-5.359237854181043E-002	1.3121609E-005	-2.4508186E-001	0
4.6370513E+003	1.241119988153514E+001	-2.4687158E-001	-5.323891190689500E-002	1.3143174E-005	-2.4708186E-001	0
4.7055210E+003	1.261119987648271E+001	-2.4886355E-001	-5.288756485234392E-002	1.3161787E-005	-2.4908185E-001	0
4.7739106E+003	1.281119987143029E+001	-2.5089586E-001	-5.255562675928838E-002	1.3185989E-005	-2.5108185E-001	0
4.8401055E+003	1.301119986637787E+001	-2.5286493E-001	-5.224368157648707E-002	1.3210595E-005	-2.5308186E-001	0
4.9077549E+003	1.321119986132544E+001	-2.5487199E-001	-5.193250251262370E-002	1.3236140E-005	-2.5508186E-001	0
4.9720483E+003	1.341119985627302E+001	-2.5687760E-001	-5.166434009122300E-002	1.3271412E-005	-2.5708187E-001	0
5.0403940E+003	1.361119985122059E+001	-2.5885579E-001	-5.135626103116564E-002	1.3293866E-005	-2.5908184E-001	0
5.1036924E+003	1.381119984616817E+001	-2.6086858E-001	-5.111369664058563E-002	1.3333957E-005	-2.6108187E-001	0
5.1715410E+003	1.401119984111574E+001	-2.6283342E-001	-5.082303782832076E-002	1.3357992E-005	-2.6308185E-001	0
5.2346387E+003	1.421119983606332E+001	-2.6483732E-001	-5.059323660647119E-002	1.3398977E-005	-2.6508188E-001	0
5.3005898E+003	1.441119983101089E+001	-2.6688486E-001	-5.035003076007594E-002	1.3437661E-005	-2.6708186E-001	0
5.3644199E+003	1.461119982595847E+001	-2.6887161E-001	-5.012128382916980E-002	1.3476190E-005	-2.6908186E-001	0
5.4292690E+003	1.481119982090604E+001	-2.7082792E-001	-4.988294383648229E-002	1.3509694E-005	-2.7108186E-001	0
5.4950654E+003	1.501119981585362E+001	-2.7289036E-001	-4.966098303872846E-002	1.3552003E-005	-2.7308184E-001	0
5.5584819E+003	1.521119981080119E+001	-2.7487791E-001	-4.945197624107922E-002	1.3593256E-005	-2.7508187E-001	0
5.6268125E+003	1.541119980574877E+001	-2.7686736E-001	-4.920500834090247E-002	1.3623261E-005	-2.7708188E-001	0
