EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 17:43:39.177
Technique started on : 02/19/2026 17:43:42.014
Loaded Setting File :  NONE
Saved on :
	File : Ni40_2_19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.6341886E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-4.4967934E-002	0.000000000000000E+000	0.0000000E+000	-1.9983816E-001	0
4.0539313E+004	8.037200003382168E+000	-2.0181346E-001	-4.978215895243922E-003	1.0046709E-006	-2.0173794E-001	0
1.5956681E+003	8.157200000350713E+000	-2.0297164E-001	-1.272016602658608E-001	2.5818330E-005	-2.0293801E-001	0
1.6150918E+003	8.367199995045667E+000	-2.0507038E-001	-1.269713442333353E-001	2.6038062E-005	-2.0503797E-001	0
1.7601611E+003	8.567199989993242E+000	-2.0705861E-001	-1.176361702350888E-001	2.4357581E-005	-2.0703799E-001	0
1.8932820E+003	8.767199984940817E+000	-2.0906039E-001	-1.104222136251880E-001	2.3084911E-005	-2.0903800E-001	0
2.0152150E+003	8.967199979888392E+000	-2.1108703E-001	-1.047466564986883E-001	2.2110660E-005	-2.1103798E-001	0
2.1269304E+003	9.167199974835967E+000	-2.1306166E-001	-1.001733130555760E-001	2.1343092E-005	-2.1303798E-001	0
2.2305793E+003	9.367199969783542E+000	-2.1509738E-001	-9.643117643685817E-002	2.0742094E-005	-2.1503802E-001	0
2.3243730E+003	9.567199964731117E+000	-2.1707965E-001	-9.339277403927532E-002	2.0273672E-005	-2.1703798E-001	0
2.4106038E+003	9.767199959678692E+000	-2.1904413E-001	-9.086691877116237E-002	1.9903866E-005	-2.1903798E-001	0
2.4958638E+003	9.967199954626267E+000	-2.2107628E-001	-8.857705922641079E-002	1.9582287E-005	-2.2103801E-001	0
