EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/16/2026 18:31:06.695
Technique started on : 02/16/2026 18:31:09.377
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPd_40_CoNi_2_12.mps
Saved on :
	File : Ni_40_polished_2_16_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt_40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6244031E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-6.2096067E-002	0.000000000000000E+000	0.0000000E+000	-1.9984907E-001	0
1.8014174E+003	7.882199996020063E+000	-2.0156747E-001	1.118938227742909E-001	-2.2554155E-005	-2.0174885E-001	0
3.4497207E+003	8.002199992988608E+000	-2.0271669E-001	-5.876321843987897E-002	1.1912285E-005	-2.0294891E-001	0
2.5926538E+003	8.212199987683562E+000	-2.0482281E-001	-7.900121789467832E-002	1.6181251E-005	-2.0504889E-001	0
2.6744087E+003	8.412199982631137E+000	-2.0684855E-001	-7.734365986296932E-002	1.5998423E-005	-2.0704888E-001	0
2.7987234E+003	8.612199977578712E+000	-2.0882972E-001	-7.461606013871597E-002	1.5582051E-005	-2.0904891E-001	0
2.9246758E+003	8.812199972526287E+000	-2.1081173E-001	-7.208037974741577E-002	1.5195390E-005	-2.1104889E-001	0
3.0487759E+003	9.012199967473862E+000	-2.1283767E-001	-6.981086161709849E-002	1.4858381E-005	-2.1304889E-001	0
3.1653914E+003	9.212199962421437E+000	-2.1482882E-001	-6.786801452566849E-002	1.4580005E-005	-2.1504889E-001	0
3.2753174E+003	9.412199957369012E+000	-2.1679747E-001	-6.619128587395963E-002	1.4350104E-005	-2.1704890E-001	0
3.3783870E+003	9.612199952316587E+000	-2.1882278E-001	-6.477137594145910E-002	1.4173453E-005	-2.1904889E-001	0
3.4792397E+003	9.812199947264162E+000	-2.2082116E-001	-6.346822008934039E-002	1.4015126E-005	-2.2104889E-001	0
3.5780337E+003	1.001219994221174E+001	-2.2278513E-001	-6.226468398795376E-002	1.3871646E-005	-2.2304893E-001	0
3.6716296E+003	1.021219993715931E+001	-2.2479814E-001	-6.122571351365602E-002	1.3763427E-005	-2.2504888E-001	0
3.7642673E+003	1.041219993210689E+001	-2.2680244E-001	-6.025141702548853E-002	1.3665168E-005	-2.2704890E-001	0
3.8529390E+003	1.061219992705446E+001	-2.2881228E-001	-5.938642653911153E-002	1.3588344E-005	-2.2904891E-001	0
3.9446611E+003	1.081219992200204E+001	-2.3082018E-001	-5.851457726744658E-002	1.3506346E-005	-2.3104890E-001	0
4.0262876E+003	1.101219991694961E+001	-2.3284315E-001	-5.783072930059546E-002	1.3465489E-005	-2.3304890E-001	0
4.1114155E+003	1.121219991189719E+001	-2.3484576E-001	-5.712041402153256E-002	1.3414487E-005	-2.3504891E-001	0
4.1945161E+003	1.141219990684476E+001	-2.3681779E-001	-5.645890409061427E-002	1.3370473E-005	-2.3704889E-001	0
4.2734150E+003	1.161219990179234E+001	-2.3881082E-001	-5.588289724067374E-002	1.3345440E-005	-2.3904890E-001	0
4.3550444E+003	1.181219989673991E+001	-2.4081792E-001	-5.529631994814593E-002	1.3316345E-005	-2.4104892E-001	0
4.4344004E+003	1.201219989168749E+001	-2.4280335E-001	-5.475449115576425E-002	1.3294574E-005	-2.4304889E-001	0
4.5128184E+003	1.221219988663506E+001	-2.4482463E-001	-5.425093868428454E-002	1.3281966E-005	-2.4504890E-001	0
4.5904214E+003	1.241219988158264E+001	-2.4685159E-001	-5.377536507528236E-002	1.3274534E-005	-2.4704891E-001	0
4.6676245E+003	1.261219987653021E+001	-2.4885018E-001	-5.331409504043694E-002	1.3267222E-005	-2.4904887E-001	0
4.7459507E+003	1.281219987147779E+001	-2.5080585E-001	-5.284628310069736E-002	1.3254157E-005	-2.5104892E-001	0
4.8191377E+003	1.301219986642536E+001	-2.5282034E-001	-5.246173660165271E-002	1.3263394E-005	-2.5304887E-001	0
4.8965962E+003	1.321219986137294E+001	-2.5478157E-001	-5.203238519461920E-002	1.3256893E-005	-2.5504887E-001	0
4.9668857E+003	1.341219985632051E+001	-2.5680161E-001	-5.170273980391893E-002	1.3277347E-005	-2.5704890E-001	0
5.0424517E+003	1.361219985126809E+001	-2.5878617E-001	-5.132149622876980E-002	1.3281294E-005	-2.5904888E-001	0
5.1128374E+003	1.381219984621566E+001	-2.6080278E-001	-5.100940371802298E-002	1.3303394E-005	-2.6104888E-001	0
5.1862729E+003	1.401219984116324E+001	-2.6276293E-001	-5.066507773541440E-002	1.3312904E-005	-2.6304889E-001	0
5.2582246E+003	1.421219983611081E+001	-2.6480332E-001	-5.035983382559527E-002	1.3335452E-005	-2.6504892E-001	0
5.3301865E+003	1.441219983105839E+001	-2.6682481E-001	-5.005918787802868E-002	1.3357034E-005	-2.6704890E-001	0
5.4035859E+003	1.461219982600596E+001	-2.6881534E-001	-4.974758483695463E-002	1.3372914E-005	-2.6904893E-001	0
5.4747183E+003	1.481219982095354E+001	-2.7081239E-001	-4.946599781086625E-002	1.3396005E-005	-2.7104890E-001	0
5.5406519E+003	1.501219981590111E+001	-2.7279609E-001	-4.923538020083373E-002	1.3431219E-005	-2.7304888E-001	0
5.6113340E+003	1.521219981084869E+001	-2.7478388E-001	-4.896943887712557E-002	1.3456012E-005	-2.7504888E-001	0
5.6850820E+003	1.541219980579626E+001	-2.7679220E-001	-4.868746089063741E-002	1.3476310E-005	-2.7704889E-001	0
5.7516982E+003	1.561219980074384E+001	-2.7880690E-001	-4.847383945641826E-002	1.3514840E-005	-2.7904889E-001	0
5.8212480E+003	1.581219979569141E+001	-2.8079760E-001	-4.823666791322841E-002	1.3544741E-005	-2.8104889E-001	0
5.8893071E+003	1.601219979063899E+001	-2.8282103E-001	-4.802280328713809E-002	1.3581859E-005	-2.8304890E-001	0
5.9626587E+003	1.621219978558656E+001	-2.8480092E-001	-4.776408030786672E-002	1.3603254E-005	-2.8504890E-001	0
6.0286689E+003	1.641219978053414E+001	-2.8687125E-001	-4.758450816582899E-002	1.3650628E-005	-2.8704891E-001	0
6.0932271E+003	1.661219977548171E+001	-2.8879026E-001	-4.739528858655087E-002	1.3687298E-005	-2.8904891E-001	0
6.1601909E+003	1.681219977042929E+001	-2.9074129E-001	-4.719679955711953E-002	1.3722059E-005	-2.9104888E-001	0
6.2217563E+003	1.701219976537686E+001	-2.9278079E-001	-4.705757880029049E-002	1.3777555E-005	-2.9304889E-001	0
6.2885093E+003	1.721219976032444E+001	-2.9473630E-001	-4.686902620346034E-002	1.3814003E-005	-2.9504889E-001	0
6.3543608E+003	1.741219975527201E+001	-2.9676053E-001	-4.670186965887901E-002	1.3859271E-005	-2.9704890E-001	0
6.4237158E+003	1.761219975021959E+001	-2.9875657E-001	-4.650837367732108E-002	1.3894683E-005	-2.9904890E-001	0
6.4972549E+003	1.781219974516716E+001	-3.0080965E-001	-4.629796010821163E-002	1.3926873E-005	-3.0104890E-001	0
6.5608882E+003	1.801219974011474E+001	-3.0280441E-001	-4.615296086622722E-002	1.3975320E-005	-3.0304891E-001	0
6.6268975E+003	1.821219973506231E+001	-3.0481341E-001	-4.599639906098152E-002	1.4020319E-005	-3.0504891E-001	0
6.6805020E+003	1.841219973000989E+001	-3.0682066E-001	-4.592778568806516E-002	1.4091594E-005	-3.0704889E-001	0
6.7447563E+003	1.861219972495746E+001	-3.0876449E-001	-4.577844870110959E-002	1.4134759E-005	-3.0904889E-001	0
6.8068135E+003	1.881219971990504E+001	-3.1080040E-001	-4.566019149433798E-002	1.4191206E-005	-3.1104890E-001	0
6.8729683E+003	1.901219971485261E+001	-3.1281787E-001	-4.551423056042708E-002	1.4237665E-005	-3.1304890E-001	0
6.9418745E+003	1.921219970980019E+001	-3.1486246E-001	-4.535697918736903E-002	1.4281210E-005	-3.1504890E-001	0
7.0087900E+003	1.941219970474776E+001	-3.1682774E-001	-4.520434279379149E-002	1.4321990E-005	-3.1704891E-001	0
7.0680469E+003	1.961219969969534E+001	-3.1883478E-001	-4.510931918675243E-002	1.4382420E-005	-3.1904891E-001	0
7.1188945E+003	1.981219969464291E+001	-3.2082379E-001	-4.506651937429407E-002	1.4458412E-005	-3.2104892E-001	0
7.2477393E+003	2.003219968908525E+001	-3.2298604E-001	-4.456369322150289E-002	1.4393450E-005	-3.2324886E-001	0
7.3789404E+003	2.025219968352758E+001	-3.2514495E-001	-4.406390700445996E-002	1.4327156E-005	-3.2544887E-001	0
7.4449336E+003	2.045219967847515E+001	-3.2718831E-001	-4.394778065106764E-002	1.4379200E-005	-3.2744887E-001	0
7.5136807E+003	2.065219967342273E+001	-3.2923722E-001	-4.381836771958680E-002	1.4426638E-005	-3.2944891E-001	0
7.5760127E+003	2.085219966837030E+001	-3.3123493E-001	-4.372153951508773E-002	1.4482102E-005	-3.3144891E-001	0
7.6281357E+003	2.105219966331788E+001	-3.3315608E-001	-4.367463972526137E-002	1.4550472E-005	-3.3344892E-001	0
7.6938711E+003	2.125219965826545E+001	-3.3522677E-001	-4.357062440361326E-002	1.4606040E-005	-3.3544892E-001	0
7.7497544E+003	2.145219965321303E+001	-3.3724594E-001	-4.351698454467323E-002	1.4675927E-005	-3.3744889E-001	0
7.8043477E+003	2.165219964816060E+001	-3.3920780E-001	-4.346395177447770E-002	1.4743311E-005	-3.3944890E-001	0
7.8597612E+003	2.185219964310818E+001	-3.4121996E-001	-4.341352697384748E-002	1.4813562E-005	-3.4144893E-001	0
7.9358691E+003	2.205219963805575E+001	-3.4327668E-001	-4.325634269270842E-002	1.4848893E-005	-3.4344891E-001	0
7.9965742E+003	2.225219963300333E+001	-3.4524149E-001	-4.317367356376117E-002	1.4905343E-005	-3.4544888E-001	0
8.0444380E+003	2.245219962795090E+001	-3.4719294E-001	-4.315937765400918E-002	1.4984631E-005	-3.4744892E-001	0
8.1072744E+003	2.265219962289848E+001	-3.4929875E-001	-4.308460928819657E-002	1.5049400E-005	-3.4944889E-001	0
8.1608442E+003	2.285219961784605E+001	-3.5123402E-001	-4.303893090073717E-002	1.5116737E-005	-3.5144892E-001	0
8.2067373E+003	2.305219961279363E+001	-3.5319778E-001	-4.303753843437041E-002	1.5200763E-005	-3.5344890E-001	0
8.2623965E+003	2.325219960774120E+001	-3.5516837E-001	-4.298612116566747E-002	1.5267311E-005	-3.5544890E-001	0
8.3151279E+003	2.345219960268878E+001	-3.5719201E-001	-4.295688449371332E-002	1.5343856E-005	-3.5744894E-001	0
8.3657773E+003	2.365219959763635E+001	-3.5912922E-001	-4.292837501891045E-002	1.5416834E-005	-3.5944891E-001	0
8.4286250E+003	2.385219959258393E+001	-3.6118531E-001	-4.285222230834973E-002	1.5477593E-005	-3.6144894E-001	0
8.4747080E+003	2.405219958753150E+001	-3.6323988E-001	-4.286164155017691E-002	1.5569058E-005	-3.6344892E-001	0
8.5197500E+003	2.425219958247908E+001	-3.6519116E-001	-4.286406856677510E-002	1.5653579E-005	-3.6544895E-001	0
8.5637197E+003	2.445219957742665E+001	-3.6724192E-001	-4.288346007230820E-002	1.5748605E-005	-3.6744890E-001	0
8.6152500E+003	2.465219957237423E+001	-3.6916110E-001	-4.284972607663895E-002	1.5818452E-005	-3.6944890E-001	0
8.6787783E+003	2.485219956732180E+001	-3.7125009E-001	-4.277676814304399E-002	1.5880880E-005	-3.7144893E-001	0
8.7092256E+003	2.505219956226938E+001	-3.7314555E-001	-4.284485845611155E-002	1.5987369E-005	-3.7344891E-001	0
8.7769951E+003	2.525219955721695E+001	-3.7524977E-001	-4.275378637657817E-002	1.6043348E-005	-3.7544891E-001	0
8.8450283E+003	2.545219955216453E+001	-3.7736079E-001	-4.266360291578675E-002	1.6099571E-005	-3.7744892E-001	0
8.8773955E+003	2.565219954711210E+001	-3.7925395E-001	-4.272130873163020E-002	1.6202226E-005	-3.7944892E-001	0
8.9249629E+003	2.585219954205968E+001	-3.8110587E-001	-4.270111447830571E-002	1.6273645E-005	-3.8144889E-001	0
8.9714648E+003	2.605219953700725E+001	-3.8313630E-001	-4.270610241024075E-002	1.6362259E-005	-3.8344893E-001	0
9.0151309E+003	2.625219953195483E+001	-3.8514546E-001	-4.272211418521998E-002	1.6454229E-005	-3.8544890E-001	0
9.0506602E+003	2.645219952690240E+001	-3.8715649E-001	-4.277660041813092E-002	1.6561238E-005	-3.8744891E-001	0
9.1074268E+003	2.665219952184998E+001	-3.8920331E-001	-4.273471582755903E-002	1.6632493E-005	-3.8944891E-001	0
9.1564512E+003	2.685219951679755E+001	-3.9121422E-001	-4.272552928464923E-002	1.6714836E-005	-3.9144892E-001	0
9.1926670E+003	2.705219951174513E+001	-3.9337808E-001	-4.279259508982491E-002	1.6833668E-005	-3.9344892E-001	0
9.2322539E+003	2.725219950669270E+001	-3.9527163E-001	-4.281420728520136E-002	1.6923241E-005	-3.9544895E-001	0
9.2672598E+003	2.745219950164028E+001	-3.9720207E-001	-4.286078849301600E-002	1.7024395E-005	-3.9744890E-001	0
9.3071543E+003	2.765219949658785E+001	-3.9920786E-001	-4.289257955999282E-002	1.7123055E-005	-3.9944893E-001	0
9.3509678E+003	2.785219949153543E+001	-4.0123802E-001	-4.290871652447198E-002	1.7216609E-005	-4.0144894E-001	0
9.3857168E+003	2.805219948648300E+001	-4.0330389E-001	-4.296996007021930E-002	1.7329952E-005	-4.0344897E-001	0
9.4213320E+003	2.825219948143058E+001	-4.0527043E-001	-4.301625401570397E-002	1.7433216E-005	-4.0544891E-001	0
9.4623809E+003	2.845219947637815E+001	-4.0723652E-001	-4.303742459417637E-002	1.7526410E-005	-4.0744895E-001	0
9.4953145E+003	2.865219947132573E+001	-4.0929344E-001	-4.310477942348681E-002	1.7642504E-005	-4.0944892E-001	0
9.5313457E+003	2.885219946627331E+001	-4.1113690E-001	-4.313524089365053E-002	1.7734488E-005	-4.1144890E-001	0
9.5616865E+003	2.905219946122088E+001	-4.1320717E-001	-4.321488375007847E-002	1.7856701E-005	-4.1344893E-001	0
9.6062939E+003	2.925219945616846E+001	-4.1523063E-001	-4.322485158129119E-002	1.7948283E-005	-4.1544893E-001	0
9.6368438E+003	2.945219945111603E+001	-4.1725743E-001	-4.329814054647371E-002	1.8066470E-005	-4.1744894E-001	0
9.6646406E+003	2.965219944606361E+001	-4.1928014E-001	-4.338290079765006E-002	1.8189588E-005	-4.1944894E-001	0
9.6998896E+003	2.985219944101118E+001	-4.2129844E-001	-4.343332270136041E-002	1.8298391E-005	-4.2144895E-001	0
9.7242422E+003	3.005219943595876E+001	-4.2321703E-001	-4.352185223146005E-002	1.8419189E-005	-4.2344895E-001	0
9.7587734E+003	3.025219943090633E+001	-4.2516953E-001	-4.356792560660289E-002	1.8523755E-005	-4.2544892E-001	0
9.7956406E+003	3.045219942585391E+001	-4.2725259E-001	-4.361660528585931E-002	1.8635308E-005	-4.2744890E-001	0
9.8310332E+003	3.065219942080148E+001	-4.2929232E-001	-4.366706026234413E-002	1.8745934E-005	-4.2944893E-001	0
9.8547383E+003	3.085219941574906E+001	-4.3130657E-001	-4.376641469754183E-002	1.8876743E-005	-4.3144891E-001	0
9.8730186E+003	3.105219941069663E+001	-4.3338940E-001	-4.389634081838323E-002	1.9024208E-005	-4.3344894E-001	0
9.9054082E+003	3.125219940564421E+001	-4.3520063E-001	-4.393565808760758E-002	1.9120826E-005	-4.3544891E-001	0
9.9362246E+003	3.145219940059178E+001	-4.3726647E-001	-4.400730727883495E-002	1.9242920E-005	-4.3744895E-001	0
9.9533545E+003	3.165219939553936E+001	-4.3923002E-001	-4.412884350978019E-002	1.9382713E-005	-4.3944889E-001	0
9.9796035E+003	3.185219939048693E+001	-4.4122371E-001	-4.421254707676681E-002	1.9507625E-005	-4.4144893E-001	0
1.0014413E+004	3.205219938543451E+001	-4.4335935E-001	-4.427212274310222E-002	1.9628460E-005	-4.4344896E-001	0
1.0025940E+004	3.225219938038208E+001	-4.4532335E-001	-4.441711552337635E-002	1.9779978E-005	-4.4544894E-001	0
1.0050321E+004	3.245219937532966E+001	-4.4726291E-001	-4.450234882623327E-002	1.9904250E-005	-4.4744891E-001	0
1.0076235E+004	3.265219937027723E+001	-4.4922033E-001	-4.458215719172343E-002	2.0027212E-005	-4.4944894E-001	0
1.0091666E+004	3.285219936522481E+001	-4.5123035E-001	-4.471316687602234E-002	2.0175938E-005	-4.5144898E-001	0
1.0115619E+004	3.305219936017238E+001	-4.5326990E-001	-4.480891228023087E-002	2.0310532E-005	-4.5344892E-001	0
1.0151312E+004	3.325219935511996E+001	-4.5533553E-001	-4.485484936998939E-002	2.0424006E-005	-4.5544893E-001	0
1.0173588E+004	3.345219935006753E+001	-4.5729122E-001	-4.494886237720386E-002	2.0554720E-005	-4.5744896E-001	0
1.0200772E+004	3.365219934501511E+001	-4.5924100E-001	-4.502021742862161E-002	2.0675130E-005	-4.5944890E-001	0
1.0204032E+004	3.385219933996268E+001	-4.6123871E-001	-4.520161091318346E-002	2.0848733E-005	-4.6144894E-001	0
1.0220665E+004	3.405219933491026E+001	-4.6324489E-001	-4.532433792345791E-002	2.0996267E-005	-4.6344897E-001	0
1.0245147E+004	3.425219932985783E+001	-4.6516818E-001	-4.540375472456160E-002	2.1120382E-005	-4.6544895E-001	0
1.0248359E+004	3.445219932480541E+001	-4.6725398E-001	-4.559305051205453E-002	2.1303535E-005	-4.6744892E-001	0
1.0287396E+004	3.465219931975298E+001	-4.6928304E-001	-4.561728352966965E-002	2.1407417E-005	-4.6944892E-001	0
1.0300210E+004	3.485219931470056E+001	-4.7122291E-001	-4.574886509090614E-002	2.1557913E-005	-4.7144899E-001	0
1.0320695E+004	3.505219930964813E+001	-4.7321424E-001	-4.585100579774537E-002	2.1697349E-005	-4.7344893E-001	0
1.0335252E+004	3.525219930459571E+001	-4.7522679E-001	-4.598115224052290E-002	2.1851476E-005	-4.7544894E-001	0
1.0339225E+004	3.545219929954328E+001	-4.7726399E-001	-4.616052081941491E-002	2.2030754E-005	-4.7744894E-001	0
1.0371037E+004	3.565219929449086E+001	-4.7928616E-001	-4.621391035347125E-002	2.2149688E-005	-4.7944894E-001	0
1.0381079E+004	3.585219928943843E+001	-4.8128450E-001	-4.636170203922119E-002	2.2313168E-005	-4.8144889E-001	0
1.0402630E+004	3.605219928438601E+001	-4.8329982E-001	-4.645938734347621E-002	2.2453814E-005	-4.8344892E-001	0
1.0424971E+004	3.625219927933358E+001	-4.8524320E-001	-4.654624140208929E-002	2.2586248E-005	-4.8544896E-001	0
1.0443733E+004	3.645219927428116E+001	-4.8720741E-001	-4.665069272102823E-002	2.2728564E-005	-4.8744893E-001	0
1.0479495E+004	3.665219926922873E+001	-4.8923993E-001	-4.668545011640049E-002	2.2840386E-005	-4.8944890E-001	0
1.0482838E+004	3.685219926417631E+001	-4.9125698E-001	-4.686297727389777E-002	2.3021765E-005	-4.9144894E-001	0
1.0502430E+004	3.705219925912388E+001	-4.9322352E-001	-4.696279925018620E-002	2.3163157E-005	-4.9344894E-001	0
1.0519634E+004	3.725219925407146E+001	-4.9524966E-001	-4.707860259936864E-002	2.3315662E-005	-4.9544892E-001	0
