EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/12/2026 17:45:15.769
Technique started on : 02/12/2026 17:45:18.452
Loaded Setting File :  NONE
Saved on :
	File : PtPd_40_CoNi_2_12_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPd40CoNi
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.5806711E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-5.9741409E-003	0.000000000000000E+000	0.0000000E+000	-1.9998582E-001	0
1.5578844E+003	7.883199996067560E+000	-2.0171465E-001	-1.294798571616411E-001	2.6117985E-005	-2.0188560E-001	0
1.2556125E+003	8.003199993036105E+000	-2.0290497E-001	-1.615983907570500E-001	3.2789118E-005	-2.0308566E-001	0
1.5285515E+003	8.213199987731059E+000	-2.0499349E-001	-1.341096312641811E-001	2.7491600E-005	-2.0518559E-001	0
1.7439609E+003	8.413199982678634E+000	-2.0699389E-001	-1.186918189037429E-001	2.4568482E-005	-2.0718548E-001	0
1.9231812E+003	8.613199977626209E+000	-2.0901491E-001	-1.086818603450288E-001	2.2716129E-005	-2.0918538E-001	0
2.0784341E+003	8.813199972573784E+000	-2.1105669E-001	-1.015460173464267E-001	2.1431966E-005	-2.1118526E-001	0
2.2141960E+003	9.013199967521359E+000	-2.1302040E-001	-9.620665642644033E-002	2.0493981E-005	-2.1318518E-001	0
2.3386362E+003	9.213199962468934E+000	-2.1500680E-001	-9.193683051411261E-002	1.9767043E-005	-2.1518506E-001	0
2.4521306E+003	9.413199957416509E+000	-2.1702419E-001	-8.850433373012812E-002	1.9207582E-005	-2.1718498E-001	0
2.5582852E+003	9.613199952364084E+000	-2.1901737E-001	-8.561100842602262E-002	1.8750297E-005	-2.1918485E-001	0
2.6590969E+003	9.813199947311659E+000	-2.2102246E-001	-8.311936943137155E-002	1.8371247E-005	-2.2118475E-001	0
