EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/19/2026 11:48:30.898
Technique started on : 02/19/2026 11:48:33.581
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\Ni_2_18_01_ZIR_C01.mpr
Saved on :
	File : PtPdCoNi_2-19_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.3967539E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-2.8357441E-002	0.000000000000000E+000	0.0000000E+000	-1.9984403E-001	0
2.1122161E+003	7.883199996067560E+000	-2.0149353E-001	-9.539437893778091E-002	1.9221350E-005	-2.0174381E-001	0
1.1585699E+003	8.003199993036105E+000	-2.0272906E-001	-1.749821427183182E-001	3.5473964E-005	-2.0294388E-001	0
1.2726832E+003	8.213199987731059E+000	-2.0482440E-001	-1.609390260505990E-001	3.2964239E-005	-2.0504387E-001	0
1.4013650E+003	8.413199982678634E+000	-2.0681851E-001	-1.475836061566325E-001	3.0523021E-005	-2.0704383E-001	0
1.5111580E+003	8.613199977626209E+000	-2.0885457E-001	-1.382082977275150E-001	2.8865436E-005	-2.0904373E-001	0
1.6072714E+003	8.813199972573784E+000	-2.1084440E-001	-1.311815852265541E-001	2.7658902E-005	-2.1104363E-001	0
1.6919454E+003	9.013199967521359E+000	-2.1279661E-001	-1.257703731294779E-001	2.6763510E-005	-2.1304354E-001	0
1.7702217E+003	9.213199962468934E+000	-2.1484858E-001	-1.213681739015833E-001	2.6075779E-005	-2.1504344E-001	0
1.8420637E+003	9.413199957416509E+000	-2.1683967E-001	-1.177156169491229E-001	2.5525416E-005	-2.1704331E-001	0
1.9090513E+003	9.613199952364084E+000	-2.1879445E-001	-1.146089993311663E-001	2.5075813E-005	-2.1904324E-001	0
1.9724070E+003	9.813199947311659E+000	-2.2079594E-001	-1.119423863665953E-001	2.4716424E-005	-2.2104312E-001	0
2.0347570E+003	1.001319994225923E+001	-2.2287525E-001	-1.095340889139425E-001	2.4412439E-005	-2.2304304E-001	0
2.0932305E+003	1.021319993720681E+001	-2.2484580E-001	-1.074156945945106E-001	2.4151968E-005	-2.2504294E-001	0
2.1482903E+003	1.041319993215438E+001	-2.2681881E-001	-1.055810824026036E-001	2.3947776E-005	-2.2704284E-001	0
2.2029324E+003	1.061319992710196E+001	-2.2883087E-001	-1.038755781171404E-001	2.3769939E-005	-2.2904274E-001	0
2.2568523E+003	1.081319992204953E+001	-2.3081602E-001	-1.022734316192619E-001	2.3606346E-005	-2.3104265E-001	0
2.3072468E+003	1.101319991699711E+001	-2.3287946E-001	-1.009339185330235E-001	2.3505436E-005	-2.3304255E-001	0
