EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/11/2026 19:02:32.862
Technique started on : 02/11/2026 19:02:35.700
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCr_2_11_unpolished_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNiCr
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.4555508E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	1.4559191E-002	0.000000000000000E+000	0.0000000E+000	-1.9997221E-001	0
6.1873926E+002	8.038200003429665E+000	-2.0177935E-001	-3.261136898398398E-001	6.5803011E-005	-2.0187199E-001	0
6.1251001E+002	8.158200000398210E+000	-2.0291086E-001	-3.312776062390475E-001	6.7219822E-005	-2.0307204E-001	0
7.3668909E+002	8.368199995093164E+000	-2.0503068E-001	-2.783137193718357E-001	5.7062851E-005	-2.0517193E-001	0
8.2222388E+002	8.568199990040739E+000	-2.0704468E-001	-2.518105822511845E-001	5.2136042E-005	-2.0717183E-001	0
8.9028461E+002	8.768199984988314E+000	-2.0904633E-001	-2.348084346435604E-001	4.9085844E-005	-2.0917174E-001	0
9.4759393E+002	8.968199979935889E+000	-2.1103045E-001	-2.227013593649416E-001	4.6996767E-005	-2.1117166E-001	0
9.9743103E+002	9.168199974883464E+000	-2.1301895E-001	-2.135676088005880E-001	4.5493947E-005	-2.1317156E-001	0
1.0422997E+003	9.368199969831039E+000	-2.1501936E-001	-2.062932331676768E-001	4.4357039E-005	-2.1517149E-001	0
1.0829177E+003	9.568199964778614E+000	-2.1700875E-001	-2.003926492196902E-001	4.3486958E-005	-2.1717139E-001	0
1.1209152E+003	9.768199959726189E+000	-2.1903206E-001	-1.954046805207608E-001	4.2799889E-005	-2.1917129E-001	0
1.1564736E+003	9.968199954673764E+000	-2.2102211E-001	-1.911172927779621E-001	4.2241147E-005	-2.2117119E-001	0
