EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 01/30/2026 13:36:56.223
Technique started on : 01/30/2026 13:36:59.060
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdNiCoCr_oxidized_IR.mps
Saved on :
	File : PtPdNiCoCr_polished_IR_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCr
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.4051971E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-2.6413623E-002	0.000000000000000E+000	0.0000000E+000	-1.9980645E-001	0
2.0565396E+003	8.037200003382168E+000	-2.0154053E-001	-9.799983285367492E-002	1.9750938E-005	-2.0170623E-001	0
9.8303735E+002	8.157200000350713E+000	-2.0273092E-001	-2.062291098444970E-001	4.1809017E-005	-2.0290630E-001	0
1.0285077E+003	8.367199995045667E+000	-2.0485152E-001	-1.991735527243317E-001	4.0801006E-005	-2.0500629E-001	0
1.1134822E+003	8.567199989993242E+000	-2.0688556E-001	-1.858005168606991E-001	3.8439444E-005	-2.0700629E-001	0
1.1899967E+003	8.767199984940817E+000	-2.0888397E-001	-1.755332341005864E-001	3.6666079E-005	-2.0900629E-001	0
1.2573772E+003	8.967199979888392E+000	-2.1089019E-001	-1.677222866691701E-001	3.5370984E-005	-2.1100627E-001	0
1.3181388E+003	9.167199974835967E+000	-2.1288608E-001	-1.615050624329561E-001	3.4382181E-005	-2.1300629E-001	0
1.3737880E+003	9.367199969783542E+000	-2.1490656E-001	-1.564335682906646E-001	3.3618599E-005	-2.1500629E-001	0
1.4245750E+003	9.567199964731117E+000	-2.1686609E-001	-1.522321389584703E-001	3.3013988E-005	-2.1700630E-001	0
1.4717668E+003	9.767199959678692E+000	-2.1884048E-001	-1.486923506044175E-001	3.2539905E-005	-2.1900627E-001	0
1.5160388E+003	9.967199954626267E+000	-2.2085077E-001	-1.456761935920099E-001	3.2172698E-005	-2.2100630E-001	0
1.5585529E+003	1.016719994957384E+001	-2.2290009E-001	-1.430173511205075E-001	3.1878582E-005	-2.2300628E-001	0
1.5982302E+003	1.036719994452142E+001	-2.2488897E-001	-1.407112450467720E-001	3.1644406E-005	-2.2500627E-001	0
1.6357715E+003	1.056719993946899E+001	-2.2688417E-001	-1.387016281882576E-001	3.1469204E-005	-2.2700630E-001	0
1.6724731E+003	1.076719993441657E+001	-2.2888872E-001	-1.368564404314905E-001	3.1324897E-005	-2.2900626E-001	0
1.7072047E+003	1.096719992936414E+001	-2.3086950E-001	-1.352324678854018E-001	3.1221054E-005	-2.3100628E-001	0
1.7406953E+003	1.116719992431172E+001	-2.3283838E-001	-1.337617057514989E-001	3.1144860E-005	-2.3300628E-001	0
1.7743009E+003	1.136719991925929E+001	-2.3492169E-001	-1.324024017617238E-001	3.1104195E-005	-2.3500627E-001	0
1.8060253E+003	1.156719991420687E+001	-2.3688951E-001	-1.311662198971458E-001	3.1071901E-005	-2.3700628E-001	0
1.8358239E+003	1.176719990915444E+001	-2.3885313E-001	-1.301067792937209E-001	3.1076412E-005	-2.3900628E-001	0
1.8646807E+003	1.196719990410202E+001	-2.4089648E-001	-1.291891303380139E-001	3.1121206E-005	-2.4100628E-001	0
1.8905483E+003	1.216719989904959E+001	-2.4291167E-001	-1.284874118220427E-001	3.1211090E-005	-2.4300627E-001	0
1.9150685E+003	1.236719989399717E+001	-2.4489649E-001	-1.278787059096991E-001	3.1317046E-005	-2.4500629E-001	0
1.9404689E+003	1.256719988894474E+001	-2.4688445E-001	-1.272292725304708E-001	3.1410927E-005	-2.4700628E-001	0
1.9657479E+003	1.276719988389232E+001	-2.4889815E-001	-1.266175321432130E-001	3.1514868E-005	-2.4900627E-001	0
