EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/10/2026 14:55:40.895
Technique started on : 02/10/2026 14:55:43.733
Loaded Setting File :  NONE
Saved on :
	File : X18_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75o18.75Cr25
Initial state : 
Electrolyte : KOH (1 M)
Comments : After polishing
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.1671042E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-4.1388445E-002	0.000000000000000E+000	0.0000000E+000	-1.9998202E-001	0
3.8909111E+003	8.038200003429665E+000	-2.0168030E-001	5.183369489968748E-002	-1.0453835E-005	-2.0188180E-001	0
2.3932983E+003	8.158200000398210E+000	-2.0293640E-001	-8.479360458940000E-002	1.7207709E-005	-2.0308185E-001	0
2.1158447E+003	8.368199995093164E+000	-2.0502356E-001	-9.689915533148019E-002	1.9866609E-005	-2.0518187E-001	0
2.2405444E+003	8.568199990040739E+000	-2.0703724E-001	-9.240487777013473E-002	1.9131250E-005	-2.0718183E-001	0
2.3818618E+003	8.768199984988314E+000	-2.0905857E-001	-8.777106957733993E-002	1.8349294E-005	-2.0918186E-001	0
2.5188547E+003	8.968199979935889E+000	-2.1102302E-001	-8.377736973124339E-002	1.7678953E-005	-2.1118186E-001	0
2.6477222E+003	9.168199974883464E+000	-2.1304686E-001	-8.046420424323419E-002	1.7142645E-005	-2.1318182E-001	0
2.7704307E+003	9.368199969831039E+000	-2.1504526E-001	-7.762160083667580E-002	1.6692156E-005	-2.1518186E-001	0
2.8858608E+003	9.568199964778614E+000	-2.1703133E-001	-7.520505565254521E-002	1.6321854E-005	-2.1718186E-001	0
2.9973567E+003	9.768199959726189E+000	-2.1902551E-001	-7.307288552583713E-002	1.6004826E-005	-2.1918184E-001	0
3.1046970E+003	9.968199954673764E+000	-2.2106315E-001	-7.120280967320025E-002	1.5740317E-005	-2.2118184E-001	0
