EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/17/2026 15:02:51.055
Technique started on : 02/17/2026 15:02:53.739
Loaded Setting File :  NONE
Saved on :
	File : X18_75_2-17_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt18.75Pd18.75Ni18.75CCo18.75Cr25
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.684400127473054E+000	-1.4959654E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.684200001167483E+000	-4.6933584E-002	0.000000000000000E+000	0.0000000E+000	-1.9983605E-001	0
3.3458564E+003	7.884199996115058E+000	-2.0153941E-001	6.023552466183890E-002	-1.2139833E-005	-2.0173582E-001	0
2.4514475E+003	8.004199993083603E+000	-2.0270285E-001	-8.268700451970262E-002	1.6760892E-005	-2.0293587E-001	0
2.1741853E+003	8.214199987778557E+000	-2.0483357E-001	-9.421164157289308E-002	1.9297706E-005	-2.0503588E-001	0
2.3027236E+003	8.414199982726132E+000	-2.0681839E-001	-8.981467791053710E-002	1.8575327E-005	-2.0703590E-001	0
2.4464285E+003	8.614199977673707E+000	-2.0879196E-001	-8.534561726475842E-002	1.7819479E-005	-2.0903587E-001	0
2.5854714E+003	8.814199972621282E+000	-2.1081051E-001	-8.153658161043276E-002	1.7188768E-005	-2.1103588E-001	0
2.7158855E+003	9.014199967568857E+000	-2.1282057E-001	-7.836139135647646E-002	1.6676917E-005	-2.1303590E-001	0
2.8392649E+003	9.214199962516432E+000	-2.1484146E-001	-7.566798557031068E-002	1.6256619E-005	-2.1503586E-001	0
2.9549905E+003	9.414199957464007E+000	-2.1682607E-001	-7.337622975037261E-002	1.5909880E-005	-2.1703589E-001	0
3.0675269E+003	9.614199952411582E+000	-2.1888258E-001	-7.135473999781888E-002	1.5618309E-005	-2.1903586E-001	0
3.1722207E+003	9.814199947359157E+000	-2.2085404E-001	-6.962127309469929E-002	1.5376139E-005	-2.2103585E-001	0
3.2764915E+003	1.001419994230673E+001	-2.2284225E-001	-6.801246159843044E-002	1.5156050E-005	-2.2303589E-001	0
3.3752917E+003	1.021419993725431E+001	-2.2482876E-001	-6.661017048077622E-002	1.4975883E-005	-2.2503586E-001	0
3.4712219E+003	1.041419993220188E+001	-2.2683947E-001	-6.534859414746719E-002	1.4823640E-005	-2.2703589E-001	0
3.5655374E+003	1.061419992714946E+001	-2.2880772E-001	-6.417201638650460E-002	1.4683053E-005	-2.2903587E-001	0
3.6577932E+003	1.081419992209703E+001	-2.3080356E-001	-6.309913023208152E-002	1.4563504E-005	-2.3103587E-001	0
3.7475525E+003	1.101419991704461E+001	-2.3284803E-001	-6.213336031146915E-002	1.4467631E-005	-2.3303586E-001	0
