EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 02/16/2026 18:04:44.348
Technique started on : 02/16/2026 18:04:47.188
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPd_40_CoNi_2_12.mps
Saved on :
	File : PtPdNiCoCrX22_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt_40
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.840400134882657E+000	-1.5598895E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.840200008577085E+000	-4.8411198E-002	0.000000000000000E+000	0.0000000E+000	-1.9998236E-001	0
3.7138123E+003	8.040200003524660E+000	-2.0168175E-001	5.430585511843674E-002	-1.0952500E-005	-2.0188214E-001	0
2.2909382E+003	8.160200000493205E+000	-2.0292053E-001	-8.857529169323897E-002	1.7973745E-005	-2.0308220E-001	0
2.1113630E+003	8.370199995188159E+000	-2.0502919E-001	-9.710749873971747E-002	1.9909872E-005	-2.0518219E-001	0
2.2541719E+003	8.570199990135734E+000	-2.0699807E-001	-9.182887821661057E-002	1.9008399E-005	-2.0718220E-001	0
2.4024250E+003	8.770199985083309E+000	-2.0903951E-001	-8.701187987176207E-002	1.8188921E-005	-2.0918219E-001	0
2.5370972E+003	8.970199980030884E+000	-2.1105781E-001	-8.318869700199183E-002	1.7557624E-005	-2.1118219E-001	0
2.6609370E+003	9.170199974978459E+000	-2.1304196E-001	-8.006275966689569E-002	1.7056727E-005	-2.1318220E-001	0
2.7773865E+003	9.370199969926034E+000	-2.1505031E-001	-7.742902126887619E-002	1.6651135E-005	-2.1518219E-001	0
2.8853335E+003	9.570199964873609E+000	-2.1702892E-001	-7.521796809739578E-002	1.6324475E-005	-2.1718219E-001	0
2.9882642E+003	9.770199959821184E+000	-2.1901201E-001	-7.329071186801794E-002	1.6051546E-005	-2.1918221E-001	0
3.0851772E+003	9.970199954768759E+000	-2.2105831E-001	-7.165173461920467E-002	1.5839210E-005	-2.2118220E-001	0
3.1793442E+003	1.017019994971633E+001	-2.2306556E-001	-7.016087148091466E-002	1.5650474E-005	-2.2318219E-001	0
3.2681260E+003	1.037019994466391E+001	-2.2505720E-001	-6.886429940255301E-002	1.5498406E-005	-2.2518221E-001	0
3.3536953E+003	1.057019993961148E+001	-2.2702371E-001	-6.769359675595055E-002	1.5368050E-005	-2.2718216E-001	0
3.4374158E+003	1.077019993455906E+001	-2.2903986E-001	-6.663141282942653E-002	1.5261250E-005	-2.2918220E-001	0
3.5200908E+003	1.097019992950663E+001	-2.3106837E-001	-6.564273166389989E-002	1.5167959E-005	-2.3118220E-001	0
3.5984136E+003	1.117019992445421E+001	-2.3310409E-001	-6.477968472577733E-002	1.5100410E-005	-2.3318219E-001	0
3.6718936E+003	1.137019991940178E+001	-2.3501863E-001	-6.400474725457972E-002	1.5042307E-005	-2.3518220E-001	0
3.7523418E+003	1.157019991434936E+001	-2.3712671E-001	-6.319432589806195E-002	1.4985062E-005	-2.3718220E-001	0
3.8242046E+003	1.177019990929693E+001	-2.3902489E-001	-6.250316408766943E-002	1.4939812E-005	-2.3918220E-001	0
3.8964058E+003	1.197019990424451E+001	-2.4102752E-001	-6.185893833694234E-002	1.4909707E-005	-2.4118218E-001	0
3.9680940E+003	1.217019989919208E+001	-2.4301314E-001	-6.124177987818222E-002	1.4882557E-005	-2.4318221E-001	0
4.0396262E+003	1.237019989413966E+001	-2.4504524E-001	-6.066037719127406E-002	1.4864537E-005	-2.4518217E-001	0
4.1156714E+003	1.257019988908723E+001	-2.4709921E-001	-6.003861739500793E-002	1.4835495E-005	-2.4718218E-001	0
4.1802681E+003	1.277019988403481E+001	-2.4903560E-001	-5.957407241290147E-002	1.4836065E-005	-2.4918221E-001	0
4.2496011E+003	1.297019987898238E+001	-2.5105414E-001	-5.907710869068028E-002	1.4831553E-005	-2.5118217E-001	0
4.3185620E+003	1.317019987392996E+001	-2.5307646E-001	-5.860202325256697E-002	1.4830793E-005	-2.5318220E-001	0
4.3878765E+003	1.337019986887753E+001	-2.5503641E-001	-5.812296752929869E-002	1.4823473E-005	-2.5518218E-001	0
4.4555693E+003	1.357019986382511E+001	-2.5707212E-001	-5.769680785500964E-002	1.4832241E-005	-2.5718218E-001	0
4.5173701E+003	1.377019985877268E+001	-2.5906456E-001	-5.734853496798253E-002	1.4856972E-005	-2.5918218E-001	0
4.5896689E+003	1.397019985372026E+001	-2.6111555E-001	-5.689202433466800E-002	1.4855393E-005	-2.6118219E-001	0
4.6504614E+003	1.417019984866783E+001	-2.6302710E-001	-5.655935610108120E-002	1.4876644E-005	-2.6318219E-001	0
4.7181284E+003	1.437019984361541E+001	-2.6504755E-001	-5.617641976426291E-002	1.4889422E-005	-2.6518220E-001	0
4.7871445E+003	1.457019983856299E+001	-2.6704377E-001	-5.578351954511362E-002	1.4896641E-005	-2.6718220E-001	0
4.8443477E+003	1.477019983351056E+001	-2.6905614E-001	-5.554021918954000E-002	1.4943437E-005	-2.6918218E-001	0
4.9089922E+003	1.497019982845814E+001	-2.7104303E-001	-5.521358202407925E-002	1.4965257E-005	-2.7118221E-001	0
4.9748984E+003	1.517019982340571E+001	-2.7306071E-001	-5.488769780705055E-002	1.4987673E-005	-2.7318218E-001	0
5.0420586E+003	1.537019981835329E+001	-2.7507329E-001	-5.455574885173342E-002	1.5006829E-005	-2.7518219E-001	0
5.0983501E+003	1.557019981330086E+001	-2.7704322E-001	-5.433977908948995E-002	1.5054467E-005	-2.7718219E-001	0
5.1651313E+003	1.577019980824844E+001	-2.7903882E-001	-5.402356840706019E-002	1.5074673E-005	-2.7918220E-001	0
5.2222847E+003	1.597019980319601E+001	-2.8104356E-001	-5.381620992524178E-002	1.5124700E-005	-2.8118220E-001	0
5.2896045E+003	1.617019979814359E+001	-2.8301412E-001	-5.350383234478540E-002	1.5142340E-005	-2.8318220E-001	0
5.3459829E+003	1.637019979309116E+001	-2.8502819E-001	-5.331632811227655E-002	1.5196656E-005	-2.8518218E-001	0
5.4079941E+003	1.657019978803874E+001	-2.8706452E-001	-5.308151337246309E-002	1.5237819E-005	-2.8718221E-001	0
5.4721367E+003	1.677019978298631E+001	-2.8903785E-001	-5.281992409222003E-002	1.5266958E-005	-2.8918219E-001	0
5.5322705E+003	1.697019977793389E+001	-2.9106146E-001	-5.261157232267011E-002	1.5313200E-005	-2.9118219E-001	0
5.5973511E+003	1.717019977288146E+001	-2.9302096E-001	-5.234993636489861E-002	1.5339629E-005	-2.9318216E-001	0
5.6544180E+003	1.737019976782904E+001	-2.9505438E-001	-5.218120909226287E-002	1.5396294E-005	-2.9518220E-001	0
5.7147666E+003	1.757019976277661E+001	-2.9703215E-001	-5.197624972537840E-002	1.5438616E-005	-2.9718220E-001	0
5.7708115E+003	1.777019975772419E+001	-2.9905173E-001	-5.182143493213365E-002	1.5497289E-005	-2.9918218E-001	0
5.8352686E+003	1.797019975267176E+001	-3.0101401E-001	-5.158528869141699E-002	1.5527894E-005	-3.0118221E-001	0
5.8909355E+003	1.817019974761934E+001	-3.0304232E-001	-5.144213682595988E-002	1.5589145E-005	-3.0318218E-001	0
5.9537339E+003	1.837019974256691E+001	-3.0501923E-001	-5.123158659027860E-002	1.5626620E-005	-3.0518219E-001	0
6.0156060E+003	1.857019973751449E+001	-3.0702949E-001	-5.103882924440284E-002	1.5670426E-005	-3.0718219E-001	0
6.0717520E+003	1.877019973246206E+001	-3.0905226E-001	-5.090001592087379E-002	1.5730764E-005	-3.0918220E-001	0
6.1294644E+003	1.897019972740964E+001	-3.1105527E-001	-5.074754526971681E-002	1.5785292E-005	-3.1118217E-001	0
6.1918462E+003	1.917019972235721E+001	-3.1304345E-001	-5.055736925066467E-002	1.5826654E-005	-3.1318220E-001	0
6.2416138E+003	1.937019971730479E+001	-3.1503057E-001	-5.047261651949614E-002	1.5900418E-005	-3.1518218E-001	0
6.2974136E+003	1.957019971225236E+001	-3.1701300E-001	-5.034018836888055E-002	1.5958494E-005	-3.1718218E-001	0
6.3613833E+003	1.977019970719994E+001	-3.1904212E-001	-5.015294470712328E-002	1.6000902E-005	-3.1918219E-001	0
6.4151670E+003	1.997019970214751E+001	-3.2098854E-001	-5.003588102111700E-002	1.6060943E-005	-3.2118219E-001	0
6.4757988E+003	2.017019969709509E+001	-3.2305095E-001	-4.988588230281055E-002	1.6115682E-005	-3.2318220E-001	0
6.5321011E+003	2.037019969204266E+001	-3.2509154E-001	-4.976829486875853E-002	1.6179252E-005	-3.2518217E-001	0
6.5868516E+003	2.057019968699024E+001	-3.2703260E-001	-4.964930366232667E-002	1.6236942E-005	-3.2718223E-001	0
6.6469395E+003	2.077019968193781E+001	-3.2905260E-001	-4.950437720130085E-002	1.6289543E-005	-3.2918218E-001	0
6.7027378E+003	2.097019967688539E+001	-3.3103341E-001	-4.938778884512440E-002	1.6349008E-005	-3.3118221E-001	0
6.7581289E+003	2.117019967183296E+001	-3.3304447E-001	-4.928057279243504E-002	1.6412621E-005	-3.3318219E-001	0
6.8077720E+003	2.137019966678054E+001	-3.3505639E-001	-4.921674873107551E-002	1.6490387E-005	-3.3518219E-001	0
6.8666743E+003	2.157019966172811E+001	-3.3704206E-001	-4.908373971763236E-002	1.6543285E-005	-3.3718219E-001	0
6.9237544E+003	2.177019965667569E+001	-3.3903679E-001	-4.896718798503019E-002	1.6601678E-005	-3.3918220E-001	0
6.9845732E+003	2.197019965162326E+001	-3.4106380E-001	-4.883101450457816E-002	1.6654491E-005	-3.4118220E-001	0
7.0375220E+003	2.217019964657084E+001	-3.4306172E-001	-4.874751640113095E-002	1.6723407E-005	-3.4318221E-001	0
7.0900801E+003	2.237019964151841E+001	-3.4502336E-001	-4.866283104433983E-002	1.6789814E-005	-3.4518218E-001	0
7.1440220E+003	2.257019963646599E+001	-3.4704912E-001	-4.857895423102765E-002	1.6859283E-005	-3.4718218E-001	0
7.1947905E+003	2.277019963141356E+001	-3.4905529E-001	-4.851500513512519E-002	1.6934418E-005	-3.4918222E-001	0
7.2554634E+003	2.297019962636114E+001	-3.5104394E-001	-4.838339302951772E-002	1.6984697E-005	-3.5118219E-001	0
7.3066680E+003	2.317019962130871E+001	-3.5304359E-001	-4.831800136483932E-002	1.7058361E-005	-3.5318217E-001	0
7.3621934E+003	2.337019961625629E+001	-3.5504532E-001	-4.822548176901087E-002	1.7122231E-005	-3.5518220E-001	0
7.4181250E+003	2.357019961120386E+001	-3.5704708E-001	-4.813171532469662E-002	1.7185288E-005	-3.5718220E-001	0
7.4638701E+003	2.377019960615144E+001	-3.5906413E-001	-4.810696471743307E-002	1.7273485E-005	-3.5918218E-001	0
7.5165342E+003	2.397019960109901E+001	-3.6104080E-001	-4.803288349794120E-002	1.7341830E-005	-3.6118221E-001	0
7.5628496E+003	2.417019959604659E+001	-3.6300990E-001	-4.799909086537896E-002	1.7424145E-005	-3.6318222E-001	0
7.6311963E+003	2.437019959099416E+001	-3.6504817E-001	-4.783629655839070E-002	1.7462553E-005	-3.6518222E-001	0
