EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/17/2026 15:28:45.127
Technique started on : 02/17/2026 15:28:47.964
Loaded Setting File :  NONE
Saved on :
	File : X22_5_2-17_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.5932393E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-3.9787564E-002	0.000000000000000E+000	0.0000000E+000	-1.9985116E-001	0
9.8505518E+003	8.037200003382168E+000	-2.0156340E-001	2.046214245638110E-002	-4.1244189E-006	-2.0175093E-001	0
1.9620120E+003	8.157200000350713E+000	-2.0273840E-001	-1.033318889721737E-001	2.0949343E-005	-2.0295100E-001	0
1.9238010E+003	8.367199995045667E+000	-2.0484041E-001	-1.064769214551364E-001	2.1810776E-005	-2.0505099E-001	0
2.0811248E+003	8.567199989993242E+000	-2.0682760E-001	-9.938260873667676E-002	2.0555066E-005	-2.0705099E-001	0
2.2336721E+003	8.767199984940817E+000	-2.0879970E-001	-9.347822829867747E-002	1.9518226E-005	-2.0905100E-001	0
2.3748657E+003	8.967199979888392E+000	-2.1080148E-001	-8.876353824065575E-002	1.8711486E-005	-2.1105097E-001	0
2.5030352E+003	9.167199974835967E+000	-2.1279523E-001	-8.501487377082828E-002	1.8090759E-005	-2.1305099E-001	0
2.6257490E+003	9.367199969783542E+000	-2.1484223E-001	-8.182130982759350E-002	1.7578674E-005	-2.1505100E-001	0
2.7367148E+003	9.567199964731117E+000	-2.1685146E-001	-7.923786980184433E-002	1.7182847E-005	-2.1705100E-001	0
2.8436074E+003	9.767199959678692E+000	-2.1883012E-001	-7.695511140324218E-002	1.6840097E-005	-2.1905097E-001	0
2.9427788E+003	9.967199954626267E+000	-2.2081476E-001	-7.503613982985291E-002	1.6569087E-005	-2.2105101E-001	0
