EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/11/2026 11:20:18.747
Technique started on : 03/11/2026 11:20:21.585
Loaded Setting File :  NONE
Saved on :
	File : Ni_N52magA_flat_3-11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1 M)
Comments : With magnet A (+) side, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-1.6621916E-001	0.0000000E+000	0.0000000E+000	2.838400134787662E+000
0.000000000000000E+000	-3.5152268E-001	-1.9983749E-001	0.0000000E+000	7.838200008482090E+000
6.041795673966406E-001	-2.0170940E-001	-2.0173727E-001	3.3385672E+002	8.038200003429665E+000
1.787959288777206E-001	-2.0282687E-001	-2.0293732E-001	1.1344043E+003	8.158200000398210E+000
7.393345421194930E-002	-2.0491099E-001	-2.0503733E-001	2.7715598E+003	8.368199995093164E+000
4.765770992441049E-002	-2.0713426E-001	-2.0723732E-001	4.3462905E+003	8.588199989535497E+000
3.554385554419240E-002	-2.0932163E-001	-2.0943731E-001	5.8891089E+003	8.808199983977829E+000
2.887606279567609E-002	-2.1132152E-001	-2.1143733E-001	7.3182246E+003	9.008199978925404E+000
2.426618813627335E-002	-2.1332395E-001	-2.1343733E-001	8.7909951E+003	9.208199973872979E+000
2.090672011101247E-002	-2.1536224E-001	-2.1543731E-001	1.0301101E+004	9.408199968820554E+000
1.830509826176654E-002	-2.1735682E-001	-2.1743733E-001	1.1874113E+004	9.608199963768129E+000
1.624606336536130E-002	-2.1935458E-001	-2.1943733E-001	1.3502015E+004	9.808199958715704E+000
1.454571139462330E-002	-2.2133537E-001	-2.2143732E-001	1.5216538E+004	1.000819995366328E+001
1.317420260703014E-002	-2.2338088E-001	-2.2343732E-001	1.6955932E+004	1.020819994861085E+001
1.199560183082718E-002	-2.2535276E-001	-2.2543734E-001	1.8786283E+004	1.040819994355843E+001
1.095194428613522E-002	-2.2741310E-001	-2.2743732E-001	2.0764633E+004	1.060819993850600E+001
1.006135896059196E-002	-2.2932130E-001	-2.2943732E-001	2.2792279E+004	1.080819993345358E+001
9.312693279103501E-003	-2.3143221E-001	-2.3143734E-001	2.4851266E+004	1.100819992840115E+001
8.589355211085649E-003	-2.3341510E-001	-2.3343730E-001	2.7174926E+004	1.120819992334873E+001
7.971908282813300E-003	-2.3538975E-001	-2.3543733E-001	2.9527404E+004	1.140819991829630E+001
7.439073630887923E-003	-2.3732702E-001	-2.3743734E-001	3.1902766E+004	1.160819991324388E+001
6.941353268404005E-003	-2.3937252E-001	-2.3943733E-001	3.4484992E+004	1.180819990819145E+001
6.485774761549983E-003	-2.4134357E-001	-2.4143733E-001	3.7211219E+004	1.200819990313903E+001
6.057533382958440E-003	-2.4329825E-001	-2.4343733E-001	4.0164574E+004	1.220819989808660E+001
5.668599205085011E-003	-2.4536623E-001	-2.4543734E-001	4.3285160E+004	1.240819989303418E+001
5.333489700358591E-003	-2.4741325E-001	-2.4743731E-001	4.6388625E+004	1.260819988798175E+001
5.002079861179315E-003	-2.4934341E-001	-2.4943732E-001	4.9847945E+004	1.280819988292933E+001
4.712117886332558E-003	-2.5134692E-001	-2.5143731E-001	5.3340539E+004	1.300819987787690E+001
4.428012778255538E-003	-2.5335020E-001	-2.5343731E-001	5.7215328E+004	1.320819987282448E+001
4.159633206180374E-003	-2.5536260E-001	-2.5543731E-001	6.1390652E+004	1.340819986777205E+001
3.943849841135133E-003	-2.5735888E-001	-2.5743732E-001	6.5255750E+004	1.360819986271963E+001
3.680202618514266E-003	-2.5934389E-001	-2.5943732E-001	7.0470000E+004	1.380819985766720E+001
3.478352823204953E-003	-2.6137650E-001	-2.6143730E-001	7.5143758E+004	1.400819985261478E+001
3.263570259266067E-003	-2.6336637E-001	-2.6343733E-001	8.0698852E+004	1.420819984756236E+001
3.112109311089073E-003	-2.6529539E-001	-2.6543733E-001	8.5246164E+004	1.440819984250993E+001
2.905677894128114E-003	-2.6735914E-001	-2.6743731E-001	9.2012656E+004	1.460819983745751E+001
2.741701370577179E-003	-2.6936772E-001	-2.6943731E-001	9.8248383E+004	1.480819983240508E+001
2.601716006343058E-003	-2.7132156E-001	-2.7143732E-001	1.0428562E+005	1.500819982735266E+001
2.445290285442304E-003	-2.7330852E-001	-2.7343732E-001	1.1176935E+005	1.520819982230023E+001
2.303582649561417E-003	-2.7535212E-001	-2.7543733E-001	1.1953213E+005	1.540819981724781E+001
2.159316090554712E-003	-2.7734244E-001	-2.7743733E-001	1.2843995E+005	1.560819981219538E+001
2.021842814507329E-003	-2.7933615E-001	-2.7943733E-001	1.3815919E+005	1.580819980714296E+001
1.887647600883495E-003	-2.8134307E-001	-2.8143731E-001	1.4904428E+005	1.600819980209053E+001
1.793897376166141E-003	-2.8333718E-001	-2.8343734E-001	1.5794503E+005	1.620819979703811E+001
1.652320564930643E-003	-2.8534070E-001	-2.8543732E-001	1.7269088E+005	1.640819979198568E+001
1.554103297766497E-003	-2.8740340E-001	-2.8743732E-001	1.8493198E+005	1.660819978693326E+001
1.451724041827421E-003	-2.8934005E-001	-2.8943732E-001	1.9930789E+005	1.680819978188083E+001
1.350899841350395E-003	-2.9135585E-001	-2.9143730E-001	2.1567539E+005	1.700819977682841E+001
1.254766982653848E-003	-2.9333389E-001	-2.9343730E-001	2.3377559E+005	1.720819977177598E+001
1.152962719310726E-003	-2.9535097E-001	-2.9543731E-001	2.5616697E+005	1.740819976672356E+001
1.077029831660723E-003	-2.9744187E-001	-2.9743734E-001	2.7616866E+005	1.760819976167113E+001
9.932212670928954E-004	-2.9934117E-001	-2.9943731E-001	3.0138419E+005	1.780819975661871E+001
9.115724718635016E-004	-3.0135316E-001	-3.0143735E-001	3.3058606E+005	1.800819975156628E+001
8.060997645022890E-004	-3.0337554E-001	-3.0343732E-001	3.7634988E+005	1.820819974651386E+001
7.212223665064251E-004	-3.0536139E-001	-3.0543730E-001	4.2339422E+005	1.840819974146143E+001
6.840754014564208E-004	-3.0739760E-001	-3.0743730E-001	4.4936216E+005	1.860819973640901E+001
5.781061022606193E-004	-3.0938834E-001	-3.0943733E-001	5.3517569E+005	1.880819973135658E+001
4.978655025615073E-004	-3.1135470E-001	-3.1143731E-001	6.2537913E+005	1.900819972630416E+001
4.524657884931466E-004	-3.1332767E-001	-3.1343734E-001	6.9248919E+005	1.920819972125173E+001
3.643585078848438E-004	-3.1536552E-001	-3.1543732E-001	8.6553631E+005	1.940819971619931E+001
