EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/11/2026 11:40:16.786
Technique started on : 03/11/2026 11:40:19.467
Loaded Setting File :  NONE
Saved on :
	File : Ni_N52magA_up_3-11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1 M)
Comments : With magnet A (+) side, up position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-2.2154634E-001	0.0000000E+000	0.0000000E+000	2.681400127330562E+000
0.000000000000000E+000	-3.5443306E-001	-1.9987610E-001	0.0000000E+000	7.681200001024990E+000
4.751647865772251E-001	-2.0117643E-001	-2.0137589E-001	4.2338245E+002	7.841199996983050E+000
1.259153656763941E-001	-2.0235144E-001	-2.0247592E-001	1.6070432E+003	7.951199994204217E+000
5.729731433663743E-002	-2.0436056E-001	-2.0447592E-001	3.5666692E+003	8.151199989151792E+000
4.042913091356598E-002	-2.0655210E-001	-2.0667592E-001	5.1089917E+003	8.371199983594124E+000
3.220239539008762E-002	-2.0874251E-001	-2.0887592E-001	6.4822046E+003	8.591199978036457E+000
2.743049671075173E-002	-2.1072519E-001	-2.1087593E-001	7.6821499E+003	8.791199972984032E+000
2.400820450107571E-002	-2.1278916E-001	-2.1287593E-001	8.8631855E+003	8.991199967931607E+000
2.137793016001213E-002	-2.1470584E-001	-2.1487592E-001	1.0043341E+004	9.191199962879182E+000
1.930012903347844E-002	-2.1686423E-001	-2.1687593E-001	1.1236413E+004	9.391199957826757E+000
1.756724028699225E-002	-2.1873890E-001	-2.1887593E-001	1.2451523E+004	9.591199952774332E+000
1.613735402958009E-002	-2.2063692E-001	-2.2087593E-001	1.3672435E+004	9.791199947721907E+000
1.489450538962819E-002	-2.2279806E-001	-2.2287592E-001	1.4958406E+004	9.991199942669482E+000
1.381666898698911E-002	-2.2465450E-001	-2.2487594E-001	1.6259671E+004	1.019119993761706E+001
1.287684815208795E-002	-2.2685300E-001	-2.2687593E-001	1.7617121E+004	1.039119993256463E+001
1.198661840685000E-002	-2.2863811E-001	-2.2887592E-001	1.9074447E+004	1.059119992751221E+001
1.123423246012645E-002	-2.3077124E-001	-2.3087594E-001	2.0541789E+004	1.079119992245978E+001
1.054029178524774E-002	-2.3276305E-001	-2.3287593E-001	2.2083170E+004	1.099119991740736E+001
9.897264930387450E-003	-2.3472093E-001	-2.3487593E-001	2.3715736E+004	1.119119991235493E+001
9.335167658364254E-003	-2.3686084E-001	-2.3687594E-001	2.5372961E+004	1.139119990730251E+001
8.802720332753686E-003	-2.3867059E-001	-2.3887594E-001	2.7113275E+004	1.159119990225008E+001
8.302716654725414E-003	-2.4082474E-001	-2.4087593E-001	2.9005535E+004	1.179119989719766E+001
7.865117019271554E-003	-2.4274801E-001	-2.4287593E-001	3.0863877E+004	1.199119989214523E+001
7.427859268691855E-003	-2.4479073E-001	-2.4487594E-001	3.2955758E+004	1.219119988709281E+001
7.024345452772644E-003	-2.4675284E-001	-2.4687591E-001	3.5128234E+004	1.239119988204038E+001
6.650555840270519E-003	-2.4876691E-001	-2.4887595E-001	3.7405434E+004	1.259119987698796E+001
6.318462854979862E-003	-2.5080800E-001	-2.5087595E-001	3.9694465E+004	1.279119987193553E+001
6.007496512728860E-003	-2.5277135E-001	-2.5287592E-001	4.2075988E+004	1.299119986688311E+001
5.708131172144928E-003	-2.5481239E-001	-2.5487593E-001	4.4640246E+004	1.319119986183068E+001
5.411876007915060E-003	-2.5687593E-001	-2.5687590E-001	4.7465230E+004	1.339119985677826E+001
5.130786982188343E-003	-2.5875038E-001	-2.5887594E-001	5.0430934E+004	1.359119985172583E+001
4.899173992182581E-003	-2.6083833E-001	-2.6087594E-001	5.3241289E+004	1.379119984667341E+001
4.659421881707010E-003	-2.6281676E-001	-2.6287591E-001	5.6405441E+004	1.399119984162098E+001
4.409063581551222E-003	-2.6475108E-001	-2.6487592E-001	6.0047008E+004	1.419119983656856E+001
4.176700479846500E-003	-2.6667434E-001	-2.6687592E-001	6.3848090E+004	1.439119983151613E+001
3.964772854407390E-003	-2.6875380E-001	-2.6887593E-001	6.7785422E+004	1.459119982646371E+001
3.768219997356111E-003	-2.7083302E-001	-2.7087593E-001	7.1872930E+004	1.479119982141128E+001
3.565931333475228E-003	-2.7273107E-001	-2.7287593E-001	7.6482422E+004	1.499119981635886E+001
3.380993605261921E-003	-2.7472159E-001	-2.7487591E-001	8.1254695E+004	1.519119981130643E+001
3.235023519978023E-003	-2.7671593E-001	-2.7687594E-001	8.5537531E+004	1.539119980625401E+001
3.022639000879540E-003	-2.7881810E-001	-2.7887595E-001	9.2243266E+004	1.559119980120158E+001
2.880779446780828E-003	-2.8069574E-001	-2.8087592E-001	9.7437430E+004	1.579119979614916E+001
2.690339282621391E-003	-2.8276083E-001	-2.8287590E-001	1.0510230E+005	1.599119979109673E+001
2.542362487200453E-003	-2.8478906E-001	-2.8487578E-001	1.1201748E+005	1.619119978604431E+001
2.389244767463029E-003	-2.8675699E-001	-2.8687593E-001	1.2001993E+005	1.639119978099188E+001
2.264471536312453E-003	-2.8876600E-001	-2.8887594E-001	1.2752026E+005	1.659119977593946E+001
2.104724068071225E-003	-2.9077604E-001	-2.9087594E-001	1.3815400E+005	1.679119977088703E+001
1.975327883518389E-003	-2.9274115E-001	-2.9287595E-001	1.4819877E+005	1.699119976583461E+001
1.838727057763626E-003	-2.9477665E-001	-2.9487592E-001	1.6031561E+005	1.719119976078218E+001
1.730078439003160E-003	-2.9676148E-001	-2.9687595E-001	1.7153066E+005	1.739119975572976E+001
1.568043611439125E-003	-2.9879808E-001	-2.9887590E-001	1.9055470E+005	1.759119975067733E+001
1.478215119454958E-003	-3.0081448E-001	-3.0087593E-001	2.0349845E+005	1.779119974562491E+001
1.365909047056767E-003	-3.0275705E-001	-3.0287594E-001	2.2165242E+005	1.799119974057248E+001
1.252820610464697E-003	-3.0477116E-001	-3.0487591E-001	2.4326800E+005	1.819119973552006E+001
1.140658305067838E-003	-3.0674767E-001	-3.0687594E-001	2.6892163E+005	1.839119973046763E+001
1.039425366612526E-003	-3.0874801E-001	-3.0887592E-001	2.9703722E+005	1.859119972541521E+001
9.010109459875642E-004	-3.1076676E-001	-3.1087595E-001	3.4490897E+005	1.879119972036278E+001
7.870615485071394E-004	-3.1276855E-001	-3.1287593E-001	3.9738766E+005	1.899119971531036E+001
6.723935526821555E-004	-3.1477496E-001	-3.1487596E-001	4.6814097E+005	1.919119971025793E+001
5.963183222023379E-004	-3.1674260E-001	-3.1687590E-001	5.3116363E+005	1.939119970520551E+001
5.061915321240094E-004	-3.1873232E-001	-3.1887594E-001	6.2966744E+005	1.959119970015308E+001
3.796065928011612E-004	-3.2073280E-001	-3.2087591E-001	8.4490844E+005	1.979119969510066E+001
2.832576899121234E-004	-3.2279295E-001	-3.2287592E-001	1.1395735E+006	1.999119969004823E+001
2.035071644129031E-004	-3.2477731E-001	-3.2487592E-001	1.5959011E+006	2.019119968499581E+001
1.133903364390322E-004	-3.2672542E-001	-3.2687593E-001	2.8814220E+006	2.039119967994338E+001
-2.903661053213168E-006	-3.2873273E-001	-3.2887593E-001	1.1321319E+008	2.059119967489096E+001
-6.450480101740578E-005	-3.3072874E-001	-3.3087593E-001	5.1271955E+006	2.079119966983853E+001
-2.097677834434876E-004	-3.3276156E-001	-3.3287597E-001	1.5863330E+006	2.099119966478611E+001
-2.832070532043209E-004	-3.3474931E-001	-3.3487591E-001	1.1819950E+006	2.119119965973368E+001
-3.611641112765615E-004	-3.3676296E-001	-3.3687595E-001	9.3243750E+005	2.139119965468126E+001
-4.845624975273796E-004	-3.3875245E-001	-3.3887592E-001	6.9908931E+005	2.159119964962883E+001
-5.484199449578998E-004	-3.4083512E-001	-3.4087592E-001	6.2148563E+005	2.179119964457641E+001
-6.436194972942021E-004	-3.4279761E-001	-3.4287593E-001	5.3260913E+005	2.199119963952398E+001
-7.739689833026939E-004	-3.4478307E-001	-3.4487593E-001	4.4547400E+005	2.219119963447156E+001
-8.279518746845938E-004	-3.4673288E-001	-3.4687594E-001	4.1878388E+005	2.239119962941913E+001
-9.213220330103336E-004	-3.4877008E-001	-3.4887594E-001	3.7855394E+005	2.259119962436671E+001
