EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/11/2026 11:48:50.031
Technique started on : 03/11/2026 11:48:53.211
Loaded Setting File :  NONE
Saved on :
	File : Ni_N52magB_up_3-11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1 M)
Comments : With magnet B (-) side, up position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-2.2361676E-001	0.0000000E+000	0.0000000E+000	3.180400151031790E+000
0.000000000000000E+000	-3.8571802E-001	-1.9983144E-001	0.0000000E+000	8.180200024726219E+000
6.812190461158751E-001	-2.0138510E-001	-2.0133123E-001	2.9562457E+002	8.340200020684279E+000
1.496040704921935E-001	-2.0266889E-001	-2.0273127E-001	1.3547017E+003	8.480200017147581E+000
6.790676852424193E-002	-2.0496589E-001	-2.0503126E-001	3.0183425E+003	8.710200011337292E+000
5.073925570923793E-002	-2.0703495E-001	-2.0703128E-001	4.0803701E+003	8.910200006284867E+000
4.086634792261079E-002	-2.0918185E-001	-2.0923126E-001	5.1186821E+003	9.130200000727200E+000
3.454522151038564E-002	-2.1148501E-001	-2.1143126E-001	6.1219761E+003	9.350199995169532E+000
3.035683907059500E-002	-2.1339385E-001	-2.1343127E-001	7.0295146E+003	9.550199990117108E+000
2.707564767794313E-002	-2.1541093E-001	-2.1543126E-001	7.9558921E+003	9.750199985064683E+000
2.447520989249935E-002	-2.1745133E-001	-2.1743126E-001	8.8845547E+003	9.950199980012258E+000
2.228282373440778E-002	-2.1937208E-001	-2.1943130E-001	9.8448955E+003	1.015019997495983E+001
2.045141399390327E-002	-2.2148827E-001	-2.2143126E-001	1.0829974E+004	1.035019996990741E+001
1.888578995041207E-002	-2.2342066E-001	-2.2343127E-001	1.1830094E+004	1.055019996485498E+001
1.749724912514718E-002	-2.2541736E-001	-2.2543128E-001	1.2883018E+004	1.075019995980256E+001
1.627441110338086E-002	-2.2750211E-001	-2.2743127E-001	1.3979130E+004	1.095019995475013E+001
