EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 03/11/2026 18:33:08.109
Technique started on : 03/11/2026 18:33:10.948
Loaded Setting File :  NONE
Saved on :
	File : X225_N52magA_flat_3_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : With magnet side A (+), flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-1.5456693E-001	0.0000000E+000	0.0000000E+000	2.839400134835159E+000
0.000000000000000E+000	-2.9195340E-002	-1.9981518E-001	0.0000000E+000	7.839200008529588E+000
-9.192235676571731E-002	-2.0159268E-001	-2.0171496E-001	2.1930757E+003	8.039200003477163E+000
-1.690935264512579E-001	-2.0276295E-001	-2.0291501E-001	1.1991172E+003	8.159200000445708E+000
-1.505344548904661E-001	-2.0486456E-001	-2.0501502E-001	1.3609148E+003	8.369199995140661E+000
-1.351694421749774E-001	-2.0686188E-001	-2.0701504E-001	1.5303894E+003	8.569199990088237E+000
-1.244367916008153E-001	-2.0884691E-001	-2.0901501E-001	1.6783373E+003	8.769199985035812E+000
-1.165013849532521E-001	-2.1088181E-001	-2.1101502E-001	1.8101228E+003	8.969199979983387E+000
-1.102921705631763E-001	-2.1288870E-001	-2.1301503E-001	1.9302250E+003	9.169199974930962E+000
-1.053411077767134E-001	-2.1488348E-001	-2.1501499E-001	2.0398824E+003	9.369199969878537E+000
-1.012078221304481E-001	-2.1689589E-001	-2.1701503E-001	2.1430745E+003	9.569199964826112E+000
-9.773118984505391E-002	-2.1888919E-001	-2.1901500E-001	2.2397065E+003	9.769199959773687E+000
-9.472535244852365E-002	-2.2081926E-001	-2.2101499E-001	2.3311528E+003	9.969199954721262E+000
-9.206235832999332E-002	-2.2292568E-001	-2.2301503E-001	2.4214639E+003	1.016919994966884E+001
-8.974591821438471E-002	-2.2484979E-001	-2.2501500E-001	2.5054041E+003	1.036919994461641E+001
-8.774789847600406E-002	-2.2688340E-001	-2.2701503E-001	2.5856277E+003	1.056919993956399E+001
