EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 03/11/2026 18:49:59.007
Technique started on : 03/11/2026 18:50:01.688
Loaded Setting File :  NONE
Saved on :
	File : X225_N52magB_up_3_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt22.5Pd22.5Ni22.5Co22.5Cr10
Initial state : 
Electrolyte : KOH (1M)
Comments : With magnet side B (-), up position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-1.4779398E-001	0.0000000E+000	0.0000000E+000	2.681400127330562E+000
0.000000000000000E+000	-3.2363702E-002	-1.9999923E-001	0.0000000E+000	7.681200001024990E+000
-6.272163208574058E-002	-2.0176148E-001	-2.0189901E-001	3.2167766E+003	7.881199995972565E+000
-1.604594840582614E-001	-2.0298599E-001	-2.0309907E-001	1.2650295E+003	8.001199992941110E+000
-1.496105989517300E-001	-2.0502530E-001	-2.0519905E-001	1.3703929E+003	8.211199987636064E+000
-1.362043819907637E-001	-2.0705996E-001	-2.0719907E-001	1.5202151E+003	8.411199982583639E+000
-1.262930188393494E-001	-2.0905958E-001	-2.0919900E-001	1.6553534E+003	8.611199977531214E+000
-1.188522385329840E-001	-2.1108569E-001	-2.1119890E-001	1.7760347E+003	8.811199972478789E+000
-1.130239327814084E-001	-2.1309583E-001	-2.1319878E-001	1.8854044E+003	9.011199967426364E+000
-1.082603007907683E-001	-2.1507186E-001	-2.1519870E-001	1.9866179E+003	9.211199962373939E+000
-1.042828876419575E-001	-2.1704978E-001	-2.1719860E-001	2.0813557E+003	9.411199957321514E+000
-1.008990214749022E-001	-2.1907184E-001	-2.1919850E-001	2.1711987E+003	9.611199952269089E+000
-9.797062149298819E-002	-2.2111531E-001	-2.2119838E-001	2.2569553E+003	9.811199947216664E+000
-9.540074548151911E-002	-2.2308028E-001	-2.2319826E-001	2.3383494E+003	1.001119994216424E+001
-9.309762340226957E-002	-2.2507262E-001	-2.2519818E-001	2.4175979E+003	1.021119993711181E+001
-9.109755710681766E-002	-2.2707413E-001	-2.2719805E-001	2.4926479E+003	1.041119993205939E+001
-8.925648384871154E-002	-2.2906221E-001	-2.2919795E-001	2.5663369E+003	1.061119992700696E+001
-8.757251036319635E-002	-2.3105054E-001	-2.3119786E-001	2.6383911E+003	1.081119992195454E+001
-8.606775263070965E-002	-2.3307726E-001	-2.3319776E-001	2.7080671E+003	1.101119991690211E+001
-8.463523625248370E-002	-2.3507683E-001	-2.3519766E-001	2.7775291E+003	1.121119991184969E+001
-8.329781837911338E-002	-2.3705432E-001	-2.3719755E-001	2.8458647E+003	1.141119990679726E+001
-8.210305337975754E-002	-2.3904561E-001	-2.3919743E-001	2.9115313E+003	1.161119990174484E+001
-8.093170669878025E-002	-2.4107850E-001	-2.4119735E-001	2.9787893E+003	1.181119989669241E+001
-7.982537857282496E-002	-2.4305363E-001	-2.4319723E-001	3.0448164E+003	1.201109989164252E+001
-7.884422835182248E-002	-2.4509163E-001	-2.4519713E-001	3.1085552E+003	1.221099988659262E+001
-7.787343906872213E-002	-2.4706252E-001	-2.4719703E-001	3.1726160E+003	1.241099988154019E+001
-7.700615206230688E-002	-2.4906696E-001	-2.4919695E-001	3.2343774E+003	1.261099987648777E+001
-7.611929453210387E-002	-2.5108352E-001	-2.5119686E-001	3.2985530E+003	1.281099987143534E+001
-7.532168858919003E-002	-2.5309494E-001	-2.5319672E-001	3.3601868E+003	1.301099986638292E+001
-7.457385319200649E-002	-2.5507313E-001	-2.5519663E-001	3.4204097E+003	1.321099986133049E+001
-7.377489694698280E-002	-2.5704998E-001	-2.5719652E-001	3.4842473E+003	1.341099985627807E+001
-7.309143838489540E-002	-2.5906569E-001	-2.5919640E-001	3.5444053E+003	1.361099985122564E+001
-7.245704755260940E-002	-2.6104888E-001	-2.6119632E-001	3.6028088E+003	1.381099984617322E+001
-7.174835458573181E-002	-2.6305503E-001	-2.6319623E-001	3.6663562E+003	1.401099984112079E+001
-7.110936141809415E-002	-2.6506162E-001	-2.6519611E-001	3.7275208E+003	1.421099983606837E+001
-7.056782469934797E-002	-2.6701364E-001	-2.6719603E-001	3.7837874E+003	1.441099983101594E+001
-6.996626179462573E-002	-2.6904351E-001	-2.6919591E-001	3.8453320E+003	1.461099982596352E+001
-6.944089931385200E-002	-2.7110270E-001	-2.7119580E-001	3.9040781E+003	1.481099982091109E+001
-6.886849596794467E-002	-2.7304861E-001	-2.7319571E-001	3.9647825E+003	1.501099981585867E+001
-6.835986009129486E-002	-2.7505496E-001	-2.7519557E-001	4.0236326E+003	1.521099981080624E+001
-6.791514684414479E-002	-2.7705792E-001	-2.7719548E-001	4.0794717E+003	1.541099980575382E+001
-6.739207187639995E-002	-2.7903244E-001	-2.7919540E-001	4.1404341E+003	1.561099980070139E+001
-6.696158679985686E-002	-2.8106362E-001	-2.8119507E-001	4.1973857E+003	1.581089979565149E+001
-6.650116387649035E-002	-2.8307572E-001	-2.8319517E-001	4.2567031E+003	1.601079979060160E+001
-6.608302704831504E-002	-2.8508630E-001	-2.8519508E-001	4.3140625E+003	1.621079978554917E+001
-6.564991108338197E-002	-2.8706184E-001	-2.8719497E-001	4.3726157E+003	1.641079978049675E+001
-6.525899356182530E-002	-2.8908861E-001	-2.8919488E-001	4.4298662E+003	1.661079977544432E+001
-6.486244570641286E-002	-2.9103723E-001	-2.9119477E-001	4.4869912E+003	1.681079977039190E+001
-6.451087433616726E-002	-2.9305592E-001	-2.9319465E-001	4.5427368E+003	1.701079976533947E+001
-6.407873493158889E-002	-2.9501897E-001	-2.9519454E-001	4.6040073E+003	1.721079976028705E+001
-6.378816041880014E-002	-2.9705802E-001	-2.9719445E-001	4.6569458E+003	1.741079975523462E+001
-6.343629320264044E-002	-2.9905248E-001	-2.9919434E-001	4.7142173E+003	1.761079975018220E+001
-6.309766541319650E-002	-3.0107284E-001	-3.0119425E-001	4.7715366E+003	1.781079974512977E+001
-6.277149247561004E-002	-3.0307174E-001	-3.0319414E-001	4.8281748E+003	1.801079974007735E+001
-6.245629224227234E-002	-3.0508360E-001	-3.0519402E-001	4.8847539E+003	1.821079973502492E+001
-6.214741209855559E-002	-3.0703714E-001	-3.0719393E-001	4.9404653E+003	1.841079972997250E+001
-6.185152974558372E-002	-3.0909079E-001	-3.0919382E-001	4.9973022E+003	1.861079972492007E+001
-6.156763429341665E-002	-3.1105727E-001	-3.1119373E-001	5.0522856E+003	1.881079971986765E+001
-6.129041084937337E-002	-3.1304860E-001	-3.1319362E-001	5.1076279E+003	1.901079971481522E+001
-6.097339484006462E-002	-3.1506065E-001	-3.1519350E-001	5.1671821E+003	1.921079970976280E+001
-6.077922960107640E-002	-3.1708398E-001	-3.1719342E-001	5.2169795E+003	1.941079970471037E+001
-6.051159891689140E-002	-3.1902984E-001	-3.1919375E-001	5.2722095E+003	1.961079969965795E+001
-6.022175258063900E-002	-3.2102028E-001	-3.2119322E-001	5.3306367E+003	1.981059969461057E+001
-6.002846440984588E-002	-3.2305548E-001	-3.2319307E-001	5.3817046E+003	2.001059968955815E+001
-5.975215265880018E-002	-3.2503340E-001	-3.2519299E-001	5.4396934E+003	2.021059968450572E+001
-5.954050417786738E-002	-3.2703146E-001	-3.2719287E-001	5.4925879E+003	2.041059967945330E+001
-5.930383263214922E-002	-3.2907370E-001	-3.2919279E-001	5.5489448E+003	2.061059967440087E+001
-5.908798424700214E-002	-3.3101404E-001	-3.3119267E-001	5.6020532E+003	2.081059966934845E+001
-5.893377462917238E-002	-3.3305371E-001	-3.3319259E-001	5.6513213E+003	2.101059966429602E+001
-5.870936923003545E-002	-3.3501041E-001	-3.3519247E-001	5.7062510E+003	2.121059965924360E+001
-5.850544513167305E-002	-3.3702165E-001	-3.3719239E-001	5.7605176E+003	2.141059965419117E+001
-5.827129811582799E-002	-3.3900508E-001	-3.3919227E-001	5.8177026E+003	2.161059964913875E+001
-5.811892294688148E-002	-3.4104198E-001	-3.4119216E-001	5.8680024E+003	2.181059964408632E+001
-5.789710529245706E-002	-3.4304878E-001	-3.4319207E-001	5.9251455E+003	2.201059963903390E+001
-5.776332927204675E-002	-3.4503093E-001	-3.4519196E-001	5.9731831E+003	2.221059963398147E+001
-5.759252809028226E-002	-3.4702522E-001	-3.4719184E-001	6.0255249E+003	2.241059962892905E+001
-5.741729732030532E-002	-3.4902942E-001	-3.4919178E-001	6.0788203E+003	2.261059962387662E+001
-5.726554923450095E-002	-3.5102689E-001	-3.5119164E-001	6.1298091E+003	2.281059961882420E+001
-5.714730987306299E-002	-3.5305592E-001	-3.5319152E-001	6.1779971E+003	2.301059961377177E+001
-5.692995612904472E-002	-3.5505298E-001	-3.5519144E-001	6.2366636E+003	2.321059960871935E+001
-5.678731350327437E-002	-3.5699502E-001	-3.5719132E-001	6.2865278E+003	2.341059960366692E+001
-5.665729804220199E-002	-3.5907167E-001	-3.5919103E-001	6.3376069E+003	2.361039959861955E+001
-5.651238823284177E-002	-3.6108240E-001	-3.6119115E-001	6.3894380E+003	2.381039959356713E+001
-5.640290494081091E-002	-3.6306331E-001	-3.6319104E-001	6.4369609E+003	2.401039958851470E+001
-5.623388239668248E-002	-3.6506775E-001	-3.6519095E-001	6.4919536E+003	2.421039958346228E+001
-5.610920294386457E-002	-3.6708003E-001	-3.6719081E-001	6.5422427E+003	2.441039957840985E+001
-5.601200097305984E-002	-3.6903632E-001	-3.6919069E-001	6.5885225E+003	2.461039957335743E+001
-5.586512459921406E-002	-3.7105876E-001	-3.7119061E-001	6.6420464E+003	2.481039956830500E+001
-5.581539054453988E-002	-3.7305114E-001	-3.7319052E-001	6.6836606E+003	2.501039956325258E+001
-5.570246093714271E-002	-3.7503290E-001	-3.7519041E-001	6.7327886E+003	2.521039955820015E+001
-5.557418948666634E-002	-3.7707189E-001	-3.7719032E-001	6.7850181E+003	2.541039955314773E+001
-5.546763502515403E-002	-3.7902075E-001	-3.7919021E-001	6.8331875E+003	2.561039954809530E+001
-5.536590851505466E-002	-3.8106638E-001	-3.8119006E-001	6.8826899E+003	2.581039954304288E+001
-5.526585358801106E-002	-3.8303369E-001	-3.8318998E-001	6.9307476E+003	2.601039953799045E+001
-5.520455787315237E-002	-3.8504872E-001	-3.8518989E-001	6.9749443E+003	2.621039953293803E+001
-5.510529403494480E-002	-3.8708693E-001	-3.8718978E-001	7.0244961E+003	2.641039952788560E+001
-5.503681884675182E-002	-3.8904658E-001	-3.8918969E-001	7.0688423E+003	2.661039952283318E+001
-5.494138777262336E-002	-3.9104426E-001	-3.9118958E-001	7.1174805E+003	2.681039951778075E+001
-5.487232087729099E-002	-3.9305547E-001	-3.9318949E-001	7.1630918E+003	2.701039951272833E+001
-5.475311765611976E-002	-3.9507836E-001	-3.9518937E-001	7.2156323E+003	2.721039950767590E+001
-5.472338087016004E-002	-3.9705405E-001	-3.9718950E-001	7.2556563E+003	2.741029950262600E+001
-5.464995430429764E-002	-3.9905462E-001	-3.9918917E-001	7.3020117E+003	2.761019949757610E+001
-5.459738393259284E-002	-4.0104818E-001	-4.0118906E-001	7.3455566E+003	2.781019949252368E+001
-5.452704697355326E-002	-4.0306792E-001	-4.0318894E-001	7.3920732E+003	2.801019948747125E+001
-5.452452432480426E-002	-4.0506241E-001	-4.0518886E-001	7.4289946E+003	2.821019948241883E+001
-5.441070027077094E-002	-4.0707555E-001	-4.0718874E-001	7.4815352E+003	2.841019947736640E+001
-5.434702757995186E-002	-4.0905496E-001	-4.0918866E-001	7.5267222E+003	2.861019947231398E+001
-5.437312405049588E-002	-4.1110122E-001	-4.1118854E-001	7.5607432E+003	2.881019946726155E+001
-5.429013025188739E-002	-4.1307530E-001	-4.1318846E-001	7.6086631E+003	2.901019946220913E+001
-5.422924864876702E-002	-4.1511074E-001	-4.1518831E-001	7.6547388E+003	2.921019945715670E+001
-5.424757086505039E-002	-4.1710734E-001	-4.1718826E-001	7.6889590E+003	2.941019945210428E+001
-5.420717676835385E-002	-4.1908419E-001	-4.1918811E-001	7.7311567E+003	2.961019944705185E+001
-5.415539634192279E-002	-4.2111641E-001	-4.2118806E-001	7.7760747E+003	2.981019944199943E+001
-5.407780735719689E-002	-4.2309073E-001	-4.2318791E-001	7.8237402E+003	3.001019943694700E+001
-5.406269082660187E-002	-4.2510346E-001	-4.2518783E-001	7.8631577E+003	3.021019943189458E+001
-5.407296343497503E-002	-4.2709836E-001	-4.2718771E-001	7.8985566E+003	3.041019942684215E+001
-5.399992098755158E-002	-4.2913064E-001	-4.2918760E-001	7.9468755E+003	3.061019942178973E+001
-5.396146679037336E-002	-4.3110913E-001	-4.3118754E-001	7.9892031E+003	3.081019941673731E+001
-5.395659970862976E-002	-4.3310809E-001	-4.3318740E-001	8.0269717E+003	3.101019941168488E+001
-5.393363213958280E-002	-4.3509850E-001	-4.3518642E-001	8.0672944E+003	3.121009940663498E+001
-5.392408901149737E-002	-4.3713057E-001	-4.3718719E-001	8.1064063E+003	3.140999940158508E+001
-5.393178946636334E-002	-4.3908405E-001	-4.3918708E-001	8.1414702E+003	3.160999939653266E+001
-5.386706049682859E-002	-4.4105008E-001	-4.4118699E-001	8.1877510E+003	3.180999939148023E+001
-5.388868124437551E-002	-4.4310862E-001	-4.4318685E-001	8.2226660E+003	3.200999938642781E+001
-5.383776890297684E-002	-4.4511080E-001	-4.4518679E-001	8.2676309E+003	3.220999938137538E+001
-5.381742044554710E-002	-4.4708416E-001	-4.4718665E-001	8.3074248E+003	3.240999937632296E+001
-5.377910778775408E-002	-4.4912481E-001	-4.4918665E-001	8.3512881E+003	3.260999937127053E+001
-5.382894586017772E-002	-4.5115143E-001	-4.5118645E-001	8.3812051E+003	3.280999936621811E+001
-5.379283045948626E-002	-4.5313379E-001	-4.5318636E-001	8.4236836E+003	3.300999936116568E+001
-5.384171138994831E-002	-4.5507675E-001	-4.5518628E-001	8.4521230E+003	3.320999935611326E+001
-5.387284771999656E-002	-4.5711875E-001	-4.5718616E-001	8.4851416E+003	3.340999935106083E+001
-5.381996035755354E-002	-4.5909050E-001	-4.5918611E-001	8.5301162E+003	3.360999934600841E+001
-5.381658208205914E-002	-4.6108136E-001	-4.6118593E-001	8.5676445E+003	3.380999934095598E+001
-5.380815147082252E-002	-4.6306309E-001	-4.6318591E-001	8.6058164E+003	3.400999933590356E+001
-5.381088550392565E-002	-4.6507800E-001	-4.6518573E-001	8.6428232E+003	3.420999933085113E+001
-5.383215867439095E-002	-4.6708512E-001	-4.6718562E-001	8.6766934E+003	3.440999932579871E+001
-5.381713616091499E-002	-4.6909678E-001	-4.6918553E-001	8.7164951E+003	3.460999932074628E+001
-5.382287767853022E-002	-4.7109023E-001	-4.7118539E-001	8.7526016E+003	3.480999931569386E+001
-5.386314369936596E-002	-4.7312179E-001	-4.7318533E-001	8.7837764E+003	3.500999931064143E+001
-5.381838561378288E-002	-4.7508708E-001	-4.7518590E-001	8.8275977E+003	3.520989930559153E+001
-5.383862687914709E-002	-4.7709823E-001	-4.7718513E-001	8.8616348E+003	3.540979930054164E+001
-5.383366298578818E-002	-4.7906789E-001	-4.7918499E-001	8.8990391E+003	3.560979929548921E+001
-5.383653784077802E-002	-4.8108166E-001	-4.8118493E-001	8.9359697E+003	3.580979929043679E+001
-5.387239151395637E-002	-4.8307255E-001	-4.8318481E-001	8.9669775E+003	3.600979928538436E+001
-5.384046183540039E-002	-4.8509902E-001	-4.8518470E-001	9.0099346E+003	3.620979928033194E+001
-5.384191159843182E-002	-4.8707694E-001	-4.8718464E-001	9.0464277E+003	3.640979927527951E+001
-5.386634218736713E-002	-4.8905933E-001	-4.8918450E-001	9.0791260E+003	3.660979927022709E+001
-5.387276850372563E-002	-4.9107203E-001	-4.9118444E-001	9.1154033E+003	3.680979926517466E+001
-5.388059234193809E-002	-4.9306610E-001	-4.9318427E-001	9.1510889E+003	3.700979926012224E+001
-5.387249002982863E-002	-4.9506247E-001	-4.9518421E-001	9.1895225E+003	3.720979925506981E+001
-5.388893377323067E-002	-4.9705610E-001	-4.9718410E-001	9.2237139E+003	3.740979925001739E+001
-5.383460940803708E-002	-4.9906757E-001	-4.9918392E-001	9.2703857E+003	3.760979924496496E+001
-5.392557549947130E-002	-5.0107580E-001	-5.0118387E-001	9.2919883E+003	3.780979923991254E+001
-5.393671894724750E-002	-5.0306243E-001	-5.0318372E-001	9.3269004E+003	3.800979923486011E+001
-5.390320600764387E-002	-5.0507730E-001	-5.0518370E-001	9.3700791E+003	3.820979922980769E+001
-5.394997636316634E-002	-5.0709170E-001	-5.0718355E-001	9.3992939E+003	3.840979922475526E+001
-5.389220679026799E-002	-5.0906283E-001	-5.0918347E-001	9.4459453E+003	3.860979921970284E+001
-5.394572081717974E-002	-5.1105601E-001	-5.1118338E-001	9.4735225E+003	3.880979921465041E+001
-5.396850588943714E-002	-5.1304340E-001	-5.1318282E-001	9.5063477E+003	3.900959920960304E+001
-5.393218775617714E-002	-5.1506919E-001	-5.1518321E-001	9.5503115E+003	3.920959920455061E+001
-5.394596740119850E-002	-5.1713532E-001	-5.1718301E-001	9.5861719E+003	3.940959919949819E+001
-5.394049190447325E-002	-5.1909709E-001	-5.1918298E-001	9.6235146E+003	3.960959919444576E+001
-5.389706273732131E-002	-5.2107990E-001	-5.2118284E-001	9.6680576E+003	3.980959918939334E+001
-5.392491962029999E-002	-5.2307951E-001	-5.2318275E-001	9.7001445E+003	4.000959918434091E+001
-5.401705708587023E-002	-5.2501607E-001	-5.2518260E-001	9.7194492E+003	4.020959917928849E+001
-5.397652708682465E-002	-5.2707613E-001	-5.2718252E-001	9.7649141E+003	4.040959917423606E+001
-5.396304915600003E-002	-5.2906376E-001	-5.2918249E-001	9.8041855E+003	4.060959916918364E+001
-5.388237603162921E-002	-5.3112167E-001	-5.3118235E-001	9.8570576E+003	4.080959916413121E+001
-5.385657545821099E-002	-5.3309685E-001	-5.3318226E-001	9.8984541E+003	4.100959915907879E+001
-5.390806300797912E-002	-5.3509659E-001	-5.3518212E-001	9.9260957E+003	4.120959915402636E+001
-5.388966367301218E-002	-5.3704894E-001	-5.3718203E-001	9.9657129E+003	4.140959914897394E+001
-5.394852558433866E-002	-5.3908074E-001	-5.3918195E-001	9.9925020E+003	4.160959914392151E+001
-5.390960987089222E-002	-5.4110718E-001	-5.4118180E-001	1.0037305E+004	4.180959913886909E+001
-5.383067399204267E-002	-5.4310465E-001	-5.4318172E-001	1.0089130E+004	4.200959913381666E+001
-5.380029847387191E-002	-5.4511374E-001	-5.4518157E-001	1.0132170E+004	4.220959912876424E+001
-5.378813596438103E-002	-5.4708958E-001	-5.4718155E-001	1.0171194E+004	4.240959912371181E+001
-5.380777573231976E-002	-5.4906362E-001	-5.4918140E-001	1.0204169E+004	4.260959911865939E+001
-5.381716898763123E-002	-5.5104440E-001	-5.5118132E-001	1.0239193E+004	4.280949911360949E+001
-5.384324374661520E-002	-5.5298662E-001	-5.5318123E-001	1.0270307E+004	4.300939910855959E+001
-5.377232795475617E-002	-5.5503881E-001	-5.5518109E-001	1.0322016E+004	4.320939910350717E+001
-5.370944408993428E-002	-5.5708736E-001	-5.5718100E-001	1.0372242E+004	4.340939909845474E+001
-5.367729937564825E-002	-5.5918217E-001	-5.5918086E-001	1.0417479E+004	4.360939909340232E+001
-5.370471081400829E-002	-5.6112784E-001	-5.6118083E-001	1.0448392E+004	4.380939908834989E+001
-5.370922821316249E-002	-5.6305122E-001	-5.6318063E-001	1.0483323E+004	4.400939908329747E+001
