EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/23/2026 17:51:57.658
Technique started on : 02/23/2026 17:52:00.496
Loaded Setting File :  NONE
Saved on :
	File : Ni_2_23_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-2.1888115E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.5007921E-001	0.000000000000000E+000	0.0000000E+000	-1.9991100E-001	0
3.0166742E+002	7.978200004945393E+000	-2.0097436E-001	6.662116832024338E-001	-1.3389147E-004	-2.0121078E-001	0
1.0696514E+003	8.098200001913938E+000	-2.0219427E-001	1.890281942770118E-001	-3.8220420E-005	-2.0241083E-001	0
2.7570703E+003	8.308199996608892E+000	-2.0430095E-001	7.410074016470000E-002	-1.5138852E-005	-2.0451084E-001	0
4.3764673E+003	8.528199991051224E+000	-2.0650877E-001	4.718617695994529E-002	-9.7443590E-006	-2.0671080E-001	0
5.9964897E+003	8.748199985493557E+000	-2.0873043E-001	3.480876982872025E-002	-7.2656494E-006	-2.0891084E-001	0
7.5011787E+003	8.948199980441132E+000	-2.1073750E-001	2.809391840933362E-002	-5.9204422E-006	-2.1091083E-001	0
9.0405625E+003	9.148199975388707E+000	-2.1271211E-001	2.352863566354953E-002	-5.0048257E-006	-2.1291082E-001	0
1.0637357E+004	9.348199970336282E+000	-2.1472552E-001	2.018598328482313E-002	-4.3344457E-006	-2.1491084E-001	0
1.2285498E+004	9.548199965283857E+000	-2.1672815E-001	1.764097412224006E-002	-3.8232956E-006	-2.1691084E-001	0
1.4001221E+004	9.748199960231432E+000	-2.1872889E-001	1.562212988543650E-002	-3.4170112E-006	-2.1891083E-001	0
1.5797295E+004	9.948199955179007E+000	-2.2072515E-001	1.397233856369404E-002	-3.0840465E-006	-2.2091083E-001	0
1.7665857E+004	1.014819995012658E+001	-2.2273241E-001	1.260807234436206E-002	-2.8082263E-006	-2.2291085E-001	0
1.9626418E+004	1.034819994507416E+001	-2.2471574E-001	1.144965668017510E-002	-2.5729180E-006	-2.2491083E-001	0
2.1670387E+004	1.054819994002173E+001	-2.2672981E-001	1.046265682650102E-002	-2.3721961E-006	-2.2691083E-001	0
2.3838695E+004	1.074819993496931E+001	-2.2870718E-001	9.593947107184087E-003	-2.1942046E-006	-2.2891085E-001	0
2.6137213E+004	1.094819992991688E+001	-2.3071215E-001	8.826960745447580E-003	-2.0364871E-006	-2.3091081E-001	0
2.8507549E+004	1.114819992486446E+001	-2.3273088E-001	8.163833328432485E-003	-1.8999762E-006	-2.3291084E-001	0
3.1038916E+004	1.134819991981203E+001	-2.3474731E-001	7.562999583489334E-003	-1.7753938E-006	-2.3491085E-001	0
3.3621965E+004	1.154819991475961E+001	-2.3672532E-001	7.040793812332691E-003	-1.6667342E-006	-2.3691083E-001	0
3.6479461E+004	1.174819990970718E+001	-2.3874088E-001	6.544528688624110E-003	-1.5624465E-006	-2.3891084E-001	0
3.9394063E+004	1.194819990465476E+001	-2.4072076E-001	6.110585145284037E-003	-1.4709448E-006	-2.4091081E-001	0
4.2502078E+004	1.214819989960233E+001	-2.4273528E-001	5.711138924530179E-003	-1.3862949E-006	-2.4291085E-001	0
4.5711602E+004	1.234819989454991E+001	-2.4471074E-001	5.353361917786348E-003	-1.3100251E-006	-2.4491082E-001	0
4.9334738E+004	1.254819988949748E+001	-2.4672674E-001	5.001075009542437E-003	-1.2338990E-006	-2.4691083E-001	0
5.3032301E+004	1.274819988444506E+001	-2.4871683E-001	4.689912180699515E-003	-1.1664602E-006	-2.4891081E-001	0
5.6980246E+004	1.294819987939263E+001	-2.5070226E-001	4.399810102537267E-003	-1.1030423E-006	-2.5091082E-001	0
6.1305512E+004	1.314819987434021E+001	-2.5272888E-001	4.122449544145160E-003	-1.0418621E-006	-2.5291082E-001	0
6.5614102E+004	1.334819986928778E+001	-2.5471959E-001	3.882086032113527E-003	-9.8884334E-007	-2.5491083E-001	0
7.0884133E+004	1.354819986423536E+001	-2.5673431E-001	3.621886699336914E-003	-9.2986261E-007	-2.5691083E-001	0
7.4978984E+004	1.374819985918293E+001	-2.5871018E-001	3.450435795082103E-003	-8.9266285E-007	-2.5891080E-001	0
8.0578922E+004	1.394819985413051E+001	-2.6069731E-001	3.235304020947079E-003	-8.4343503E-007	-2.6091084E-001	0
8.6499813E+004	1.414819984907808E+001	-2.6270220E-001	3.037026252867593E-003	-7.9783348E-007	-2.6291084E-001	0
9.2923258E+004	1.434819984402566E+001	-2.6470670E-001	2.848659265934764E-003	-7.5405922E-007	-2.6491079E-001	0
1.0030071E+005	1.454819983897323E+001	-2.6670319E-001	2.659035818246103E-003	-7.0917332E-007	-2.6691082E-001	0
1.0611095E+005	1.474819983392081E+001	-2.6869690E-001	2.532225812425257E-003	-6.8040123E-007	-2.6891083E-001	0
1.1506483E+005	1.494819982886838E+001	-2.7070355E-001	2.352617657301222E-003	-6.3686196E-007	-2.7091083E-001	0
1.2325015E+005	1.514819982381596E+001	-2.7270085E-001	2.212580312712285E-003	-6.0337254E-007	-2.7291083E-001	0
1.3227859E+005	1.534819981876353E+001	-2.7469116E-001	2.076610896798734E-003	-5.7042666E-007	-2.7491084E-001	0
1.4229981E+005	1.554819981371111E+001	-2.7671820E-001	1.944613882930140E-003	-5.3811004E-007	-2.7691084E-001	0
1.5322498E+005	1.574819980865868E+001	-2.7869472E-001	1.818859593900668E-003	-5.0690659E-007	-2.7891082E-001	0
1.6321159E+005	1.594819980360626E+001	-2.8070879E-001	1.719907189960117E-003	-4.8279304E-007	-2.8091085E-001	0
1.7809027E+005	1.614819979855383E+001	-2.8270143E-001	1.587405269216649E-003	-4.4876174E-007	-2.8291082E-001	0
1.9413380E+005	1.634819979350141E+001	-2.8472209E-001	1.466628187207511E-003	-4.1758145E-007	-2.8491083E-001	0
2.0864173E+005	1.654819978844898E+001	-2.8673005E-001	1.374269910264035E-003	-3.9404449E-007	-2.8691083E-001	0
2.2865050E+005	1.674819978339656E+001	-2.8870293E-001	1.262638583476370E-003	-3.6452747E-007	-2.8891084E-001	0
2.4691486E+005	1.694819977834413E+001	-2.9070979E-001	1.177368600927334E-003	-3.4227259E-007	-2.9091081E-001	0
