EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/11/2026 11:29:47.811
Technique started on : 03/11/2026 11:29:51.148
Loaded Setting File :  NONE
Saved on :
	File : Ni_N52magB_flat_3-11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 172.28.65.128
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni
Initial state : 
Electrolyte : KOH (1 M)
Comments : With magnet B (-) side, flat position
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

<I>/mA	Ewe/V	control/V	Rwe/Ohm	time/s	
0.000000000000000E+000	-2.3526955E-001	0.0000000E+000	0.0000000E+000	3.337400158488890E+000
0.000000000000000E+000	-3.9399815E-001	-1.9985047E-001	0.0000000E+000	8.337200032183318E+000
5.787623953819274E-001	-2.0122527E-001	-2.0135026E-001	3.4768201E+002	8.497200028141378E+000
1.392845095563395E-001	-2.0261550E-001	-2.0275031E-001	1.4546880E+003	8.637200024604681E+000
6.530924168438615E-002	-2.0493852E-001	-2.0505032E-001	3.1379712E+003	8.867200018794392E+000
4.821983186102319E-002	-2.0711584E-001	-2.0725028E-001	4.2952417E+003	9.087200013236725E+000
3.937186358381473E-002	-2.0938665E-001	-2.0945030E-001	5.3181797E+003	9.307200007679057E+000
3.391008529560791E-002	-2.1137694E-001	-2.1145031E-001	6.2334531E+003	9.507200002626632E+000
2.987723271526171E-002	-2.1328427E-001	-2.1345030E-001	7.1386890E+003	9.707199997574207E+000
2.676203370156593E-002	-2.1530092E-001	-2.1545030E-001	8.0450132E+003	9.907199992521782E+000
2.420877724676873E-002	-2.1737503E-001	-2.1745032E-001	8.9791826E+003	1.010719998746936E+001
2.208575124080481E-002	-2.1930738E-001	-2.1945029E-001	9.9298125E+003	1.030719998241693E+001
2.033443354762339E-002	-2.2132933E-001	-2.2145030E-001	1.0884460E+004	1.050719997736451E+001
1.876704944622365E-002	-2.2338647E-001	-2.2345032E-001	1.1903121E+004	1.070719997231208E+001
1.746468585963379E-002	-2.2534221E-001	-2.2545028E-001	1.2902735E+004	1.090719996725966E+001
1.624178174326657E-002	-2.2741486E-001	-2.2745031E-001	1.4001842E+004	1.110719996220723E+001
