EC-Lab ASCII FILE
Nb header lines : 66                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -10.00 V, max = 10.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/10/2026 15:07:03.670
Technique started on : 02/10/2026 15:07:06.351
Loaded Setting File :  NONE
Saved on :
	File : Ni10Co10_polished_2-10_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Mass of active material : 0.001 mg
 at x = 0.000
Molecular weight of active material (at x = 0) : 0.001 g/mol
Atomic weight of intercalated ion : 0.001 g/mol
Acquisition started at : xo = 0.000
Number of e- transfered per intercalated ion : 1
for DX = 1, DQ = 26.802 mA.h
Battery capacity : 0.000 A.h
Cable : standard
Electrode surface area : 0.000 cm²
Characteristic mass : 0.001 g
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.7480576E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-2.1626953E-002	0.000000000000000E+000	0.0000000E+000	-1.9984020E-001	0
1.5259783E+005	7.881199995972565E+000	-2.0151791E-001	-1.320581714971923E-003	2.6612088E-007	-2.0173998E-001	0
1.7821533E+003	8.001199992941110E+000	-2.0278801E-001	-1.137881981204174E-001	2.3074883E-005	-2.0294006E-001	0
1.8535435E+003	8.211199987636064E+000	-2.0489427E-001	-1.105419293345871E-001	2.2649408E-005	-2.0504002E-001	0
2.0502236E+003	8.411199982583639E+000	-2.0681807E-001	-1.008758632362716E-001	2.0862952E-005	-2.0703995E-001	0
2.2265161E+003	8.611199977531214E+000	-2.0887558E-001	-9.381273963178205E-002	1.9595191E-005	-2.0903988E-001	0
2.3829570E+003	8.811199972478789E+000	-2.1087150E-001	-8.849152601313448E-002	1.8660341E-005	-2.1103980E-001	0
2.5251003E+003	9.011199967426364E+000	-2.1285433E-001	-8.429539413349785E-002	1.7942639E-005	-2.1303973E-001	0
2.6556157E+003	9.211199962373939E+000	-2.1484709E-001	-8.090292443384040E-002	1.7381757E-005	-2.1503964E-001	0
2.7772664E+003	9.411199957321514E+000	-2.1686535E-001	-7.808589940001573E-002	1.6934126E-005	-2.1703956E-001	0
2.8897739E+003	9.611199952269089E+000	-2.1883371E-001	-7.572693442514011E-002	1.6571606E-005	-2.1903947E-001	0
2.9992900E+003	9.811199947216664E+000	-2.2081244E-001	-7.362157092883735E-002	1.6256559E-005	-2.2103940E-001	0
3.1019636E+003	1.001119994216424E+001	-2.2285615E-001	-7.184357315675682E-002	1.6010783E-005	-2.2303931E-001	0
3.2018340E+003	1.021119993711181E+001	-2.2483113E-001	-7.021948583571891E-002	1.5787527E-005	-2.2503924E-001	0
3.2993328E+003	1.041119993205939E+001	-2.2684023E-001	-6.875336332122062E-002	1.5596028E-005	-2.2703914E-001	0
3.3912205E+003	1.061119992700696E+001	-2.2886142E-001	-6.748644789351355E-002	1.5445044E-005	-2.2903906E-001	0
