EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 15:13:41.240
Technique started on : 03/03/2026 15:13:43.923
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCoNi_sqmagnet_2_26_01_ZIR_C01.mpr
Saved on :
	File : Pt40_N52magA_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side A (+), N52 Nd magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.4376338E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-6.7112826E-002	0.000000000000000E+000	0.0000000E+000	-1.9980595E-001	0
2.0035159E+003	7.883199996067560E+000	-2.0147894E-001	1.005626864545046E-001	-2.0261265E-005	-2.0170572E-001	0
2.7465447E+003	8.003199993036105E+000	-2.0271087E-001	-7.380577874639732E-002	1.4961233E-005	-2.0290579E-001	0
2.1610190E+003	8.213199987731059E+000	-2.0482314E-001	-9.478080525462151E-002	1.9413303E-005	-2.0500576E-001	0
2.2432444E+003	8.413199982678634E+000	-2.0681472E-001	-9.219447219672583E-002	1.9067174E-005	-2.0700577E-001	0
2.3522800E+003	8.613199977626209E+000	-2.0881858E-001	-8.877284348099712E-002	1.8537419E-005	-2.0900577E-001	0
2.4611558E+003	8.813199972573784E+000	-2.1079719E-001	-8.564967729780576E-002	1.8054712E-005	-2.1100578E-001	0
2.5632415E+003	9.013199967521359E+000	-2.1282993E-001	-8.303155546243457E-002	1.7671600E-005	-2.1300577E-001	0
2.6606030E+003	9.213199962468934E+000	-2.1482469E-001	-8.074286032062639E-002	1.7345559E-005	-2.1500579E-001	0
2.7523125E+003	9.413199957416509E+000	-2.1681857E-001	-7.877687419724588E-002	1.7080289E-005	-2.1700577E-001	0
2.8375774E+003	9.613199952364084E+000	-2.1880929E-001	-7.711130280951528E-002	1.6872669E-005	-2.1900576E-001	0
2.9221543E+003	9.813199947311659E+000	-2.2081594E-001	-7.556614520233063E-002	1.6686210E-005	-2.2100578E-001	0
3.0005950E+003	1.001319994225923E+001	-2.2282213E-001	-7.425931749058690E-002	1.6546619E-005	-2.2300579E-001	0
3.0756890E+003	1.021319993720681E+001	-2.2482750E-001	-7.309825664709252E-002	1.6434498E-005	-2.2500578E-001	0
3.1500093E+003	1.041319993215438E+001	-2.2680080E-001	-7.200004030578666E-002	1.6329666E-005	-2.2700578E-001	0
3.2199705E+003	1.061319992710196E+001	-2.2879809E-001	-7.105596231184697E-002	1.6257469E-005	-2.2900580E-001	0
3.2900945E+003	1.081319992204953E+001	-2.3078117E-001	-7.014423540250603E-002	1.6187969E-005	-2.3100577E-001	0
3.3574136E+003	1.101319991699711E+001	-2.3283364E-001	-6.934910901408220E-002	1.6146805E-005	-2.3300578E-001	0
3.4225469E+003	1.121319991194468E+001	-2.3482330E-001	-6.861069169721246E-002	1.6111389E-005	-2.3500580E-001	0
3.4883828E+003	1.141319990689226E+001	-2.3681614E-001	-6.788708302540833E-002	1.6076758E-005	-2.3700576E-001	0
3.5496892E+003	1.161319990183983E+001	-2.3883593E-001	-6.728361678877803E-002	1.6069745E-005	-2.3900579E-001	0
3.6128010E+003	1.181319989678741E+001	-2.4081625E-001	-6.665638227452886E-002	1.6051939E-005	-2.4100576E-001	0
3.6758838E+003	1.201319989173498E+001	-2.4285917E-001	-6.606824137428813E-002	1.6045278E-005	-2.4300578E-001	0
3.7366831E+003	1.221319988668256E+001	-2.4483545E-001	-6.552213348834751E-002	1.6042140E-005	-2.4500579E-001	0
3.7940188E+003	1.241319988163013E+001	-2.4684954E-001	-6.506281448770990E-002	1.6060725E-005	-2.4700576E-001	0
3.8531011E+003	1.261319987657771E+001	-2.4885848E-001	-6.458654234454003E-002	1.6072909E-005	-2.4900579E-001	0
