EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 15:41:07.494
Technique started on : 03/03/2026 15:41:10.176
Loaded Setting File :  NONE
Saved on :
	File : Ni40_N52magA_flat_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side A (+), N52 Nd magnet, alloy placed lying flat on top of magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.6347201E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-5.4741975E-002	0.000000000000000E+000	0.0000000E+000	-1.9985686E-001	0
3.2172885E+004	7.882199996020063E+000	-2.0175649E-001	-6.271010208874942E-003	1.2652171E-006	-2.0175664E-001	0
1.4807638E+003	8.002199992988608E+000	-2.0294403E-001	-1.370536068444879E-001	2.7814211E-005	-2.0295669E-001	0
1.4712053E+003	8.212199987683562E+000	-2.0504628E-001	-1.393729891488646E-001	2.8577913E-005	-2.0505670E-001	0
1.5956652E+003	8.412199982631137E+000	-2.0703381E-001	-1.297476600154459E-001	2.6862153E-005	-2.0705670E-001	0
1.7141786E+003	8.612199977578712E+000	-2.0903899E-001	-1.219470325525838E-001	2.5491685E-005	-2.0905669E-001	0
1.8223214E+003	8.812199972526287E+000	-2.1106936E-001	-1.158244398828012E-001	2.4446990E-005	-2.1105666E-001	0
1.9211882E+003	9.012199967473862E+000	-2.1305451E-001	-1.108972557604975E-001	2.3627161E-005	-2.1305661E-001	0
2.0128652E+003	9.212199962421437E+000	-2.1502328E-001	-1.068244782221546E-001	2.2969749E-005	-2.1505654E-001	0
2.0987583E+003	9.412199957369012E+000	-2.1700883E-001	-1.033986699873006E-001	2.2438424E-005	-2.1705645E-001	0
2.1791509E+003	9.612199952316587E+000	-2.1905595E-001	-1.005235352656912E-001	2.2020278E-005	-2.1905640E-001	0
2.2555002E+003	9.812199947264162E+000	-2.2105318E-001	-9.800628209676709E-002	2.1664600E-005	-2.2105630E-001	0
2.3295378E+003	1.001219994221174E+001	-2.2303493E-001	-9.574213949752242E-002	2.1353842E-005	-2.2305624E-001	0
2.4008210E+003	1.021219993715931E+001	-2.2504614E-001	-9.373715830821094E-002	2.1095186E-005	-2.2505617E-001	0
2.4696057E+003	1.041219993210689E+001	-2.2704570E-001	-9.193601103788862E-002	2.0873676E-005	-2.2705609E-001	0
2.5371731E+003	1.061219992705446E+001	-2.2903426E-001	-9.027143541613675E-002	2.0675252E-005	-2.2905602E-001	0
2.6024834E+003	1.081219992200204E+001	-2.3105523E-001	-8.878259653650056E-002	2.0513684E-005	-2.3105596E-001	0
2.6653813E+003	1.101219991694961E+001	-2.3305078E-001	-8.743618940037012E-002	2.0377072E-005	-2.3305590E-001	0
2.7279424E+003	1.121219991189719E+001	-2.3507199E-001	-8.617190176530254E-002	2.0256601E-005	-2.3505580E-001	0
2.7888384E+003	1.141219990684476E+001	-2.3704588E-001	-8.499807148565730E-002	2.0148444E-005	-2.3705575E-001	0
2.8501189E+003	1.161219990179234E+001	-2.3905794E-001	-8.387648432606398E-002	2.0051340E-005	-2.3905566E-001	0
2.9086462E+003	1.181219989673991E+001	-2.4103969E-001	-8.287006455511592E-002	1.9974976E-005	-2.4105559E-001	0
2.9661565E+003	1.201219989168749E+001	-2.4303477E-001	-8.193592236233704E-002	1.9913277E-005	-2.4305552E-001	0
3.0249609E+003	1.221219988663506E+001	-2.4505387E-001	-8.101058885288293E-002	1.9851959E-005	-2.4505545E-001	0
3.0813882E+003	1.241219988158264E+001	-2.4702944E-001	-8.016823232649072E-002	1.9803914E-005	-2.4705537E-001	0
