EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 15:24:59.852
Technique started on : 03/03/2026 15:25:02.535
Loaded Setting File :  NONE
Saved on :
	File : Ni40_N52magB_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side B (-), N52 Nd magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.683400127425557E+000	-1.9190750E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.683200001119985E+000	-7.9471394E-002	0.000000000000000E+000	0.0000000E+000	-1.9987354E-001	0
9.8406226E+002	7.883199996067560E+000	-2.0165932E-001	2.049253682792185E-001	-4.1325111E-005	-2.0177332E-001	0
1.4202412E+004	8.003199993036105E+000	-2.0288068E-001	-1.428494552629700E-002	2.8981394E-006	-2.0297338E-001	0
3.8035488E+003	8.213199987731059E+000	-2.0497538E-001	-5.389056172825879E-002	1.1046239E-005	-2.0507336E-001	0
3.5904270E+003	8.413199982678634E+000	-2.0700429E-001	-5.765450550528350E-002	1.1934731E-005	-2.0707338E-001	0
3.6083596E+003	8.613199977626209E+000	-2.0904025E-001	-5.793221368424822E-002	1.2110165E-005	-2.0907336E-001	0
3.6901499E+003	8.813199972573784E+000	-2.1103713E-001	-5.718930980270875E-002	1.2069067E-005	-2.1107337E-001	0
3.7762820E+003	9.013199967521359E+000	-2.1304740E-001	-5.641723717636749E-002	1.2019545E-005	-2.1307337E-001	0
3.8716240E+003	9.213199962468934E+000	-2.1502793E-001	-5.553946470579896E-002	1.1942536E-005	-2.1507335E-001	0
3.9671875E+003	9.413199957416509E+000	-2.1700406E-001	-5.469972481782159E-002	1.1870063E-005	-2.1707337E-001	0
4.0617817E+003	9.613199952364084E+000	-2.1901600E-001	-5.392116454193396E-002	1.1809598E-005	-2.1907337E-001	0
4.1551309E+003	9.813199947311659E+000	-2.2098912E-001	-5.318463771749715E-002	1.1753226E-005	-2.2107336E-001	0
