EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 03/03/2026 15:52:52.604
Technique started on : 03/03/2026 15:52:55.441
Loaded Setting File :  NONE
Saved on :
	File : Ni40_N52magB_flat_3-3_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1 M)
Comments : with magnet side B (-), N52 Nd magnet, alloy placed lying flat on top of magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.6487224E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-5.6490026E-002	0.000000000000000E+000	0.0000000E+000	-1.9985470E-001	0
1.4911585E+004	8.037200003382168E+000	-2.0160770E-001	-1.352020662416181E-002	2.7257779E-006	-2.0175448E-001	0
1.4918727E+003	8.157200000350713E+000	-2.0291737E-001	-1.360152081890527E-001	2.7599848E-005	-2.0295453E-001	0
1.5216615E+003	8.367199995045667E+000	-2.0500496E-001	-1.347244196812163E-001	2.7619175E-005	-2.0505452E-001	0
1.6531797E+003	8.567199989993242E+000	-2.0702472E-001	-1.252281995777407E-001	2.5925334E-005	-2.0705453E-001	0
1.7775431E+003	8.767199984940817E+000	-2.0902269E-001	-1.175907821354376E-001	2.4579142E-005	-2.0905453E-001	0
1.8898704E+003	8.967199979888392E+000	-2.1102890E-001	-1.116631623608844E-001	2.3564155E-005	-2.1105453E-001	0
1.9929845E+003	9.167199974835967E+000	-2.1302429E-001	-1.068870769486319E-001	2.2769544E-005	-2.1305452E-001	0
2.0883679E+003	9.367199969783542E+000	-2.1504533E-001	-1.029729118629823E-001	2.2143844E-005	-2.1505453E-001	0
2.1774844E+003	9.567199964731117E+000	-2.1703628E-001	-9.967293865057969E-002	2.1632644E-005	-2.1705456E-001	0
2.2604219E+003	9.767199959678692E+000	-2.1907155E-001	-9.691621997454902E-002	2.1231586E-005	-2.1905452E-001	0
2.3410835E+003	9.967199954626267E+000	-2.2104847E-001	-9.442144338265446E-002	2.0871716E-005	-2.2105454E-001	0
2.4167043E+003	1.016719994957384E+001	-2.2298637E-001	-9.226878625530832E-002	2.0574682E-005	-2.2305454E-001	0
2.4908406E+003	1.036719994452142E+001	-2.2502743E-001	-9.034196127527061E-002	2.0329418E-005	-2.2505453E-001	0
2.5609729E+003	1.056719993946899E+001	-2.2702004E-001	-8.864601087743784E-002	2.0124420E-005	-2.2705454E-001	0
2.6281130E+003	1.076719993441657E+001	-2.2901244E-001	-8.713949882201533E-002	1.9956029E-005	-2.2905454E-001	0
2.6939785E+003	1.096719992936414E+001	-2.3100105E-001	-8.574717674539545E-002	1.9807689E-005	-2.3105453E-001	0
2.7599456E+003	1.116719992431172E+001	-2.3305841E-001	-8.444311567413232E-002	1.9680178E-005	-2.3305453E-001	0
2.8229038E+003	1.136719991925929E+001	-2.3502600E-001	-8.325682077588503E-002	1.9567518E-005	-2.3505455E-001	0
