EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/24/2026 17:22:24.413
Technique started on : 02/24/2026 17:22:27.097
Loaded Setting File :  NONE
Saved on :
	File : Ni40_nomagnet_2_24_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40_nomag
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.684400127473054E+000	-1.6286875E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.684200001167483E+000	-3.1035850E-002	0.000000000000000E+000	0.0000000E+000	-1.9991259E-001	0
7.2022656E+003	7.824199997630785E+000	-2.0114791E-001	-2.792842205255169E-002	5.6177437E-006	-2.0121238E-001	0
1.3296389E+003	7.944199994599330E+000	-2.0232753E-001	-1.521672729201557E-001	3.0787629E-005	-2.0241243E-001	0
1.4053036E+003	8.154199989294284E+000	-2.0441705E-001	-1.454611258853706E-001	2.9734734E-005	-2.0451243E-001	0
1.5541708E+003	8.354199984241859E+000	-2.0643874E-001	-1.328288580358550E-001	2.7421022E-005	-2.0651239E-001	0
1.6886418E+003	8.554199979189434E+000	-2.0844682E-001	-1.234405138572074E-001	2.5730782E-005	-2.0851228E-001	0
1.8108275E+003	8.754199974137009E+000	-2.1043533E-001	-1.162094850338099E-001	2.4454581E-005	-2.1051216E-001	0
1.9192811E+003	8.954199969084584E+000	-2.1243766E-001	-1.106860599704427E-001	2.3513887E-005	-2.1251203E-001	0
2.0210519E+003	9.154199964032159E+000	-2.1443635E-001	-1.061013591013291E-001	2.2751989E-005	-2.1451192E-001	0
2.1147832E+003	9.354199958979734E+000	-2.1643338E-001	-1.023430560616236E-001	2.2150452E-005	-2.1651182E-001	0
2.2043743E+003	9.554199953927309E+000	-2.1844906E-001	-9.909799261348073E-002	2.1647864E-005	-2.1851166E-001	0
2.2896030E+003	9.754199948874884E+000	-2.2045438E-001	-9.628497866613805E-002	2.1226446E-005	-2.2051156E-001	0
2.3696912E+003	9.954199943822459E+000	-2.2244588E-001	-9.387125307218946E-002	2.0881273E-005	-2.2251143E-001	0
2.4472520E+003	1.015419993877003E+001	-2.2443290E-001	-9.170812722020960E-002	2.0582322E-005	-2.2451133E-001	0
2.5227654E+003	1.035419993371761E+001	-2.2644266E-001	-8.975970072306411E-002	2.0325426E-005	-2.2651121E-001	0
2.5979163E+003	1.055419992866518E+001	-2.2843714E-001	-8.793090749637589E-002	2.0086685E-005	-2.2851107E-001	0
2.6673262E+003	1.075419992361276E+001	-2.3043056E-001	-8.639009544138054E-002	1.9906918E-005	-2.3051095E-001	0
2.7364421E+003	1.095419991856033E+001	-2.3245007E-001	-8.494609060207337E-002	1.9745725E-005	-2.3251082E-001	0
2.8042703E+003	1.115419991350791E+001	-2.3444283E-001	-8.360208431575555E-002	1.9599909E-005	-2.3451072E-001	0
2.8723789E+003	1.135409990845801E+001	-2.3644094E-001	-8.231537532870048E-002	1.9462725E-005	-2.3651125E-001	0
2.9356367E+003	1.155399990340811E+001	-2.3844281E-001	-8.122353934917331E-002	1.9367169E-005	-2.3851044E-001	0
3.0036772E+003	1.175399989835569E+001	-2.4043557E-001	-8.004707244252296E-002	1.9246163E-005	-2.4051034E-001	0
3.0665801E+003	1.195399989330326E+001	-2.4243557E-001	-7.905731373466571E-002	1.9166306E-005	-2.4251023E-001	0
3.1308508E+003	1.215399988825084E+001	-2.4442387E-001	-7.806946994692432E-002	1.9082041E-005	-2.4451008E-001	0
3.1939216E+003	1.235399988319841E+001	-2.4644510E-001	-7.716066281199252E-002	1.9015868E-005	-2.4650997E-001	0
3.2574043E+003	1.255399987814599E+001	-2.4844742E-001	-7.627159414988210E-002	1.8949480E-005	-2.4850985E-001	0
3.3181592E+003	1.275399987309356E+001	-2.5045460E-001	-7.547998599192796E-002	1.8904309E-005	-2.5050974E-001	0
3.3808813E+003	1.295399986804114E+001	-2.5244591E-001	-7.466866563194663E-002	1.8849800E-005	-2.5250959E-001	0
3.4402615E+003	1.315399986298871E+001	-2.5444505E-001	-7.396095960248933E-002	1.8819001E-005	-2.5450951E-001	0
3.5015339E+003	1.335399985793629E+001	-2.5643569E-001	-7.323524550864269E-002	1.8780131E-005	-2.5650936E-001	0
3.5602634E+003	1.355399985288386E+001	-2.5842211E-001	-7.258510761662007E-002	1.8757597E-005	-2.5850925E-001	0
3.6196116E+003	1.375399984783144E+001	-2.6042399E-001	-7.194804926265586E-002	1.8736999E-005	-2.6050913E-001	0
3.6818630E+003	1.395399984277901E+001	-2.6240870E-001	-7.127063177143778E-002	1.8702034E-005	-2.6250902E-001	0
3.7422839E+003	1.415399983772659E+001	-2.6442078E-001	-7.065759344362221E-002	1.8683335E-005	-2.6450887E-001	0
3.7985679E+003	1.435399983267416E+001	-2.6642945E-001	-7.013944738920452E-002	1.8687215E-005	-2.6650876E-001	0
3.8596746E+003	1.455389982762426E+001	-2.6841712E-001	-6.954397807311574E-002	1.8666795E-005	-2.6850820E-001	0
3.9149399E+003	1.475379982257437E+001	-2.7042496E-001	-6.907512467405241E-002	1.8679639E-005	-2.7050853E-001	0
3.9778123E+003	1.495379981752194E+001	-2.7242011E-001	-6.848490762665804E-002	1.8656667E-005	-2.7250841E-001	0
4.0332495E+003	1.515379981246952E+001	-2.7443600E-001	-6.804339647295199E-002	1.8673558E-005	-2.7450830E-001	0
4.0919382E+003	1.535379980741709E+001	-2.7641436E-001	-6.755096384148840E-002	1.8672057E-005	-2.7650818E-001	0
4.1489160E+003	1.555379980236467E+001	-2.7841964E-001	-6.710660224252463E-002	1.8683797E-005	-2.7850804E-001	0
4.2103530E+003	1.575379979731224E+001	-2.8041261E-001	-6.660073935508276E-002	1.8675688E-005	-2.8050792E-001	0
4.2652886E+003	1.595379979225982E+001	-2.8240198E-001	-6.620934508823251E-002	1.8697650E-005	-2.8250778E-001	0
4.3240947E+003	1.615379978720739E+001	-2.8442746E-001	-6.577734108391287E-002	1.8708883E-005	-2.8450766E-001	0
4.3777612E+003	1.635379978215497E+001	-2.8641748E-001	-6.542555936305960E-002	1.8739023E-005	-2.8650755E-001	0
4.4355703E+003	1.655379977710254E+001	-2.8840068E-001	-6.501997815330984E-002	1.8751805E-005	-2.8850743E-001	0
4.4911665E+003	1.675379977205012E+001	-2.9042846E-001	-6.466659803266572E-002	1.8781020E-005	-2.9050732E-001	0
4.5521416E+003	1.695379976699769E+001	-2.9241741E-001	-6.423732739463550E-002	1.8784112E-005	-2.9250720E-001	0
4.6099424E+003	1.715379976194527E+001	-2.9441360E-001	-6.386492224547435E-002	1.8802701E-005	-2.9450706E-001	0
4.6670278E+003	1.735379975689284E+001	-2.9641488E-001	-6.351256221342760E-002	1.8826069E-005	-2.9650697E-001	0
4.7222690E+003	1.755379975184042E+001	-2.9842103E-001	-6.319441580711993E-002	1.8858542E-005	-2.9850683E-001	0
4.7777778E+003	1.775379974678799E+001	-3.0041313E-001	-6.287716915714825E-002	1.8889128E-005	-3.0050671E-001	0
4.8351079E+003	1.795369974173809E+001	-3.0241254E-001	-6.254515092751414E-002	1.8914438E-005	-3.0250749E-001	0
4.8913037E+003	1.815359973668819E+001	-3.0443433E-001	-6.223991733623035E-002	1.8947967E-005	-3.0450645E-001	0
4.9450103E+003	1.835359973163577E+001	-3.0641100E-001	-6.196367535518410E-002	1.8986351E-005	-3.0650634E-001	0
5.0012114E+003	1.855359972658334E+001	-3.0843472E-001	-6.167199997951511E-002	1.9021787E-005	-3.0850625E-001	0
5.0555513E+003	1.875359972153092E+001	-3.1043684E-001	-6.140514374383249E-002	1.9062420E-005	-3.1050611E-001	0
5.1097715E+003	1.895359971647849E+001	-3.1241286E-001	-6.114027773023778E-002	1.9101009E-005	-3.1250596E-001	0
5.1621353E+003	1.915359971142607E+001	-3.1441605E-001	-6.090814149685075E-002	1.9150497E-005	-3.1450588E-001	0
5.2222012E+003	1.935359970637364E+001	-3.1640878E-001	-6.058916009386034E-002	1.9170942E-005	-3.1650573E-001	0
5.2748511E+003	1.955359970132122E+001	-3.1842425E-001	-6.036649261286618E-002	1.9222156E-005	-3.1850561E-001	0
5.3282114E+003	1.975359969626879E+001	-3.2041660E-001	-6.013586572075802E-002	1.9268529E-005	-3.2050550E-001	0
5.3806431E+003	1.995359969121637E+001	-3.2240790E-001	-5.991995921981452E-002	1.9318668E-005	-3.2250538E-001	0
5.4314199E+003	2.015359968616394E+001	-3.2440934E-001	-5.972827199261502E-002	1.9376410E-005	-3.2450524E-001	0
5.4856196E+003	2.035359968111152E+001	-3.2641548E-001	-5.950384903773076E-002	1.9422978E-005	-3.2650512E-001	0
5.5466802E+003	2.055359967605909E+001	-3.2842910E-001	-5.921183096492011E-002	1.9446888E-005	-3.2850501E-001	0
5.5951074E+003	2.075359967100667E+001	-3.3043033E-001	-5.905701385867945E-002	1.9514229E-005	-3.3050489E-001	0
5.6542500E+003	2.095359966595424E+001	-3.3240548E-001	-5.878860806642916E-002	1.9541656E-005	-3.3250478E-001	0
5.7041196E+003	2.115349966090434E+001	-3.3441502E-001	-5.862693171682037E-002	1.9605726E-005	-3.3450443E-001	0
5.7540703E+003	2.135339965585445E+001	-3.3641332E-001	-5.846527856489503E-002	1.9668500E-005	-3.3650452E-001	0
5.8079253E+003	2.155339965080202E+001	-3.3842051E-001	-5.826874436808495E-002	1.9719339E-005	-3.3850440E-001	0
5.8659482E+003	2.175339964574960E+001	-3.4041607E-001	-5.803257347107804E-002	1.9755220E-005	-3.4050426E-001	0
5.9126377E+003	2.195339964069717E+001	-3.4240648E-001	-5.791095477980823E-002	1.9829085E-005	-3.4250414E-001	0
5.9643989E+003	2.215339963564475E+001	-3.4441432E-001	-5.774501874428362E-002	1.9888212E-005	-3.4450403E-001	0
