EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/24/2026 16:59:03.550
Technique started on : 02/24/2026 16:59:06.389
Loaded Setting File :  NONE
Saved on :
	File : Ni40_sqmagnet_2_24_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40_mag
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.839400134835159E+000	-1.6571872E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.839200008529588E+000	-3.7799474E-002	0.000000000000000E+000	0.0000000E+000	-1.9997454E-001	0
6.1722905E+003	7.979200004992890E+000	-2.0105556E-001	-3.257389671430372E-002	6.5491631E-006	-2.0127432E-001	0
1.3008657E+003	8.099200001961435E+000	-2.0227699E-001	-1.554941394678277E-001	3.1452888E-005	-2.0247439E-001	0
1.3796106E+003	8.309199996656389E+000	-2.0439161E-001	-1.481516687759112E-001	3.0280959E-005	-2.0457433E-001	0
1.5236490E+003	8.509199991603964E+000	-2.0638733E-001	-1.354559494484465E-001	2.7956392E-005	-2.0657423E-001	0
1.6531226E+003	8.709199986551539E+000	-2.0839877E-001	-1.260637208289317E-001	2.6271526E-005	-2.0857416E-001	0
1.7680092E+003	8.909199981499114E+000	-2.1040854E-001	-1.190087419001134E-001	2.5040456E-005	-2.1057406E-001	0
1.8729491E+003	9.109199976446689E+000	-2.1239175E-001	-1.133996346857726E-001	2.4085146E-005	-2.1257398E-001	0
1.9708857E+003	9.309199971394264E+000	-2.1440086E-001	-1.087840116506782E-001	2.3323386E-005	-2.1457390E-001	0
2.0587996E+003	9.509199966341839E+000	-2.1639833E-001	-1.051089845084569E-001	2.2745409E-005	-2.1657380E-001	0
2.1448066E+003	9.709199961289414E+000	-2.1839829E-001	-1.018265572454690E-001	2.2238746E-005	-2.1857373E-001	0
2.2239282E+003	9.909199956236989E+000	-2.2040996E-001	-9.910839399462223E-002	2.1844477E-005	-2.2057363E-001	0
2.3007898E+003	1.010919995118456E+001	-2.2240165E-001	-9.666318024610021E-002	2.1498050E-005	-2.2257355E-001	0
2.3738809E+003	1.030919994613214E+001	-2.2438936E-001	-9.452427123977358E-002	2.1210240E-005	-2.2457345E-001	0
2.4459082E+003	1.050919994107971E+001	-2.2639887E-001	-9.256228893391300E-002	2.0955998E-005	-2.2657338E-001	0
2.5117554E+003	1.070919993602729E+001	-2.2840309E-001	-9.093365341196891E-002	2.0769528E-005	-2.2857328E-001	0
2.5797905E+003	1.090919993097486E+001	-2.3040862E-001	-8.931291781211681E-002	2.0578467E-005	-2.3057319E-001	0
2.6444768E+003	1.110919992592244E+001	-2.3240225E-001	-8.788213163008166E-002	2.0424006E-005	-2.3257312E-001	0
2.7065728E+003	1.130919992087001E+001	-2.3441160E-001	-8.660827779956559E-002	2.0301984E-005	-2.3457302E-001	0
2.7688018E+003	1.150919991581759E+001	-2.3640710E-001	-8.538245586013160E-002	2.0185018E-005	-2.3657295E-001	0
2.8287732E+003	1.170919991076516E+001	-2.3842302E-001	-8.428495348581100E-002	2.0095473E-005	-2.3857285E-001	0
2.8922927E+003	1.190919990571274E+001	-2.4041192E-001	-8.312157444368695E-002	1.9983418E-005	-2.4057275E-001	0
2.9487390E+003	1.210919990066031E+001	-2.4241112E-001	-8.220840330909351E-002	1.9928231E-005	-2.4257267E-001	0
3.0071770E+003	1.230909989561042E+001	-2.4440131E-001	-8.127267113536241E-002	1.9863148E-005	-2.4457194E-001	0
