EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/25/2026 11:25:00.803
Technique started on : 02/25/2026 11:25:04.013
Loaded Setting File :  NONE
Saved on :
	File : Ni40_sqmagnet_2_25_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Ni40
Initial state : 
Electrolyte : KOH (1M)
Comments : with magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	3.210400152456714E+000	-1.3804306E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	8.210200026151142E+000	-6.2667407E-002	0.000000000000000E+000	0.0000000E+000	-1.9983973E-001	0
1.5478792E+003	8.350200022614445E+000	-2.0088409E-001	1.297802116621183E-001	-2.6070780E-005	-2.0113951E-001	0
2.7294902E+003	8.470200019582990E+000	-2.0208412E-001	-7.403731528988022E-002	1.4961766E-005	-2.0233956E-001	0
2.0092454E+003	8.680200014277943E+000	-2.0420036E-001	-1.016303742823960E-001	2.0752959E-005	-2.0443957E-001	0
2.0671782E+003	8.880200009225518E+000	-2.0619263E-001	-9.974593833160683E-002	2.0566877E-005	-2.0643957E-001	0
2.1593975E+003	9.080200004173093E+000	-2.0823219E-001	-9.643068999767979E-002	2.0079975E-005	-2.0843954E-001	0
2.2531877E+003	9.280199999120669E+000	-2.1021661E-001	-9.329742306047240E-002	1.9612668E-005	-2.1043956E-001	0
2.3443269E+003	9.480199994068244E+000	-2.1221223E-001	-9.052160746774840E-002	1.9209792E-005	-2.1243957E-001	0
2.4311868E+003	9.680199989015819E+000	-2.1423037E-001	-8.811761254482720E-002	1.8877468E-005	-2.1443954E-001	0
2.5109729E+003	9.880199983963394E+000	-2.1621500E-001	-8.610806014978023E-002	1.8617855E-005	-2.1643955E-001	0
2.5898098E+003	1.008019997891097E+001	-2.1821277E-001	-8.425822146627573E-002	1.8386219E-005	-2.1843958E-001	0
2.6653677E+003	1.028019997385854E+001	-2.2021666E-001	-8.262149423367193E-002	1.8194629E-005	-2.2043955E-001	0
2.7385867E+003	1.048019996880612E+001	-2.2221762E-001	-8.114317272232263E-002	1.8031442E-005	-2.2243954E-001	0
2.8077832E+003	1.068019996375369E+001	-2.2420603E-001	-7.985161733285606E-002	1.7903214E-005	-2.2443958E-001	0
2.8777280E+003	1.088019995870127E+001	-2.2619936E-001	-7.860345407674192E-002	1.7780050E-005	-2.2643954E-001	0
2.9439602E+003	1.108019995364884E+001	-2.2821221E-001	-7.751878189047590E-002	1.7690732E-005	-2.2843955E-001	0
3.0065613E+003	1.128019994859642E+001	-2.3020233E-001	-7.656665183519265E-002	1.7625822E-005	-2.3043956E-001	0
3.0700479E+003	1.148019994354399E+001	-2.3219904E-001	-7.563368950774077E-002	1.7562070E-005	-2.3243955E-001	0
3.1329768E+003	1.168019993849157E+001	-2.3421335E-001	-7.475744900314768E-002	1.7509194E-005	-2.3443955E-001	0
3.1971533E+003	1.188019993343914E+001	-2.3621535E-001	-7.388302116272549E-002	1.7452305E-005	-2.3643956E-001	0
3.2596372E+003	1.208019992838672E+001	-2.3821588E-001	-7.308048669136868E-002	1.7408933E-005	-2.3843956E-001	0
3.3187253E+003	1.228019992333429E+001	-2.4021110E-001	-7.238053040718340E-002	1.7386606E-005	-2.4043955E-001	0
3.3784617E+003	1.248019991828187E+001	-2.4222095E-001	-7.169563536238677E-002	1.7366185E-005	-2.4243957E-001	0
3.4355923E+003	1.268019991322944E+001	-2.4419963E-001	-7.107934108861369E-002	1.7357550E-005	-2.4443956E-001	0
3.4953040E+003	1.288019990817702E+001	-2.4622414E-001	-7.044426998748610E-002	1.7345079E-005	-2.4643955E-001	0
3.5510620E+003	1.308019990312459E+001	-2.4822083E-001	-6.990044744888024E-002	1.7350747E-005	-2.4843957E-001	0
3.6076240E+003	1.328019989807217E+001	-2.5021711E-001	-6.935786692501655E-002	1.7354525E-005	-2.5043952E-001	0
3.6647180E+003	1.348019989301974E+001	-2.5221786E-001	-6.882326498093372E-002	1.7358456E-005	-2.5243956E-001	0
3.7221838E+003	1.368019988796732E+001	-2.5421286E-001	-6.829669477857336E-002	1.7361897E-005	-2.5443956E-001	0
3.7766123E+003	1.388019988291489E+001	-2.5620213E-001	-6.783913836662400E-002	1.7380531E-005	-2.5643954E-001	0
3.8323689E+003	1.408019987786247E+001	-2.5820968E-001	-6.737599672713712E-002	1.7397135E-005	-2.5843957E-001	0
3.8934814E+003	1.428019987281004E+001	-2.6019472E-001	-6.682829446024152E-002	1.7388369E-005	-2.6043954E-001	0
3.9479751E+003	1.448019986775762E+001	-2.6221031E-001	-6.641640517883859E-002	1.7415066E-005	-2.6243958E-001	0
4.0036392E+003	1.468019986270519E+001	-2.6420191E-001	-6.599043847574881E-002	1.7434801E-005	-2.6443955E-001	0
4.0521245E+003	1.488019985765277E+001	-2.6621372E-001	-6.569732008544121E-002	1.7489529E-005	-2.6643959E-001	0
4.1137197E+003	1.508019985260034E+001	-2.6817924E-001	-6.519141977878895E-002	1.7482986E-005	-2.6843953E-001	0
4.1663618E+003	1.528019984754792E+001	-2.7020302E-001	-6.485347213411496E-002	1.7523604E-005	-2.7043957E-001	0
4.2196621E+003	1.548019984249549E+001	-2.7219617E-001	-6.450662614572866E-002	1.7558457E-005	-2.7243957E-001	0
4.2741855E+003	1.568019983744307E+001	-2.7419263E-001	-6.415084981921315E-002	1.7589691E-005	-2.7443954E-001	0
4.3243149E+003	1.588019983239064E+001	-2.7619848E-001	-6.387103401344096E-002	1.7641083E-005	-2.7643955E-001	0
4.3759966E+003	1.608019982733822E+001	-2.7819330E-001	-6.357255644775295E-002	1.7685459E-005	-2.7843955E-001	0
4.4298438E+003	1.628019982228579E+001	-2.8019401E-001	-6.325144109383785E-002	1.7722676E-005	-2.8043956E-001	0
4.4810068E+003	1.648019981723337E+001	-2.8218606E-001	-6.297381025741111E-002	1.7770331E-005	-2.8243956E-001	0
4.5321968E+003	1.668019981218094E+001	-2.8420314E-001	-6.270758766583795E-002	1.7821694E-005	-2.8443959E-001	0
4.5865107E+003	1.688019980712852E+001	-2.8620556E-001	-6.240159110852461E-002	1.7859682E-005	-2.8643954E-001	0
4.6353677E+003	1.708019980207609E+001	-2.8819633E-001	-6.217334667208041E-002	1.7918130E-005	-2.8843954E-001	0
4.6846597E+003	1.728019979702367E+001	-2.9020512E-001	-6.194796181038931E-002	1.7977616E-005	-2.9043955E-001	0
4.7332749E+003	1.748019979197124E+001	-2.9219440E-001	-6.173196949630699E-002	1.8037736E-005	-2.9243955E-001	0
4.7869819E+003	1.768019978691882E+001	-2.9421040E-001	-6.146052171890110E-002	1.8082324E-005	-2.9443955E-001	0
4.8378408E+003	1.788019978186639E+001	-2.9621497E-001	-6.122875313777165E-002	1.8136872E-005	-2.9643956E-001	0
4.8840444E+003	1.808019977681397E+001	-2.9819873E-001	-6.105569631754570E-002	1.8206731E-005	-2.9843953E-001	0
4.9357544E+003	1.828019977176155E+001	-3.0019712E-001	-6.082091729532602E-002	1.8258264E-005	-3.0043957E-001	0
4.9872695E+003	1.848019976670912E+001	-3.0218324E-001	-6.059091620605489E-002	1.8309560E-005	-3.0243954E-001	0
5.0341416E+003	1.868019976165670E+001	-3.0420348E-001	-6.042807191069703E-002	1.8382430E-005	-3.0443957E-001	0
5.0828320E+003	1.888019975660427E+001	-3.0619130E-001	-6.024029211599446E-002	1.8445053E-005	-3.0643955E-001	0
5.1238760E+003	1.908019975155185E+001	-3.0819264E-001	-6.014834019216103E-002	1.8537276E-005	-3.0843955E-001	0
5.1728110E+003	1.928019974649942E+001	-3.1019658E-001	-5.996673278058651E-002	1.8601475E-005	-3.1043956E-001	0
5.2250347E+003	1.948019974144700E+001	-3.1221238E-001	-5.975316952367038E-002	1.8655679E-005	-3.1243956E-001	0
5.2709902E+003	1.968019973639457E+001	-3.1417856E-001	-5.960522246623076E-002	1.8726683E-005	-3.1443956E-001	0
5.3153975E+003	1.988019973134215E+001	-3.1619391E-001	-5.948640988736287E-002	1.8809240E-005	-3.1643957E-001	0
5.3594604E+003	2.008019972628972E+001	-3.1820461E-001	-5.937250661283552E-002	1.8892606E-005	-3.1843957E-001	0
5.4038838E+003	2.028019972123730E+001	-3.2020724E-001	-5.925501736362448E-002	1.8973886E-005	-3.2043955E-001	0
5.4462188E+003	2.048019971618487E+001	-3.2221073E-001	-5.916227994786616E-002	1.9062722E-005	-3.2243955E-001	0
5.4904155E+003	2.068019971113245E+001	-3.2419664E-001	-5.904774388030160E-002	1.9143081E-005	-3.2443956E-001	0
5.5412910E+003	2.088019970608002E+001	-3.2619098E-001	-5.886551967448206E-002	1.9201401E-005	-3.2643956E-001	0
5.5818843E+003	2.108019970102760E+001	-3.2819852E-001	-5.879708494866465E-002	1.9297117E-005	-3.2843953E-001	0
5.6316626E+003	2.128019969597517E+001	-3.3018950E-001	-5.863090634531845E-002	1.9359310E-005	-3.3043954E-001	0
5.6801011E+003	2.148019969092275E+001	-3.3217648E-001	-5.848073467238457E-002	1.9425925E-005	-3.3243954E-001	0
5.7204941E+003	2.168019968587032E+001	-3.3419949E-001	-5.842143569992664E-002	1.9524414E-005	-3.3443958E-001	0
5.7557505E+003	2.188019968081790E+001	-3.3620399E-001	-5.841184324582788E-002	1.9638295E-005	-3.3643958E-001	0
5.8035508E+003	2.208019967576547E+001	-3.3818948E-001	-5.827285510872238E-002	1.9707266E-005	-3.3843955E-001	0
5.8438740E+003	2.228019967071305E+001	-3.4019059E-001	-5.821319568063843E-002	1.9803581E-005	-3.4043956E-001	0
5.8887334E+003	2.248019966566062E+001	-3.4220368E-001	-5.811159390916049E-002	1.9886002E-005	-3.4243956E-001	0
5.9271904E+003	2.268019966060820E+001	-3.4418532E-001	-5.806888232341292E-002	1.9986457E-005	-3.4443957E-001	0
5.9659761E+003	2.288019965555577E+001	-3.4619793E-001	-5.802871706756169E-002	2.0089421E-005	-3.4643954E-001	0
