EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Channel : Grounded
Acquisition started on : 01/29/2026 18:09:06.761
Technique started on : 01/29/2026 18:09:09.598
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNiCrFe_oxidized_IR_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdNiCoCrFe
Initial state : 
Electrolyte : KOH (1 M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.000              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.837400134740165E+000	-1.5678450E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.837200008434593E+000	-2.4516974E-002	0.000000000000000E+000	0.0000000E+000	-1.9984457E-001	0
3.1937095E+003	8.037200003382168E+000	-2.0167834E-001	-6.314861861057580E-002	1.2735708E-005	-2.0174435E-001	0
1.1964420E+003	8.157200000350713E+000	-2.0296606E-001	-1.696413699547015E-001	3.4431439E-005	-2.0294440E-001	0
1.2477267E+003	8.367199995045667E+000	-2.0510742E-001	-1.643848978722144E-001	3.3716562E-005	-2.0504440E-001	0
1.3521844E+003	8.567199989993242E+000	-2.0712960E-001	-1.531814661947695E-001	3.1728414E-005	-2.0704441E-001	0
1.4459340E+003	8.767199984940817E+000	-2.0907363E-001	-1.445941788803311E-001	3.0230831E-005	-2.0904440E-001	0
1.5310054E+003	8.967199979888392E+000	-2.1110174E-001	-1.378843888678407E-001	2.9107634E-005	-2.1104440E-001	0
1.6077286E+003	9.167199974835967E+000	-2.1309057E-001	-1.325413740066864E-001	2.8243318E-005	-2.1304442E-001	0
1.6772400E+003	9.367199969783542E+000	-2.1508770E-001	-1.282390704876883E-001	2.7582646E-005	-2.1504439E-001	0
1.7431163E+003	9.567199964731117E+000	-2.1710306E-001	-1.245488077497156E-001	2.7039929E-005	-2.1704440E-001	0
1.8040051E+003	9.767199959678692E+000	-2.1907704E-001	-1.214392528575663E-001	2.6604552E-005	-2.1904442E-001	0
1.8631150E+003	9.967199954626267E+000	-2.2110558E-001	-1.186752199995711E-001	2.6239753E-005	-2.2104438E-001	0
1.9189141E+003	1.016719994957384E+001	-2.2308826E-001	-1.162575618564544E-001	2.5935698E-005	-2.2304441E-001	0
