EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/25/2026 12:04:18.585
Technique started on : 02/25/2026 12:04:21.423
Loaded Setting File :  NONE
Saved on :
	File : Pt_nomagnet_2_25_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.6530499E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.7952889E-002	0.000000000000000E+000	0.0000000E+000	-1.9993971E-001	0
2.7080286E+003	7.978200004945393E+000	-2.0105371E-001	7.424356720435454E-002	-1.4926944E-005	-2.0123950E-001	0
2.0639695E+003	8.098200001913938E+000	-2.0225315E-001	-9.799231977399270E-002	1.9819256E-005	-2.0243955E-001	0
1.8733135E+003	8.308199996608892E+000	-2.0435457E-001	-1.090872239726939E-001	2.2292472E-005	-2.0453952E-001	0
1.9996057E+003	8.508199991556467E+000	-2.0635800E-001	-1.031993438474954E-001	2.1296009E-005	-2.0653954E-001	0
2.1292900E+003	8.708199986504042E+000	-2.0835362E-001	-9.785122258214851E-002	2.0387657E-005	-2.0853953E-001	0
2.2494541E+003	8.908199981451617E+000	-2.1035750E-001	-9.351491595590966E-002	1.9671565E-005	-2.1053953E-001	0
2.3599573E+003	9.108199976399192E+000	-2.1235734E-001	-8.998355603631181E-002	1.9108669E-005	-2.1253954E-001	0
2.4630464E+003	9.308199971346767E+000	-2.1435124E-001	-8.702688076472143E-002	1.8654320E-005	-2.1453954E-001	0
2.5601204E+003	9.508199966294342E+000	-2.1635193E-001	-8.450850179680819E-002	1.8283577E-005	-2.1653953E-001	0
2.6527476E+003	9.708199961241917E+000	-2.1834221E-001	-8.230795217318976E-002	1.7971301E-005	-2.1853954E-001	0
2.7404871E+003	9.908199956189492E+000	-2.2034527E-001	-8.040368786480800E-002	1.7716573E-005	-2.2053957E-001	0
2.8262632E+003	1.010819995113707E+001	-2.2235125E-001	-7.867323012986616E-002	1.7493092E-005	-2.2253953E-001	0
2.9082234E+003	1.030819994608464E+001	-2.2435576E-001	-7.714529836691852E-002	1.7307992E-005	-2.2453955E-001	0
2.9863374E+003	1.050819994103222E+001	-2.2634797E-001	-7.579450498128115E-002	1.7155931E-005	-2.2653955E-001	0
3.0646748E+003	1.070819993597979E+001	-2.2835247E-001	-7.451116083962783E-002	1.7014809E-005	-2.2853953E-001	0
