EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/25/2026 11:56:47.402
Technique started on : 02/25/2026 11:56:50.084
Loaded Setting File :  NONE
Saved on :
	File : Pt_sqmagnet_2_25_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : Pt
Initial state : 
Electrolyte : KOH (1M)
Comments : with magnet
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.682400127378060E+000	-1.5679114E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.682200001072488E+000	-4.5266043E-002	0.000000000000000E+000	0.0000000E+000	-1.9982889E-001	0
4.0361362E+003	7.822199997535790E+000	-2.0100482E-001	4.980129730963223E-002	-1.0010301E-005	-2.0112868E-001	0
1.7115648E+003	7.942199994504335E+000	-2.0214427E-001	-1.181049387504947E-001	2.3874236E-005	-2.0232874E-001	0
1.6052462E+003	8.152199989199289E+000	-2.0424864E-001	-1.272381999405295E-001	2.5988229E-005	-2.0442867E-001	0
1.7233710E+003	8.352199984146864E+000	-2.0626009E-001	-1.196840865518519E-001	2.4686049E-005	-2.0642862E-001	0
1.8390405E+003	8.552199979094439E+000	-2.0826602E-001	-1.132471071843422E-001	2.3585524E-005	-2.0842856E-001	0
1.9454161E+003	8.752199974042014E+000	-2.1027490E-001	-1.080873653845957E-001	2.2728060E-005	-2.1042848E-001	0
2.0439344E+003	8.952199968989589E+000	-2.1226071E-001	-1.038490759975398E-001	2.2043079E-005	-2.1242841E-001	0
2.1376021E+003	9.152199963937164E+000	-2.1426003E-001	-1.002338201931074E-001	2.1476100E-005	-2.1442835E-001	0
2.2250190E+003	9.352199958884739E+000	-2.1626662E-001	-9.719764707396727E-002	2.1020607E-005	-2.1642831E-001	0
2.3113630E+003	9.552199953832314E+000	-2.1827018E-001	-9.443353180342751E-002	2.0612024E-005	-2.1842824E-001	0
2.3935146E+003	9.752199948779889E+000	-2.2026806E-001	-9.202703517965194E-002	2.0270616E-005	-2.2042818E-001	0
2.4750435E+003	9.952199943727464E+000	-2.2225808E-001	-8.979967041648584E-002	1.9958701E-005	-2.2242810E-001	0
2.5524529E+003	1.015219993867504E+001	-2.2426167E-001	-8.786124242057847E-002	1.9703910E-005	-2.2442804E-001	0
2.6303560E+003	1.035219993362261E+001	-2.2625807E-001	-8.601804294933890E-002	1.9462277E-005	-2.2642796E-001	0
2.7038059E+003	1.055219992857019E+001	-2.2827077E-001	-8.442572664148484E-002	1.9271925E-005	-2.2842790E-001	0
2.7796133E+003	1.075219992351776E+001	-2.3024976E-001	-8.283517536730467E-002	1.9072779E-005	-2.3042783E-001	0
2.8543333E+003	1.095219991846534E+001	-2.3228179E-001	-8.137864818217899E-002	1.8902778E-005	-2.3242778E-001	0
2.9273977E+003	1.115219991341291E+001	-2.3426245E-001	-8.002413076912462E-002	1.8746648E-005	-2.3442769E-001	0
3.0032710E+003	1.135219990836049E+001	-2.3625691E-001	-7.866653225325548E-002	1.8585511E-005	-2.3642766E-001	0
3.0756711E+003	1.155219990330806E+001	-2.3824440E-001	-7.746094527027159E-002	1.8454637E-005	-2.3842758E-001	0
3.1489382E+003	1.175219989825564E+001	-2.4026474E-001	-7.630024282071679E-002	1.8332259E-005	-2.4042751E-001	0
3.2215256E+003	1.195219989320321E+001	-2.4225691E-001	-7.519943431197185E-002	1.8217583E-005	-2.4242744E-001	0
3.2948149E+003	1.215219988815079E+001	-2.4425775E-001	-7.413397885673156E-002	1.8107799E-005	-2.4442738E-001	0
3.3664177E+003	1.235219988309836E+001	-2.4626981E-001	-7.315485695347412E-002	1.8015833E-005	-2.4642733E-001	0
3.4375303E+003	1.255219987804594E+001	-2.4824941E-001	-7.221737285957652E-002	1.7927920E-005	-2.4842726E-001	0
3.5109531E+003	1.275219987299351E+001	-2.5025153E-001	-7.127737857785699E-002	1.7837274E-005	-2.5042722E-001	0
3.5813767E+003	1.295219986794109E+001	-2.5225687E-001	-7.043572446350399E-002	1.7767896E-005	-2.5242716E-001	0
3.6560051E+003	1.315219986288866E+001	-2.5426555E-001	-6.954736962371705E-002	1.7683500E-005	-2.5442708E-001	0
3.7311196E+003	1.335219985783624E+001	-2.5627038E-001	-6.868457973379283E-002	1.7601824E-005	-2.5642699E-001	0
3.8103542E+003	1.355209985278634E+001	-2.5824177E-001	-6.777369194670696E-002	1.7501998E-005	-2.5842693E-001	0
3.8864575E+003	1.375199984773644E+001	-2.6024893E-001	-6.696301896089185E-002	1.7427054E-005	-2.6042688E-001	0
3.9626785E+003	1.395199984268402E+001	-2.6224154E-001	-6.617785090118022E-002	1.7354581E-005	-2.6242682E-001	0
4.0362314E+003	1.415199983763159E+001	-2.6422495E-001	-6.546328089605424E-002	1.7297032E-005	-2.6442677E-001	0
4.1113320E+003	1.435199983257917E+001	-2.6623705E-001	-6.475688747020536E-002	1.7240684E-005	-2.6642668E-001	0
4.1838862E+003	1.455199982752674E+001	-2.6825228E-001	-6.411557788263733E-002	1.7199151E-005	-2.6842663E-001	0
4.2526909E+003	1.475199982247432E+001	-2.7024612E-001	-6.354708952275928E-002	1.7173354E-005	-2.7042654E-001	0
4.3273853E+003	1.495199981742189E+001	-2.7224633E-001	-6.291243377196559E-002	1.7127679E-005	-2.7242649E-001	0
4.3984536E+003	1.515199981236947E+001	-2.7423528E-001	-6.234811338524249E-002	1.7098053E-005	-2.7442643E-001	0
