EC-Lab ASCII FILE
Nb header lines : 63                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : <None>
Safety Limits :
	Do not start on E overload
Channel : Floating
Acquisition started on : 02/11/2026 18:12:13.111
Technique started on : 02/11/2026 18:12:15.792
Loaded Setting File :  C:\Users\volt\Documents\Platalytix\PtPdCo_2-10_02_LSV_C01.mpr
Saved on :
	File : PtPdCoNi_2_11_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.681400127330562E+000	-1.6542009E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.681200001024990E+000	-2.5885301E-002	0.000000000000000E+000	0.0000000E+000	-1.9992825E-001	0
1.8690554E+003	7.881199995972565E+000	-2.0170377E-001	-1.079174879193306E-001	2.1767364E-005	-2.0182803E-001	0
1.1407163E+003	8.001199992941110E+000	-2.0282629E-001	-1.778060717707763E-001	3.6063746E-005	-2.0302808E-001	0
1.2779680E+003	8.211199987636064E+000	-2.0495676E-001	-1.603770564561567E-001	3.2870361E-005	-2.0512807E-001	0
1.4148037E+003	8.411199982583639E+000	-2.0695451E-001	-1.462778912650212E-001	3.0272869E-005	-2.0712811E-001	0
1.5307458E+003	8.611199977531214E+000	-2.0900634E-001	-1.365388884259775E-001	2.8537494E-005	-2.0912808E-001	0
1.6309443E+003	8.811199972478789E+000	-2.1097852E-001	-1.293597339194204E-001	2.7292126E-005	-2.1112801E-001	0
1.7200531E+003	9.011199967426364E+000	-2.1300524E-001	-1.238364312077647E-001	2.6377809E-005	-2.1312793E-001	0
1.8000597E+003	9.211199962373939E+000	-2.1503155E-001	-1.194580075206435E-001	2.5687241E-005	-2.1512786E-001	0
1.8749818E+003	9.411199957321514E+000	-2.1696258E-001	-1.157144979730060E-001	2.5105715E-005	-2.1712777E-001	0
1.9447382E+003	9.611199952269089E+000	-2.1900393E-001	-1.126135850183734E-001	2.4662817E-005	-2.1912768E-001	0
2.0108776E+003	9.811199947216664E+000	-2.2098291E-001	-1.098937635107258E-001	2.4284644E-005	-2.2112761E-001	0
2.0730698E+003	1.001119994216424E+001	-2.2300328E-001	-1.075715242733004E-001	2.3988803E-005	-2.2312753E-001	0
2.1340991E+003	1.021119993711181E+001	-2.2498035E-001	-1.054217040648604E-001	2.3717812E-005	-2.2512744E-001	0
2.1921829E+003	1.041119993205939E+001	-2.2698523E-001	-1.035430173098180E-001	2.3502736E-005	-2.2712737E-001	0
2.2470991E+003	1.061119992700696E+001	-2.2900410E-001	-1.019109888382410E-001	2.3338034E-005	-2.2912729E-001	0
2.3013904E+003	1.081119992195454E+001	-2.3100811E-001	-1.003776290844665E-001	2.3188046E-005	-2.3112722E-001	0
2.3548979E+003	1.101119991690211E+001	-2.3299582E-001	-9.894094080717042E-002	2.3052826E-005	-2.3312713E-001	0
2.4068354E+003	1.121119991184969E+001	-2.3500489E-001	-9.764061374230804E-002	2.2946022E-005	-2.3512706E-001	0
