EC-Lab ASCII FILE
Nb header lines : 61                          

Linear Sweep Voltammetry

Run on channel : 1 (SN 1340)
User : 
Electrode connection : standard
Potential control : Ewe
Ewe ctrl range : min = -5.00 V, max = 5.00 V
Ewe,I filtering : 50 kHz
Channel : Grounded
Acquisition started on : 02/26/2026 17:34:38.780
Technique started on : 02/26/2026 17:34:41.618
Loaded Setting File :  NONE
Saved on :
	File : PtPdCoNi_2_26_02_LSV_C01.mpr
	Directory : C:\Users\volt\Documents\Platalytix\
	Host : 127.0.0.1
Device : SP-200 (SN 0262)
Address : USB
EC-LAB for windows v11.60 (software)
Internet server v11.60 (firmware)
Command interpretor v11.60 (firmware)
Electrode material : PtPdCoNi
Initial state : 
Electrolyte : KOH (1M)
Comments : 
Cable : standard
Reference electrode : Hg/HgO (0.140 V)
Electrode surface area : 1.000 cm²
Characteristic mass : 0.001 g
Equivalent Weight : 0.000 g/eq.
Density : 0.000 g/cm3
Volume (V) : 0.001 cm³
Cycle Definition : Charge/Discharge alternance
tR (h:m:s)          0:00:5.0000         
dER/dt (mV/h)       0.0                 
dER (mV)            0                   
dtR (s)             0.0000              
dE/dt               10.000              
dE/dt unit          mV/s                
Ei (V)              -0.200              
vs.                 Ref                 
EL (V)              -2.500              
vs.                 Ref                 
record              <I>                 
dI                  0.000               
unit dI             µA                  
tI (s)              0.0000              
step percent        50                  
N                   10                  
E range min (V)     -5.000              
E range max (V)     5.000               
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           8                   

Rwe/Ohm	time/s	Ewe/V	<I>/mA	Pwe/W	control/V	error	
0.0000000E+000	2.838400134787662E+000	-1.5509288E-001	0.000000000000000E+000	0.0000000E+000	0.0000000E+000	0
0.0000000E+000	7.838200008482090E+000	-3.1237839E-002	0.000000000000000E+000	0.0000000E+000	-1.9983675E-001	0
2.2270481E+003	7.978200004945393E+000	-2.0092513E-001	-9.022037916489567E-002	1.8127541E-005	-2.0113653E-001	0
1.0821544E+003	8.098200001913938E+000	-2.0212305E-001	-1.867783697283587E-001	3.7752212E-005	-2.0233658E-001	0
1.1709110E+003	8.308199996608892E+000	-2.0423064E-001	-1.744202971215571E-001	3.5621968E-005	-2.0443653E-001	0
1.2701573E+003	8.508199991556467E+000	-2.0623021E-001	-1.623658721531633E-001	3.3484746E-005	-2.0643643E-001	0
1.3524274E+003	8.708199986504042E+000	-2.0824058E-001	-1.539754298391021E-001	3.2063934E-005	-2.0843633E-001	0
1.4207997E+003	8.908199981451617E+000	-2.1023718E-001	-1.479710216249619E-001	3.1109008E-005	-2.1043621E-001	0
1.4809426E+003	9.108199976399192E+000	-2.1224692E-001	-1.433187992366920E-001	3.0418974E-005	-2.1243608E-001	0
1.5348210E+003	9.308199971346767E+000	-2.1423186E-001	-1.395810093401234E-001	2.9902700E-005	-2.1443595E-001	0
1.5833068E+003	9.508199966294342E+000	-2.1623203E-001	-1.365698913403723E-001	2.9530785E-005	-2.1643585E-001	0
1.6277791E+003	9.708199961241917E+000	-2.1823289E-001	-1.340678817203986E-001	2.9258021E-005	-2.1843575E-001	0
1.6686989E+003	9.908199956189492E+000	-2.2024199E-001	-1.319842622298624E-001	2.9068477E-005	-2.2043563E-001	0
